flow_ID proc_time
39874 8646
39874 5329
39874 5395
5329 3860
35934 3858
43069 3952
43069 6503
43069 5411
43069 4201
22041 4328
22041 3996
45424 6673
8328 3850
4442 3862
4442 3899
4442 8109
4442 4967
4442 5532
4442 4130
43069 3863
3 4016
44362 3908
44362 6227
1600 5324
57608 4368
57608 4830
57608 5512
57608 10643
1600 4113
57608 3844
1600 3860
21153 3879
3 9822
3 14612
3 4258
3 3952
44362 5053
21153 5500
44362 3915
44362 4067
44362 4954
44362 5838
20701 4498
20701 4134
20701 4985
21153 5139
20701 4739
20701 6852
21153 3859
20701 7027
21153 3877
8328 4456
8328 3903
8328 3785
8328 3853
13982 4911
13982 5171
3 3951
3 5761
44362 3854
3 3854
44362 13985
3 4072
44362 3892
3 4392
13982 4000
23865 4516
21081 6255
23865 4023
23865 5138
13982 3969
8328 4324
52554 6751
47435 3901
21081 3830
42883 4023
52554 6260
21081 5133
38785 6395
21081 5233
21081 5930
21081 4267
47435 3817
23865 5426
52554 6143
47435 4412
23865 4036
23865 4976
23865 5508
42883 3840
38785 3876
42883 5328
42883 7149
42883 4252
42883 7969
52554 4931
38785 6491
38785 4468
38785 5647
47435 5503
38785 6606
47435 3838
21081 6657
21081 4142
23865 4171
23865 4033
21081 5552
52554 5519
47435 4150
47435 3831
52554 6827
52554 6737
52554 4696
52554 4014
23865 4061
23865 5095
42883 5270
42883 12681
52554 4335
134 6248
30961 3852
42883 5317
42883 5682
42883 3775
52554 3719
8328 4802
8328 5255
8328 3756
8328 3893
8328 5084
8328 5354
8328 1055
52554 4092
8328 3921
8328 6334
13982 3807
13982 4240
13982 3828
13982 3968
13982 6411
42883 4048
52554 4075
52554 4117
42883 5133
13982 5587
18365 4023
42883 4119
42883 3907
52554 4859
13982 5388
8328 6146
41545 4086
13982 4879
35826 5566
45843 6258
18365 3856
18365 4675
37232 3941
41545 5071
41545 6145
57669 4178
35826 4022
35826 4522
45843 6200
45843 5022
45843 4358
45843 12554
45843 5034
18365 4102
13982 4041
8328 3849
59473 6576
18365 3986
18365 3979
18365 4220
37232 3888
37232 7814
37232 4437
37232 6608
37232 4188
41545 4976
57669 5315
57669 7406
57669 4290
57669 6664
57669 4401
35826 3876
41545 4146
41545 6357
41545 4040
35826 4045
3026 4154
35826 5357
59473 5232
59473 5018
35826 4068
45843 9727
18365 5275
18365 3889
45843 4340
18365 3985
37232 5027
37232 5296
41545 3902
41545 4108
37232 4030
41545 6528
41545 4275
3026 4077
57669 4061
57669 4940
35826 5259
3026 5525
3026 7827
3026 6789
3026 4473
57669 4137
59473 3863
35826 6200
59473 4123
59473 3936
35826 4018
35826 5135
59473 5670
45843 3840
37232 4037
37232 4160
37232 5097
41545 5242
3026 4992
59473 8555
3026 5061
46666 5385
59473 3988
57669 3806
3026 4016
57669 6831
57669 4585
35826 4080
59473 3955
59473 5098
13982 5594
23580 4041
45843 4250
45843 6603
45843 5135
18365 5891
24949 4110
46666 4249
24949 6549
46666 3875
63493 4033
46666 4156
63493 5880
63493 5663
23580 3721
63493 4513
63493 5188
23580 6346
64466 4152
44113 4005
44113 4760
23580 7312
23580 5448
23580 4484
24949 4235
46666 5210
64466 5288
64466 5199
64466 4579
64466 11634
64466 5114
44113 4172
63493 4251
63493 6487
23580 4029
23580 3954
63493 4217
44113 4998
23580 5714
23580 4482
24949 4006
46666 4134
64466 5070
44113 5671
63493 3868
63493 4133
63493 3977
23580 6229
54300 4515
24949 4003
46666 4476
64466 6391
44113 4111
22534 6629
54300 3775
54300 6187
64466 5302
22534 4083
22534 5182
22534 6343
22534 4908
22534 4446
54300 12301
44113 7564
54300 4013
24949 4101
64466 4407
8328 4021
8328 5360
22534 5359
54300 4360
13982 4360
22534 6861
54300 4023
44113 3884
22534 3866
54300 5084
22534 6094
22534 3876
54300 3736
22534 4024
54300 5125
8328 5189
13982 3900
8328 3838
8328 6509
13982 5021
13982 5628
54300 3972
54300 3870
44113 3973
44113 4882
46666 5227
46666 3923
24949 3773
22534 4061
54300 4930
24949 5275
46666 4061
64466 4003
44113 12054
13982 5114
33988 5526
46588 3958
33988 4058
33988 4961
8328 5408
46588 5166
46588 5218
46588 4336
33988 4766
46588 5524
46588 4201
33988 3943
33988 6256
62042 3740
58096 3907
48622 6619
22523 3853
56580 6206
61172 3826
20299 3858
3327 3762
16165 3812
22641 5074
44278 5332
11330 3915
5962 3941
32262 3825
48390 3878
33632 6207
29279 3838
63728 4007
19043 3843
10461 3971
9422 6291
43069 3880
41545 11653
44362 10161
59473 3983
18365 3891
52554 6097
23865 3838
35826 4029
23580 3972
53786 4035
45105 6131
8328 3860
30961 3920
5329 6542
1600 3886
21153 6179
2939 4077
36102 4000
57444 3938
42270 3878
5631 6187
17342 4298
44888 3911
41788 3861
11068 4074
27013 4909
16637 5688
46172 4054
27490 4000
44038 3910
46588 4864
45041 5071
45424 4225
44632 3934
9173 4288
9173 5060
22523 5070
22523 3945
36863 4271
33632 3878
36863 3741
33632 6050
53538 11986
29279 6703
23528 4311
61231 6029
23528 4811
9422 5363
10461 3754
9422 3855
56042 3973
3327 4388
57010 4985
45105 5206
39874 3887
39874 4218
5329 3854
5329 5428
57608 5117
13982 3837
1600 3958
8328 3842
13982 6745
8328 5622
35934 5348
35934 3852
44632 3825
44632 6333
56064 5003
56064 5228
58096 4022
58096 3887
43833 3832
20299 13239
62430 11691
48622 4703
20701 4867
21153 4003
28648 6154
28648 3869
36102 3851
36102 3866
53193 3830
42270 4886
53193 5332
42270 3857
19214 3970
61172 4409
19214 3846
61172 6163
50291 3974
32262 4025
19672 3898
11968 4194
48390 6258
45041 3889
37673 4035
19043 3990
15260 4414
53786 7364
2038 5194
2939 4024
33178 3778
44038 3710
59209 4820
59209 5149
22641 4003
22641 3825
3026 4413
59473 6558
4442 3967
43069 3852
37232 5082
41545 4294
716 9267
17342 5984
57444 3841
45473 4058
11330 3872
10102 6313
5962 3715
33988 3999
50087 3926
63728 6193
3 4217
44362 4821
14639 5404
14639 4006
62042 4017
57924 3859
41788 4871
11652 5368
11068 4064
28398 2002
16165 11574
16165 4892
12430 5351
44278 3897
134 3791
30961 3966
63645 5120
37870 5470
55928 4369
1856 3912
5231 4071
63645 7678
63645 6422
4292 3931
37870 3926
37870 6036
12913 5279
55928 3911
55928 4410
5231 3860
5231 8653
63645 3927
63645 4103
63645 4057
13356 4126
1856 6144
1856 5032
5231 3839
5231 3885
5231 5222
63645 5758
4292 3944
4292 4900
37870 3841
37870 6803
12913 1627
55928 3899
55928 4953
55928 5570
5231 3896
13356 3864
13356 6226
13356 8449
13356 4436
1856 3904
13356 7039
1856 4565
1856 3941
1856 4353
4292 3840
4292 6333
12913 3949
12913 3946
55928 4059
55928 6525
12913 3998
12913 3924
13356 4060
13356 4191
1856 6311
12913 4271
12913 4058
12913 4181
55928 4833
12913 5254
55928 4483
55928 3944
55928 4035
12913 5028
12913 11785
13356 4174
12913 4056
12913 4087
12913 6409
55928 6221
12913 4086
55928 4219
55928 4876
5231 5448
5231 4489
63645 3957
1856 4346
12913 4859
4292 5652
4292 4321
4292 5345
4292 5497
37870 4104
65512 4548
16589 4465
65512 4851
65512 5808
16589 3946
16589 4821
65512 3904
65512 6762
16589 3885
16589 4017
65512 3877
55324 4993
52235 5236
10127 3990
55324 3763
55324 12367
16777 10830
52235 6151
52235 6704
10127 3915
10127 4875
55324 6121
55324 3824
55324 4207
16777 3741
16777 5844
52235 5650
52235 4035
52235 4074
52235 6166
52235 3803
10127 3823
16777 3828
16777 3763
52235 6472
16777 6113
16777 4384
16777 9095
52235 4755
16777 5258
52235 3763
52235 3852
16777 4800
10127 5512
10127 4239
55324 3848
10127 5236
10127 5458
10127 4184
10127 6497
55324 3770
10127 3818
10127 3902
55324 3896
55324 4820
10127 5197
52235 4112
9280 3924
29197 5718
55324 6636
63642 3917
52235 4003
16777 3740
38564 4787
63642 5099
63642 4938
52235 6205
52235 5440
10127 5295
16777 10705
21609 3997
29197 3997
52235 6338
29197 4530
38564 3993
38564 5330
63642 4974
63642 5303
63642 4538
63642 3982
55928 3994
16777 5024
16777 5225
52235 4059
52702 4210
9280 3781
9280 6135
16777 4734
38564 3954
38564 4046
16777 3873
63642 5000
38564 5355
23715 4049
10127 3941
55324 4886
10127 8010
55324 3864
21609 4898
21609 6419
29197 3920
29197 3845
29197 5766
12913 5229
63642 9701
63642 3953
27484 4565
20006 5254
38564 5204
10127 3807
57325 3878
27484 3837
27484 6054
12913 5631
12913 4031
55928 3907
12913 3974
12913 5018
55928 5187
55928 3942
21609 3888
21609 3985
21609 6510
21609 3961
29197 3962
29197 3917
52702 3978
52702 7444
9280 6979
9280 3950
9280 4241
57325 3868
57325 7951
57325 4273
57325 4239
57325 6458
27484 3821
27484 4146
27484 4219
27484 13972
21609 3647
29197 3857
21609 6367
29197 5144
12913 5417
21609 3838
57325 4173
57325 3962
27484 5300
27484 5248
57325 4060
22956 4565
23715 4888
23715 7574
52235 4088
16777 6732
16777 4611
52235 4099
16777 8961
16777 5759
52235 4086
52702 4147
52702 5027
9280 5223
9280 3850
16777 4348
16777 6863
52235 4341
59813 4109
20006 4373
20006 5999
16777 5713
52235 3831
16777 5294
16777 5869
52235 3947
52702 3865
52702 6596
52702 3956
52702 3840
9280 3903
9280 3894
16777 6809
16777 4475
52235 6331
16777 6699
16777 6580
52235 5744
29197 6331
52235 4237
38564 4086
28589 4141
28589 4930
52702 4123
21609 4977
21609 5191
29197 4606
21609 4046
29197 3900
22956 4889
22956 6727
23715 4341
23715 3926
23715 4079
23715 4958
16777 5259
16777 4389
16777 6735
52235 3892
52235 5185
59813 5228
59813 5410
20006 5800
20006 5245
20006 4357
20006 6300
63642 4380
23326 3918
23326 5207
23326 6800
23326 4230
28589 3936
28589 4429
21609 4850
16777 5194
23326 3956
28589 4100
23326 3891
22956 6428
23715 3918
22956 4191
22956 3832
59813 3892
59813 7430
20006 3872
59813 3891
23715 4210
59813 4117
20006 4096
20006 4925
59813 3323
59813 3856
20006 4113
28589 5167
22956 5268
59813 4014
22956 3826
22956 4872
59813 5432
22956 5436
22956 3831
23715 3840
22956 4045
23715 4124
22956 6190
52235 4212
16777 3970
16777 4238
16777 6235
52235 4355
16777 3880
16777 4002
52235 4636
16777 5729
52235 5161
16777 5088
16777 2073
52235 3884
16777 1530
52235 4119
52235 3978
16777 3870
37870 3952
65512 3952
28589 4409
1856 4244
29197 4055
23715 3962
9280 4945
55324 4983
52235 4826
55928 4654
63645 4023
63642 3963
27484 3820
20006 3951
5231 3936
63645 3862
38564 3989
63642 3929
38564 3908
63642 3933
57325 6709
27484 4109
16589 4944
65512 3861
16589 5843
65512 5351
4292 3938
4292 3854
37870 2287
21609 4010
29197 4020
16777 4599
52235 3838
10127 3849
55324 3820
12913 4072
55928 3824
23326 4050
23326 4759
28589 12408
13356 12608
1856 8141
52702 6454
9280 5249
59813 3940
20006 3913
22956 3838
23715 3830
33988 3907
46588 4575
33988 4535
33988 3848
56472 4135
42659 3810
56472 2028
42659 4969
42659 6479
42659 2594
56472 3907
56472 2096
56472 448
56472 79
42659 2354
42659 5133
56472 2010
42659 2592
47217 4124
64625 4326
30998 4026
47217 3831
35094 4103
64625 3912
47217 4948
64625 4348
30998 4136
35094 736
35094 3186
64625 4700
30998 1559
47217 3914
56472 3861
64625 5182
47217 2269
64625 4001
64625 4278
35094 4118
64625 4985
30998 4259
47217 5709
35094 3554
64625 3773
35094 2502
64625 3872
56472 72
42659 2011
42659 233
64625 3916
56472 3765
35094 3987
35094 8141
35094 5254
64625 6865
35094 4193
35094 363
64625 4193
35094 4366
35094 1189
64625 5391
35094 4201
35094 4067
64625 1551
56472 3780
56472 3849
35094 3927
42659 3952
42659 1677
48361 4118
25080 5876
48361 5350
48361 5275
25080 5083
25080 5129
25080 931
48361 4286
35094 1253
64625 5693
35094 5576
35094 2513
64625 3915
35094 2582
64625 3860
35094 4617
35094 3423
64625 5755
35094 4422
64625 4409
35094 2545
64625 4761
56472 4539
35094 4721
35094 2809
64625 4988
35094 5691
35094 2497
35094 2614
64625 4143
48361 4404
35094 2531
64625 3877
35094 8259
64625 5216
35094 4895
25080 4347
48361 4341
25080 6623
25080 5448
48361 4282
25080 5868
25080 4622
48361 4513
25080 4310
25080 4268
25080 4437
48361 4411
25080 5301
25080 7159
25080 6813
25080 2853
48361 5192
25080 6700
25080 4178
25080 5481
48361 5149
25080 4213
25080 4492
25080 4044
48361 3779
52206 3934
13886 3721
13886 4945
52206 4697
25080 4342
35094 4373
35094 5369
64625 4173
35094 177
35094 4093
64625 4158
35094 4211
64625 3970
35094 4225
35094 5375
64625 5239
35094 1587
64625 4284
35094 6578
35094 4389
64625 4576
35094 4387
35094 4260
64625 4869
52206 6728
52206 444
13886 3717
35094 101
35094 782
35094 2066
64625 3848
13886 1728
13886 4961
56472 1732
42659 5108
52206 2490
13886 2072
52206 4067
52206 4392
52206 4570
52206 1218
52206 5645
13886 5226
52206 6902
52206 4323
13886 4481
52206 4433
52206 4184
13886 5055
52206 246
13886 4044
52206 4199
52206 4168
13886 4008
61085 3335
32062 4671
32062 3882
64625 2367
36344 3857
30937 4075
30937 5714
35094 4467
64625 5503
35094 5342
61085 4208
35094 3940
60921 5611
60921 4279
60921 4372
60921 4128
49368 1957
32062 6688
36344 2372
36344 2592
30937 1781
35094 43
35094 4292
64625 3946
35094 4342
64625 3833
35094 833
35094 2034
64625 3762
35094 2137
64625 4366
60921 4935
49368 5314
36344 4450
30937 4071
60921 4426
49368 4195
32062 2019
32062 46
56472 3812
56472 4139
53016 3972
42659 3802
61085 2350
32062 5568
61085 4218
32062 4209
61085 4170
32062 3960
61085 4183
61085 4320
32062 4144
32062 1425
61085 5611
61085 4189
61085 4406
32062 2413
61085 4159
61085 4277
32062 4162
32062 4812
61085 5525
61085 4192
32062 4107
32062 3948
61085 4238
32062 3776
61085 4176
32062 3865
61085 474
32062 4061
32062 4803
61085 5585
32062 4170
61085 4182
61085 4403
32062 3761
32062 3825
61085 4171
61085 322
32062 6608
61085 4543
32062 3934
61085 3959
32062 4375
61085 4279
32062 4059
61085 4131
61085 5399
32062 5334
42659 4100
8409 4112
56536 3872
51419 3849
61085 4344
61085 4699
32062 4154
61085 4317
61085 5451
32062 4236
61085 5751
61085 4778
61085 4331
32062 4128
61085 4371
32062 4227
61085 4292
61085 5227
61085 5657
32062 5662
61085 7195
32062 7091
61085 4666
61085 4470
61085 4380
32062 4171
61085 7319
61085 4417
32062 4275
61085 4581
32062 4422
61085 4478
61085 4260
32062 4020
61085 5456
61085 5681
32062 5901
41403 5290
56536 4076
61085 4384
61085 4462
32062 4391
12730 4298
8409 3794
56536 4857
8409 4397
20926 4039
51419 4854
51419 5922
61085 4375
61085 5119
32062 4764
56822 6791
53016 6698
53016 4450
41403 4833
12730 3899
20926 4064
41403 5285
41403 2109
56536 5601
12730 5075
12730 13498
56536 11912
8409 11913
20926 2689
20926 5345
51419 2778
8409 3956
56536 3917
51419 3793
8409 4352
56536 2554
56536 3882
56472 4085
41403 1546
56536 2062
20926 4992
51419 3814
20926 5717
51419 5315
41403 3858
20926 423
51419 3855
51419 4054
20926 2302
51419 2327
12730 4076
8409 3854
12730 4252
8409 5126
12730 1586
8409 4794
12730 3910
8409 331
41403 4307
41403 6005
41403 256
41403 4447
56536 4331
41403 4387
41403 4086
56536 3879
41403 5568
41403 1563
41403 5504
56536 11057
56822 1234
56822 6521
56822 5076
53016 129
53016 1458
53016 1689
56472 3875
56472 3948
42659 3877
56822 35
53016 3908
53016 3875
42659 4113
60054 4261
56822 4274
27593 4908
