flow_ID proc_time
6377 5590
902 5989
6377 4408
6377 4703
902 3941
902 15316
6377 5958
902 6688
902 4333
6377 4261
6377 5130
902 7057
902 2844
6377 1167
902 4286
6377 4107
61675 3851
25474 4893
61675 5821
61675 4035
25474 4760
25474 7203
61675 4210
61675 5465
25474 4223
25474 7135
61675 4743
61675 6516
25474 3858
25474 4076
61675 4037
25474 3909
61675 5208
25474 6617
61675 3926
18666 3931
899 3904
18666 3914
18666 5233
899 5329
899 8388
18666 4571
18666 7012
899 3950
899 7043
18666 3959
18666 6409
899 4376
899 6319
18666 3904
899 4488
18666 5871
899 4925
18666 5018
49386 3899
41856 4042
49386 4388
49386 4312
41856 3933
41856 7743
49386 3934
49386 3956
41856 3909
41856 6459
49386 3908
49386 6375
41856 3918
41856 4100
49386 4347
49386 3940
41856 3968
49386 3864
30955 5006
50049 3846
30955 7994
30955 4252
50049 4103
50049 7666
30955 4355
30955 4066
50049 4387
50049 4171
30955 5289
30955 5423
50049 4426
50049 6867
30955 3860
30955 3817
50049 4819
30955 5093
20717 3883
25480 3921
20717 3902
20717 4736
25480 4988
25480 7669
20717 4652
20717 4057
25480 3914
25480 5073
20717 5230
20717 5062
20717 5531
25480 530
25480 6364
20717 6718
25480 4024
20717 3945
25480 4203
20717 3900
59628 3794
905 5043
59628 5345
59628 4241
905 4329
905 7379
59628 3957
59628 4346
905 3773
905 3950
59628 5252
59628 5285
905 3811
905 6476
59628 4163
59628 7319
905 3799
59628 3717
24812 3974
41866 3948
24812 4837
24812 5833
41866 3956
41866 7773
24812 4475
24812 5313
41866 3806
41866 6812
24812 4081
24812 6310
24812 3952
41866 5051
41866 5888
41866 3994
24812 387
55533 3898
50059 3878
55533 4901
55533 6573
50059 3867
41866 4082
24812 3877
50059 7473
55533 5283
55533 4150
50059 4195
50059 4325
55533 3870
55533 4074
50059 3939
50059 5167
55533 404
12527 3771
41871 4184
12527 3963
50059 3965
55533 3817
12527 6588
41871 4656
41871 7276
12527 4027
12527 4197
41871 3851
41871 4008
12527 5528
12527 5320
12527 6385
41871 228
41871 5317
12527 5854
12527 4181
35054 3820
50062 3758
35054 3829
35054 5421
50062 5155
41871 4014
12527 3750
50062 7367
35054 3914
35054 4901
50062 3867
50062 5300
35054 3876
35054 6307
50062 3898
50062 3936
35054 3803
35054 6652
238 3867
25485 6195
238 4538
238 4504
25485 3755
50062 4947
35054 3944
25485 7625
238 4491
238 4044
25485 3851
25485 6303
238 4897
238 5006
25485 4755
25485 5192
238 3824
238 4010
25485 3774
238 3729
47343 5221
908 5116
47343 4425
47343 4171
908 3995
908 7217
47343 3946
47343 4018
908 3809
908 5334
47343 3876
47343 6895
908 4176
908 6412
47343 3802
47343 3822
37091 3837
41885 3835
37091 3808
37091 6738
41885 4501
908 4091
47343 3761
41885 7148
37091 3798
37091 5274
41885 3819
41885 3938
37091 4825
37091 5425
37091 4798
41885 3677
41885 5073
41885 3763
37091 268
10466 3722
50076 4661
10466 3812
10466 5506
50076 3864
41885 3761
37091 3826
50076 8949
10466 5502
10466 3750
50076 3698
50076 4811
10466 3931
10466 5604
50076 3665
50076 6158
10466 3864
10466 3783
41186 3714
25503 3689
41186 3687
41186 6941
25503 4254
50076 3690
10466 3591
25503 7594
41186 5278
41186 5842
25503 3729
25503 3889
41186 3760
41186 6122
25503 4203
25503 6633
41186 3741
25503 6454
41186 3956
25503 6401
41186 3678
25503 8162
41186 4592
25503 6600
41186 3677
25503 6749
41186 4118
25503 6418
41186 3695
25503 6508
41186 3846
25503 6767
41186 5385
25503 6401
41186 1939
25503 3649
41186 3714
6371 4695
926 5219
6371 3725
6371 4260
926 3703
926 7691
6371 5832
6371 4377
926 4352
926 5139
6371 3809
6371 6324
926 3705
6371 6234
926 3671
926 4593
6371 5362
926 5001
6371 3841
926 3845
6371 3640
61665 3797
25498 3699
61665 3723
61665 6769
25498 4101
25498 8473
61665 5908
61665 3855
25498 5113
25498 5244
61665 3685
61665 6109
25498 3688
25498 4160
61665 3745
25498 3638
61665 4658
25498 5060
61665 3667
18656 3682
923 3646
18656 3699
18656 4131
923 5360
923 7923
18656 5946
18656 4469
923 3734
923 6129
18656 3655
18656 4822
923 5124
923 3725
18656 3669
923 4122
18656 3794
923 4147
18656 4789
49376 5148
41880 3639
49376 3696
49376 3936
41880 3796
41880 7121
49376 5059
49376 3726
41880 3745
41880 6219
49376 3746
49376 3847
41880 4631
41880 5522
49376 3641
49376 3809
41880 4796
49376 4976
30945 3692
50073 3755
30945 4367
30945 3964
50073 3704
50073 7113
30945 4248
30945 3722
50073 3685
50073 5410
30945 5015
30945 3889
30945 6151
50073 3690
50073 3855
50073 4296
30945 3699
30945 3746
20711 4653
25488 5028
20711 3625
20711 4420
25488 3670
50073 3661
30945 5074
25488 7364
20711 4435
20711 3833
25488 3688
25488 6174
20711 3754
20711 3822
25488 4768
25488 5186
20711 707
59622 3658
913 4686
59622 5069
59622 3968
913 3658
25488 3634
20711 3657
913 7273
59622 3650
59622 3797
913 4259
913 6221
59622 3615
59622 3804
59622 6102
913 3676
913 4092
913 3755
59622 3702
59622 5207
24806 4981
41874 3666
24806 3649
24806 4407
41874 3770
913 4791
59622 5072
41874 7365
24806 5065
24806 3765
41874 4730
41874 6244
24806 3806
24806 7085
41874 3856
41874 3776
24806 3762
41874 3655
24806 5234
41874 5196
24806 3647
55527 6023
50067 3740
55527 327
50067 3795
50067 7169
55527 9
50067 3742
50067 6291
55527 3689
55527 6227
55527 3795
50067 4191
50067 3642
50067 6079
55527 3685
50067 3672
55527 3645
50067 3634
55527 3681
12517 4183
41879 4786
12517 3963
12517 5427
41879 3676
41879 7585
12517 242
41879 3645
41879 3793
12517 3670
12517 6275
41879 3723
41879 6240
12517 3699
12517 3665
41879 3677
12517 3612
35044 3746
50070 3740
35044 4664
35044 5350
50070 3655
50070 7407
35044 4087
35044 6092
50070 3665
50070 3785
35044 3807
35044 6423
35044 3913
50070 1302
50070 5028
35044 3720
50070 3670
35044 4433
50070 3759
35044 4843
228 3742
25493 4924
228 3764
228 4003
25493 3690
25493 7449
228 4313
228 3706
25493 4228
25493 4980
228 5006
228 3853
25493 3652
25493 6257
228 4366
25493 3678
228 3741
25493 3687
228 4237
47333 4674
916 5054
47333 4235
47333 3987
916 4392
916 6864
47333 3728
47333 4460
916 3785
916 5218
47333 5140
47333 3824
916 3852
47333 6198
916 3755
916 4809
47333 5079
916 3807
47333 3799
916 3639
47333 3690
20712 3672
25476 3792
20712 4686
20712 5395
25476 4115
25476 7651
20712 5150
20712 6017
25476 3678
25476 3767
20712 4305
20712 6341
25476 3646
25476 6266
20712 3757
25476 3724
20712 3634
25476 4251
20712 3810
59625 3646
901 3755
59625 4668
59625 5490
901 3809
901 7675
59625 5591
59625 5941
901 4093
901 4721
59625 3775
59625 6312
901 3703
59625 6285
901 3662
901 3843
59625 3727
901 3717
59625 4674
901 4867
59625 5177
24809 3685
41862 3684
24809 4184
24809 3967
41862 4851
41862 7174
24809 4639
24809 3745
41862 3798
41862 6727
24809 3680
24809 5378
41862 5123
41862 3815
24809 3788
24809 3654
55528 3738
50055 4680
55528 4448
55528 5213
50055 3796
41862 3691
24809 3604
50055 7354
55528 4667
55528 3781
50055 4112
50055 3799
55528 4723
55528 5139
50055 3664
50055 6054
55528 3633
55528 3659
50055 3706
55528 3681
12522 3741
41859 4687
12522 3760
12522 5379
41859 5211
41859 8161
12522 6066
12522 4755
41859 5064
41859 3871
12522 4518
12522 6179
41859 4550
41859 4811
12522 4163
12522 5198
41859 3827
12522 3636
35051 3650
50050 3650
35051 3685
35051 6760
50050 3771
50050 7231
35051 4434
35051 3945
50050 4846
50050 5157
35051 3755
35051 6132
35051 3881
50050 4528
50050 3822
50050 6200
35051 3787
50050 3817
35051 3969
50050 4316
35051 3709
235 3655
25473 4807
235 5029
235 4049
25473 3680
25473 7052
235 5245
235 3853
25473 3645
25473 3772
235 6207
235 5173
25473 3828
25473 6137
235 4199
235 3643
25473 3644
235 3710
47338 4157
896 3638
47338 4651
47338 5744
896 3718
896 7340
47338 4233
47338 6084
896 3672
896 3793
47338 3702
47338 6201
47338 4325
896 352
896 4169
47338 3670
47338 3650
37100 3699
41865 3706
37100 3703
37100 6251
41865 3793
896 3699
47338 3641
41865 7254
37100 3945
37100 3894
41865 3787
41865 3785
37100 4736
37100 5691
41865 3655
41865 6148
37100 3827
37100 3653
10477 3666
50056 3784
10477 3744
10477 6212
50056 3820
41865 3639
37100 3638
50056 7301
10477 5405
10477 5586
50056 3837
50056 3944
10477 3670
10477 6160
10477 4737
50056 3680
50056 5162
50056 3722
10477 685
41197 3726
25483 3765
41197 4699
41197 5227
25483 3673
50056 3702
10477 3699
25483 7304
41197 3647
41197 4339
25483 3676
25483 4931
41197 5082
41197 3783
25483 3633
25483 6120
41197 3711
25483 3662
41197 3669
25483 4017
41197 5063
6380 3684
906 4761
6380 5208
6380 3988
906 3686
906 7086
6380 3925
6380 4987
906 3636
906 3960
6380 4324
6380 6629
906 3884
906 6160
6380 4260
6380 3674
906 3629
6380 3643
61678 3702
25486 3643
61678 4821
61678 5455
25486 4351
25486 6933
61678 3745
61678 4791
25486 4965
25486 3907
61678 3677
61678 6296
61678 3786
25486 2014
25486 5179
61678 3736
25486 3701
61678 4670
25486 5020
61678 3862
18671 3664
911 3767
18671 3641
18671 4127
911 4520
911 6825
18671 3761
18671 3941
911 3740
911 4766
18671 5065
18671 5023
911 3885
911 5161
18671 4500
18671 4140
49391 3729
41868 4684
49391 5037
49391 3944
41868 3843
911 3649
18671 3576
41868 7192
49391 3960
49391 4415
41868 3676
41868 6204
49391 3834
49391 3881
41868 3751
41868 6052
49391 3668
49391 3720
30958 3689
50061 4236
30958 3961
30958 6276
50061 3654
41868 3655
49391 3730
50061 7331
30958 3651
30958 5080
50061 3779
50061 3837
30958 3682
30958 6147
50061 3802
50061 4765
30958 393
50061 3680
30958 3725
20726 3656
25516 3663
20726 4134
20726 6266
25516 3702
25516 3068
20726 4752
25516 6140
20726 3674
20726 6182
25516 4108
25516 3831
20726 3852
20726 3740
25516 3704
20726 5065
59639 3721
941 4981
59639 5368
59639 3953
941 3712
941 7135
59639 5430
941 3779
941 4909
59639 4943
59639 4243
941 3719
941 6196
59639 889
941 5569
59639 3621
24823 3675
41902 3639
24823 3750
24823 7320
41902 5563
41902 7929
24823 6395
24823 3690
41902 4148
41902 6300
24823 3741
24823 6136
24823 4926
41902 3779
41902 5023
41902 3778
24823 3661
41902 3683
24823 3669
41902 3664
24823 4720
55542 5067
50095 3865
55542 3851
55542 4095
50095 3778
50095 7207
55542 5843
55542 3877
50095 3667
50095 6798
55542 3806
55542 3812
50095 4696
50095 5296
55542 3720
55542 3730
50095 4110
55542 3641
12532 4752
41899 5130
12532 3721
12532 4129
41899 3804
41899 8083
12532 6362
12532 3910
41899 4046
41899 4808
12532 5689
12532 3864
12532 6283
41899 3708
41899 3679
41899 3729
12532 3827
12532 3691
35061 4701
50090 5018
35061 4115
35061 4529
50090 4151
41899 4421
12532 4683
50090 8029
35061 6431
35061 3749
50090 3717
50090 6153
35061 3768
35061 3931
50090 4646
50090 5257
35061 3670
35061 3664
245 3794
25513 5982
245 3720
245 4097
25513 3825
50090 3690
35061 3738
25513 7748
245 5794
245 3709
25513 3709
25513 6115
245 3667
245 3906
245 6234
25513 359
25513 5196
245 3701
245 4248
47348 3642
936 3711
47348 3624
47348 6327
936 4474
25513 3812
245 3598
936 7261
47348 5911
47348 5722
936 3693
936 3806
47348 4761
47348 5165
936 3654
936 6147
47348 3812
47348 4500
37106 3815
41889 3641
37106 3686
37106 6239
41889 3628
936 3793
47348 3595
41889 7564
37106 6325
37106 5417
41889 3777
41889 3896
37106 4055
37106 6620
37106 4492
41889 945
41889 3786
37106 3653
37106 3672
10483 3796
50080 3649
10483 4843
10483 5485
50080 4162
41889 3698
37106 3756
50080 8087
10483 6149
10483 4207
50080 3674
50080 4878
10483 5124
10483 3979
50080 4088
50080 6897
10483 3996
50080 6438
10483 6191
50080 6584
10483 5197
50080 6434
10483 5240
50080 7821
10483 5894
50080 7128
10483 5726
50080 6769
10483 5195
50080 6440
10483 5012
50080 6515
10483 3693
50080 6555
10483 5228
50080 6473
10483 3730
50080 6677
10483 6401
50080 6547
10483 3694
50080 6809
10483 1257
50080 4959
10483 3737
41203 3733
25507 3704
41203 3760
41203 6296
25507 4577
25507 6824
41203 3686
41203 3811
25507 3745
25507 6170
41203 3806
41203 6603
25507 3648
41203 6644
25507 3748
25507 3732
41203 140
6386 4726
930 4978
6386 3649
6386 3953
930 4359
25507 3685
41203 3662
930 7324
6386 4407
6386 3698
930 3768
930 6154
6386 3671
6386 4811
930 5569
930 3827
6386 3668
930 3646
6386 3851
930 6125
6386 3664
61680 3663
25510 3710
61680 3695
61680 4031
25510 5180
25510 7285
61680 3955
61680 3737
25510 4060
25510 6136
61680 3724
61680 4875
25510 5005
61680 4030
25510 3748
25510 3778
61680 4646
25510 5074
61680 3783
25510 3810
61680 3678
18673 3893
935 3804
18673 3771
18673 6379
935 3779
935 7757
18673 5961
18673 4748
935 4985
935 3790
18673 3685
18673 6162
935 3640
935 4841
18673 765
935 3860
18673 3642
49393 3792
41892 3789
49393 3746
49393 6197
41892 4169
41892 7163
49393 5043
49393 3780
41892 4657
41892 5297
49393 3676
49393 6329
41892 3680
49393 3764
41892 3799
41892 6217
49393 3802
41892 3808
49393 4906
41892 3804
49393 3882
30960 3671
50085 4765
30960 5120
30960 4084
50085 3772
50085 7964
30960 5874
30960 5209
50085 4162
50085 3856
30960 4634
30960 5187
50085 3664
50085 6135
30960 3760
30960 4919
50085 3684
30960 3604
37117 3635
41909 3638
37117 4707
37117 5421
41909 3653
41909 7047
37117 3854
37117 6453
41909 3667
41909 3792
37117 4142
37117 6150
41909 3651
37117 6193
41909 3689
41909 3720
37117 3697
41909 3637
37117 5302
41909 5210
37117 3765
10492 3719
50100 4593
10492 3662
10492 5043
50100 6419
50100 6876
10492 5240
10492 3733
50100 3669
50100 6164
10492 3654
10492 4810
50100 5554
50100 3986
10492 3627
41212 4872
25527 5042
41212 3667
41212 4103
25527 3657
50100 3642
10492 4631
