flow_ID proc_time
6377 5401
902 5590
6377 4125
6377 4772
902 4047
902 13977
6377 5888
902 6432
902 4270
6377 8360
6377 4079
902 5066
902 5517
6377 3897
902 3931
6377 4452
902 3942
6377 3911
61675 3947
25474 3941
61675 4897
61675 5891
25474 4011
25474 5199
61675 4345
61675 4026
25474 3959
25474 4113
61675 4112
61675 6406
25474 3897
25474 3977
61675 4180
25474 6040
61675 3929
25474 3883
61675 5901
18666 4076
899 5247
18666 4238
18666 4968
899 6348
899 5660
18666 4619
18666 4009
899 5832
899 6602
18666 341
899 3957
899 1769
18666 111
899 583
18666 118
49386 4301
41856 4151
49386 901
41856 4873
41856 5039
49386 2857
41856 286
49386 803
41856 4117
41856 4454
49386 1413
41856 4441
49386 6551
30955 6431
50049 5387
30955 4248
30955 4344
50049 3987
50049 6687
30955 1367
50049 857
30955 3991
30955 4086
50049 3938
50049 4139
30955 1637
50049 3862
30955 4035
20717 4086
25480 4485
20717 4922
20717 5612
25480 3914
25480 5354
20717 4612
20717 4410
25480 3976
25480 4082
20717 4122
20717 4060
20717 5864
25480 7649
20717 3962
25480 7717
25480 4034
20717 4224
59628 3920
905 3887
59628 3931
59628 5467
905 3959
905 6797
59628 2559
905 4390
905 4223
59628 4463
59628 4262
905 4977
905 5890
59628 717
905 3917
59628 3915
24812 4085
41866 4143
24812 4108
24812 4281
41866 4193
41866 7622
24812 5465
41866 2239
24812 633
24812 411
41866 4822
41866 3914
41866 4021
24812 1459
55533 5340
50059 3808
55533 4014
55533 4219
50059 5147
41866 3893
24812 4011
50059 7585
55533 318
50059 4033
50059 5369
55533 95
50059 3919
50059 4060
55533 56
12527 3901
41871 4226
12527 4449
50059 15587
55533 14724
12527 12670
41871 8167
41871 5241
12527 4088
12527 4236
41871 4298
41871 4063
12527 3926
12527 5092
12527 5495
41871 1120
41871 4181
12527 4028
12527 4427
35054 3919
50062 3989
35054 781
50062 5339
41871 3961
12527 5227
50062 5316
35054 564
50062 4465
50062 4261
35054 387
50062 2646
35054 1123
238 4011
25485 3931
238 3947
238 4445
25485 5170
50062 3983
35054 4367
25485 5091
238 1481
25485 399
238 3994
238 4096
25485 3968
25485 4107
238 923
25485 4205
238 3917
47343 4383
908 4950
47343 1255
908 4760
908 4893
47343 332
908 1591
47343 4057
47343 4298
908 1305
47343 5027
47343 4195
37091 4028
41885 3914
37091 3959
37091 4374
41885 4188
908 4262
47343 5070
41885 6540
37091 1425
41885 3939
41885 4695
37091 3934
37091 4095
37091 8029
41885 1440
37091 2564
10466 4241
50076 4299
10466 4266
10466 4513
50076 6388
41885 4659
37091 3979
50076 6591
10466 177
50076 3952
50076 4215
10466 5057
10466 4085
50076 3986
50076 4033
10466 1486
41186 3990
25503 4924
41186 1640
25503 3943
50076 3944
10466 3879
25503 5551
41186 3915
41186 3969
25503 395
41186 4925
41186 6017
25503 3939
25503 4746
41186 4042
25503 4336
41186 6332
25503 5559
41186 3926
25503 6773
41186 4011
25503 4294
41186 4033
25503 4540
41186 3909
25503 6646
41186 4434
25503 6162
41186 3141
25503 6487
25503 7188
41186 4323
41186 4192
25503 3903
41186 4036
6371 4222
926 4088
6371 4515
6371 4563
926 6384
6371 317
926 3962
926 4026
6371 4069
6371 4552
926 6842
6371 4023
926 3804
926 3886
6371 720
926 3932
926 5430
6371 3966
61665 4006
25498 3952
61665 3973
61665 4393
25498 3928
25498 5197
61665 4058
61665 5144
18656 4086
18656 4410
923 6549
923 2609
18656 790
18656 4182
923 832
18656 5337
923 3781
18656 3939
923 4422
18656 4295
49376 4104
41880 3988
49376 3807
49376 4222
41880 4956
41880 4589
49376 4457
49376 4861
41880 1834
49376 2411
41880 3782
41880 3939
49376 3919
49376 3952
41880 4392
49376 7915
30945 1004
50073 6138
30945 101
50073 4573
50073 514
30945 5422
30945 4196
30945 543
50073 3666
30945 1153
25488 3889
20711 1819
25488 5392
50073 3964
30945 3834
25488 5740
20711 1644
25488 4085
25488 4032
20711 4671
20711 7066
25488 3037
20711 1051
59622 4497
913 4030
59622 1144
913 4004
25488 4201
20711 3853
913 5202
59622 1976
913 4408
913 4397
59622 3952
59622 693
913 2791
913 429
59622 1550
24806 4402
41874 3919
24806 4935
24806 5281
41874 4086
913 5105
59622 3991
41874 9470
24806 2425
41874 3925
41874 4319
24806 208
41874 222
24806 3938
41874 5417
24806 4065
41874 3955
24806 4051
12517 4886
12517 4146
41879 4051
41879 4130
12517 104
41879 3953
41879 4088
12517 4953
12517 6255
41879 4199
12517 3843
35044 4068
50070 3845
35044 4099
35044 4967
50070 4018
50070 5143
35044 4997
35044 5558
50070 4028
50070 4060
35044 3949
35044 1869
50070 25
50070 388
35044 4121
50070 4073
35044 4784
50070 3875
35044 5309
228 3842
25493 3992
228 4709
228 4158
25493 4329
25493 4861
228 635
25493 3850
25493 5054
228 337
25493 3830
25493 4178
228 3938
25493 4133
228 4135
25493 3899
228 3898
47333 3976
916 4913
47333 2118
916 5111
916 5336
47333 346
916 3932
916 7658
47333 4729
916 1275
916 4260
47333 3960
916 3958
47333 4106
916 3952
47333 4419
20712 4148
25476 5055
20712 1472
25476 4065
25476 5516
20712 507
25476 4403
25476 4096
20712 4847
20712 5094
25476 5301
25476 5056
20712 6147
25476 3999
20712 3937
25476 4597
20712 4038
59625 4184
901 4385
59625 85
901 3925
901 6437
59625 1072
901 4470
901 4106
59625 162
901 3783
59625 4003
901 1619
59625 5158
901 3823
59625 3840
901 3802
59625 3805
24809 3820
41862 3832
24809 594
41862 3817
41862 6101
24809 4071
41862 3908
41862 4179
24809 383
41862 3946
41862 4310
24809 1143
55528 4135
50055 4874
55528 382
50055 4176
41862 4106
24809 4906
50055 5509
55528 648
50055 3899
50055 5093
55528 691
50055 4126
55528 856
50055 4570
55528 11742
12522 3569
41859 7315
12522 2299
41859 5498
41859 5064
12522 179
41859 3873
41859 3965
12522 3973
12522 4044
41859 3949
41859 4073
12522 598
41859 4074
12522 3884
35051 3930
50050 4298
35051 3933
35051 4454
50050 4036
50050 6334
35051 502
50050 4534
50050 4227
35051 65
35051 655
50050 3930
50050 3867
50050 3980
35051 7908
50050 3894
35051 5450
50050 3960
35051 4070
235 4127
25473 4111
235 858
25473 3952
25473 5901
235 623
25473 4408
25473 5323
235 26
25473 4016
25473 4060
235 153
25473 4097
235 4035
47338 4002
896 4837
47338 1309
896 3893
896 5254
47338 43
896 4092
896 6630
47338 935
47338 5123
47338 4078
47338 3970
37100 3911
41865 3896
37100 3889
37100 4426
41865 3917
896 5278
47338 4348
41865 6703
37100 5420
37100 5860
41865 1644
37100 1985
41865 3920
41865 5027
37100 1497
10477 4073
50056 3958
10477 3855
10477 4416
50056 3889
41865 6657
37100 4387
50056 6351
10477 603
50056 4130
50056 4038
10477 4102
10477 1100
50056 1050
50056 537
10477 6
41197 4041
25483 5281
41197 4251
41197 4220
25483 4462
50056 4169
10477 3891
25483 5184
41197 588
25483 1017
41197 3996
41197 4108
25483 543
41197 3950
25483 6937
41197 3941
25483 4215
41197 3919
6380 3912
906 4870
6380 1438
906 4097
906 5119
6380 491
906 3944
906 4273
6380 35
906 3934
906 5475
6380 3825
6380 3961
906 4058
61678 3986
25486 4119
61678 3982
61678 4279
25486 5174
25486 6539
61678 1397
25486 3923
25486 4289
61678 2020
61678 4169
25486 719
25486 986
61678 2367
25486 7950
61678 5250
18671 3834
911 3858
18671 4012
18671 4350
911 4945
911 6463
18671 3803
18671 4443
49391 4209
49391 4743
41868 270
49391 4692
49391 3914
30958 3916
50061 3915
30958 890
50061 4392
41868 3897
49391 3830
50061 5287
30958 589
50061 4172
50061 4246
30958 3945
30958 5187
50061 5529
50061 4423
30958 717
50061 4268
30958 6884
20726 3857
25516 3923
20726 3779
20726 4146
25516 4862
25516 6287
20726 283
25516 4051
25516 3934
20726 5144
20726 4068
25516 4251
25516 5102
20726 3834
20726 5201
25516 3798
20726 3783
59639 3983
