flow_ID proc_time
0 0
27757 6354
45686 3852
27757 4768
27757 4009
45686 3989
45686 13007
27757 6156
27757 0
45686 3950
45686 4212
27757 3947
27757 4023
45686 4949
45686 5168
27757 498
45686 4290
27757 6191
54380 3969
53879 3979
54380 4591
54380 5881
53879 10866
53879 5690
54380 3892
54380 4179
53879 3987
53879 4208
54380 4498
54380 5243
53879 4450
53879 8257
54380 4627
53879 4435
54380 3888
53879 3971
54380 4111
15470 4492
45683 3894
15470 542
15470 0
45683 4007
45683 5270
15470 3968
15470 4007
45683 4098
45683 4058
15470 3942
15470 5300
45683 1668
45683 0
15470 4654
15470 3877
45683 4009
15470 6822
33903 4518
53874 4915
33903 5217
33903 4750
53874 3861
53874 5324
33903 3994
33903 3930
53874 4088
53874 5065
33903 5297
33903 4014
53874 3923
53874 4052
33903 4504
33903 3929
53874 3890
33903 3877
3183 4515
29297 4861
3183 132
3183 0
29297 3925
29297 7439
3183 713
29297 786
29297 0
3183 4095
3183 4085
29297 6365
3183 1685
29297 4908
3183 5737
46190 5019
4720 3887
46190 4158
46190 4367
4720 4029
4720 5131
46190 3889
46190 4942
4720 5303
4720 4261
46190 3878
46190 4470
46190 4194
4720 3985
4720 3905
4720 4146
46190 4446
4720 5041
46190 5874
4720 4208
46190 3883
40040 4162
45689 4127
40040 3898
40040 4589
45689 4011
45689 7727
40040 417
40040 0
45689 4033
45689 4048
40040 3903
40040 4088
45689 4928
45689 5176
40040 6071
45689 3912
40040 4559
45689 3948
40040 4150
9321 4135
53880 4146
9321 4017
9321 5223
53880 3894
53880 6411
9321 352
9321 0
53880 3973
53880 4300
9321 4107
9321 4227
53880 5620
9321 5368
53880 4813
53880 3993
9321 427
44137 3928
29307 6407
44137 4755
44137 4422
29307 4966
53880 5519
9321 3967
29307 5522
44137 4040
44137 4000
29307 3866
29307 4190
44137 5096
44137 4048
29307 5203
29307 4269
44137 3988
44137 4251
29307 4175
44137 3859
5224 3931
4730 4397
5224 4228
5224 5276
4730 5262
4730 5239
5224 17
5224 0
4730 4137
4730 4259
5224 3992
5224 5087
5224 5423
4730 1923
4730 0
4730 3930
5224 3918
4730 4070
5224 4457
4730 4205
5224 5637
64618 5297
29310 4457
64618 4321
64618 4226
29310 3930
29310 5151
64618 4959
64618 4050
29310 4947
29310 5362
64618 3938
64618 4053
29310 3888
29310 4022
64618 639
64618 0
17515 4277
4735 4033
17515 3931
17515 5433
4735 5299
29310 5848
64618 3880
4735 5058
17515 1696
17515 0
4735 4078
4735 5452
17515 5341
17515 3933
4735 3961
4735 3948
17515 3812
17515 4322
4735 4425
17515 3880
52331 3877
45692 5060
52331 529
52331 0
45692 3917
45692 7635
52331 4218
52331 5437
45692 4881
45692 4065
52331 5088
52331 4212
45692 4378
45692 4018
52331 3948
52331 3924
45692 5016
52331 5311
29802 4046
53885 3901
29802 416
29802 0
53885 4009
53885 6158
29802 3925
29802 5347
53885 4653
53885 4050
29802 4569
29802 4026
29802 5060
53885 105
53885 0
53885 5282
29802 1155
23666 3919
29276 4026
23666 4108
23666 4385
29276 4028
53885 3995
29802 3926
29276 7529
23666 5010
23666 4489
29276 4158
29276 4082
23666 3997
23666 4018
29276 4320
29276 5231
23666 2351
23666 0
58483 4076
4701 3931
58483 4898
58483 4410
4701 4706
29276 4118
23666 3853
4701 7628
58483 4558
58483 3978
4701 3918
4701 4188
58483 3985
58483 4203
4701 4746
4701 6662
58483 4477
4701 4332
58483 3933
4701 6705
58483 3907
4701 4401
58483 4588
4701 4327
58483 3969
4701 6737
58483 3865
4701 4273
58483 4011
4701 6684
58483 6398
4701 4314
58483 4185
58483 3902
4701 6802
58483 3941
4701 4750
58483 3910
4701 4330
58483 5780
4701 5648
58483 990
58483 0
4701 3995
58483 3939
27763 3904
45662 3899
27763 3928
27763 5394
45662 5989
45662 6500
27763 486
27763 0
45662 3947
45662 4240
27763 3951
27763 5090
45662 6528
27763 4266
45662 3945
45662 4047
27763 890
54386 4248
53855 3928
54386 3923
54386 5535
53855 3979
45662 5808
27763 3996
53855 5355
54386 4113
54386 8751
53855 5136
53855 0
54386 0
53855 3943
54386 3946
54386 3903
15472 4505
45659 5085
15472 5366
15472 4447
45659 3836
53855 3956
54386 4038
45659 5900
15472 4126
15472 3915
45659 5423
45659 5282
15472 413
15472 0
45659 5058
45659 3988
15472 3921
15472 3870
45659 4329
15472 3849
33905 5007
53850 5272
33905 4515
33905 4372
53850 3924
53850 5433
33905 310
33905 0
53850 5086
3185 4336
4696 5268
46192 659
46192 0
4696 3946
4696 4250
46192 3907
46192 4422
4696 4086
4696 4022
46192 1145
40054 4895
45649 5716
40054 276
40054 0
45649 3872
4696 4094
46192 3894
45649 5101
40054 4029
40054 3972
45649 4915
45649 5398
40054 4826
40054 4111
40054 3983
45649 120
45649 0
45649 4164
40054 5016
45649 5264
40054 4018
45649 4139
40054 3956
9335 3997
53840 4056
9335 4069
9335 4593
53840 4559
53840 7765
9335 4065
9335 3976
53840 4703
53840 4159
9335 4915
9335 6456
53840 4197
53840 4454
9335 1010
9335 0
53840 3960
9335 3872
44151 3849
29267 4306
44151 3895
44151 4431
29267 3911
29267 7579
44151 3943
44151 3966
29267 4537
29267 4068
44151 3991
44151 4536
44151 5162
29267 345
29267 166
29267 0
44151 4358
44151 4808
5238 3929
4690 3923
5238 3817
5238 4532
4690 4040
29267 5173
44151 5338
4690 8680
5238 1499
5238 0
4690 4414
4690 4092
5238 3884
5238 4331
4690 4706
4690 4172
5238 2480
64628 5205
29270 3918
64628 4515
64628 4903
29270 4420
4690 4003
5238 4123
29270 6306
64628 5223
64628 4161
29270 3922
29270 4329
64628 4647
64628 4086
64628 3976
29270 4521
29270 5080
29270 5369
64628 4145
64628 4239
17525 4152
4695 6789
17525 3924
17525 4359
4695 3914
29270 3869
64628 4842
4695 7016
17525 4796
17525 4003
4695 3893
4695 4053
17525 3976
17525 4100
4695 5465
4695 5816
17525 390
17525 0
4695 3967
17525 3884
52341 3941
45652 3960
52341 4130
52341 5570
45652 4027
45652 6870
52341 4626
52341 4187
45652 3928
45652 4044
52341 4036
52341 4255
52341 5781
45652 2606
45652 0
45652 4197
52341 3886
52341 3903
29812 4928
53845 4234
29812 4046
29812 5223
53845 3958
45652 5396
52341 3950
53845 5361
29812 3892
29812 3967
53845 3917
53845 4526
29812 4993
29812 5389
53845 3915
53845 3980
29812 3940
29812 4255
53845 3931
29812 4390
40057 3905
45637 4417
40057 4916
40057 5604
45637 5427
45637 4706
40057 4221
40057 6698
45637 3938
45637 4074
40057 5205
40057 5290
40057 4129
45637 340
45637 0
45637 4011
40057 3759
40057 3869
9336 3845
53828 3820
9336 4874
9336 5537
53828 4517
45637 3808
40057 3805
53828 4722
9336 4072
9336 3868
53828 3945
53828 5288
9336 5309
9336 4177
53828 3910
53828 4168
9336 4052
53828 4263
9336 4127
53828 3992
9336 5115
44152 6085
29255 6181
44152 3881
44152 4329
29255 4021
29255 5530
44152 4106
44152 4128
29255 3928
29255 5181
44152 5541
44152 4191
29255 3935
29255 4083
44152 4083
29255 3934
44152 5385
29255 3960
44152 5503
5241 5827
4678 3915
5241 4277
5241 4669
4678 4031
4678 5340
5241 4017
5241 3985
4678 4882
4678 6552
5241 3958
5241 5041
4678 3932
4678 8257
5241 6324
4678 4111
5241 4576
4678 3960
5241 3929
17530 4128
4675 3939
17530 4077
17530 5900
4675 5467
29250 4883
64635 4320
4675 5136
17530 3012
17530 0
4675 3930
4675 4250
17530 4956
17530 5409
4675 4615
4675 4006
17530 4011
4675 4566
17530 4046
4675 3887
17530 3997
52346 4043
45632 5480
52346 6375
52346 4144
45632 4159
45632 5419
52346 244
52346 0
45632 3928
45632 4284
52346 5091
52346 5536
45632 3944
45632 4005
52346 4715
52346 3960
45632 4142
52346 5148
29819 5411
53825 6380
29819 4117
29819 4385
53825 3885
53825 5245
29819 595
29819 0
53825 12
53825 0
29819 4405
29819 4302
53825 4240
29819 4033
53825 472
29819 3902
53825 3935
29819 3929
53825 5168
29819 4431
23677 5340
29256 3969
23677 4599
23677 4590
29256 3855
29256 7049
23677 2602
23677 0
29256 3835
29256 5452
23677 1410
29256 2088
29256 0
23677 4259
29256 3837
23677 5524
29256 3895
23677 4351
58492 3929
4681 4023
58492 4881
58492 5579
4681 3919
4681 5135
58492 0
4681 4102
4681 4037
58492 3950
58492 4347
4681 5539
58492 5610
4681 72
4681 0
58492 4748
4681 4137
58492 3926
4681 3902
58492 4077
53835 3878
54397 7367
15487 5285
45647 3887
15487 4409
15487 4351
45647 4050
45647 5362
15487 558
15487 0
45647 3955
45647 4165
15487 394
15487 1363
45647 3934
45647 3860
45647 3953
15487 3915
15487 3932
45647 4052
15487 3889
33918 5046
53838 3971
33918 78
33918 0
53838 3967
53838 5127
33918 4152
33918 3998
53838 3974
53838 4019
33918 438
53838 780
53838 0
33918 3878
33918 3909
3198 3894
29261 3884
3198 3909
3198 4240
29261 4503
53838 4143
33918 5340
29261 6274
3198 1037
3198 0
29261 4111
29261 4013
3198 526
29261 3993
29261 4017
3198 4954
29261 5721
3198 4321
29261 3914
3198 5093
46207 3961
4684 4064
46207 4414
46207 4295
4684 3939
4684 6013
46207 303
46207 0
4684 1618
4684 0
46207 4012
46207 4183
4684 3
46207 4032
4684 4397
46207 4149
4684 5676
46207 3880
23630 5513
29196 4012
23630 4393
23630 4254
29196 4036
29196 5077
23630 1047
23630 0
29196 3917
29196 4624
23630 6056
23630 5521
29196 4500
29196 4587
23630 3909
29196 4792
23630 4021
29196 4056
23630 4229
58447 6281
4621 5294
58447 3880
58447 5813
4621 4059
4621 5105
58447 779
58447 0
4621 4431
4621 4086
58447 4070
58447 4074
4621 4567
58447 7422
4621 4597
4621 4262
58447 62
27727 3892
45582 3872
27727 125
27727 0
45582 4042
4621 3901
58447 5074
45582 7138
27727 3453
45582 4383
45582 4014
27727 3926
27727 4201
45582 1414
45582 0
27727 450
45582 4981
27727 3814
54350 5432
53775 3788
54350 4029
54350 4266
53775 3969
53775 5162
54350 1345
54350 0
53775 5580
53775 5435
54350 3802
54350 4022
54350 3968
53775 889
53775 0
53775 3873
54350 4199
53775 4330
54350 3975
53775 3943
54350 4929
15436 5118
45579 4417
15436 3825
15436 4489
45579 4748
45579 7177
15436 662
15436 0
45579 3830
45579 4941
15436 5142
15436 4201
45579 3840
45579 4016
45579 4872
15436 4190
15436 4128
33869 3977
53770 3778
33869 3811
33869 5252
53770 3788
53770 6479
33869 1666
33869 0
53770 3856
53770 4093
33869 3835
33869 3967
53770 3821
33869 4209
53770 508
53770 608
53770 0
33869 3791
33869 4263
3149 4028
29193 6461
3149 3821
3149 4270
29193 4839
29193 5851
3149 500
3149 0
29193 4880
29193 4001
3149 3856
3149 4125
29193 3865
29193 167
29193 0
3149 4013
3149 4887
46156 4009
4616 5439
46156 4898
46156 5494
4616 4060
4616 5508
46156 746
46156 0
4616 4021
4616 4030
46156 4086
46156 4006
4616 5129
46156 5373
4616 4048
4616 4003
4616 6977
46156 1942
40010 3924
45569 4372
40010 5043
40010 4170
45569 4110
45569 7722
40010 590
40010 0
45569 4569
45569 4576
40010 3940
40010 4146
45569 4273
45569 5446
40010 3972
