flow_ID proc_time
38758 5514
43409 10199
38758 9486
43409 7417
43409 13521
38758 14157
43409 6178
43409 4440
38758 9918
38758 469
43409 12465
38758 5579
12135 4412
51600 13812
12135 11422
43409 8201
38758 4083
12135 11532
51600 9830
51600 4490
12135 8316
51600 6746
12135 3122
12135 1179
51600 5660
12135 13232
42855 5001
27027 8209
42855 13072
27027 10965
51600 6699
12135 4948
27027 8248
42855 3037
27027 7556
42855 4719
27027 6548
42855 2334
27027 4533
42855 9338
42855 11407
8038 4126
2450 7768
8038 5757
2450 13103
2450 9507
8038 2268
2450 7228
2450 2972
8038 10723
2450 8180
8038 1228
2450 6585
8038 14575
63332 4908
27030 8644
63332 11425
27030 9835
27030 6143
63332 10127
27030 8153
63332 5897
63332 5522
27030 4986
63332 8863
27030 4318
63332 1390
27030 1415
63332 5808
20325 4190
2455 12017
20325 8979
20325 7181
2455 6997
2455 2860
20325 6646
2455 5730
20325 3049
20325 2459
2455 10522
2455 12534
20325 10301
51045 7198
43412 5077
51045 10261
43412 7193
43412 9976
51045 4069
51045 10818
43412 1515
43412 4023
51045 9945
51045 3077
43412 4344
51045 5179
43412 8669
43412 6380
51045 4108
32612 3631
51605 7262
32612 12364
51605 10836
51605 10554
32612 6608
32612 4040
51605 7871
38761 3872
43397 12607
38761 3664
43397 6938
38761 368
38761 5657
43397 4148
43397 3074
38761 8916
43397 3100
38761 632
43397 3697
38761 11248
43397 12712
12136 6449
51588 4480
12136 3380
51588 9661
51588 9907
12136 5869
12136 5047
51588 10029
12136 6183
51588 6582
12136 2277
51588 4026
12136 8804
51588 10894
42856 6846
27015 8025
42856 9813
27015 5783
27015 9948
42856 3192
42856 15591
27015 7168
42856 1233
27015 7101
42856 3568
27015 9556
42856 6738
8041 4074
2438 6624
8041 11526
2438 10189
8041 4048
8041 12360
2438 2759
2438 4385
8041 10884
2438 6101
8041 879
2438 2496
8041 7070
8041 11292
63339 4478
27010 8953
63339 11623
27010 9316
27010 5775
63339 3232
63339 3243
27010 2810
27010 8190
63339 5049
2435 6408
20330 5228
2435 6167
20330 3927
2435 10874
20330 9359
2435 6061
20330 5314
2435 210
20330 17855
2435 722
20330 6901
20330 13775
51050 6643
43392 11073
51050 7208
43392 13097
43392 14176
51050 5663
51050 9877
43392 2323
43392 2219
51050 9259
43392 4965
51050 9270
32619 651
51585 6024
32619 5693
51585 11710
43392 7560
51050 4464
51585 9388
32619 7545
51585 2362
32619 7959
51585 3847
32619 45
32619 13775
22381 5837
27016 10067
22381 12657
27016 10312
51585 9103
32619 5925
27016 10749
22381 4065
22381 3101
27016 6986
27016 1142
22381 4127
22381 2422
27016 11225
22381 9234
61292 6116
2441 4994
61292 2860
2441 9332
2441 11363
61292 4155
61292 8242
2441 11885
2441 582
61292 8053
2441 3632
61292 5964
2441 7912
26476 4136
43402 3392
26476 7299
43402 9881
26476 3640
26476 8837
43402 1829
43402 5940
26476 11177
26476 10502
43402 8213
26476 4342
43402 9363
26476 5808
57197 1581
51595 8964
51595 5055
51595 5626
57197 4180
57197 5183
51595 5654
51595 4938
57197 1288
51595 13699
57197 9720
14191 6170
43407 3872
14191 3162
51595 11677
57197 10462
43407 3232
14191 4076
14191 1055
43407 6655
43407 3722
14191 6544
43407 3080
14191 3981
36718 5267
51598 9011
36718 11118
51598 9873
43407 7446
14191 3921
51598 9206
36718 1874
36718 10954
51598 32
36718 9339
51598 3133
36718 4626
51598 8640
1902 6063
27021 8425
1902 6286
1902 5822
27021 9386
1902 2237
27021 11137
1902 7694
27021 6299
1902 3478
27021 4235
1902 7099
27021 3730
1902 7565
1902 8888
27021 10163
49007 7041
2444 4160
49007 2434
2444 11350
2444 5596
49007 9901
2444 3353
49007 4227
2444 2683
49007 5892
38775 4678
43437 10914
38775 7541
38775 10415
43437 8569
43437 6422
38775 11791
43437 4665
38775 6790
43437 721
38775 5209
38775 12252
43437 5916
43437 10322
38775 5739
12150 4034
51628 7643
12150 11168
51628 4193
12150 3380
51628 4401
12150 12438
51628 5486
12150 4189
51628 2610
51628 6484
12150 4528
42870 10414
27055 6636
42870 10258
27055 8208
27055 680
42870 4733
27055 7500
42870 3849
42870 4399
27055 1352
42870 10990
27055 3066
42870 7913
8055 1192
2478 1455
8055 5127
2478 10142
8055 493
8055 4750
2478 363
2478 369
8055 7388
2478 2587
8055 10949
63349 3232
27050 6583
2478 12297
8055 10986
63349 7276
27050 4024
27050 12640
63349 5306
63349 10081
27050 4026
27050 3318
27050 3248
63349 11847
63349 4309
27050 9491
20340 4013
2475 5754
20340 1051
2475 7869
27050 6548
63349 11626
2475 6126
20340 3095
2475 5197
2475 2405
20340 4863
20340 3919
2475 9785
20340 14287
51060 10680
43432 6504
51060 2092
43432 8183
2475 5409
20340 3979
43432 6741
51060 6397
51060 6090
43432 7007
43432 7256
51060 3454
43432 4195
51060 2882
51060 5939
43432 9596
32629 738
51625 6839
51625 6661
51625 9292
32629 3329
32629 16215
51625 7471
32629 5040
51625 4849
32629 8957
32629 3989
32629 7784
51625 10447
22387 5012
27040 5522
22387 3449
27040 5745
27040 10794
22387 4510
22387 4603
27040 3811
27040 5849
22387 4929
27040 8401
22387 5683
27040 5270
22387 10517
61298 7261
2465 883
61298 4508
27040 7051
22387 5679
2465 5334
61298 4603
61298 9825
2465 3078
2465 6709
61298 3317
2465 5473
61298 1390
26482 5751
43426 10212
26482 5356
43426 5003
43426 5333
26482 4401
43426 3806
43426 10690
26482 7334
43426 7828
26482 809
57203 4570
51619 12050
51619 5967
43426 10718
26482 9518
51619 3381
57203 7115
51619 5555
51619 118
57203 6530
51619 1443
57203 3922
14193 1053
43431 7722
43431 4719
51619 7328
57203 5749
43431 12782
14193 497
43431 4333
14193 7045
43431 2398
14193 4015
14193 12730
36720 4952
51622 10077
36720 10408
51622 8812
43431 6189
14193 3887
51622 13619
36720 6640
36720 278
51622 4924
51622 1531
36720 4963
36720 5165
36720 11984
1904 5987
27045 8641
1904 6175
27045 9009
51622 6774
36720 4621
27045 5525
1904 3351
27045 658
27045 7641
1904 4490
27045 1999
1904 6022
1904 7383
49009 137
2468 11878
2468 9418
2468 7671
49009 1879
49009 5639
2468 2133
49009 2351
2468 8196
49009 4766
2468 9716
49009 7085
22396 5427
27060 7855
22396 11519
27060 7857
27060 8374
22396 1146
22396 13226
27060 6429
61309 3675
2485 10154
2485 10149
61309 4780
61309 4052
61309 12638
2485 5763
2485 6374
61309 2197
2485 8242
61309 3009
26493 11948
43446 7988
26493 3109
43446 8775
2485 4767
61309 15476
43446 10613
26493 7677
26493 9669
43446 2900
43446 1710
26493 7299
43446 5990
26493 10138
57212 2504
51639 6189
43446 13774
26493 11950
57212 7433
51639 4058
51639 6996
57212 1519
57212 10942
51639 3416
51639 2878
51639 4870
57212 9711
57212 5700
51639 11717
14206 4809
43443 1491
14206 5243
51639 10114
57212 9838
43443 5954
14206 7093
43443 5774
43443 5079
14206 9792
14206 4284
43443 1332
14206 6043
14206 13141
36735 6716
51634 10492
36735 7776
51634 3732
36735 4639
51634 3097
51634 2099
36735 4208
51634 5130
36735 10062
36735 1250
1919 2380
27057 6796
27057 5220
1919 2016
1919 2844
27057 4033
49022 6634
2480 6020
49022 6121
2480 4008
2480 11958
49022 4509
49022 11023
2480 2025
2480 6400
49022 2981
2480 7883
49022 7067
49022 13829
38776 11888
43449 7635
38776 299
43449 5390
2480 4251
49022 13174
43449 7595
38776 150
38776 12735
43449 4565
43449 276
38776 6028
43449 10015
38776 5049
12153 4032
51640 5469
12153 8861
43449 6709
38776 11905
51640 7645
12153 3517
12153 6081
51640 2136
12153 1796
51640 5134
51640 11146
12153 3477
42873 3792
27067 11344
27067 13435
51640 10989
12153 7435
27067 7157
42873 2287
27067 6374
42873 4540
8056 1502
2490 12760
2490 9940
2490 15753
8056 6451
27070 5829
63354 1872
27070 792
63354 6478
27070 3852
63354 7770
20347 672
2495 4390
20347 13561
2495 2276
20347 2504
2495 7447
2495 2548
2495 2816
20347 10753
20347 5076
2495 11359
51067 3939
43452 3790
51067 7845
2495 12709
20347 11221
43452 6726
51067 6237
43452 5695
51067 8298
43452 4925
43452 9665
51067 7349
43452 5376
51067 6596
43452 2311
51067 6283
32634 2050
51645 11873
51645 967
32634 3122
32634 8625
51645 5448
51645 3998
32634 9685
32634 3912
51645 2377
32634 6512
32634 11718
38731 3528
43517 8362
38731 11352
43517 7940
43517 9635
38731 799
43517 4820
43517 5662
38731 4256
43517 7721
43517 1179
38731 5726
38731 5556
43517 13072
38731 8445
12106 4856
51708 3384
12106 6808
51708 10758
12106 4353
51708 1196
27135 5556
42826 4711
27135 2559
42826 6047
27135 2701
27135 3070
42826 9475
42826 4335
27135 57
42826 4539
42826 11305
8011 3958
2558 7549
8011 14727
2558 3358
8011 4972
2558 1074
2558 5780
8011 4006
2558 8297
8011 5314
2558 6342
8011 2591
2558 4919
8011 13697
63305 7555
27130 11651
63305 10736
27130 9518
27130 5397
63305 2348
27130 10557
63305 6025
27130 2784
63305 8410
27130 5748
63305 1653
27130 1675
63305 5755
63305 12313
20296 4672
2555 9348
20296 12418
2555 1150
20296 3224
2555 9198
2555 6402
20296 3756
2555 5774
20296 2328
2555 5644
20296 4042
51016 4969
43512 8947
43512 8248
51016 7486
32585 4110
51705 4994
32585 8085
51705 3949
51705 9184
32585 2285
51705 1298
32585 12831
51705 2369
32585 5279
51705 7636
51705 13654
32585 11547
51705 10307
32585 8849
51705 13775
32585 11713
51705 8710
32585 6889
51705 4581
32585 12727
51705 8548
32585 6100
51705 9254
51705 9949
32585 7378
51705 7480
32585 3057
51705 6265
32585 5787
22351 3813
27120 11604
27120 5746
27120 7476
22351 5174
22351 7243
27120 3156
22351 5044
27120 8716
22351 6232
27120 6504
22351 2539
27120 4120
22351 10542
27120 13249
61262 6077
2545 5887
43506 7577
26446 1410
43506 11107
26446 6355
43506 1518
43506 6669
26446 2659
43506 7519
26446 3809
43506 6420
26446 9594
57167 6920
51699 5658
57167 3892
57167 11632
51699 9796
51699 7217
57167 8219
51699 5321
57167 7994
51699 3190
57167 4262
51699 3858
57167 8608
57167 4229
51699 5755
14157 10639
43511 6315
14157 9568
43511 6185
43511 4228
14157 7800
14157 7588
43511 3683
43511 4933
14157 4839
43511 8550
43511 427
14157 4747
14157 6654
36684 7944
51702 10470
36684 4855
51702 2689
36684 4899
51702 10704
51702 2376
36684 7130
36684 4985
51702 6720
36684 3073
51702 10565
36684 9456
1868 2607
27125 6032
1868 12202
27125 874
1868 455
27125 6584
27125 4868
1868 11879
27125 3448
1868 18
27125 4155
27125 1476
1868 2948
48973 3383
2548 7181
48973 7466
2548 5916
2548 5696
48973 5486
2548 4003
2548 5124
48973 12350
2548 8152
48973 5175
2548 1837
48973 12872
2548 14526
22336 10921
27108 7044
22336 3557
27108 8748
27108 2077
22336 6076
22336 4312
27108 308
27108 2065
22336 8233
27108 3575
22336 6293
27108 3080
22336 14542
61249 1619
2533 11023
2533 4293
2533 6557
61249 5123
61249 9770
2533 5587
2533 3912
61249 1336
2533 5320
61249 1649
2533 14256
61249 11420
26433 3734
43494 7700
26433 12735
43494 11174
43494 5370
26433 212
43494 944
26433 11368
43494 3925
26433 6675
43494 2512
26433 3978
43494 8745
26433 4922
57152 1050
51687 4397
57152 2631
51687 7855
57152 3938
57152 3933
51687 1158
51687 4847
57152 5305
51687 8623
51687 670
57152 5688
57152 8003
14146 4594
43491 12710
14146 8609
14146 11236
43491 7719
43491 9661
14146 4715
14146 7279
43491 4176
14146 7738
43491 2812
14146 3917
43491 8076
14146 4902
43491 726
14146 5897
36675 3906
51682 4250
36675 8218
51682 11490
36675 4412
51682 784
36675 1103
51682 5285
51682 6889
36675 3099
51682 9754
36675 7914
1859 4279
27105 9718
1859 1447
27105 3983
27105 10476
1859 3395
27105 9014
1859 10882
27105 1575
1859 8885
27105 3516
1859 699
27105 5528
48962 2536
2528 9914
2528 4860
2528 7716
48962 5274
48962 3540
2528 9137
2528 939
48962 6230
48962 8580
2528 4923
48962 8214
2528 10376
38724 5725
43497 4087
38724 11332
43497 8549
43497 3752
38724 8492
38724 3963
43497 7599
43497 3397
38724 6787
43497 4187
38724 12215
43497 13475
12101 10464
51688 7539
12101 10189
51688 7215
51688 5977
12101 10633
12101 7459
51688 5088
51688 3408
12101 6060
51688 3661
12101 7988
12101 612
51688 5079
12101 318
42821 2898
27115 5180
42821 4697
27115 3582
42821 5989
42821 7049
27115 4528
27115 7298
42821 4049
27115 4090
42821 2999
27115 6847
8004 7460
2538 10039
8004 9149
2538 185
8004 5667
8004 10406
2538 9483
8004 8415
2538 5228
2538 8278
8004 5528
2538 6584
8004 4488
2538 1288
8004 5430
63302 2990
27118 11925
27118 7214
27118 3149
63302 6523
27118 1309
27118 10178
63302 9111
20295 7996
2543 13753
20295 146
2543 9261
2543 6256
20295 10029
20295 2989
2543 11607
2543 1234
20295 6359
20295 1038
2543 9076
20295 4683
51015 1730
43500 9474
43500 12210
43500 5820
51015 895
43500 2040
43500 2385
51015 7799
51015 8150
43500 3985
51015 3049
43500 5128
32582 8134
51693 4505
32582 3662
51693 7126
51693 1568
32582 4631
32582 5344
51693 2360
51693 4481
32582 5388
51693 8832
51693 7110
32582 4781
51693 5372
32582 4085
22366 6258
27084 9881
22366 10140
27084 79
27084 7580
22366 3102
27084 2166
22366 7670
22366 6727
27084 2473
22366 4092
27084 13435
22366 11840
61279 1966
2509 6588
61279 12686
2509 8141
61279 8223
26463 1435
43470 13301
26463 5215
43470 4312
26463 3957
26463 909
43470 6504
43470 4475
26463 2686
43470 4362
26463 243
43470 5798
57182 2731
51663 5101
57182 11766
51663 4504
57182 5970
57182 3852
51663 9153
51663 4001
57182 5629
51663 608
57182 5178
51663 1795
57182 4461
57182 4525
51663 9325
57182 7904
14172 4522
43467 5069
14172 8213
43467 11289
14172 4383
43467 1218
14172 830
43467 5447
43467 3258
14172 10345
14172 7162
43467 4580
14172 2164
36701 4652
51658 3656
36701 6568
51658 9969
36701 2317
51658 558
36701 6378
51658 2963
36701 4535
51658 5842
36701 3803
51658 2066
36701 5626
36701 4760
1885 250
27081 10110
27081 5571
1885 5452
27081 2370
27081 3536
1885 8750
1885 4267
27081 1347
2504 4185
48988 7985
2504 5195
48988 5175
2504 9215
38746 3925
43457 3327
38746 7168
43457 8653
38746 1142
43457 2080
38746 5325
43457 7977
38746 2360
43457 5222
43457 4802
38746 3109
43457 9044
38746 5035
12123 1752
51648 9880
51648 4727
12123 4488
12123 8102
51648 4200
12123 10190
51648 6398
51648 2443
12123 7195
51648 4049
12123 10022
51648 11278
42843 3858
27075 5255
42843 3554
27075 8556
27075 8341
42843 5500
42843 3852
27075 7848
27075 3746
42843 7870
27075 7598
42843 2791
27075 4934
42843 1310
27075 5595
8026 9114
2498 11310
8026 9682
2498 6367
2498 6277
8026 5175
8026 11430
2498 3160
8026 4582
2498 2573
8026 6570
2498 2909
8026 4289
2498 4983
8026 8603
8026 11585
63320 4434
27078 8143
63320 8483
27078 5808
63320 9226
27078 2787
2503 8826
20313 5231
20313 517
2503 4304
2503 7486
20313 4415
2503 6420
51033 8095
43460 5184
51033 9566
43460 8346
43460 4490
51033 9082
43460 7457
51033 4166
51033 8227
43460 3974
51033 7530
43460 3341
51033 6955
51033 11353
32600 5361
51653 8694
32600 7760
51653 13118
51653 7243
32600 4548
32600 4884
51653 8634
51653 3240
32600 6711
51653 1849
32600 10451
51653 6635
32600 7283
38741 8533
43477 11740
38741 2818
43477 5579
38741 3266
43477 3363
38741 8202
43477 5065
38741 7423
43477 11024
43477 1939
38741 8663
12116 5208
51668 3026
12116 7509
51668 1779
12116 5473
42836 3344
27095 9390
27095 3023
27095 961
42836 5331
42836 12800
8021 4917
2518 8515
8021 11418
2518 401
8021 3357
2518 3732
8021 1486
2518 9969
2518 5240
8021 7340
2518 5035
8021 257
2518 12083
63319 7836
27090 4227
63319 9099
27090 7400
27090 5749
63319 9141
27090 8798
63319 588
27090 2844
63319 10050
63319 6411
27090 2281
63319 13344
20310 310
2515 9555
2515 6318
2515 6716
20310 3275
20310 3140
2515 7638
2515 1789
20310 6229
2515 7121
20310 4957
2515 5808
20310 2697
2515 5422
20310 5141
2515 9360
20310 6315
2515 7267
20310 5497
2515 7097
20310 4840
2515 4674
20310 4264
2515 4402
20310 4082
20310 6351
51030 8449
43472 13087
