flow_ID proc_time
0 0
32259 4298
51937 4459
32259 5204
32259 5954
51937 3929
51937 12478
32259 6047
32259 0
51937 6311
51937 5182
32259 5374
32259 4061
51937 3981
51937 4050
32259 3945
32259 4039
22021 4118
27368 4004
22021 4027
22021 5399
27368 5290
51937 4039
32259 4151
27368 5172
22021 184
22021 0
27368 4637
27368 9551
22021 211
27368 91
27368 0
22021 4588
27368 4067
22021 4845
27368 3980
22021 6724
60932 4006
2793 4206
60932 5112
60932 6327
2793 4364
2793 5272
60932 4595
60932 4160
2793 4696
2793 4257
60932 3972
60932 5042
2793 4611
2793 5338
60932 4159
60932 6194
60932 3924
26116 3875
43754 4410
26116 52
26116 0
43754 6278
43754 5158
26116 4916
26116 5751
43754 4091
43754 4010
26116 4460
26116 4033
43754 4027
43754 4202
26116 437
43754 5351
26116 5247
56837 4059
51947 3942
56837 4571
56837 4283
51947 4001
51947 5125
56837 3950
56837 4918
51947 5360
51947 4020
56837 4560
56837 4198
56837 4139
51947 4076
51947 4030
51947 3982
56837 4180
56837 4889
13831 7762
43759 4369
13831 4134
13831 4599
43759 4476
51947 4938
56837 4063
43759 6294
13831 146
13831 0
43759 4299
43759 4154
13831 4021
13831 4124
43759 3922
43759 4009
13831 1947
36358 5308
51950 3898
36358 4593
36358 4422
51950 3941
43759 4027
13831 3816
51950 6777
36358 4100
36358 5293
51950 3942
51950 4078
36358 3980
36358 4101
36358 6956
51950 823
51950 0
51950 4025
36358 1526
36358 0
1542 5226
27373 4026
1542 3886
1542 4766
27373 4020
51950 3992
36358 3960
27373 6171
1542 704
1542 0
27373 4477
27373 4054
1542 4053
1542 4056
27373 3915
27373 4040
1542 3831
1542 5151
27373 4959
1542 5186
48647 3892
2796 3898
48647 4039
48647 4270
2796 4123
2796 5218
48647 7914
48647 7130
2796 4092
2796 4098
48647 3934
48647 4044
48647 4094
2796 155
2796 0
2796 4072
48647 1712
48647 0
38411 4246
43773 3900
38411 3986
38411 4521
43773 3945
