flow_ID proc_time
5704 4542
5626 4165
5704 6442
5704 4640
5626 3889
5626 14393
5704 6930
5626 6765
5626 4220
5704 3928
5704 4086
5626 3817
5626 4900
5704 8614
5626 5284
5704 3937
5626 3885
5704 4734
65098 3951
30206 4232
65098 10063
65098 5699
30206 4167
30206 7305
65098 266
30206 3858
30206 4029
65098 3851
65098 6399
30206 3841
30206 3839
65098 3847
30206 4942
65098 3977
30206 5260
65098 4620
17995 3963
5631 4863
17995 4531
17995 5102
5631 5692
5631 7375
17995 4755
17995 4014
5631 4100
5631 6397
17995 4041
17995 6539
5631 3875
5631 4262
17995 2387
5631 4282
17995 3851
52811 3925
46588 4390
52811 3921
52811 5504
46588 5270
46588 7577
52811 4658
52811 3973
46588 4515
46588 4045
52811 4091
52811 4075
46588 4093
46588 6442
52811 3936
52811 5413
46588 5239
52811 3872
30282 4326
54781 3983
30282 3983
30282 6626
54781 3885
54781 7160
30282 4582
30282 4009
54781 3712
54781 6423
30282 4180
30282 9545
30282 5259
54781 273
54781 3972
30282 257
24146 4175
30172 3872
24146 4910
24146 5831
30172 3930
54781 3950
30282 3867
30172 7588
24146 5107
24146 3968
30172 4052
30172 5006
24146 6379
24146 4109
30172 4496
30172 6558
24146 3714
24146 4400
58963 3895
5597 3927
58963 4074
58963 6758
5597 3800
30172 3801
24146 3847
5597 10641
58963 2093
5597 7981
5597 4139
58963 4806
58963 5319
58963 5061
5597 98
5597 4042
58963 4247
58963 3816
28243 3844
46558 5132
28243 6094
28243 4094
46558 4842
5597 3934
58963 3734
46558 7404
28243 4264
28243 4155
46558 3749
46558 6402
28243 4484
28243 3996
46558 5230
46558 5453
28243 294
46558 4242
28243 6182
54866 3783
54751 5318
54866 5114
54866 4227
54751 3888
54751 8218
54866 3526
54751 3906
54751 3999
54866 4098
54866 3940
54866 4168
54751 1845
54751 3930
54866 3895
54866 3796
15952 3836
46555 3937
15952 3806
15952 6448
46555 4508
54751 3847
54866 3760
46555 6986
15952 4927
15952 5218
46555 3863
46555 3992
15952 4157
15952 8700
46555 5206
46555 4513
15952 679
34385 5073
54746 3815
34385 3956
34385 6774
54746 3958
46555 3848
15952 3728
54746 7238
34385 1449
54746 4083
54746 6269
34385 4011
34385 6434
54746 4551
54746 4035
34385 3909
34385 4779
54746 3796
34385 4739
3665 5406
30169 3821
3665 3807
3665 4307
30169 3927
30169 7227
3665 5026
3665 6423
30169 3963
30169 5005
3665 6292
3665 4070
30169 4955
30169 6376
3665 3939
3665 3871
30169 3914
3665 3892
46672 6212
5592 4093
46672 4151
46672 4199
5592 5386
5592 7463
46672 443
5592 4122
5592 5136
46672 5235
46672 4002
46672 6354
5592 494
5592 4006
46672 288
40534 4915
46545 5171
40534 3956
40534 9829
46545 4720
5592 3957
46672 4081
46545 7810
40534 1523
46545 4084
46545 6525
40534 4372
40534 5674
46545 4592
46545 5078
40534 213
9815 3842
54736 3788
9815 3697
9815 6627
54736 3720
46545 3738
40534 3624
54736 8248
9815 6717
9815 3693
54736 4497
54736 3799
9815 4779
9815 5301
54736 3688
54736 6516
9815 4431
54736 8689
9815 5975
54736 6419
9815 3756
54736 6533
9815 4148
54736 4190
9815 3697
54736 6555
9815 4108
54736 6884
9815 4966
54736 6515
9815 4228
54736 6446
9815 3832
54736 6415
9815 1960
54736 3689
9815 3641
44631 3673
30163 3741
44631 4766
44631 5946
30163 3807
30163 7376
44631 5259
44631 5713
30163 3682
30163 3961
44631 3714
44631 6926
30163 3845
44631 6364
30163 3865
30163 6088
44631 4451
30163 4156
44631 3759
30163 4097
44631 3652
5718 3823
5586 3663
5718 4683
5718 5498
5586 3696
5586 7279
5718 4916
5718 6122
5586 3647
5586 3921
5718 3643
5718 6932
5586 3830
5586 3734
5718 3653
5586 6125
5718 3837
5586 3759
5718 4461
65108 3757
30166 3674
65108 3654
65108 7388
30166 3788
30166 7143
65108 5582
65108 4751
30166 5303
30166 3766
65108 3868
65108 6238
30166 3811
30166 4010
65108 3702
65108 3928
30166 6009
65108 3664
18005 3773
5591 3633
18005 3685
18005 4325
5591 4819
5591 7772
18005 5822
18005 3886
