flow_ID proc_time
14203 4426
43455 4097
14203 3854
14203 11804
43455 9675
43455 12804
14203 4408
43455 3945
43455 11557
14203 2183
43455 4013
43455 4033
14203 4901
43455 5124
14203 5820
43455 5194
14203 5835
36730 4081
51646 3858
36730 11014
51646 7254
51646 7565
36730 3889
36730 6817
51646 9656
36730 5442
36730 4127
51646 4849
51646 5394
36730 4152
36730 12671
1914 3851
27069 7651
1914 4291
27069 6364
51646 3938
36730 4983
27069 8617
1914 1016
27069 3934
27069 4069
1914 3786
1914 4739
27069 10884
1914 3444
27069 3996
1914 3869
49019 3838
2492 4056
49019 4932
2492 7655
2492 6461
49019 4256
49019 13850
2492 10348
2492 4085
49019 3871
49019 5082
2492 5494
2492 11652
49019 5654
2492 3909
49019 3806
38755 3956
43421 3992
38755 4344
38755 11634
43421 8720
43421 7596
38755 5346
38755 1207
43421 6364
38755 4054
43421 4439
43421 5619
38755 993
43421 6325
12130 6218
51612 3863
12130 3824
12130 11710
51612 10505
51612 7602
12130 3942
12130 4108
51612 5390
51612 12672
12130 7627
12130 5183
51612 2462
51612 4053
12130 10086
42850 8010
27039 4428
42850 3989
42850 5475
27039 3952
51612 12531
12130 11240
27039 5256
42850 408
27039 3900
27039 4413
42850 8337
27039 874
42850 3875
42850 3943
8035 8891
2462 11597
27039 5113
42850 5185
8035 4356
2462 3895
2462 8526
8035 3058
2462 4323
2462 5260
8035 3931
8035 5540
8035 7629
2462 3660
2462 4355
8035 4130
8035 3964
63329 3885
27034 4754
63329 7559
27034 3953
2462 3912
8035 3680
27034 6300
63329 12831
27034 2396
63329 4852
63329 3950
27034 3819
27034 1732
63329 5690
63329 4786
20320 4059
2459 5163
20320 3784
20320 11950
2459 10076
2459 4981
20320 3932
20320 4151
2459 5561
2459 6306
20320 4259
2459 3855
2459 3958
2459 3957
20320 11368
51040 8333
43416 4070
51040 527
43416 4045
2459 4580
20320 12018
43416 5382
51040 5304
51040 3916
43416 4207
43416 4154
51040 7040
43416 766
51040 216
32609 4087
51609 5844
32609 1414
51609 7761
43416 3848
51040 3834
51609 6041
32609 8762
51609 613
32609 4065
32609 4041
51609 3884
