flow_ID proc_time
19005 10247
59494 6917
19005 6810
59494 3819
19005 6687
59494 3899
19005 6566
19005 6591
19005 14040
19005 6512
19005 6729
19005 6598
59494 3743
19005 6956
19005 6539
19005 6506
59494 3751
19005 6981
59494 3940
19005 6519
19005 6569
19005 6511
19005 6606
59494 3803
19005 6897
19005 6662
19005 7229
59494 3790
19005 6532
59494 7329
19005 6696
19005 6543
19005 6542
19005 6964
19005 6736
59494 3748
19005 6790
19005 6590
19005 7019
59494 3861
19005 8809
19005 6899
19005 6731
19005 4169
19005 6485
59494 3791
19005 6509
19005 6869
19005 6556
59494 4798
19005 6654
19005 6616
19005 6600
59494 3739
19005 6637
59494 3811
19005 6624
19005 6570
19005 6584
19005 6556
59494 3775
19005 6666
19005 6710
19005 6821
19005 6502
59494 3982
19005 6563
19005 6561
19005 6510
19005 6526
19005 6638
59494 3733
19005 9177
59494 5964
19005 6695
19005 6737
19005 6631
19005 6727
59494 4107
59494 4082
59494 3904
59494 3915
19005 6668
19005 6632
19005 6792
19005 7123
19005 6803
59494 109
59494 566
59494 3875
59494 3769
19005 6527
19005 6523
19005 6645
19005 6628
59494 586
59494 3784
59494 3821
19005 6462
19005 6845
59494 3899
59494 4106
19005 8541
19005 6635
59494 1928
19005 6747
19005 7468
19005 6233
19005 6773
19005 6801
59494 4087
59494 4001
59494 3801
59494 22
19005 6957
19005 6513
19005 6846
19005 6608
19005 6656
19005 6679
19005 6638
19005 7105
59494 150
59494 7
59494 3762
59494 3964
19005 6509
19005 6579
19005 6655
19005 6520
59494 3921
19005 9256
59494 5985
19005 6519
19005 6563
59494 3843
19005 6532
19005 6606
19005 6626
19005 6679
59494 4813
19005 6767
19005 6755
59494 3906
19005 6784
19005 6605
19005 6508
19005 6520
59494 3753
19005 6625
19005 6562
59494 3797
19005 6537
19005 6634
59494 4040
19005 6556
19005 6792
59494 4064
19005 6610
19005 6577
59494 5851
19005 8013
19005 6794
59494 6731
19005 6771
19005 6835
59494 3841
19005 6754
19005 6654
19005 7186
19005 6649
59494 4138
19005 7107
19005 6733
19005 6706
19005 6687
19005 6646
19005 6641
19005 6653
59494 3910
19005 6715
19005 7197
59494 5571
19005 6671
19005 7087
59494 5146
19005 6662
19005 6957
59494 5254
19005 7120
59494 4647
19005 6699
59494 3965
19005 6642
19005 6581
59494 5313
19005 9634
19005 7308
59494 5387
19005 6598
19005 6658
19005 6601
19005 6935
59494 5301
19005 6418
19005 7536
59494 5496
19005 6631
19005 7312
59494 5580
19005 6723
19005 7084
19005 7226
59494 5592
19005 6651
19005 6675
19005 6738
59494 5331
19005 6848
59494 5158
19005 7635
59494 5516
19005 7004
19005 6495
59494 3905
19005 6673
19005 6627
19005 9106
59494 7918
19005 6604
19005 6658
59494 5547
19005 6622
19005 6520
19005 6531
19005 6956
19005 6539
19005 7112
59494 5102
19005 6595
19005 7120
59494 5234
19005 6690
19005 7070
59494 5705
19005 6585
19005 6689
59494 5330
19005 6674
19005 6580
59494 5084
19005 6713
59494 5638
19005 6547
19005 6535
59494 4451
19005 6773
59494 5198
19005 7714
19005 6549
59494 5076
19005 7027
19005 7105
59494 5102
19005 6424
19005 6375
19005 6532
59494 5059
19005 6421
19005 6426
19005 6685
59494 5077
19005 6446
19005 6848
59494 5205
19005 6424
19005 6725
59494 5051
19005 6854
19005 6856
59494 5426
19005 6476
19005 6375
19005 7026
59494 4999
19005 6535
59494 5059
19005 6436
19005 6978
59494 5060
19005 8571
19005 6404
19005 6947
59494 5188
19005 6401
19005 6417
19005 6368
19005 6643
59494 4957
19005 6350
19005 6370
19005 6423
19005 6396
19005 6379
19005 6371
59494 5116
19005 6492
19005 6506
19005 6469
19005 6642
59494 5057
19005 6486
19005 6449
19005 6429
19005 6372
19005 6376
19005 6385
19005 6881
59494 5175
19005 6451
19005 6374
59494 4873
19005 7050
19005 7246
59494 5444
19005 6437
19005 6505
19005 6462
59494 6309
19005 6668
19005 6439
19005 6417
19005 6468
19005 6387
19005 6796
59494 5071
19005 6378
59494 6004
19005 6392
19005 7629
59494 5997
19005 6354
19005 6401
19005 6505
19005 6559
19005 6409
19005 6394
19005 6471
59494 5117
19005 6443
59494 3602
19005 6412
19005 6459
59494 5135
19005 6999
19005 6372
19005 6487
19005 6462
59494 6047
19005 6461
19005 6483
19005 6406
19005 6537
19005 6467
19005 6427
19005 6402
59494 5085
19005 6518
59494 5066
19005 6476
19005 6536
59494 6311
19005 6484
19005 6508
59494 6273
19005 6393
19005 6662
59494 4985
19005 6355
19005 6396
19005 6508
19005 6492
59494 6135
19005 6453
19005 6568
59494 6389
19005 7019
19005 6580
59494 6337
19005 6386
19005 6383
59494 6105
19005 6394
19005 6380
19005 6431
59494 5042
19005 6442
19005 6937
59494 5108
19005 6548
19005 6616
19005 6940
59494 5209
59494 3662
19005 6438
59494 5261
19005 6420
19005 6898
59494 5280
19005 6539
59494 6290
19005 7023
59494 5147
19005 6542
19005 6364
59494 5492
19005 6399
19005 6540
19005 7634
19005 6519
59494 6173
19005 6404
59494 6179
19005 6364
19005 6993
59494 5299
19005 6416
19005 6370
19005 6425
59494 5412
19005 6409
19005 6390
19005 6422
19005 6407
19005 6416
59494 5382
19005 6860
19005 6631
59494 6365
19005 6417
19005 6391
59494 4880
19005 6529
59494 5075
19005 6399
19005 6791
59494 5192
19005 7042
59494 4918
19005 6423
59494 3647
19005 7255
19005 7273
59494 5390
19005 6397
19005 6476
19005 6458
19005 6839
59494 5066
19005 6537
59494 6165
19005 6832
19005 6929
59494 5207
19005 6559
59494 6239
19005 6356
19005 6779
19005 6959
59494 4930
19005 6374
19005 6428
19005 6372
19005 6901
59494 4921
19005 7218
19005 6389
59494 6034
19005 6411
19005 6580
59494 6128
19005 6377
19005 7076
19005 6411
59494 6162
19005 6384
19005 6387
19005 6396
19005 6405
59494 4039
19005 6489
19005 6783
59494 5090
19005 6351
19005 6401
19005 6406
59494 6199
19005 6983
59494 5087
19005 6422
19005 6394
19005 6439
19005 6387
19005 6775
19005 6376
19005 6531
19005 6512
19005 6715
19005 6393
19005 6378
19005 6785
59494 5174
19005 6687
19005 6408
59494 5281
19005 6924
19005 6414
19005 6406
59494 6019
19005 6449
19005 6387
19005 6769
19005 6943
59494 5064
19005 6401
19005 6491
19005 6404
59494 6247
19005 6414
19005 6407
59494 6273
19005 6366
19005 6422
59494 6076
19005 6473
19005 6808
19005 6365
19005 6599
19005 6476
19005 6404
59494 4964
19005 6479
19005 6737
59494 6552
19005 6551
19005 6954
19005 6405
59494 4900
19005 6396
19005 6556
59494 6397
19005 6346
19005 6402
19005 7047
59494 4898
19005 6376
19005 6397
19005 6514
19005 6711
59494 5084
19005 6383
19005 6412
19005 6422
19005 6419
19005 6406
59494 4869
19005 6350
19005 6835
59494 5189
19005 6376
19005 6413
19005 6428
59494 5395
19005 6335
19005 6384
19005 6353
19005 6407
59494 6246
19005 7094
19005 6693
59494 5783
19005 6391
19005 6579
19005 6460
19005 6492
19005 6411
59494 5238
19005 6413
19005 6399
19005 6908
59494 5378
19005 6848
19005 6934
59494 5264
19005 7831
19005 6594
59494 5020
19005 6581
19005 7156
19005 6574
19005 6348
19005 6914
59494 4939
19005 6406
19005 6848
19005 6342
19005 6822
59494 5078
19005 6434
19005 6980
19005 6422
19005 6790
19005 6895
19005 6385
19005 6966
59494 5183
19005 6412
19005 6526
59494 5077
19005 6509
19005 6372
19005 6782
59494 5165
19005 6452
19005 6578
19005 6581
59494 6312
19005 6459
19005 6855
19005 6854
59494 6302
19005 6804
19005 6771
59494 5095
19005 6526
19005 6651
19005 6358
59494 6172
19005 6557
59494 5269
19005 6407
19005 7361
19005 6845
59494 5195
19005 6432
59494 6231
19005 6389
19005 6768
59494 4932
19005 6749
19005 6415
19005 6396
19005 6381
19005 6451
19005 6497
19005 6509
59494 3565
19005 6392
19005 6388
19005 6411
19005 6526
59494 5066
19005 6414
59494 649
19005 6391
19005 6368
19005 6430
19005 6417
19005 6400
59494 4821
19005 6412
59494 3645
19005 7808
59494 5686
19005 6387
19005 6856
59494 6504
19005 6523
19005 6362
19005 6606
59494 5016
19005 6832
59494 4952
19005 10122
19005 6569
19005 6395
19005 6577
59494 6140
19005 6400
59494 6116
19005 6424
19005 7017
59494 5288
19005 6394
19005 6358
19005 6438
19005 6488
19005 6418
19005 6849
59494 6734
19005 6523
19005 6354
19005 6516
59494 5101
19005 7128
19005 6390
19005 6397
59494 5150
19005 6372
19005 6393
19005 6379
59494 4886
19005 6467
19005 6439
19005 6603
59494 5149
19005 6770
