flow_ID proc_time
37568 11966
15622 4986
37568 537
15622 2785
37568 14538
37568 2513
15622 252
37568 2526
15622 752
37568 10169
15622 2427
15622 4944
37568 90
15622 14070
47338 9647
44951 7673
44951 9637
47338 7077
44951 13353
47338 6969
44951 9006
47338 3130
44951 4115
44951 1371
47338 10885
44951 5481
50377 5064
7635 5423
50377 5274
50377 870
7635 4290
7635 5786
50377 3047
50377 2532
50377 2229
7635 8597
7635 2756
50377 5063
50377 6165
7635 4180
44951 4956
47338 3638
47338 9368
7635 3015
50377 8105
15622 2397
37568 3732
37568 7926
44951 4019
7635 3888
15622 10335
50377 1228
44951 4031
44951 12820
47338 11802
15622 6074
37568 723
37568 5378
7635 5393
44951 4398
15622 2419
15622 3883
15622 958
37568 7306
15622 723
37568 3790
25501 9751
12449 1256
25501 4001
12449 2155
25501 8822
12449 1055
25501 287
12449 10456
12449 5957
25501 3239
12449 3873
12449 3858
7635 12147
50377 4182
50377 4124
50377 7779
12449 12425
25501 6906
15622 4074
15622 3933
37568 6773
44951 4331
47338 1590
47338 2443
7635 1714
7635 2293
12449 7193
15622 6479
44951 2357
7635 2395
50377 3732
44951 1561
47338 13246
7635 11130
50377 7528
44951 1547
47338 3789
7635 10636
50377 10662
44951 2135
47338 6697
44951 1017
47338 1725
12449 1974
25501 5973
7635 4935
50377 13311
15622 8782
37568 5961
25501 3908
50377 12337
37568 8683
44951 7644
12449 7635
7635 6126
15622 10622
44951 4400
47338 3793
47338 3873
7635 5322
50377 4287
12449 10221
25501 1007
25501 4399
15622 3009
37568 206
37568 6972
44951 6951
7635 5610
12449 858
15622 1964
15622 692
37568 3994
15622 3143
37568 354
12449 4970
25501 3898
15622 2901
37568 11994
12449 10071
25501 5575
15622 7906
37568 4897
12449 524
25501 6875
44812 2607
64672 6635
44812 5340
64672 3824
64672 180
44812 1969
44812 999
44812 5472
64672 803
64672 6341
44812 1542
64672 4499
44812 11671
64672 8146
44951 331
47338 4775
47338 3011
47338 4059
64672 4036
15622 4271
64672 5295
44812 11266
37568 9275
12449 1511
25501 3868
44812 7067
25501 5513
37568 4451
7635 11750
50377 528
50377 2492
44951 1480
44951 850
64672 5954
12449 4026
15622 14020
7635 1953
44951 4183
44951 7002
47338 3582
7635 119
50377 3550
7635 5311
44951 6973
47338 4088
7635 4185
7635 13216
50377 8707
44951 6239
47338 11129
7635 3285
50377 7156
44951 5136
44951 6349
47338 5192
7635 11909
50377 8476
54303 5381
15320 4054
54303 3350
54303 8830
15320 2449
54303 609
54303 1082
15320 3208
15320 1430
54303 3826
15320 1055
54303 946
15320 5040
15622 4213
15622 7528
37568 584
44951 4250
47338 4900
64672 4233
12449 4457
12449 12850
25501 9366
44812 11062
7635 3564
50377 548
15320 4160
15622 12412
44951 7299
64672 5423
12449 3985
44951 15156
15320 13695
15622 804
15622 4941
15622 9481
12449 3079
12449 3883
64672 4104
12449 32191
64672 35203
15622 1744
37568 6679
7635 9383
15622 3697
37568 6031
15622 17172
12449 3694
37568 12297
25501 693
15622 5930
15622 5325
37568 3376
64672 3802
12449 1990
25501 13534
64672 10363
44812 10384
15622 2109
37568 6671
15622 619
37568 5399
12449 121
12449 6614
25501 4239
64672 4312
44812 7124
39267 7484
19126 4826
19126 8024
39267 6412
19126 11808
39267 758
19126 601
19126 297
39267 3949
39267 988
19126 7915
19126 5100
19126 6257
15320 4055
54303 11791
7635 3955
50377 5947
54303 3854
54303 591
44951 1762
54303 5414
50377 8388
50377 3998
50377 967
50377 2061
50377 4134
50377 13342
15622 7958
47338 10237
37568 5359
19126 1157
39267 7631
47338 3321
47338 1557
37568 9645
47338 4229
47338 2129
39267 10848
47338 1990
12449 4912
12449 12182
25501 10098
64672 1424
44812 4237
44812 15481
15320 2533
7635 7644
7635 3873
7635 761
7635 4144
7635 8575
50377 6415
44951 1633
47338 3862
15320 5970
54303 7095
15320 1438
54303 1207
15320 8056
44951 6887
44951 4127
47338 5479
54303 11684
