flow_ID proc_time
57219 5434
51427 5261
57219 3871
57219 5181
51427 4163
51427 14001
57219 4621
51427 5170
51427 3887
57219 3797
51427 3874
57219 4053
57219 4916
51427 5136
51427 4078
57219 3825
57219 4716
14209 3811
43239 4243
14209 5091
14209 7641
51427 3830
43239 6318
57219 3789
43239 7282
14209 3780
14209 3892
43239 5707
14209 9695
43239 4377
43239 4020
14209 4774
43239 5258
14209 3795
43239 7388
14209 4189
14209 5136
36736 5291
51430 3818
36736 3825
36736 6397
51430 3786
43239 3936
14209 3746
51430 7300
36736 3754
36736 4462
36736 4114
51430 3806
51430 4906
51430 5268
36736 3750
51430 4044
36736 3891
51430 4137
36736 4744
36736 3923
51430 3967
36736 4894
1920 5971
26853 7481
1920 3903
1920 7208
26853 4001
26853 7449
1920 1921
1920 5641
26853 3855
26853 4026
26853 6397
1920 3922
26853 5049
1920 3875
26853 6463
1920 1331
26853 4035
1920 3896
49025 3867
2276 3917
49025 3915
49025 7096
2276 4090
2276 7879
49025 4052
49025 4988
49025 5387
2276 684
2276 5254
2276 6711
49025 3916
2276 6801
49025 3918
2276 3965
49025 4761
2276 4499
49025 4875
2276 5382
49025 3899
22412 3837
26868 3906
22412 3927
22412 7574
26868 4349
26868 7488
22412 1951
22412 5905
26868 3922
26868 5234
26868 5491
22412 4223
26868 6432
22412 3980
61325 7298
26868 6758
2293 3924
22412 4390
2293 7889
61325 723
61325 4236
61325 6459
2293 3988
2293 4908
2293 3923
2293 6365
61325 3892
2293 4072
2293 6362
61325 3901
2293 3781
61325 4278
2293 4368
61325 4265
26509 3974
43254 3764
26509 6273
26509 6563
43254 4719
43254 6945
26509 4265
26509 3841
26509 4064
43254 280
43254 6909
26509 3863
43254 4037
26509 3962
43254 3893
26509 3803
26509 3785
43254 4801
26509 5083
57228 3985
51447 3820
57228 4820
57228 4749
51447 3781
51447 8035
57228 3803
57228 5353
51447 3882
57228 3970
51447 4814
57228 5469
51447 3964
51447 5050
57228 5307
51447 4155
57228 4635
51447 6566
57228 1005
14222 3929
43251 3957
14222 4015
14222 9823
43251 6055
51447 4026
57228 3799
43251 8111
14222 577
14222 6381
43251 3899
43251 3879
43251 4180
14222 3939
43251 6482
14222 3998
43251 4010
14222 6252
14222 4297
36751 3929
51442 3775
36751 3903
36751 7582
51442 3936
43251 4091
14222 3756
51442 7575
36751 3807
36751 4022
36751 6340
51442 1610
51442 3938
36751 3811
51442 6387
36751 3996
51442 5026
36751 5300
36751 3802
51442 3816
36751 3743
1935 4244
26865 3911
1935 3797
1935 7587
26865 3777
26865 7715
1935 448
26865 3893
1935 3901
26865 3872
26865 4027
1935 3738
26865 5032
1935 5130
26865 3908
1935 380
26865 5038
1935 5271
49038 3960
2288 3908
49038 3885
49038 6922
2288 4147
2288 8795
49038 346
49038 3792
49038 6069
2288 3705
2288 4399
2288 3741
2288 5294
49038 5743
2288 3916
49038 4442
2288 4712
49038 910
38792 3693
43257 3676
38792 3785
38792 6813
43257 3819
2288 3690
49038 3649
43257 7349
38792 3730
38792 3701
38792 4962
43257 5374
43257 3903
43257 3775
38792 3768
43257 6333
38792 3891
43257 8589
38792 5005
43257 6451
38792 4128
43257 6846
38792 3655
43257 6916
38792 4710
43257 5406
38792 3659
43257 6422
38792 3924
43257 6554
38792 3644
43257 6418
38792 3702
43257 6372
38792 4616
43257 6991
38792 3777
38792 3705
43257 3789
38792 4100
12169 4551
51448 5165
12169 3648
12169 5517
51448 5588
51448 7562
12169 4287
12169 3728
51448 3839
12169 7426
51448 3638
12169 6233
51448 3678
51448 4783
12169 3644
51448 5105
12169 4423
51448 4752
12169 4988
51448 3810
12169 3678
51448 3642
12169 3788
42889 3657
26875 4705
42889 4989
42889 5338
26875 5900
26875 6944
42889 3668
42889 4319
26875 3760
42889 6145
26875 3671
26875 6220
42889 3950
26875 3790
42889 3762
26875 3714
42889 4749
26875 5089
42889 4616
26875 4077
42889 3776
8072 3703
2298 3749
8072 3846
8072 6974
2298 3974
2298 7205
8072 4578
8072 3751
2298 3878
8072 6138
2298 3844
2298 3901
8072 3805
2298 6242
8072 3671
2298 7269
8072 3687
8072 4067
2298 3692
8072 4041
63370 3807
26878 3676
63370 3656
63370 6872
26878 3712
26878 7327
63370 3685
63370 3706
63370 6514
63370 5371
26878 3663
26878 3866
26878 3805
26878 6560
63370 3823
26878 4875
63370 4995
26878 3839
63370 3688
26878 4756
63370 6030
26878 4139
63370 3728
20363 3693
2303 3673
20363 3635
20363 6882
2303 3874
2303 7543
20363 3760
20363 4846
2303 3692
20363 5543
2303 3678
2303 6580
20363 3647
2303 4919
20363 3805
2303 5228
20363 101
2303 4599
20363 4607
51083 4991
43260 3643
51083 3624
51083 6849
43260 3706
43260 7965
51083 3618
51083 4737
51083 5209
51083 4757
43260 1067
43260 5163
43260 3772
51083 3686
43260 6133
51083 4420
43260 3838
51083 3758
51083 4668
32650 5009
51453 4190
32650 3828
32650 6818
51453 3791
43260 3834
51083 4088
51453 7612
32650 4749
32650 3802
32650 5258
51453 822
51453 4577
32650 4119
51453 5147
32650 4321
51453 3783
32650 3805
51453 3818
32650 3849
51453 4274
32650 3725
22418 4651
26844 5036
22418 4313
22418 6756
26844 4355
26844 6957
22418 3754
22418 3699
22418 4815
22418 5176
26844 3671
26844 3692
26844 3618
26844 6118
22418 3814
26844 4843
22418 4969
26844 3735
22418 4356
22418 4340
61331 4674
2269 4990
61331 3694
61331 5145
2269 5015
26844 3644
22418 3692
2269 7233
61331 3765
61331 4211
2269 4782
61331 5159
2269 3760
61331 4684
2269 5137
61331 3665
61331 4072
26515 4049
43230 3668
26515 4794
2269 4993
61331 3638
26515 6577
43230 4018
43230 7699
26515 178
26515 6304
26515 6050
43230 3764
43230 5200
43230 3804
43230 3869
26515 3690
43230 6128
26515 3855
43230 3716
26515 3657
26515 4645
57234 5070
51423 3655
57234 3644
57234 6807
51423 3691
43230 3780
26515 4042
51423 7491
57234 4268
57234 3721
57234 3820
51423 3668
51423 6397
51423 3771
57234 3657
51423 6149
57234 3863
51423 3825
57234 3716
57234 4631
51423 5051
57234 4555
14224 3652
43227 4125
14224 3643
14224 6664
43227 3764
43227 7965
14224 4400
14224 5038
14224 3823
14224 6164
43227 3677
43227 3722
43227 6152
14224 4469
36753 6472
51418 3799
43227 4228
14224 3730
51418 7251
36753 3705
36753 5044
36753 3908
51418 4458
51418 3625
51418 6130
36753 3681
51418 4863
36753 5247
51418 3774
36753 3676
36753 3769
1937 3646
26841 4948
1937 3671
51418 4986
36753 3630
1937 6515
26841 3734
26841 7214
1937 3698
1937 4813
26841 3771
1937 3681
26841 4759
1937 1287
49040 3721
2264 4400
49040 3821
49040 6878
2264 3672
26841 3727
1937 3606
2264 8051
49040 4617
49040 4825
2264 3758
2264 5066
2264 3777
49040 3684
2264 6196
49040 4778
2264 4139
49040 540
38806 4688
43217 5131
38806 3704
38806 6516
43217 4192
2264 3696
49040 3628
43217 7228
38806 5984
38806 5067
43217 3846
38806 4223
43217 4843
43217 5746
38806 3698
43217 6160
38806 4120
43217 3716
38806 3771
43217 3722
38806 3812
43217 3664
38806 4824
12183 5024
51408 3668
12183 3665
12183 6464
51408 4198
51408 7242
12183 5551
12183 4940
12183 5259
51408 111
51408 6227
12183 3774
51408 4754
12183 5231
51408 3761
12183 4395
12183 3814
42903 6429
26835 4273
26835 7177
42903 6239
42903 4862
42903 5129
42903 6116
26835 388
26835 3821
26835 6096
42903 3740
26835 3758
42903 4491
26835 6090
42903 3625
26835 3658
42903 3802
26835 3723
42903 3646
8086 3676
2258 3724
8086 4646
8086 6428
2258 6186
8086 5242
2258 3668
2258 6110
8086 3662
2258 3794
8086 3659
2258 4131
8086 3632
63380 3811
26838 4662
63380 5187
63380 6464
26838 3678
26838 7643
63380 6736
63380 3719
26838 3776
26838 6199
63380 5196
26838 4783
63380 5021
63380 3916
26838 4185
63380 6158
26838 3626
26838 6080
26838 3703
63380 3724
63380 3669
20373 3723
2263 4370
20373 3687
2263 7448
20373 5224
20373 3711
2263 3735
20373 6263
2263 3843
2263 4921
20373 4628
2263 5244
20373 3647
2263 6148
20373 3934
2263 3623
20373 3648
2263 3726
20373 3824
51093 3650
43220 3784
51093 4793
51093 6746
43220 4026
43220 7284
51093 3832
51093 3689
43220 4102
43220 6155
51093 3970
43220 3870
51093 5538
51093 5300
43220 4098
51093 6092
43220 4217
43220 3844
43220 3669
51093 3680
51093 4102
32660 3739
51413 4661
32660 5109
32660 7064
51413 3814
51413 7174
32660 5876
32660 4244
32660 6110
51413 3886
51413 3639
51413 6110
32660 3663
51413 3905
32660 3753
51413 6180
32660 3629
51413 3693
32660 3800
51413 3677
32660 4654
38809 5014
43205 3674
38809 4703
38809 6407
43205 3809
43205 5181
38809 3749
43205 6168
38809 3666
38809 4950
43205 4987
38809 3740
43205 3668
43205 5039
43205 3837
38809 747
12184 3821
51396 3671
12184 3695
12184 6546
51396 3998
51396 7059
12184 5070
12184 4248
12184 3934
51396 1060
51396 5174
12184 3775
51396 6729
12184 3682
51396 3865
12184 3769
51396 4624
12184 5011
51396 4049
12184 4365
42904 3633
26823 3636
26823 7482
42904 6614
42904 4146
26823 3744
26823 4765
42904 5209
26823 3902
42904 3821
42904 6171
26823 3783
42904 6172
26823 4273
26823 3725
26823 3659
42904 3670
42904 5471
8089 5007
2246 3662
8089 3848
8089 7319
2246 3667
2246 1432
8089 3953
2246 1439
8089 4215
2246 3798
8089 3783
8089 4920
2246 5137
2246 3925
2246 3674
8089 4183
8089 4152
63387 4859
26818 5019
63387 4561
63387 6464
26818 4439
26818 6806
63387 4476
63387 3746
26818 4694
26818 5198
63387 3783
26818 6101
63387 3659
63387 3961
26818 4654
63387 5296
26818 4326
26818 4760
26818 5313
63387 3839
63387 3754
20378 3684
2243 3657
20378 3693
20378 6459
2243 3663
2243 7832
20378 5518
20378 3730
2243 3670
20378 6366
2243 3817
2243 3735
20378 3799
2243 6269
20378 4155
