flow_ID proc_time
13779 9159
37406 3948
8700 5262
8700 5091
34638 3755
34638 3850
8700 6790
8700 6483
34638 3831
8700 6621
8700 4245
34638 3759
8700 7119
8700 13219
8700 6552
8700 6523
8700 6572
8700 6705
8700 7135
8700 6506
8700 6548
8700 6520
8700 3874
8700 6758
8700 6481
8700 6557
34638 4145
8700 6547
34638 4783
8700 6625
8700 6599
34638 3693
8700 6529
8700 6828
8700 4281
8700 6676
8700 6523
8700 6536
8700 6486
34638 3862
8700 6384
8700 6557
34638 3985
15495 3897
16435 3754
16435 16610
16435 7263
16435 4628
57392 3749
38337 6138
8242 4012
57392 7761
57392 7000
7617 3778
57392 3889
8242 7329
8242 4612
8242 5324
28721 3870
11712 6059
28721 7445
28721 6673
28721 3930
53298 3935
57792 6245
53298 7306
45107 3703
53298 6552
53298 4856
27072 5426
45107 7372
45107 6644
45107 6232
53697 3770
8315 3910
38337 6275
57792 4064
11712 9970
7617 6428
27072 3936
53697 6341
38951 3957
29139 6406
8700 7036
34638 5070
8700 6521
8700 6637
34638 4720
8700 6835
8700 6537
8700 6776
34638 3767
8700 6656
8700 6578
34638 3687
54859 3783
57174 4888
56929 5323
2086 6535
2086 6529
36306 3853
2086 6752
2086 7106
2086 7162
2086 6690
2086 6656
36306 3838
2086 6631
2086 6634
2086 9761
36306 3919
2086 6658
2086 6652
2086 6825
2086 6684
2086 6627
2086 6625
2086 7072
2086 6597
36306 4925
2086 6787
2086 6637
36306 4276
3918 4079
26663 6654
26663 7373
26663 6788
13779 4038
26663 6671
13779 3903
26663 4573
26663 7051
26663 6727
13779 5631
26663 7077
13779 5326
26663 6634
26663 6657
13779 3953
26663 6770
26663 6786
13779 6273
26663 6639
26663 6667
26663 6635
26663 6817
26663 7215
26663 6665
26663 7207
26663 6742
26663 6794
13779 3855
26663 6554
26663 6657
26663 6569
13779 3752
26663 6575
26663 6672
13779 5246
26663 6619
26663 6763
26663 6624
26663 6701
26663 6737
26663 6661
26663 6784
26663 6787
13779 3873
26663 6611
26663 6585
26663 6534
26663 6555
26663 6524
26663 6251
63446 6302
13779 3889
26678 3830
33279 4006
3918 6341
3918 5786
16435 6364
38337 5146
28721 5539
8242 5023
57792 5518
11712 6640
45107 6576
53697 6577
63543 3900
53298 4222
27072 6451
38951 6650
38951 6643
29139 4530
38951 6674
38951 6891
38951 6703
29139 3910
38951 6649
38951 6919
38951 6664
38951 6604
29139 3999
38951 6624
29139 4840
57392 6305
64210 6143
7617 6378
56611 4009
56611 4103
