flow_ID proc_time
8030 10056
22093 5126
8030 5350
8030 5611
22093 3980
22093 12176
8030 10321
22093 4444
8030 3919
8030 754
8030 3992
22093 8996
8030 6781
22093 3773
22093 5205
8030 640
22093 3891
22093 3913
22093 4140
22093 3998
8030 1380
22093 3899
22093 4108
8030 538
22093 5218
22093 3990
8030 3954
8030 3965
22093 3919
22093 3955
8030 3829
8030 4559
22093 3831
22093 4960
8030 1176
22093 4264
22093 7046
8030 133
22093 3953
22093 4015
8030 3852
8030 4352
22093 3921
22093 4849
8030 484
22093 4273
22093 3872
8030 22
22093 3816
22093 4026
8030 3803
8030 5303
22093 4054
22093 5460
8030 60
22093 3951
22093 4012
8030 4017
8030 3979
22093 4033
8030 3825
8030 6187
22093 605
8030 4204
8030 4015
22093 3819
22093 3923
8030 3804
8030 3850
22093 3809
22093 4898
8030 992
22093 3904
22093 6224
8030 1485
22093 3789
22093 3971
8030 4778
8030 5238
22093 3875
22093 3894
8030 3822
8030 4254
22093 3777
8030 3835
8030 4079
22093 3940
5831 3988
32409 4814
5831 5194
5831 4525
32409 6240
32409 5237
5831 3801
32409 4250
5831 3885
22093 3887
8030 4796
5831 763
5831 3878
32409 3846
32409 3966
5831 3823
32409 3807
5831 3795
5831 3876
32409 4891
32409 5599
5831 3883
32409 4293
32409 4024
5831 3838
32409 3784
32409 3871
5831 3870
8030 3833
22093 3963
8030 4117
5831 5243
32409 3929
32409 3982
5831 6239
8030 4402
22093 3909
22093 4006
8030 3927
5831 4126
32409 3894
32409 4983
5831 5413
8030 4520
22093 3824
22093 3867
8030 3841
5831 4117
32409 3904
32409 4072
5831 4371
8030 5032
22093 3928
22093 5441
8030 3981
5831 4015
32409 4113
32409 4005
5831 3808
8030 3856
22093 3926
22093 4974
8030 3902
5831 5176
32409 3786
32409 3984
5831 6400
8030 3799
22093 3914
22093 4323
8030 3955
5831 3862
32409 3801
32409 4931
5831 5157
8030 4292
22093 4421
22093 3882
8030 4191
5831 3853
32409 3956
32409 4253
5831 3944
8030 3956
22093 188
8030 3787
5831 3922
32409 3877
32409 3878
5831 3813
8030 3858
22093 3981
22093 3945
8030 3828
5831 3863
32409 617
5831 6223
22093 3788
22093 3835
8030 3801
5831 4374
32409 3875
32409 3880
5831 4706
8030 5423
22093 1061
8030 3950
5831 3963
32409 3963
32409 3994
5831 3975
8030 4161
22093 4096
22093 3979
8030 4940
5831 5538
32409 3910
32409 3951
5831 3962
8030 3995
22093 4031
22093 4017
8030 4063
5831 3997
32409 4061
32409 4009
5831 5600
8030 5713
22093 3973
8030 4002
5831 3934
32409 3831
32409 3829
5831 3864
8030 3853
22093 3814
22093 4895
8030 5076
5831 3968
32409 3794
32409 4004
5831 3904
8030 3895
22093 3921
22093 3859
8030 3783
5831 3848
32409 3756
32409 4768
5831 5260
8030 3764
22093 3761
8030 3840
5831 3746
32409 3689
32409 3879
5831 6884
8030 5494
22093 3806
22093 5067
8030 3684
5831 3696
32409 3765
32409 3968
5831 4084
8030 3729
22093 3676
22093 3862
8030 3805
5831 5343
32409 3712
32409 5217
5831 3687
51621 3657
51235 3757
51621 3941
51621 7020
51235 3690
51235 3707
51621 3837
8030 3854
22093 3672
22093 3732
8030 3688
5831 4735
32409 5146
51621 3753
51235 3647
32409 3817
5831 3775
51235 3708
51621 4008
8030 4942
22093 3769
22093 3968
8030 3864
5831 4746
32409 3834
51621 5211
51235 4000
32409 3926
5831 3730
51235 3749
51621 3922
8030 3705
22093 161
8030 4641
5831 5072
32409 3779
51621 3715
51235 3701
32409 3849
5831 3673
51235 3840
51621 3675
8030 3756
22093 3656
22093 4757
8030 5145
5831 3705
32409 3660
51621 3731
51235 3685
32409 5618
5831 3698
51235 3880
51621 3727
8030 3817
22093 3751
22093 4836
8030 5156
5831 3826
32409 3671
51621 3720
51235 3646
32409 3773
5831 3821
51235 3805
51621 3776
8030 3736
22093 357
8030 4281
5831 3707
32409 3811
51235 4219
32409 3861
5831 3742
51235 3897
51621 3653
8030 4842
22093 3782
22093 5186
8030 3681
5831 5032
32409 3702
51621 3729
51235 3835
32409 3757
5831 4263
51235 4873
51621 3811
8030 5223
22093 4450
22093 3731
8030 3787
5831 4064
32409 3678
51621 3815
51235 3631
32409 3768
5831 4690
51235 3790
51621 5142
22093 3652
22093 3908
8030 3652
5831 3735
32409 4137
51621 3680
51235 3664
32409 3720
5831 4694
51235 5273
51621 3709
8030 4812
22093 3668
51235 3764
51621 4656
32409 5079
5831 3659
8030 3707
22093 3708
22093 3740
8030 3679
51621 3848
5831 3713
51235 3853
32409 3708
51235 4874
51621 4972
32409 3722
5831 3781
8030 3723
22093 3633
22093 3720
8030 3713
51621 5021
5831 3724
51235 3744
32409 4662
51235 5219
51621 3620
32409 3846
5831 3654
8030 3786
22093 3764
8030 3790
51621 3712
5831 3703
51235 3648
32409 4617
51235 5096
51621 3796
