flow_ID proc_time
7814 4471
2834 6016
7814 318
2834 4489
2834 3984
7814 8582
7814 6046
2834 13
7814 3974
2834 4031
7814 498
2834 789
7814 3819
2834 3799
7814 4309
63108 2649
27414 6611
63108 4773
27414 3913
27414 7595
63108 2871
63108 5331
27414 761
63108 4058
27414 5386
63108 7448
27414 6318
63108 6299
20101 5972
2839 4131
20101 5220
2839 3935
27414 3902
63108 4871
2839 2312
20101 6451
20101 5444
2839 3936
2839 2071
20101 6132
20101 4066
2839 3965
20101 3901
20101 3506
2839 4554
50821 4948
43796 5047
50821 3800
50821 7249
43796 8561
43796 6330
50821 964
43796 957
50821 5892
43796 5061
50821 5702
43796 6048
50821 5077
43796 4317
50821 1242
43796 4743
50821 5951
32388 4629
51989 5098
32388 3923
32388 6479
51989 5657
51989 8214
32388 1060
32388 184
51989 173
51989 2491
32388 3817
51989 5338
32388 3097
51989 5237
51989 4321
32388 4022
51989 4216
32388 8318
38537 1631
43781 5827
38537 5061
43781 4067
43781 6544
38537 4385
38537 4037
38537 3939
43781 3911
38537 5211
43781 4198
38537 3958
43781 708
38537 4529
38537 3819
11912 4873
51972 3861
11912 4316
51972 4718
51972 7437
11912 5291
11912 2076
11912 3986
51972 3962
51972 2320
11912 5067
51972 4242
11912 5928
51972 3381
11912 7176
11912 3895
51972 4048
11912 4016
42632 2380
27399 7882
42632 5048
27399 4028
27399 7220
42632 441
42632 5001
27399 3714
42632 4499
27399 4033
42632 4434
27399 4891
42632 3298
7817 3907
2822 4901
7817 4025
7817 7847
2822 7418
27399 4528
42632 4037
7817 1792
2822 6401
7817 694
7817 5727
2822 4761
2822 706
7817 3962
2822 4319
7817 5400
2822 231
7817 4859
7817 5359
2822 5805
7817 5879
63115 2508
27394 7396
63115 4932
27394 3904
27394 5573
63115 1089
63115 5347
27394 5493
63115 4195
27394 3974
63115 3832
27394 5420
63115 6344
27394 3791
63115 4102
27394 8850
63115 7061
20106 3931
2819 5222
20106 3768
20106 6499
2819 4089
2819 9010
20106 1911
2819 690
2819 4491
20106 730
2819 3952
20106 3879
2819 4097
20106 3533
2819 5064
50826 5196
43776 3905
50826 3916
50826 7721
43776 6765
43776 5294
50826 778
50826 7204
43776 180
50826 4002
43776 1302
50826 4760
50826 147
32395 3938
32395 6975
51969 1781
51969 4047
32395 3806
51969 4111
32395 976
51969 6591
22157 3871
27400 3920
22157 76
27400 4361
51969 3756
32395 3794
27400 7411
22157 2661
22157 333
27400 4758
27400 7091
27400 77
22157 5922
22157 3912
27400 5235
22157 4112
27400 6578
22157 7406
27400 4383
22157 4013
27400 6248
22157 3803
27400 9332
22157 6220
27400 4301
22157 3685
27400 4440
22157 3868
27400 6088
22157 7071
27400 4087
22157 3821
27400 5294
22157 3834
27400 5390
22157 6211
27400 4220
