flow_ID proc_time
57219 6632
51427 4027
57219 4284
57219 6243
51427 6414
51427 3906
57219 1570
51427 8304
51427 6265
57219 3036
51427 6474
51427 6492
57219 2033
14209 2378
43239 4478
14209 7047
51427 6816
43239 5139
57219 9090
43239 7991
14209 6663
43239 1039
14209 9352
43239 6872
14209 6139
43239 4962
14209 7914
43239 4400
14209 4352
36736 5230
51430 4156
36736 1361
51430 5941
43239 9463
14209 7684
51430 10957
36736 5000
36736 8914
51430 5320
51430 5558
36736 4209
51430 2680
36736 240
36736 340
36736 2470
51430 4976
1920 647
26853 8262
1920 7492
26853 6205
26853 8148
1920 3167
1920 661
26853 1506
26853 6246
1920 6686
26853 4185
1920 4768
26853 5047
1920 5039
1920 7483
26853 6278
1920 6159
49025 5037
2276 7448
49025 5609
49025 5487
2276 5015
2276 6106
49025 7251
49025 6084
49025 4945
49025 6776
2276 6411
2276 5904
2276 4590
2276 5504
49025 6917
2276 6442
49025 7873
2276 4086
49025 10064
2276 5490
49025 7209
2276 4351
49025 6207
22412 5235
26868 6783
22412 6330
22412 5872
26868 8306
26868 8285
22412 7734
22412 7316
22412 6789
26868 5057
26868 6937
26868 5582
22412 4334
26868 7006
22412 5124
26868 5538
22412 5119
61325 6649
2293 7810
61325 6243
61325 8714
26868 6674
2293 4808
22412 5146
2293 8021
61325 7830
61325 4266
61325 5859
2293 7054
2293 5518
2293 4926
61325 5103
2293 7294
61325 6179
2293 7264
61325 5567
2293 5106
61325 6416
2293 6260
61325 6183
26509 5083
43254 6946
26509 7806
26509 4690
43254 6348
43254 7444
26509 6259
26509 5085
26509 6612
43254 5432
43254 6056
43254 7032
26509 6251
43254 6721
26509 5521
43254 8968
26509 7387
26509 5035
43254 7281
26509 6296
57228 8033
51447 6354
57228 6565
57228 6748
51447 5253
51447 7590
57228 4784
57228 4114
51447 4766
57228 6057
51447 4353
57228 6400
51447 4738
51447 8997
57228 5693
51447 5813
57228 5139
51447 4004
57228 9465
57228 8836
14222 7939
43251 4606
14222 3950
14222 9643
43251 5909
51447 5484
57228 5054
43251 7712
14222 8714
14222 5730
14222 5541
43251 7433
43251 6326
43251 6741
14222 7310
43251 5618
14222 8317
43251 5576
14222 6241
14222 6525
36751 6937
51442 6911
36751 6376
36751 4595
51442 8115
43251 6449
14222 7345
51442 11001
36751 9121
36751 5593
36751 7612
51442 5972
51442 7950
51442 5535
36751 6687
51442 6719
36751 5919
51442 3982
36751 6521
36751 8106
51442 5196
36751 7849
1935 7069
26865 8349
1935 5324
1935 7167
26865 6326
26865 9674
1935 8481
1935 5654
26865 5205
1935 4844
26865 5418
26865 5263
1935 7951
1935 6564
26865 5177
1935 9716
49038 8643
2288 5216
49038 8298
49038 7913
2288 6093
2288 9608
49038 8391
49038 5338
49038 6517
49038 7660
2288 3388
2288 2090
2288 7389
49038 6397
2288 9504
49038 8140
2288 7335
49038 7260
49038 9470
38792 8593
43257 6465
38792 5052
38792 8746
43257 7849
2288 4041
49038 6613
43257 10070
38792 8905
38792 7488
38792 4278
43257 8823
43257 5204
43257 5419
38792 7061
43257 6515
38792 8300
43257 6857
38792 5755
43257 7609
38792 4609
43257 9691
38792 7831
43257 7014
38792 5938
43257 7932
38792 6668
43257 7217
38792 8316
43257 8172
38792 7751
38792 6629
43257 5818
38792 5216
12169 7161
51448 7456
12169 5958
12169 5375
51448 4866
51448 8043
12169 6839
12169 7754
51448 5605
12169 4734
51448 5761
12169 7219
51448 7474
51448 4035
12169 4956
51448 6460
12169 7258
51448 6499
12169 5840
51448 5589
12169 6524
51448 4890
12169 5154
42889 6627
26875 4763
42889 5356
42889 5621
26875 4319
26875 7198
42889 5823
42889 5288
26875 3951
42889 6121
26875 5364
26875 6030
42889 5592
26875 6015
42889 7237
26875 5559
42889 5171
26875 6816
42889 6105
26875 6548
42889 7220
8072 6697
2298 5984
8072 5888
8072 5611
2298 6340
2298 5949
8072 6707
8072 5184
2298 6967
8072 4896
2298 6739
2298 5432
8072 5285
2298 5555
8072 4951
2298 7910
8072 6935
8072 8543
2298 5189
8072 8957
63370 6275
26878 7950
63370 7517
63370 6925
26878 6902
26878 10408
63370 8703
63370 209
26878 8354
26878 1768
63370 4209
26878 6654
63370 7698
26878 6029
63370 5502
26878 7081
63370 5877
26878 8417
63370 4155
20363 2071
2303 5808
20363 9616
2303 7953
2303 10279
20363 9352
20363 5839
2303 7471
20363 5373
2303 7204
2303 4644
20363 6247
2303 9815
20363 5031
2303 6128
20363 6018
20363 6855
2303 5438
20363 6574
51083 4811
43260 4785
51083 13400
51083 6955
43260 4745
43260 9598
51083 8565
51083 6423
51083 5807
51083 7392
43260 7744
43260 5442
43260 7756
43260 7083
51083 6326
43260 4866
51083 6439
43260 6183
51083 7475
32650 7863
51453 7771
32650 6051
32650 8358
51453 6863
43260 6928
51083 6029
51453 6721
32650 5132
32650 8052
32650 5661
51453 5693
51453 5123
51453 7373
32650 6443
51453 5051
32650 6336
51453 7292
32650 5012
51453 6496
32650 5604
51453 5150
26844 7430
22418 6878
22418 5464
22418 6744
22418 5021
26844 5569
26844 4045
26844 9094
26844 5820
22418 7156
26844 4476
22418 6051
26844 8719
22418 6496
22418 5074
61331 6728
2269 8271
61331 6785
61331 5397
2269 7858
26844 6374
22418 5388
2269 7422
61331 6300
2269 6994
61331 3977
2269 6306
2269 5226
61331 6429
2269 7550
61331 7763
2269 4993
61331 8880
61331 4390
26515 8396
43230 4668
26515 8011
2269 6486
61331 6923
26515 7688
43230 7833
43230 8928
26515 6121
26515 6790
43230 5877
26515 6186
43230 7211
26515 4893
43230 8456
26515 4732
26515 8202
57234 5921
51423 4456
57234 8258
57234 4839
51423 6309
43230 4951
26515 7571
51423 6767
57234 7330
57234 5186
57234 6732
51423 6098
51423 5204
51423 4271
57234 6416
51423 5892
57234 8365
51423 5548
57234 7193
57234 5134
51423 6261
57234 6804
14224 4871
43227 5010
14224 5448
14224 6644
43227 6257
43227 5389
14224 7921
14224 5435
14224 5700
14224 6918
43227 5040
43227 5299
43227 7002
14224 5651
36753 6882
51418 4891
43227 5182
14224 9018
51418 6381
36753 4876
36753 4967
36753 7115
51418 6567
51418 4320
36753 6817
51418 6867
36753 17897
51418 9502
36753 8928
36753 6464
1937 5147
26841 5130
1937 7352
51418 4162
36753 8203
1937 7575
26841 6965
26841 5677
1937 7465
1937 6818
1937 4845
1937 5647
26841 6241
26841 7660
26841 5420
26841 9510
1937 9090
26841 6596
1937 6921
26841 4302
1937 5909
1937 5140
49040 8198
2264 7055
2264 9299
49040 7323
49040 5843
2264 5275
2264 6205
2264 5306
49040 5799
2264 4480
49040 6416
2264 8080
49040 6600
49040 5126
38806 4547
43217 5035
38806 8332
38806 7979
43217 6936
2264 8484
49040 4320
43217 8237
38806 7062
38806 6939
43217 5196
38806 4044
43217 6013
43217 6230
38806 5498
43217 5550
38806 6092
43217 8142
38806 5983
43217 9124
38806 8766
43217 3873
38806 5544
12183 6659
51408 7386
12183 3945
12183 5911
51408 6466
51408 7881
12183 6054
12183 5139
51408 6855
51408 5177
51408 5394
51408 7603
12183 6841
12183 7484
51408 7489
12183 7212
42903 6403
26835 7566
42903 5480
42903 6307
26835 5417
42903 5043
42903 7249
42903 6941
26835 5400
26835 6603
26835 6339
42903 7476
26835 6325
42903 5369
26835 8589
42903 3803
26835 4395
42903 5304
26835 7153
42903 6637
8086 5316
2258 6759
8086 5211
8086 7207
2258 6480
2258 8529
8086 7451
8086 4786
2258 8747
2258 6462
8086 5967
2258 7802
8086 7528
8086 6259
2258 4047
2258 4913
8086 6399
2258 4938
8086 6807
2258 5317
8086 4018
26838 8698
63380 4786
63380 4967
26838 6380
26838 7625
63380 6925
26838 6162
63380 6662
63380 8504
26838 7093
63380 6060
26838 4837
26838 4348
26838 5644
63380 7390
20373 4167
2263 5435
20373 7710
20373 6981
2263 6823
2263 5671
20373 8312
20373 6074
2263 8106
20373 5654
2263 5022
2263 4565
20373 6248
2263 5355
20373 3240
2263 7088
20373 7379
51093 5417
43220 5419
51093 3176
43220 6314
43220 3799
51093 4927
43220 2665
51093 5913
51093 6714
43220 6104
43220 5913
51093 5009
32660 5255
51413 5310
32660 4426
51413 7727
51413 7430
32660 3942
51413 5752
32660 6688
51413 4347
32660 4518
32660 374
51413 1022
32660 4070
38809 4025
43205 5320
43205 3528
12184 6463
51396 5549
12184 2644
51396 7095
42904 7058
26823 5997
42904 5038
26823 5115
26823 5355
42904 6348
26823 509
42904 5190
42904 5890
26823 4256
42904 6748
26823 9244
26823 6237
42904 4305
8089 5222
2246 4242
8089 2445
2246 6849
2246 7792
8089 7925
2246 4012
8089 6639
8089 4205
2246 7945
2246 5648
8089 8044
63387 8935
26818 6207
63387 4506
26818 8151
26818 5229
63387 6830
63387 5735
26818 4700
63387 4850
26818 6802
63387 5667
63387 5497
26818 2602
26818 2377
63387 7898
20378 2185
2243 7650
2243 3346
20378 6481
2243 3229
20378 6906
2243 5762
20378 5762
2243 3190
20378 6625
2243 5328
20378 3970
51098 8456
43200 5719
51098 4274
51098 6291
43200 6047
51098 2962
43200 8053
43200 2526
51098 9347
51098 4261
43200 2352
51098 4446
51098 2066
32667 8731
51393 3093
32667 5757
51393 8096
32667 3105
22429 6433
26824 4659
22429 4230
26824 838
22429 3655
2249 9820
61340 9873
61340 1799
2249 6474
2249 5460
61340 7727
2249 4158
2249 5124
61340 5232
61340 3962
2249 5269
2249 973
61340 5618
26524 6052
43210 6093
26524 7428
43210 6301
43210 8113
26524 6687
43210 4919
26524 5914
43210 4352
26524 4470
26524 3698
26524 4238
43210 9509
43210 2202
26524 7412
26524 6084
57245 4340
51403 4368
57245 4312
51403 7219
51403 6244
57245 6381
51403 4087
57245 8099
57245 4753
51403 896
51403 6942
57245 5635
14239 5623
43215 2050
14239 6961
43215 8917
14239 6394
43215 2984
14239 6159
43215 2288
14239 7583
14239 7744
43215 6570
43215 7719
14239 4149
43215 6409
14239 4467
51406 4431
36766 7531
36766 3347
51406 8886
51406 6609
36766 7347
36766 8446
51406 7063
51406 2306
36766 6386
51406 4112
36766 3155
51406 5403
26829 8086
36766 9089
1950 9075
1950 6145
26829 6213
26829 9152
1950 741
26829 5053
1950 2334
26829 4355
26829 2888
1950 4305
43229 1493
38803 4270
38803 3221
43229 9182
43229 1983
38803 6566
12178 4899
51420 2556
12178 5559
51420 5429
12178 6300
51420 3444
12178 6693
12178 4583
51420 4638
51420 7577
12178 7714
51420 4480
12178 4479
42898 6944
26847 4549
42898 8731
26847 6294
26847 6835
42898 6833
42898 6459
26847 6500
26847 4838
42898 4972
42898 4294
26847 3371
42898 4387
26847 7815
8083 8869
2270 1416
8083 3860
2270 5163
8083 7099
8083 7867
2270 7906
2270 3098
8083 8362
8083 8521
2270 6964
8083 6997
2270 4988
8083 1884
2270 7805
8083 5609
26842 7628
63377 8484
63377 6443
26842 8743
26842 8194
63377 4326
26842 5499
63377 6368
26842 4889
63377 7000
26842 3769
63377 9199
20368 7143
2267 7345
20368 5311
2267 1926
20368 7952
20368 6111
20368 5932
2267 5753
2267 2403
20368 6496
2267 4660
20368 2982
20368 5773
2267 6710
51088 6706
43224 5380
32657 10396
51417 9724
32657 8265
51417 5750
32657 4237
22423 4205
26832 6635
22423 3367
26832 7404
26832 7082
22423 5842
22423 4208
26832 4237
26832 5016
22423 5067
26832 6214
22423 6364
22423 4507
61334 7572
2257 7622
61334 5236
2257 7942
26832 7836
22423 7825
2257 5304
61334 6023
61334 7500
2257 6346
2257 3154
61334 7385
2257 5167
61334 5231
61334 8474
26518 7289
43218 7302
26518 10209
43218 8860
26518 611
26518 8079
43218 6630
