flow_ID proc_time
32259 4492
51937 5025
32259 6561
51937 5729
51937 7545
32259 4166
32259 4128
51937 6339
51937 3308
32259 8495
51937 4212
32259 173
22021 3901
27368 5082
22021 5387
22021 4552
27368 4025
51937 3912
32259 4277
27368 7567
22021 4585
22021 4202
27368 3919
27368 6413
22021 4248
22021 4080
27368 4851
27368 5194
22021 7489
27368 3886
22021 3789
27368 5040
22021 4034
60932 4000
2793 4886
60932 5249
60932 4470
2793 6576
2793 8036
60932 4935
60932 3949
2793 3884
2793 4058
60932 4420
60932 6414
2793 3837
2793 5006
60932 6186
60932 6140
2793 3940
60932 3895
26116 4177
43754 3822
26116 3885
26116 5518
43754 5124
43754 7576
26116 4391
26116 3992
43754 4549
43754 4145
26116 4156
26116 6333
43754 4271
43754 6341
26116 3708
26116 4089
43754 4005
26116 3762
56837 7318
51947 3915
56837 6062
56837 4312
51947 3921
51947 7258
56837 5111
56837 4004
51947 3853
51947 3942
56837 5230
56837 5418
56837 6314
51947 3745
51947 3857
56837 4809
56837 5174
13831 3809
43759 4624
13831 3769
13831 5293
43759 3817
51947 5470
56837 3760
43759 7302
13831 4606
13831 3866
43759 5597
43759 5248
13831 4205
13831 6322
43759 6592
43759 3890
13831 4203
13831 5419
36358 5560
51950 3811
36358 3790
36358 4089
51950 3953
43759 4931
13831 5098
51950 7530
36358 4063
36358 4055
51950 4603
51950 6395
36358 3840
36358 6288
36358 3882
51950 4093
51950 4241
51950 4822
36358 1001
1542 3827
27373 3792
1542 3752
1542 5295
27373 5201
51950 3860
36358 3751
27373 7710
1542 2461
27373 4826
27373 5273
1542 3856
1542 6713
27373 3918
27373 3916
1542 1817
27373 3700
1542 3663
48647 3886
2796 3791
48647 3795
48647 7289
2796 3773
2796 7222
48647 4395
48647 6366
2796 4293
2796 3944
48647 4591
48647 4032
48647 4001
2796 3866
2796 4612
2796 5426
48647 3814
48647 5172
38411 3843
43773 3796
38411 6664
38411 4265
43773 3805
2796 3953
48647 3962
43773 7815
38411 4612
38411 4026
43773 3981
43773 6267
38411 3833
38411 3935
43773 3867
43773 6357
38411 3918
38411 4010
11786 3861
51964 4052
11786 4739
11786 7004
51964 4112
43773 3820
38411 3768
51964 7811
