flow_ID proc_time
59312 8064
16307 5249
6069 4355
15688 3983
59312 15361
15687 12665
6069 1264
40270 4120
16307 5452
16307 4371
15688 5029
15687 4078
15688 6887
59312 3978
15688 5280
59312 3936
59312 5828
40270 329
15687 5750
6069 13104
40270 5825
16307 5180
15688 4252
59312 3933
59312 169
59312 3950
59312 4149
6069 6620
16307 4155
6069 3981
59312 4749
59312 6565
16307 3967
59312 4140
59312 4625
15688 4200
59312 4157
15688 9638
40270 5757
15687 5361
15687 4107
6069 3898
15688 4243
59312 3997
6069 4230
6069 4023
15688 4208
59312 4203
15688 4790
59312 6276
15688 4112
40270 4069
59312 2467
15688 5998
15688 3882
59312 3879
40270 7694
16307 1066
15688 4218
59312 4552
15688 4045
59312 3855
15688 3892
59312 4130
13904 4069
15687 15378
6069 14033
40270 13056
16307 10118
61587 6702
13904 4215
13904 4857
61587 292
61587 6474
13904 3927
61587 5809
13904 3877
13904 7021
61587 11382
61587 4241
13904 3985
13904 4941
13904 1209
61587 2106
13904 3946
61587 4068
61587 4342
13904 4058
61587 4237
13904 3908
61587 3576
13904 292
13904 4276
59312 3795
59312 3890
59312 3799
59312 82
59312 3952
15688 1204
15688 3987
59312 3809
15688 3948
59312 3974
15688 8614
59312 5477
15688 5132
15688 5113
59312 6435
15688 4161
59312 3938
15688 4404
15688 3848
59312 3867
53907 3920
61587 5120
39626 3820
53907 5991
39626 7875
39626 5082
53907 3747
39626 4216
53907 951
53907 5132
53907 3886
39626 202
39626 348
39626 3900
53907 11720
39626 10184
53907 2373
39626 3888
39626 4454
39626 4337
53907 7279
39626 8304
39626 5727
53907 3917
39626 4285
39626 4370
53907 3960
39626 5264
53907 4244
39626 5750
53907 5795
53907 8579
39626 4413
53907 3826
39626 6774
53907 3998
39626 5456
53907 3868
39626 4410
53907 3889
39626 6193
39626 5712
53907 4079
39626 4261
39626 4311
53907 3943
39626 5268
39626 5728
53907 4170
39626 5933
53907 3626
39626 6450
39626 6059
53907 4690
39626 4452
53907 3882
39626 4181
53907 4104
39626 4354
53907 3949
39626 4241
39626 7863
53907 4766
39626 5724
39626 6525
53907 4906
39626 4287
53907 4018
53907 4080
39626 6701
53907 11098
39626 4540
39626 4383
53907 3910
39626 5179
39626 7727
53907 5256
39626 4210
53907 6825
39626 283
53907 3758
