flow_ID proc_time
27757 4564
45686 4021
27757 4027
27757 5951
45686 3931
45686 2378
27757 9511
45686 1575
27757 3784
27757 4343
45686 3800
45686 3007
27757 6642
27757 5214
54380 4063
53879 3938
54380 3884
54380 5498
53879 4725
53879 8496
54380 1510
54380 527
53879 3757
54380 4149
53879 1297
54380 3856
53879 4848
54380 6034
53879 3998
54380 3969
15470 3943
45683 4141
15470 4030
15470 4648
45683 3833
45683 5274
15470 4020
45683 2903
15470 2014
45683 937
15470 405
15470 4182
33903 4675
53874 3775
33903 3827
33903 5249
53874 3803
53874 6368
33903 241
53874 3315
33903 4514
33903 4382
53874 3813
53874 4882
33903 675
53874 3839
33903 3760
3183 3836
29297 7007
3183 1825
29297 3991
29297 7121
3183 1344
29297 1541
3183 1731
29297 4479
29297 4173
3183 5556
3183 5346
29297 8668
46190 3924
4720 4037
46190 5084
46190 5722
4720 4051
4720 5667
46190 3965
46190 3853
4720 3931
4720 4218
46190 3825
46190 617
4720 4797
4720 6143
46190 4360
4720 3899
46190 3832
4720 3844
46190 3847
40040 3747
45689 3776
40040 3796
40040 5401
45689 3786
45689 6294
40040 4307
40040 6676
45689 7966
40040 3930
45689 4897
45689 5413
40040 3823
45689 3803
40040 4164
45689 3994
40040 3795
9321 3948
53880 3751
9321 3768
9321 6547
53880 5201
53880 2416
9321 5283
53880 2072
9321 3929
9321 3977
53880 4389
9321 4364
53880 531
9321 3848
9321 5147
44137 4060
29307 3980
44137 1510
29307 3890
53880 3849
9321 3816
29307 3955
44137 6049
29307 944
44137 3924
44137 4143
29307 406
44137 3907
44137 4415
29307 3924
44137 3865
5224 3914
4730 3899
5224 1033
4730 3935
4730 4728
5224 7348
4730 3235
5224 376
5224 1464
4730 4252
4730 3414
5224 5193
4730 3916
5224 3919
4730 3907
5224 3958
64618 3867
29310 3887
64618 436
29310 4377
29310 3792
64618 6585
29310 1084
64618 3907
64618 4018
29310 4231
29310 3875
64618 1533
17515 3896
4735 3822
17515 3770
17515 7091
4735 5140
29310 3794
64618 7603
4735 7220
17515 500
45692 7728
52331 4816
52331 879
45692 5511
52331 645
45692 312
52331 2926
45692 3773
52331 3845
29802 3881
53885 3861
29802 3801
29802 5058
53885 3772
53885 5126
29802 839
53885 6438
29802 749
53885 976
53885 705
29802 3943
29802 3831
23666 3815
29276 3921
23666 1358
29276 3904
53885 3850
29802 3778
29276 6262
23666 3916
23666 704
29276 6361
29276 2223
23666 669
58483 3775
4701 3688
58483 3652
58483 4813
4701 3793
29276 3677
23666 3610
4701 4986
58483 922
4701 5117
4701 4620
58483 5719
4701 5274
4701 4724
58483 3670
4701 4118
58483 3656
4701 5110
58483 5008
4701 4171
58483 3750
4701 4057
58483 3831
58483 842
4701 4223
4701 8227
58483 5806
4701 4656
58483 4154
4701 4199
58483 4741
4701 5413
58483 3705
4701 4092
58483 3792
4701 4407
58483 3862
4701 1394
58483 6947
58483 4957
27763 4025
45662 3866
27763 621
15472 3775
33905 3665
53850 3658
33905 187
53850 3728
53850 4911
33905 1355
53850 7148
33905 2322
53850 3731
53850 3898
33905 1594
53850 3810
33905 4024
3185 3718
29273 4676
3185 699
29273 3685
29273 4898
3185 1572
29273 4483
29273 5864
3185 1178
3185 4729
29273 817
29273 4009
3185 1305
46192 3692
4696 3674
46192 3630
46192 4133
4696 3663
29273 3642
3185 3600
4696 5972
46192 1609
4696 4760
46192 308
4696 3647
4696 3780
46192 1591
40054 3683
45649 4645
40054 763
45649 4721
4696 3664
46192 4069
45649 5088
40054 4014
40054 1115
45649 3862
40054 1586
40054 5063
45649 3631
45649 4092
45649 3728
40054 3795
45649 3716
40054 3882
45649 3693
40054 3742
9335 3697
53840 4686
9335 606
53840 3642
53840 5740
9335 1805
53840 3749
53840 3839
9335 154
53840 1447
9335 532
53840 3666
9335 3571
44151 3785
29267 3835
44151 1254
29267 3939
29267 5149
44151 5080
29267 6656
29267 5123
44151 3792
44151 1219
29267 3672
29267 3688
29267 3756
44151 1031
5238 3759
4690 5103
5238 5016
5238 4583
4690 3735
29267 3684
44151 6757
4690 6412
5238 268
4690 383
5238 4699
5238 5141
4690 3767
4690 3848
5238 1356
64628 3686
29270 3650
64628 3674
64628 4326
29270 3625
4690 7133
5238 8630
29270 7477
64628 4309
29270 1390
64628 2560
64628 1431
29270 582
29270 3757
64628 1345
17525 218
4695 3774
17525 5669
4695 3765
29270 3763
64628 3621
4695 5437
17525 5500
4695 3851
4695 3796
17525 1439
4695 1105
17525 3708
17525 3789
4695 3680
17525 3612
52341 3647
45652 3675
52341 3675
52341 4205
45652 3663
45652 5870
52341 4091
45652 5005
45652 3802
52341 190
52341 3860
45652 3656
45652 934
52341 2316
29812 4050
53845 3813
29812 3672
29812 4071
53845 3810
45652 5918
52341 5752
53845 6368
29812 3770
29812 5088
53845 3707
53845 3767
29812 3714
29812 3813
53845 175
29812 3615
29812 4314
53845 3670
29812 3655
40057 4686
45637 1741
40057 8609
45637 4918
40057 3801
40057 4173
45637 280
40057 4777
40057 1072
45637 1330
45637 3730
40057 1086
9336 3887
53828 3663
9336 4763
53828 6392
45637 4646
40057 5093
53828 4978
9336 3646
9336 4193
53828 877
9336 3619
9336 3831
53828 3916
53828 3700
9336 4680
53828 4094
9336 5092
53828 3901
9336 3681
44152 635
29255 8311
29255 3661
29255 4760
44152 3814
44152 3731
29255 761
44152 4097
44152 3801
29255 3651
29255 3723
44152 3766
29255 4603
44152 3707
29255 3625
44152 9182
5241 3054
4678 5720
5241 1319
4678 3643
4678 5408
5241 908
4678 3793
4678 6520
5241 3673
5241 5143
4678 4003
4678 3778
5241 3683
4678 3685
5241 4393
4678 3686
5241 3608
64635 3740
29250 3680
64635 4831
29250 9062
64635 5458
29250 3677
29250 3845
64635 3652
64635 3776
29250 3672
64635 3973
29250 5119
29250 5176
64635 1103
17530 3683
4675 3836
17530 3694
17530 4933
4675 6351
29250 5088
64635 6160
4675 5063
17530 1325
4675 4673
4675 5778
17530 621
4675 199
17530 3676
4675 3790
17530 3794
4675 3969
17530 4229
52346 162
45632 3659
52346 4484
45632 3803
45632 4843
52346 3667
52346 3723
45632 3646
45632 4960
52346 757
45632 507
23677 2155
29256 3727
29256 3755
23677 3718
23677 3839
29256 3653
29256 3793
23677 3805
29256 4886
23677 3403
58492 4106
4681 5090
58492 757
4681 3674
4681 5021
58492 3633
58492 3729
4681 3624
4681 3929
58492 418
4681 5567
58492 3840
4681 3676
4681 5309
58492 785
4681 3778
58492 3648
27772 3625
45642 3633
27772 112
45642 372
27772 1278
45642 45
27772 993
45642 3653
45642 3683
27772 3635
45642 3496
27772 81
54397 3691
53835 3670
54397 3658
54397 4036
53835 3694
53835 4950
54397 720
53835 3707
53835 3792
54397 145
53835 3699
53835 3821
54397 2272
53835 5639
54397 5491
15487 6008
45647 3668
15487 1351
45647 3818
45647 6365
15487 992
45647 3647
45647 3806
15487 852
15487 871
45647 386
45647 3734
15487 2281
45647 7262
33918 3761
53838 3751
33918 3665
33918 4008
53838 4247
53838 5010
33918 1126
53838 4676
53838 5489
33918 3791
33918 4026
53838 3777
53838 3951
33918 3386
3198 6404
29261 3737
3198 3889
3198 4875
29261 5169
53838 3665
33918 3583
29261 4964
3198 3663
3198 3783
29261 3745
29261 3823
3198 188
23630 3645
58447 3664
4621 3707
58447 3869
58447 5630
4621 5058
4621 4922
58447 1532
4621 3693
4621 3916
58447 548
4621 1411
58447 5150
4621 5080
58447 1942
27727 3653
45582 3829
27727 3680
27727 4117
45582 3707
4621 3665
58447 3782
45582 4867
27727 4652
27727 5061
45582 3690
45582 2692
27727 6347
45582 3929
27727 3870
27727 5343
45582 3946
27727 3612
54350 4662
53775 3726
54350 205
53775 3690
53775 4849
54350 342
53775 3644
53775 3817
54350 5247
53775 4243
53775 2414
53775 293
54350 2101
53775 794
54350 3653
15436 4684
45579 3863
15436 1331
45579 3803
45579 4975
15436 3739
15436 3775
45579 497
15436 4970
15436 3785
45579 3646
45579 3810
45579 7791
15436 6219
33869 3863
53770 3793
33869 857
53770 3694
53770 6131
33869 5194
53770 3668
53770 3773
33869 977
53770 3827
33869 3822
53770 3708
53770 3740
53770 6146
33869 1948
3149 3725
29193 3800
3149 369
29193 4369
29193 4827
3149 782
29193 1332
3149 1221
29193 3625
29193 3791
29193 3649
3149 5295
46156 5553
4616 3774
46156 114
4616 5019
4616 4942
46156 938
4616 3676
4616 3914
46156 3682
46156 3916
4616 3803
46156 3752
4616 3654
4616 5145
46156 5336
40010 4204
45569 3647
40010 3783
40010 3926
45569 3719
45569 4902
40010 772
45569 5003
45569 3907
40010 3647
40010 3899
45569 3686
45569 6319
40010 5102
45569 4281
40010 4802
45569 5419
40010 4141
45569 4064
40010 3818
45569 4043
40010 3741
45569 6671
40010 4226
45569 4221
45569 4091
40010 4270
45569 4264
40010 4666
45569 5449
40010 3673
40010 4306
9291 3660
53760 3796
9291 465
53760 3714
53760 4841
9291 832
53760 1418
9291 4409
53760 7531
9291 3929
53760 3654
53760 4517
9291 3848
53760 3767
9291 4676
53760 3667
9291 5175
44107 3631
29187 3653
44107 3848
44107 4175
29187 3694
29187 5149
44107 3772
44107 4033
29187 5252
44107 1160
29187 3882
29187 4427
44107 3765
29187 3677
44107 3770
29187 3788
44107 3639
5194 3645
4610 3666
5194 4088
5194 5042
4610 5545
4610 4981
5194 3687
5194 5960
4610 6012
5194 3761
5194 3833
4610 4342
5194 4962
4610 2327
4610 145
5194 3678
5194 3672
64584 3671
29190 3698
64584 673
29190 4233
29190 4922
64584 5102
64584 5351
29190 36
64584 6161
29190 303
29190 3858
64584 3781
64584 4610
17481 3668
4615 3638
17481 1863
4615 5128
4615 4734
17481 2053
4615 3654
4615 7480
17481 7007
17481 3985
4615 3699
17481 3763
4615 4711
4615 5315
17481 3664
17481 3704
52297 3741
45572 4215
52297 3727
52297 3959
45572 3652
4615 3673
17481 3638
45572 6043
52297 3673
52297 7685
45572 5883
52297 3769
52297 3824
45572 395
52297 3655
45572 3666
52297 3662
45572 3624
52297 4702
29768 4455
53765 4482
29768 279
53765 3800
53765 4870
29768 3926
29768 3244
53765 4393
29768 1728
53765 4939
29768 4286
53765 169
29768 3719
53765 3697
29768 3775
53765 4312
29768 3894
40005 3624
45589 3641
40005 198
45589 5155
45589 4204
40005 6480
45589 3805
40005 3656
40005 3922
45589 3820
45589 3864
45589 3645
40005 3299
9284 4964
53780 3700
9284 3617
9284 4328
53780 3702
53780 5650
9284 1545
53780 5304
9284 5391
9284 3894
53780 4945
9284 3794
53780 3770
53780 3841
53780 3676
9284 3781
9284 3741
44100 3854
4630 3650
5189 3818
4630 3757
4630 1431
5189 3665
5189 3667
64583 3815
29202 3657
64583 354
29202 5428
29202 5490
64583 1486
