flow_ID proc_time
58951 5393
5613 3985
58951 5467
58951 6549
5613 4184
5613 11356
58951 2717
5613 4217
5613 3984
58951 5009
58951 5416
5613 4039
5613 5242
58951 3932
58951 3869
5613 4125
58951 6235
28231 4210
46574 3940
28231 249
46574 4010
46574 4960
28231 3953
28231 3959
46574 4786
46574 4060
28231 4878
28231 10404
46574 1623
28231 2443
54854 3767
54767 3850
54854 3781
54854 5299
54767 3773
46574 5586
28231 3749
54767 4932
54854 3820
54854 3885
54767 3935
54767 3929
54854 4819
54854 5288
54767 4567
54767 4132
54854 4442
54854 3814
54767 4125
54854 3744
15940 3767
46571 4797
15940 173
46571 4277
46571 4955
15940 3989
15940 3881
46571 4218
46571 7384
15940 5298
15940 4047
46571 3866
46571 4014
15940 3845
15940 4340
46571 3961
15940 5148
34373 5113
54762 3996
34373 4843
34373 6454
54762 3912
54762 7442
34373 3893
34373 3958
54762 4534
54762 3991
34373 4045
34373 4212
34373 4074
54762 572
54762 4565
34373 3999
54762 4814
34373 3959
54762 4317
34373 4886
3653 3921
30185 3945
3653 2504
30185 3882
30185 4977
3653 4045
3653 3995
30185 4383
30185 4047
3653 3912
3653 5067
30185 3918
30185 5501
3653 4062
46660 3886
5608 3908
46660 4754
46660 5701
5608 5637
30185 3864
3653 4037
5608 5029
46660 3805
46660 3859
5608 3993
5608 3954
46660 4832
46660 5274
46660 3955
5608 284
5608 4134
46660 3052
40514 4035
46561 6249
40514 4875
40514 4422
46561 4829
5608 4010
46660 3877
46561 4838
40514 4175
40514 4995
46561 3983
46561 5568
40514 3849
40514 4056
46561 4314
46561 4366
40514 46
9795 3916
54752 4805
9795 6134
9795 4318
54752 3900
46561 3785
40514 3728
54752 5323
9795 208
54752 5541
54752 3974
9795 123
9795 4089
54752 686
54752 3889
9795 4965
54752 5124
9795 3820
54752 3806
9795 3865
44611 4178
30179 3827
44611 3798
44611 4282
30179 3797
30179 7417
44611 12
30179 4173
30179 3897
44611 3806
44611 4032
30179 3842
30179 4947
44611 3868
30179 5105
44611 4172
30179 3984
44611 3801
5698 3792
5602 3826
5698 4779
5698 4425
5602 5267
5602 7199
5698 4789
5698 3940
5602 4180
5602 3966
5698 3823
5698 3966
5602 3786
5602 4989
5698 4352
5698 5289
