flow_ID proc_time
27324 2614
47946 8234
27324 4983
47946 4133
47946 16529
27324 8136
47946 2062
47946 4037
27324 3919
47946 4074
27324 1284
47946 8029
27324 2366
53949 4112
56139 3960
53949 3890
53949 4391
56139 3981
47946 5966
27324 4763
56139 7897
53949 4508
53949 3970
53949 4095
56139 4092
56139 2413
53949 4767
56139 4141
53949 5294
56139 724
53949 3696
56139 1105
53949 3902
15039 4102
47951 3807
15039 4797
15039 8416
47951 7519
47951 8805
15039 836
15039 5073
47951 1229
47951 4232
15039 3981
47951 6983
15039 4300
47951 3935
15039 5087
47951 3888
15039 5236
33470 2304
56142 5359
33470 560
56142 3899
56142 5064
33470 3366
33470 1060
56142 7470
56142 4363
56142 4527
33470 3957
56142 4315
33470 7959
56142 7010
33470 4465
56142 5330
33470 3835
56142 3852
33470 3990
2750 3849
31565 7546
2750 2362
31565 3885
31565 6395
2750 754
31565 3371
2750 6115
2750 4159
31565 3983
31565 4974
2750 3923
31565 1263
2750 6308
2750 3943
31565 3888
2750 3890
31565 3882
2750 4425
45759 2884
6988 5789
45759 6243
6988 3951
6988 5084
45759 3923
45759 52
6988 1957
6988 5057
45759 5072
6988 4411
45759 5509
6988 1983
45759 6085
39591 4646
47981 4311
39591 4903
39591 6264
47981 6462
47981 5294
39591 3954
39591 3862
47981 3719
39591 3898
47981 785
39591 7609
47981 3963
39591 3997
47981 3974
39591 4108
47981 3890
39591 4996
47981 1978
39591 5963
8870 3792
56172 5162
8870 3811
8870 4806
56172 3832
56172 7609
8870 4293
8870 179
56172 5187
56172 4798
56172 5021
8870 5179
56172 3939
8870 3930
56172 2849
8870 6113
8870 4362
56172 4973
8870 4948
43686 3997
31599 4872
43686 5241
43686 5098
31599 5662
31599 5571
43686 3962
43686 3963
31599 3936
43686 2374
31599 7396
31599 3920
31599 4023
43686 4023
31599 4108
43686 1972
31599 6291
31599 3983
43686 5269
31599 4442
43686 3829
4775 3963
7022 3956
4775 3252
7022 5681
7022 6155
4775 4034
4775 5266
4775 5994
7022 784
4775 3970
7022 4081
4775 4514
7022 5541
4775 4804
7022 1913
4775 3770
64165 3798
31594 3803
64165 4850
64165 5220
31594 7039
31594 6643
64165 4074
64165 4196
31594 3856
64165 8902
31594 4561
64165 4126
31594 3915
64165 4784
31594 5344
64165 3806
31594 3819
64165 2077
31594 5080
17060 3772
7019 3779
17060 3879
17060 5770
7019 3879
7019 8112
17060 1519
17060 3974
7019 3803
7019 4008
17060 6127
7019 6222
17060 3989
7019 4611
17060 4026
17060 4048
7019 3914
47976 3818
51876 3804
29349 4802
56169 5729
29349 1304
56169 3757
56169 5112
29349 3924
29349 3852
29349 6177
56169 1983
56169 3776
29349 3675
56169 4245
29349 3660
56169 3804
29349 5760
23203 3925
31584 3659
23203 4819
23203 5956
31584 4387
56169 4072
29349 7235
31584 5114
23203 3675
23203 3664
23203 3793
31584 1095
31584 1358
23203 5485
23203 3657
31584 4192
23203 6888
31584 5736
23203 3822
31584 4059
23203 3790
31584 7232
23203 3686
31584 4057
23203 3669
31584 5087
23203 5095
31584 4204
31584 4498
23203 3746
31584 6551
23203 3642
31584 4265
23203 3677
27298 3684
27298 4628
47970 5702
7009 7622
58018 4975
47970 5169
27298 3678
27298 3708
47970 3651
27298 7066
47970 1206
27298 5014
47970 3871
27298 3810
47970 3750
27298 3674
53923 8650
56163 3819
53923 3662
53923 5653
56163 4998
47970 3666
27298 3632
56163 5149
53923 85
56163 4277
53923 3830
56163 4849
56163 2122
53923 6289
53923 3810
56163 3784
53923 1313
56163 3720
53923 3706
15009 383
47975 7207
47975 4231
47975 5184
15009 3840
15009 57
47975 1875
47975 1320
47975 3791
15009 3869
47975 4996
15009 28
47975 4081
47975 3666
15009 3676
47975 4627
15009 5095
33440 3671
56166 6260
33440 982
56166 3663
56166 4973
33440 4468
33440 6786
56166 5388
33440 4483
56166 3805
33440 3656
33440 3822
56166 3800
56166 3780
56166 6923
33440 4184
2720 4034
31589 5119
2720 3673
2720 4625
31589 3685
31589 6809
2720 360
31589 3639
31589 6097
2720 4421
31589 3942
2720 3796
2720 6261
31589 5558
2720 3933
31589 291
31589 250
2720 1747
45729 4240
7012 5525
45729 4557
7012 3829
7012 8128
45729 5776
45729 8072
7012 926
45729 4226
7012 3798
45729 3824
45729 3928
7012 3705
7012 4450
45729 210
23212 3837
31604 3647
23212 3825
23212 4619
31604 4295
31604 7153
23212 3682
23212 4872
23212 3913
23212 3900
31604 4210
31604 3928
23212 4647
31604 3896
23212 4999
31604 3879
23212 6110
31604 3785
23212 3793
31604 3765
23212 3841
58029 4045
7029 5438
58029 4627
7029 3676
7029 4981
58029 3830
58029 5813
7029 1000
58029 4807
7029 5113
58029 3683
58029 7426
7029 2538
7029 3668
58029 2
27309 3647
47990 5153
27309 3699
27309 5155
47990 6954
47990 4839
27309 3669
27309 3680
47990 3867
47990 6588
27309 2549
27309 4334
47990 3667
27309 3884
47990 3754
47990 2081
27309 2544
53932 5037
56183 3634
53932 3651
53932 4672
56183 2623
53932 1968
56183 4649
56183 5156
53932 3638
56183 275
53932 5767
56183 452
53932 3661
53932 3658
15022 4697
47987 5869
15022 3290
47987 3765
47987 5537
15022 3656
15022 3672
47987 7415
15022 5256
47987 5401
15022 3676
15022 3912
47987 3689
15022 3835
47987 4006
15022 3806
47987 4627
15022 4991
47987 3694
33455 3808
56178 3643
33455 3681
56178 5924
56178 5465
33455 3777
33455 5109
33455 5208
56178 5267
56178 800
33455 3840
56178 3877
33455 4271
56178 3760
33455 4975
56178 2809
33455 5908
33455 3765
2735 3795
31601 4054
2735 4122
2735 4594
31601 3817
31601 5948
2735 997
2735 3789
2735 3940
31601 3643
31601 4126
31601 390
2735 3834
31601 4741
2735 3680
31601 5863
31601 3632
2735 4115
31601 6403
45742 3821
7024 3801
45742 5396
45742 4431
7024 3644
7024 9157
45742 3626
45742 3931
7024 3812
7024 3787
7024 3806
45742 3628
7024 1245
45742 1269
7024 3667
45742 3735
7024 3750
45742 3659
39592 3753
47993 4121
39592 7539
39592 5620
47993 5150
47993 5055
39592 3793
39592 5687
47993 8357
39592 4916
47993 3828
47993 4397
39592 3788
47993 5509
39592 4973
47993 4224
39592 1284
47993 5476
47993 3722
39592 3795
8873 3634
56184 3642
8873 3650
8873 7294
56184 8745
56184 5073
8873 94
56184 3809
8873 3791
56184 4364
8873 8038
