flow_ID proc_time
8030 8035
22093 4621
8030 4069
8030 7088
22093 5476
22093 231
8030 7951
8030 830
8030 5912
22093 4012
8030 4207
22093 7366
8030 3875
8030 3764
22093 3821
22093 5128
8030 5369
8030 3869
22093 3892
22093 3798
22093 5527
22093 3946
8030 3920
8030 3819
22093 3877
22093 4898
8030 5278
8030 3848
22093 3784
22093 3841
8030 3926
8030 3844
22093 3912
22093 4856
8030 5147
8030 3910
22093 3991
22093 4048
8030 4058
8030 3943
22093 3895
22093 3955
8030 5476
8030 6485
22093 30
8030 3941
8030 4737
22093 3956
22093 3911
8030 80
22093 955
8030 3922
8030 3962
22093 3861
22093 4006
8030 487
22093 4373
22093 4945
8030 5486
8030 3281
22093 7071
8030 4475
22093 3858
22093 4013
8030 3878
8030 6301
22093 3902
22093 4101
8030 4165
8030 6362
22093 3985
22093 4098
8030 3838
8030 4883
22093 531
8030 3996
8030 3961
22093 3875
22093 6552
8030 3889
8030 5091
22093 4138
22093 5361
8030 4184
8030 3927
22093 3954
22093 3993
8030 4033
8030 4106
22093 4128
22093 5043
8030 5422
22093 3963
5831 3973
32409 3946
5831 3931
5831 4783
32409 3888
32409 8104
5831 4138
32409 6805
5831 3822
22093 3996
8030 3931
5831 3911
5831 4017
5831 5110
32409 5205
32409 4054
5831 3949
32409 3909
5831 3992
5831 3867
32409 4413
32409 4152
5831 10578
32409 1573
5831 3882
32409 4699
5831 3829
8030 3888
22093 3836
22093 4775
8030 5523
5831 4538
32409 4447
32409 4063
5831 3801
8030 3870
22093 730
8030 6156
5831 3843
32409 4428
32409 3990
5831 3795
8030 3863
22093 4137
22093 4010
8030 3970
5831 4914
32409 5344
32409 3947
5831 3902
8030 4185
22093 3946
22093 4013
8030 3817
5831 4005
32409 3761
32409 6472
5831 4120
8030 4086
22093 3915
22093 3966
8030 3887
5831 4203
32409 4088
32409 3969
5831 4929
8030 3991
22093 1645
8030 3861
5831 4006
32409 3857
32409 4177
5831 3945
8030 3981
22093 924
8030 3890
32409 3889
32409 3926
5831 4027
8030 3912
22093 3878
22093 5234
8030 5234
5831 4062
32409 3936
5831 4392
8030 4007
22093 4400
22093 4360
8030 13345
5831 9530
32409 5379
32409 5345
5831 3987
8030 4167
22093 190
8030 3905
5831 3986
32409 181
5831 3803
8030 4038
22093 4344
22093 3841
8030 3818
5831 3936
32409 3962
32409 3984
5831 5034
8030 5555
22093 4322
22093 3896
8030 3807
5831 3970
32409 3881
32409 4552
5831 3786
8030 5054
22093 3973
22093 5283
8030 3813
5831 4022
32409 3988
32409 4117
5831 4042
8030 4249
22093 1003
8030 5429
5831 4137
32409 3904
32409 3934
5831 4091
8030 4410
22093 4028
8030 4822
5831 5294
32409 3918
32409 4028
5831 3898
8030 4253
22093 3931
22093 3900
8030 4375
5831 3948
32409 4225
5831 4033
8030 4235
22093 3989
22093 3871
8030 6243
5831 3911
32409 3986
32409 3950
5831 3935
8030 4113
22093 4030
22093 5232
8030 10601
32409 4047
32409 4198
5831 3944
8030 3974
22093 808
8030 5332
5831 5301
32409 4042
32409 3949
5831 4379
8030 3963
22093 4051
22093 4182
8030 3868
5831 4978
32409 5397
5831 3890
8030 4204
22093 3920
22093 4146
8030 3930
5831 3879
32409 5030
32409 6070
5831 4372
8030 5117
22093 10452
8030 5903
5831 3922
