flow_ID proc_time
24535 9953
59179 4697
24535 3909
24535 6211
59179 3723
59179 4786
59179 6502
24535 3986
59179 4163
59179 4007
24535 3730
24535 248
24535 960
59179 6689
24535 5628
59179 302
24535 51
59179 4276
59179 3904
24535 4907
26253 4020
28201 5191
26253 3736
26253 4830
28201 3738
59179 3759
28201 5712
28201 130
26253 3754
26253 1621
26253 914
26253 227
28201 221
26253 3759
26253 3902
28201 4230
28201 2665
26253 6555
26253 3996
28201 5373
26253 3791
28201 3968
24535 781
59179 414
59179 63
59179 4082
24535 3732
38150 4043
33034 4894
114 3974
38150 5075
61539 3800
33034 3738
38150 4932
33034 5067
61539 3934
114 3861
114 5262
114 4513
114 5225
61539 6281
38150 4705
61539 4485
61539 4226
33034 3914
38150 6390
33034 778
38150 4089
38150 5229
114 3912
114 3932
38150 4191
61539 3880
33034 3788
61539 749
61539 375
33034 5
33034 442
114 3952
38150 5216
114 4046
38150 5849
114 4325
114 4172
114 5402
114 5647
38150 3772
114 4315
38150 3821
114 4198
114 4168
38150 3829
114 6509
114 4253
114 7435
38150 5757
114 4542
114 4332
38150 4059
114 7055
38150 4329
114 4307
114 5323
38150 3836
114 5585
114 4343
38150 4307
114 4356
24535 3982
24535 4123
114 4330
38150 4842
114 5663
114 4312
114 4263
38150 3762
114 4214
114 4197
38150 4757
114 6176
38150 5338
24535 3788
24535 3825
38150 3875
24535 207
59179 2277
59179 436
24535 3831
59179 1337
24535 3886
114 4113
47066 4557
38150 3770
34619 3937
47066 3918
47066 4278
34619 3755
34619 5129
34619 5678
34619 5507
47066 3741
34619 488
47066 423
47066 324
47066 558
47066 113
24535 1395
38150 4051
34619 4032
34619 58
47066 3920
34619 3408
47066 180
34619 4443
43621 3979
59179 4829
59179 5261
24535 3859
2382 3981
43621 3752
43621 4359
114 4906
114 4151
38150 3912
114 5324
114 5569
114 4326
114 4272
38150 3856
114 5213
114 5744
38150 3879
114 4626
114 4189
38150 3787
114 4248
114 5308
38150 5096
114 4163
114 4191
38150 3957
114 7634
114 4240
38150 3807
114 6665
114 4192
38150 3769
47066 3791
114 4320
114 4148
114 6670
114 5140
38150 3827
114 5155
114 5514
38150 3706
2382 3780
114 4132
114 4179
38150 3684
114 4170
114 5177
38150 5120
114 4149
114 4278
38150 3862
114 4259
114 4127
38150 3767
114 5163
34619 5261
2382 5446
2382 5315
2382 4114
43621 3731
43621 82
43621 4789
47066 3808
47066 5224
38150 3786
2382 4021
43621 3769
2382 3918
2382 4253
2382 1166
43621 1433
34619 1917
34619 3642
34619 3795
47066 3669
47973 3865
2382 3658
34461 3903
47973 3626
47973 4711
34461 3654
34461 5890
34461 5401
34461 3944
47973 425
47973 1229
47973 741
34461 4308
47973 3783
34461 4086
59179 5577
39477 3790
26164 3797
29239 4993
36406 3855
51766 4074
13879 3615
16950 3628
34461 3760
59179 3875
24535 3584
48695 3736
64055 3835
47973 3601
27036 3680
63901 3821
39477 4617
26164 4947
2456 3708
39321 3704
29239 3626
36406 3595
27033 3834
51766 3654
63896 3699
13879 4603
51610 3679
16950 3687
16950 4617
13879 5191
51766 5436
36406 4039
29239 4101
26164 4042
39477 4179
22939 3673
48695 3856
43419 3674
64055 3603
48695 5139
64055 5444
34461 4026
34461 378
47973 99
51610 3604
63896 3612
27033 4074
39321 3862
2456 3613
63901 3619
27036 4762
63896 6266
63896 4094
63896 3942
13879 3670
39321 5603
39321 4216
63901 5007
63901 4037
63901 3968
26164 3754
22939 3641
43419 4624
43419 6323
43419 4229
43419 4044
64055 3690
22939 5033
22939 4047
