flow_ID proc_time
0 0
49425 4390
41252 4027
49425 3845
49425 5694
41252 5270
41252 13516
49425 6223
49425 0
41252 4110
41252 4002
49425 3878
49425 4067
41252 4162
41252 5097
49425 4068
49425 5362
30992 2441
49445 6709
30992 0
30992 4409
49445 4303
41252 4884
49425 5258
49445 5684
30992 4269
30992 3953
49445 1419
49445 0
30992 4265
30992 4002
49445 427
30992 5573
49445 5374
30992 3987
49445 4079
30992 4232
37149 3879
41269 3869
37149 3897
37149 4445
41269 4054
41269 7350
37149 222
37149 0
41269 3901
41269 4535
37149 4268
37149 6427
41269 1
41269 0
37149 5631
41269 4177
37149 5370
41269 3870
37149 3862
10524 3935
49460 3994
10524 4107
10524 4444
49460 4234
49460 6667
10524 5333
10524 4004
49460 4776
49460 4035
10524 3925
10524 4544
49460 4180
49460 5259
10524 3995
49460 5193
10524 6409
49460 3974
10524 4974
41244 4074
24887 5257
41244 426
41244 0
24887 3993
24887 7760
41244 2447
24887 3985
24887 4292
41244 3915
41244 5518
24887 5452
41244 4110
24887 4212
24887 3981
41244 3946
24887 4048
41244 4904
24887 3903
41244 4422
6429 4064
310 4852
6429 11
6429 0
310 3906
310 4991
6429 4437
6429 3905
310 3876
310 4063
6429 3899
6429 5118
310 5281
310 4046
6429 3936
310 3913
6429 6731
310 4468
6429 4979
61727 4120
24882 3918
61727 1116
61727 0
24882 5245
24882 5211
61727 3932
61727 3937
24882 3894
24882 4074
61727 4001
61727 4224
24882 3891
61727 5218
24882 692
24882 0
61727 188
18718 4023
307 3924
18718 3916
18718 4440
307 3930
24882 6579
61727 3910
307 5170
18718 4273
18718 3983
307 3889
307 6411
18718 4107
18718 5689
307 5440
307 4073
18718 3876
18718 4478
307 3895
18718 3889
49438 4033
41264 3857
49438 4085
49438 4457
41264 4081
41264 7439
49438 1370
49438 0
41264 4287
41264 3996
49438 3939
49438 4134
49438 4387
41264 5207
41264 147
41264 0
49438 140
31007 4360
49457 4308
31007 4096
31007 4543
49457 3936
41264 6468
49438 4010
49457 7473
31007 1266
31007 0
49457 3961
49457 4237
31007 4039
31007 4049
49457 3932
49457 3965
31007 69
20761 5434
24888 4607
20761 3899
20761 4275
24888 4119
49457 3956
31007 3883
24888 5102
20761 3859
20761 5350
24888 3917
24888 5446
20761 3977
20761 4045
24888 4619
24888 4074
20761 317
20761 0
24888 4142
20761 7004
59672 5347
313 4168
59672 764
59672 0
313 3946
313 5093
59672 3872
59672 3940
313 3934
313 4005
59672 4063
59672 6648
313 3953
313 4026
59672 3919
59672 4251
313 3959
59672 3997
24856 4377
41274 4250
24856 771
24856 0
41274 5278
41274 5668
24856 4466
24856 3967
41274 4074
41274 4573
24856 3896
24856 359
41274 4040
41274 540
41274 0
24856 923
55577 4135
49467 3903
55577 4102
55577 4577
49467 3901
41274 4876
24856 5296
49467 5483
55577 3845
55577 4486
49467 4110
49467 4065
55577 3951
41279 7114
12571 3875
41279 4319
12571 3942
41279 6764
12571 3920
41279 4304
12571 391
12571 0
41279 4110
12571 4882
35098 5348
49470 3914
35098 3909
35098 6754
49470 4852
49470 5142
35098 4121
35098 5135
49470 5532
49470 4051
35098 3910
35098 4029
49470 3902
35098 4276
49470 4923
49470 5816
35098 3860
49470 4167
35098 4058
49470 4047
35098 3884
282 4161
24893 3920
282 4461
282 5600
24893 5788
24893 5552
282 3892
282 3984
24893 4096
24893 4062
282 3887
282 4296
24893 4540
24893 6435
282 6836
24893 3880
282 4398
24893 3807
282 3763
47387 3759
316 3813
47387 4268
47387 4357
316 3782
316 7457
47387 922
47387 0
316 3864
316 3914
47387 3804
47387 3952
316 4001
316 5121
47387 5181
316 3742
47387 3832
316 3801
47387 4273
37123 3879
41245 3857
37123 4048
37123 4278
41245 4962
41245 6518
37123 3931
37123 3981
41245 965
41245 0
37123 4178
41245 4489
37123 487
37123 0
41245 4233
37123 4059
10498 3922
49436 4099
10498 5079
10498 4421
49436 4335
49436 5131
10498 3962
10498 4917
49436 920
49436 0
10498 4634
10498 4056
10498 4153
49436 835
49436 4004
10498 248
10498 0
41218 5286
24863 3844
41218 4003
41218 4248
24863 6241
49436 3923
10498 3914
24863 5001
41218 4105
41218 4718
24863 4897
24863 5420
41218 3875
41218 4026
24863 4093
24863 4232
41218 4159
41218 3873
24863 3917
41218 3866
6403 4895
286 5498
6403 4573
6403 4583
286 5088
286 4975
6403 83
6403 0
286 4050
286 4178
6403 5036
6403 381
286 4051
286 4008
286 3954
6403 3144
61697 4093
24858 4071
61697 626
61697 0
24858 5350
286 4025
6403 3865
24858 5189
61697 4058
61697 4162
24858 4028
24858 4076
61697 235
24858 6025
24858 4070
61697 1339
24858 4082
61697 3969
18688 4698
283 3911
18688 3925
18688 5566
283 5611
283 5167
18688 587
18688 0
283 4026
283 4174
18688 50
283 4371
18688 6308
283 4053
283 3985
18688 507
49408 4023
41240 3954
49408 3987
49408 4394
41240 3916
283 4379
18688 4868
41240 6432
49408 4175
49408 4235
41240 3914
41240 4022
49408 3939
49408 4231
41240 4701
41240 5082
49408 336
49408 0
41240 3928
49408 4044
30977 4410
49433 4145
30977 3926
30977 4593
49433 6924
49433 5173
30977 3949
30977 5077
49433 1403
49433 0
30977 4249
30977 4204
30977 4046
49433 432
49433 20
30977 5507
49433 4115
30977 5297
49433 4062
30977 3887
20743 3928
24848 4373
20743 3907
20743 4697
24848 4080
24848 6420
20743 4088
20743 5410
24848 4376
24848 4192
20743 4259
20743 4344
24848 3906
24848 4014
20743 237
20743 0
24848 3865
20743 4123
59654 5711
273 4316
59654 3905
59654 4417
273 4432
273 5267
59654 4785
59654 4077
273 1088
273 0
59654 5704
59654 4028
59654 4088
273 600
273 3955
59654 3929
273 4299
59654 5095
273 4499
59654 5434
24838 3905
41234 3881
24838 376
24838 0
41234 6030
41234 5069
24838 3914
24838 3987
41234 6694
41234 4070
24838 3916
24838 4929
41234 4498
41234 5646
24838 4758
41234 4114
24838 4986
41234 3963
24838 4364
55559 4025
49427 4020
55559 4066
55559 4281
49427 4897
49427 6620
55559 835
55559 0
49427 3975
49427 4209
55559 4079
55559 4227
49427 4048
55559 5503
49427 4433
49427 5480
55559 4930
49427 4072
55559 4199
49427 4337
55559 4063
12549 6353
41239 4108
12549 3881
12549 4413
41239 5093
41239 6321
12549 204
12549 0
41239 3917
41239 4018
12549 3950
12549 4504
41239 4100
41239 4012
12549 4793
41239 5099
12549 5729
41239 4205
12549 4027
35076 3971
49430 4071
35076 4857
35076 4252
49430 4191
49430 6071
35076 1657
35076 0
49430 3983
49430 4174
35076 3913
35076 4155
49430 4230
49430 6453
35076 4207
49430 4794
35076 4910
49430 5588
35076 4348
260 4048
24853 3975
260 3952
260 4237
24853 4609
24853 4906
260 4207
260 6455
24853 4120
24853 4046
260 4027
260 4034
24853 3899
24853 4000
24853 3966
260 3998
260 4946
47365 5290
276 3944
47365 3930
47365 4258
276 3989
276 5447
47365 4100
47365 3981
276 4948
276 8299
47365 914
47365 0
276 3934
47365 4097
261 827
261 0
59657 5434
261 4152
59657 4080
261 4134
59657 4507
24841 4404
41222 4139
24841 4089
24841 5593
41222 5511
41222 5117
24841 3892
24841 3985
41222 4175
41222 4065
24841 4480
24841 5474
41222 5249
41222 4071
24841 4217
41222 6257
24841 4587
41222 3801
24841 3766
55560 3810
