flow_ID proc_time
21209 6114
25656 6523
21209 5027
21209 7837
25656 5881
25656 15072
21209 1942
25656 6536
25656 10707
21209 8627
21209 5598
25656 7851
25656 5674
21209 6924
21209 6446
60120 6365
1081 5073
60120 6874
60120 5958
1081 9019
25656 8649
21209 4733
1081 7183
60120 4336
1081 9368
1081 6425
60120 5353
60120 4993
1081 10086
1081 7018
60120 5153
60120 6842
25304 5494
42042 8048
25304 4514
25304 5773
42042 6584
1081 6972
60120 6301
42042 8090
25304 7074
25304 8704
42042 7058
42042 5387
25304 6735
25304 5465
42042 8603
42042 5520
25304 6862
25304 8989
42042 4043
25304 7214
56025 5719
50235 8692
56025 6291
56025 7165
50235 5982
50235 5862
56025 123
50235 6961
56025 5469
56025 7415
50235 8683
50235 9267
56025 8113
56025 5433
50235 8081
56025 7279
13019 7759
42047 6734
13019 5041
13019 6392
42047 5228
42047 8628
13019 7872
13019 7350
42047 6289
42047 4284
13019 6194
13019 8405
13019 4450
42047 6540
42047 6447
42047 4789
13019 5059
13019 6351
35546 8128
50238 5062
35546 8644
35546 6457
50238 5217
42047 6414
13019 8505
50238 6391
35546 6007
35546 6642
50238 6864
50238 6025
35546 8490
35546 4379
50238 6485
50238 5430
35546 2176
50238 6836
35546 4494
730 6750
25661 6460
730 4531
25661 7685
25661 6038
730 6971
25661 3861
730 94
730 916
25661 3322
25661 6703
730 5226
25661 8507
730 4070
25661 5802
730 9321
47835 8619
1084 6233
47835 7723
47835 5029
1084 6423
1084 5906
47835 5266
47835 6933
1084 8126
1084 8180
47835 7253
47835 5741
1084 4199
1084 5862
47835 7159
21226 7490
25724 5740
21226 3477
25724 8118
1084 6669
47835 7627
25724 9587
21226 8053
21226 6792
25724 4758
21226 8544
21226 6218
21226 4330
25724 5001
25724 8660
25724 6581
21226 6097
60139 8623
1149 6738
1149 6077
60139 4423
60139 5842
1149 4355
1149 7200
60139 4195
25323 5668
42110 5248
25323 4299
25323 7116
42110 5581
1149 6698
60139 5560
42110 8425
25323 7771
25323 6624
42110 5149
42110 7340
25323 5316
25323 7248
42110 6244
42110 4569
25323 5728
42110 8885
25323 7358
56042 5342
50303 4312
56042 6890
56042 6318
50303 7120
50303 7199
56042 5964
56042 5234
50303 10654
50303 6423
56042 6199
56042 5520
50303 4209
50303 5337
56042 4366
56042 8390
50303 6614
56042 7560
13032 5301
42107 7154
13032 270
13032 5587
42107 5165
13032 7523
42107 5448
13032 6796
35561 5536
50298 5830
35561 8018
35561 5951
50298 7896
50298 5482
35561 7647
35561 5867
50298 5189
50298 4297
35561 5503
35561 4367
50298 5874
50298 8304
35561 6274
50298 7357
35561 5731
50298 6477
35561 5962
50298 6774
35561 7205
50298 5581
35561 5180
50298 7290
35561 5292
50298 6684
35561 7063
50298 4526
35561 6617
50298 8490
745 8589
25721 7349
25721 7895
745 7515
745 6843
25721 441
