flow_ID proc_time
40712 4431
46841 3978
40712 297
46841 9249
46841 13577
40712 13173
46841 6281
46841 4042
40712 3934
40712 1572
46841 5202
40712 822
9993 3942
55032 3913
9993 4052
9993 4468
55032 3957
46841 3875
40712 5792
55032 6571
9993 893
55032 431
9993 3825
9993 4185
55032 3552
9993 135
44809 4695
30459 5317
44809 5228
44809 4154
30459 3806
55032 3829
9993 3799
30459 5094
44809 3934
44809 7030
30459 1361
44809 3895
44809 4643
30459 14
44809 4112
44809 6568
30459 4147
44809 3824
5896 3888
5882 4126
5896 3993
5896 4204
5882 4029
5882 5422
5896 5496
5896 867
5882 5957
5896 3976
5882 3858
5882 5137
5896 4039
5896 4347
65290 3815
30462 4792
65290 1010
30462 3923
5882 3785
5896 3776
30462 354
65290 7787
30462 1848
65290 4703
65290 5439
65290 4728
30462 12
30462 4005
65290 2228
18187 5231
5887 3776
18187 2586
5887 3894
30462 4481
65290 3760
5887 7999
18187 1950
5887 3925
5887 3938
18187 3798
18187 6441
5887 5191
18187 657
5887 3820
18187 3957
53003 3828
46844 3826
53003 3801
53003 4133
46844 3796
46844 7368
53003 4173
53003 7822
46844 6120
53003 4408
53003 4078
53003 4040
46844 3891
46844 4895
46844 5406
53003 3940
46844 3957
53003 4059
46844 3930
53003 3910
30474 4903
55037 3801
30474 3863
30474 6132
55037 7845
55037 6609
30474 4606
30474 4019
55037 4149
55037 3951
30474 3833
30474 3946
55037 5183
55037 5396
30474 214
24338 2818
30428 5643
24338 4170
30428 4123
55037 3903
30474 4869
30428 6540
24338 4975
24338 8744
30428 1011
24338 4317
24338 5062
24338 5466
30428 4007
30428 4897
30428 4571
24338 3839
24338 3884
59155 3776
5853 3784
59155 3807
59155 5194
5853 6920
30428 6395
24338 5757
5853 5124
59155 1
5853 3799
5853 5075
59155 3838
59155 5595
5853 3959
5853 4159
59155 4060
59155 6003
28435 5456
46814 5115
28435 5361
28435 4260
46814 4047
5853 4014
59155 3908
46814 6276
28435 3962
28435 5540
46814 4340
28435 5046
28435 4081
46814 4027
46814 4556
28435 3916
28435 5045
46814 5402
28435 3889
55058 3876
55007 4039
55058 4867
55058 4493
55007 5120
55007 7346
55058 328
55007 4096
55007 4172
55058 3877
55058 4040
55007 4504
55007 5496
55058 19
55007 4009
55058 6592
16144 6086
46811 6161
16144 3902
16144 4547
46811 4691
46811 7689
16144 468
46811 4044
46811 4038
16144 3924
16144 4512
16144 4126
46811 5921
46811 6363
16144 488
34577 4071
55002 4175
34577 4037
34577 4513
55002 4500
46811 5047
16144 5235
55002 4905
34577 4260
55002 7442
55002 4036
34577 3960
34577 5118
55002 5294
55002 4017
34577 313
3857 4673
30425 3893
3857 4381
55002 3901
34577 3911
3857 7114
30425 6167
30425 6527
3857 380
30425 3722
30425 3799
3857 3818
3857 3807
30425 4664
30425 5862
3857 3669
30425 4545
3857 3743
30425 5744
3857 5057
30425 6298
3857 5022
30425 5586
3857 3800
30425 4259
3857 3989
30425 6558
3857 5204
30425 4235
3857 3713
30425 6728
3857 4376
30425 4253
3857 3783
3857 3811
46801 3699
40726 3667
46801 4749
40726 5058
46801 3683
40726 3642
10007 3731
54992 7427
10007 4038
54992 3699
54992 6634
10007 3761
10007 5203
54992 3693
54992 3839
10007 3802
10007 3905
54992 3754
54992 4272
10007 3804
54992 4135
10007 5941
10007 4041
44823 5117
30419 4098
44823 3686
44823 4227
