flow_ID proc_time
24272 6302
29732 3869
24272 3869
24272 4739
29732 4209
29732 481
24272 5774
29732 6426
24272 3935
24272 6820
29732 4429
29732 3972
24272 3941
29732 4355
24272 4881
29732 6159
24272 3965
59089 4893
5157 4167
59089 4487
59089 4928
5157 11879
5157 7091
59089 984
5157 3934
5157 4176
59089 3877
59089 5058
5157 5189
5157 3963
59089 3874
59089 3976
28369 3909
46118 4096
28369 3951
28369 6826
46118 3880
5157 3936
59089 4032
46118 7921
28369 284
46118 4069
46118 4121
28369 5463
28369 5547
46118 3894
46118 4022
28369 4904
28369 5871
46118 4089
28369 3822
54992 9273
54311 4564
54992 3819
54992 6582
54311 3939
54311 7429
54992 4166
54992 4007
54311 4787
54311 5447
54992 3969
54992 6282
54311 3748
54311 6364
54992 4327
54992 3871
54311 4013
54992 3756
16082 3798
46115 3789
16082 4930
16082 6476
46115 3942
46115 7321
16082 3921
16082 6160
46115 3788
46115 3921
16082 3837
16082 6296
16082 6458
46115 294
46115 3904
16082 4721
46115 3779
16082 5393
46115 5279
16082 3805
34515 3799
54306 4102
34515 3746
34515 5226
54306 5233
54306 3977
34515 4815
34515 3927
54306 4878
34515 3790
3795 5127
29729 3783
3795 3802
3795 4960
29729 3987
29729 7756
3795 4616
3795 6273
29729 4118
29729 6377
3795 3836
3795 3918
3795 6236
29729 3796
29729 3792
29729 4226
3795 4478
29729 4939
3795 6010
29729 4356
46802 3841
5152 4223
46802 4921
46802 5660
5152 3904
5152 7369
46802 3912
46802 3928
5152 3957
5152 6339
46802 3810
46802 5038
5152 5907
5152 4038
46802 4033
46802 4102
5152 4760
46802 5049
40660 4840
46121 3790
40660 3789
40660 4729
46121 4875
46121 7403
40660 3919
40660 3861
46121 3799
46121 6358
40660 3974
40660 4104
40660 6348
46121 986
46121 6211
40660 3800
40660 3814
9941 3799
54312 3799
9941 4484
9941 6547
54312 3851
46121 3821
40660 4105
54312 7372
9941 3752
9941 4307
54312 3834
54312 5165
9941 5304
9941 3943
54312 4572
54312 3872
9941 5231
9941 3981
44757 5161
29739 4159
44757 3788
44757 4315
29739 5991
54312 3816
9941 5090
29739 7499
44757 5479
44757 3834
29739 4017
29739 6411
44757 4356
44757 4893
29739 5173
29739 3845
44757 3942
29739 3986
44757 3796
29739 3864
44757 4811
5844 5355
5162 3935
5844 3955
5844 4092
5162 4061
5162 7454
5844 4096
5844 5009
5162 3937
5162 6259
5844 4229
5844 3943
5162 3825
5162 6255
5844 44
5162 3803
5844 4170
65238 3940
29742 4853
65238 6374
65238 6467
29742 3938
29742 7235
65238 4144
65238 3829
29742 4026
29742 3904
65238 4833
65238 5249
65238 4666
29742 4388
29742 5602
29742 3906
65238 3883
65238 3758
18135 3817
5167 3780
18135 4856
18135 6409
5167 3827
29742 3814
65238 3715
5167 8299
18135 5165
18135 3995
5167 3789
5167 4880
18135 5128
18135 3750
5167 3813
5167 6518
18135 3643
5167 6371
18135 3825
5167 6429
18135 3768
5167 6911
18135 3655
5167 6426
18135 3794
5167 6545
18135 3632
5167 6407
18135 3763
5167 6421
18135 3683
5167 6568
18135 4567
5167 6454
18135 4118
5167 6892
18135 3719
5167 6635
18135 4343
5167 6552
18135 3974
5167 6671
18135 1045
5167 3712
18135 3837
52951 3693
46124 3811
52951 3689
52951 6732
46124 3783
46124 7261
52951 3701
52951 3918
46124 4117
46124 6289
52951 3949
52951 5365
46124 3953
52951 6467
46124 3853
46124 3779
52951 3723
30422 3686
54317 4804
30422 3755
30422 8392
54317 6017
46124 3679
52951 3759
54317 7332
30422 4373
30422 3700
54317 3918
54317 4875
30422 3802
30422 5184
54317 4402
54317 6411
30422 3694
30422 3775
24270 3791
29708 3674
24270 3627
24270 6670
29708 3968
54317 3829
30422 3605
29708 7276
24270 5752
24270 3908
29708 3699
29708 3908
24270 3861
24270 6156
24270 4234
29708 986
29708 5076
24270 3714
24270 3872
59087 3646
5133 3831
59087 5165
59087 5789
5133 3645
29708 3689
24270 3596
5133 7318
59087 3734
59087 3866
5133 3796
5133 5310
59087 3790
59087 5229
5133 3952
5133 6098
59087 3671
59087 4240
28367 4105
46094 3663
28367 3678
28367 6687
46094 3639
5133 3621
59087 4071
46094 8090
28367 3721
28367 5202
46094 4160
46094 4706
28367 3688
28367 6227
28367 3769
46094 3653
46094 5156
46094 5065
28367 3861
28367 3863
54990 3755
54287 3656
54990 3759
54990 6558
54287 4137
46094 3706
28367 3698
54287 7264
54990 3673
54990 3857
54287 3848
54287 3815
54990 3868
54990 6148
54287 3705
54287 6124
54990 3822
54990 3668
54287 3639
54990 3615
16076 3695
46091 3809
16076 3726
16076 7153
46091 3701
46091 751
16076 3686
46091 3750
16076 3682
16076 6134
46091 3734
16076 3773
46091 4697
46091 5246
16076 4111
46091 3678
16076 3735
46091 3644
16076 3656
34509 4643
54282 5022
34509 3819
