flow_ID proc_time
49425 1830
41252 4842
49425 1500
41252 1174
41252 1738
49425 3354
41252 1025
49425 539
49425 5962
30992 4081
49445 4027
30992 2108
49445 4938
41252 5167
49425 4979
49445 1572
30992 3032
49445 2134
30992 2018
49445 2582
49445 1050
30992 1357
49445 928
30992 3938
37149 1053
41269 4192
37149 2443
41269 4387
41269 394
37149 4050
41269 2039
41269 1154
37149 52
41269 2106
37149 6166
41269 6192
10524 109
49460 1816
49460 710
10524 3254
10524 789
49460 2198
10524 1724
49460 1447
49460 1195
10524 4485
10524 4104
49460 5671
41244 5873
24887 555
41244 5219
41244 61
24887 771
41244 1418
24887 1052
24887 2316
24887 1109
41244 953
24887 866
41244 901
6429 1061
310 3848
6429 1893
310 1913
310 155
6429 3235
6429 274
310 3114
310 36
6429 4285
310 1135
310 1238
6429 1439
310 1593
6429 1134
61727 1373
24882 4384
61727 2353
24882 4594
24882 2074
61727 4301
24882 307
61727 1800
24882 2737
61727 2970
18718 1974
307 137
18718 3493
24882 4288
61727 3863
307 1597
18718 4421
307 3368
18718 1390
18718 854
307 718
18718 191
49438 362
41264 4706
49438 463
49438 2425
41264 1511
41264 6031
49438 1825
49438 32
41264 2670
49438 2284
31007 177
49457 369
41264 5165
49438 4281
49457 2576
31007 558
49457 2553
49457 130
31007 3621
49457 2121
31007 3036
20761 1128
24888 3832
20761 4336
24888 4093
49457 4036
31007 3776
24888 5293
20761 489
20761 2336
24888 2031
20761 1215
59672 193
313 142
313 966
313 558
59672 3222
59672 430
313 3058
59672 829
313 3411
59672 290
313 3761
24856 792
41274 664
41274 468
41274 718
24856 4525
41274 2110
24856 719
24856 2516
41274 1822
24856 4653
55577 504
49467 5178
55577 2800
49467 4651
41274 4167
24856 3721
49467 6011
55577 1840
55577 902
49467 2706
55577 2036
12571 1051
41279 330
12571 3012
49467 4326
55577 3750
41279 826
12571 3228
12571 971
41279 2748
12571 798
41279 4947
12571 5242
41279 6935
41279 4501
12571 4241
41279 4201
12571 4018
41279 4182
12571 4042
41279 7250
12571 6886
41279 4930
12571 5251
41279 6911
12571 5324
41279 5725
12571 5335
37123 1009
41245 3801
37123 2042
41245 375
41245 191
37123 3742
37123 495
41245 252
37123 3972
41245 2357
37123 2374
41245 3942
37123 7887
10498 263
49436 3177
49436 2047
49436 2167
10498 1522
49436 1980
49436 714
10498 2766
41218 1040
24863 3694
41218 2845
24863 3934
49436 3625
10498 3565
24863 932
41218 3975
41218 522
24863 2111
41218 2684
24863 654
41218 2332
41218 1088
24863 3819
6403 972
286 3654
6403 2127
286 3758
286 3060
6403 5252
286 2069
286 980
6403 2666
61697 1537
24858 4231
61697 2179
24858 4096
286 4580
6403 4516
24858 942
61697 4151
24858 1797
61697 2512
24858 862
61697 1617
61697 1959
24858 5046
18688 1524
283 4066
18688 3124
283 472
283 471
18688 2905
283 699
18688 1066
283 2023
18688 5649
49408 1969
41240 4296
49408 2023
41240 3660
283 3903
18688 5104
41240 176
49408 2747
49408 772
41240 3635
49408 887
41240 2098
49408 2407
49408 936
41240 3649
30977 543
49433 4266
30977 2020
49433 369
49433 383
30977 3504
30977 189
30977 1858
30977 1040
49433 2093
30977 4347
49433 5139
20743 5053
24848 1181
20743 1992
24848 1672
20743 1401
24848 2054
20743 2539
20743 732
24848 3761
59654 970
273 3806
59654 2016
273 391
273 1874
59654 3935
273 2830
59654 505
59654 1743
273 1092
273 677
59654 468
273 738
59654 1185
24838 4215
41234 2931
24838 1608
24838 5765
41234 2953
41234 1000
41234 878
24838 2652
41234 1666
41234 360
24838 166
55559 372
49427 3789
55559 2019
49427 3653
49427 789
55559 3747
49427 519
55559 1711
55559 1032
49427 1120
49427 1643
49427 147
55559 526
49427 734
55559 780
12549 783
41239 3757
12549 2034
41239 5489
41239 3550
12549 797
41239 434
12549 68
41239 1167
12549 1335
41239 1105
12549 627
35076 773
49430 3760
35076 1803
49430 996
35076 2057
49430 2024
35076 3794
35076 493
49430 2536
49430 663
35076 751
260 899
24853 3670
260 1855
24853 4138
49410 1301
35083 3878
49410 2030
35083 2539
35083 1021
49410 1115
49410 2392
35083 1995
49410 3642
35083 10057
24833 2262
267 1326
267 2932
24833 1287
24833 1525
24833 55
267 2453
267 380
24833 2750
267 2802
47370 467
256 3602
47370 1491
256 3692
24833 3949
267 3586
256 428
47370 3896
47370 752
47370 1641
256 1980
256 1758
47370 2330
256 2544
47370 2666
37132 658
41225 3750
37132 726
41225 4155
41225 5391
37132 30
37132 1366
41225 2499
41225 660
37132 756
10509 1419
49416 3842
10509 2357
49416 781
10509 3932
49416 1699
10509 1559
49416 1488
10509 2309
10509 424
49416 3688
41229 939
24843 4333
41229 2404
24843 3712
24843 244
41229 3128
24843 1829
41229 1445
24843 4878
41229 6882
24843 8139
6412 1387
266 5670
266 4379
24843 3962
41229 3630
266 343
6412 962
266 878
6412 2445
266 2034
266 405
6412 477
61710 745
24846 3808
61710 504
24846 1288
24846 404
61710 3910
61710 588
24846 3259
61710 2031
61710 803
24846 491
24846 1609
24846 569
61710 609
24846 655
61710 7576
18703 5035
271 2244
18703 262
18703 2089
18703 21
271 2183
271 1341
18703 2895
271 2198
18703 549
49423 3944
41228 3856
49423 1665
41228 175
41228 828
49423 3981
41228 2525
49423 1443
49423 749
41228 355
41228 724
41228 572
49423 993
41228 1709
49423 1641
30990 728
49421 3646
30990 3836
49421 3567
30990 1453
49421 337
30990 1351
49421 1295
30990 1340
20738 774
24860 3794
24860 187
24860 421
20738 3031
24860 2458
20738 3179
20738 104
24860 4266
20738 1190
24860 898
20738 658
24860 941
20738 710
59651 814
285 3645
59651 2495
285 377
285 619
59651 4570
285 2833
59651 3671
59651 5098
285 264
59651 3738
285 5517
59651 5478
285 4109
59651 3967
285 4573
59651 4443
285 4135
59651 3951
285 6218
59651 4441
285 4094
59651 4066
285 4079
59651 3842
285 5319
59651 5124
285 4141
59651 5106
285 4101
59651 9
285 4944
285 163
59651 2656
59651 1134
24835 3622
41246 3932
24835 2017
41246 411
24835 1275
24835 3091
41246 1476
41246 300
24835 3357
55554 701
49439 467
49439 1360
55554 4070
49439 2165
55554 890
49439 2547
49439 173
55554 1181
49439 1272
55554 860
12544 978
41243 3638
12544 1659
41243 759
12544 3801
12544 178
41243 1659
12544 977
12544 207
41243 3623
41243 3551
12544 3138
35073 2009
49434 695
49434 823
49434 1069
35073 3763
49434 2034
35073 2040
49434 2895
35073 762
49434 2000
35073 2775
257 1482
24857 313
24857 934
257 3915
24857 1539
257 2047
257 935
24857 349
257 566
24857 945
257 188
24857 494
257 6800
280 2343
47360 3650
280 1707
47360 2774
47360 933
280 1778
47360 1783
280 1574
47360 1292
37126 232
41233 3817
37126 1643
41233 583
41233 1116
37126 3537
41233 1778
37126 1534
37126 1827
41233 1846
41233 935
37126 1502
41233 1483
37126 2295
10503 416
49424 3712
10503 2078
49424 4128
49424 139
10503 4138
10503 2773
49424 1489
10503 955
49424 1015
10503 1289
41223 1059
24851 4839
41223 2653
24851 638
24851 994
41223 3789
41223 284
24851 1563
41223 2376
41223 953
24851 942
24851 2345
24851 1247
41223 570
24851 891
41223 509
6406 595
274 3718
6406 2094
274 3655
274 366
6406 3112
274 769
6406 641
274 3276
61700 198
24854 3716
61700 2033
24854 120
24854 948
61700 3418
61700 1013
24854 2475
61700 2381
61700 71
24854 3653
24854 2348
24854 1339
61700 1146
24854 1074
61700 1480
18693 1226
279 3869
18693 3702
279 571
279 481
18693 4534
279 2589
18693 2039
279 1511
279 106
18693 3761
18693 4665
279 5446
49413 3335
41236 2346
41236 957
49413 2044
49413 1726
41236 2986
49413 2630
49413 2651
41236 1054
41236 696
49413 2376
30980 646
49429 3662
30980 1482
49429 3891
49429 865
24834 4091
24834 1626
61707 4096
24834 2392
61707 2033
24834 2723
24834 40
61707 2370
61707 1021
18698 1350
259 238
18698 2842
259 201
18698 2801
259 2024
18698 174
259 135
259 1203
18698 716
259 3917
18698 7504
49418 59
41216 2095
49418 3762
41216 1688
41216 273
49418 2614
41216 1042
49418 1941
30987 1067
49409 3742
30987 1656
49409 1110
30987 2632
49409 1626
30987 2045
30987 742
49409 1154
49409 753
30987 1601
20749 236
24840 3727
20749 4118
24840 701
24840 462
20749 2773
24840 3094
20749 1467
24840 1968
20749 5290
59660 853
265 3819
59660 1134
265 1337
265 65
59660 3894
59660 437
265 496
59660 2970
265 2175
265 1072
59660 683
265 1045
59660 1067
24844 723
41226 3643
24844 2028
41226 251
41226 1041
24844 4017
41226 2047
24844 96
41226 462
41226 257
24844 549
41226 1811
24844 17121
55565 4591
49419 373
49419 1495
55565 1436
49419 1384
55565 3784
12559 349
41231 3725
12559 2014
41231 976
41231 479
12559 3904
12559 852
41231 102
12559 2846
41231 1979
12559 3688
41231 938
12559 975
35086 938
49422 3637
35086 1562
49422 4086
49422 509
35086 3946
35086 2724
49422 1672
35086 278
49422 902
35086 1092
270 1377
24845 1121
270 3570
24845 803
24845 105
270 3518
24845 2022
270 1458
24845 654
24845 1166
270 702
24845 1261
270 1386
47375 129
268 3620
47375 1719
268 380
268 1207
47375 380
47375 1509
268 146
268 38
47375 394
268 1765
37143 4155
41261 4130
37143 2169
41261 352
41261 322
37143 3914
37143 4204
37143 883
41261 2261
37143 2281
37143 788
41261 4481
10518 1601
49452 4166
10518 2343
49452 841
10518 2564
49452 2361
10518 2406
49452 1569
10518 1180
41238 2394
24879 2767
24879 806
24879 1614
41238 4150
24879 1345
41238 1832
