flow_ID proc_time
51170 5243
43104 3975
51170 3807
51170 5138
43104 10867
43104 15831
51170 169
43104 3899
43104 3784
43104 3917
51170 3958
43104 4033
51170 3952
43104 5044
51170 4337
43104 5255
51170 4787
43104 3814
51170 5032
32739 3799
51297 3792
32739 4138
32739 4633
51297 3861
51297 9690
32739 2000
51297 3930
32739 4014
51297 3898
51297 4035
32739 4575
51297 4003
32739 4911
51297 5324
32739 3832
32739 3902
22501 4335
26728 3964
22501 5277
22501 4826
26728 4871
51297 4445
32739 3747
26728 7574
22501 4676
22501 3963
22501 4992
26728 3930
26728 5335
26728 3972
22501 4370
26728 4021
22501 4093
26728 4030
22501 460
26728 3871
22501 3838
61412 3931
2153 5070
61412 5266
61412 4408
2153 4194
2153 4896
61412 4043
61412 3937
61412 4026
2153 1369
2153 330
61412 3871
2153 4005
61412 3953
2153 4542
61412 213
2153 3951
61412 3895
26596 5010
43114 5757
26596 4379
26596 4560
43114 4098
43114 5177
26596 4106
26596 3987
26596 5594
26596 5816
43114 1301
43114 717
43114 3958
26596 3812
43114 4009
26596 4275
43114 4100
26596 842
57317 4778
51307 5168
57317 4189
57317 4371
51307 3935
43114 4213
26596 3742
51307 6038
57317 566
57317 3891
51307 350
51307 3943
57317 3895
51307 4202
57317 4072
51307 4364
57317 1458
51307 4041
57317 6148
14311 4154
43119 3850
14311 4362
14311 5032
43119 4829
43119 5701
14311 711
14311 338
14311 4002
43119 3909
43119 4148
43119 4104
43119 3907
14311 4128
43119 3933
14311 4790
43119 5209
14311 237
36838 3852
51310 3826
36838 3818
36838 4494
51310 3805
43119 3799
14311 3773
51310 7527
36838 3931
51310 4642
36838 3924
51310 4035
36838 4912
51310 5378
36838 3900
36838 4283
51310 3769
36838 3894
2022 3839
26733 4247
2022 3835
2022 4269
26733 3797
26733 7498
2022 3893
2022 4287
2022 3943
2022 3983
26733 3961
26733 3940
26733 4108
26733 4156
2022 4892
26733 5395
2022 4047
26733 4173
2022 3965
49127 4348
2156 6377
49127 4268
49127 4392
2156 3898
26733 5070
2022 5137
2156 5596
49127 3840
49127 3994
49127 3915
2156 449
2156 4039
49127 3991
2156 5094
49127 6628
2156 3977
49127 3916
49127 3936
38911 3911
43085 3933
38911 4452
38911 4528
43085 4136
2156 4886
49127 5175
43085 5281
38911 4373
38911 3986
38911 4124
43085 556
43085 6801
38911 6123
43085 4064
38911 5442
43085 3912
38911 899
43085 3914
38911 3767
12286 3811
51276 3793
12286 3820
12286 6628
51276 3818
51276 5281
12286 4056
12286 3915
51276 3831
12286 3955
51276 3782
51276 4917
12286 5316
51276 4003
12286 3958
51276 3898
12286 3805
51276 3904
12286 3906
43006 3934
26703 3847
43006 4785
43006 8154
26703 6019
26703 5190
43006 3870
43006 3873
43006 3802
26698 5303
63485 3808
26698 3813
63485 3787
26698 4003
63485 3844
26698 6467
63485 4995
26698 4169
63485 3672
26698 6410
63485 4096
26698 4158
63485 5102
26698 6322
63485 4207
26698 5558
63485 3638
26698 6081
63485 3788
26698 4082
63485 4545
26698 6539
63485 3655
63485 3773
26698 3657
63485 3737
20476 3671
2123 3822
20476 4235
20476 4155
2123 4499
2123 5532
20476 572
2123 3925
20476 3941
2123 3852
20476 4015
2123 3786
2123 3910
20476 4914
2123 5144
20476 3663
2123 3877
20476 3808
20476 4517
51196 3648
43080 3828
51196 3679
51196 4160
43080 3657
2123 3639
20476 4651
43080 6270
51196 4796
51196 3843
43080 3626
51196 3851
43080 3791
43080 3774
51196 3644
43080 4777
51196 5141
43080 4307
51196 3691
51196 3658
32765 3682
51273 3676
32765 3777
32765 3989
51273 3638
43080 3733
51196 4608
51273 6156
32765 4211
32765 3910
51273 87
51273 3921
32765 5063
51273 4795
32765 5264
51273 3815
32765 3856
32765 3741
51273 4065
32765 3621
22523 3660
26688 3676
22523 3629
22523 4099
26688 3808
26688 7227
22523 29
22523 3769
26688 3654
26688 3677
26688 3935
22523 3704
26688 3763
22523 4658
26688 5264
22523 3685
22523 3674
26688 3659
22523 3614
61434 3853
2113 4262
61434 4275
61434 4176
2113 4203
2113 7295
61434 1485
61434 3952
61434 3761
2113 31
2113 4748
2113 4637
61434 4466
2113 3948
61434 3697
2113 3761
61434 3650
2113 3676
61434 3663
2113 3667
61434 3659
26618 3661
43074 4658
26618 5363
26618 4044
43074 4575
43074 4471
26618 3718
26618 3815
26618 3814
43074 404
43074 4843
26618 5325
43074 3845
26618 3697
43074 6720
26618 153
57339 3680
51267 3673
57339 3713
43074 3700
26618 3760
57339 4070
51267 4707
51267 6859
57339 695
57339 3828
57339 3770
51267 3668
51267 3646
51267 3786
51267 4981
57339 3743
51267 5182
57339 4753
51267 5231
57339 3750
57339 4812
14329 3764
43079 3834
14329 4525
14329 4608
43079 4110
51267 4099
57339 3818
43079 7667
14329 289
14329 3831
43079 3661
43079 3638
43079 3806
14329 3688
43079 3845
14329 4643
43079 5135
14329 549
43079 4255
14329 3619
36856 3779
51270 3777
36856 3791
36856 4607
51270 3644
51270 7378
36856 4048
36856 3856
36856 3845
36856 3770
51270 3668
51270 3793
51270 972
36856 4783
51270 3879
36856 4963
51270 3836
36856 3691
36856 3651
2040 3681
26693 3656
2040 4302
2040 5604
26693 3664
51270 6290
36856 3596
26693 4903
2040 3782
2040 3824
2040 3794
26693 3718
26693 3680
26693 5063
2040 3659
26693 5402
2040 3652
26693 3832
2040 3925
2040 4110
26693 3666
2040 3713
49145 3665
2116 3677
49145 5853
49145 5975
2116 3668
49145 3751
49145 3805
49145 3839
2116 3662
2116 491
2116 5209
49145 3680
2116 3863
49145 3633
2116 3727
49145 3902
2116 3680
49145 3799
2116 3777
49145 5101
22516 3705
26708 4897
22516 3646
22516 4565
26708 3641
26708 4777
22516 3781
22516 3718
22516 4942
26708 4118
26708 32
22516 3674
26708 3803
22516 3673
26708 3893
22516 3704
26708 3838
22516 4829
26708 4261
22516 4647
61429 5083
2133 3810
61429 3909
61429 4134
2133 4095
2133 4836
61429 3680
61429 3755
2133 3666
2133 4793
61429 5133
2133 3994
61429 3803
61429 3941
2133 3925
61429 3953
2133 3992
2133 3698
2133 3662
61429 339
26613 4231
43094 4529
26613 3817
26613 4115
43094 3662
43094 4792
26613 4128
26613 4698
43094 3748
43094 5198
26613 3900
43094 3788
26613 3801
26613 3829
43094 3706
43094 3756
43094 3643
26613 356
57332 3638
51287 5027
57332 3790
57332 4090
51287 3633
51287 4769
57332 3668
57332 3825
51287 3702
51287 4774
57332 5017
51287 3756
57332 3815
51287 4208
57332 3773
51287 3791
