flow_ID proc_time
6377 5228
902 3945
6377 5651
6377 4943
902 3941
902 12773
6377 7403
902 6315
902 3971
6377 3934
6377 4378
902 1311
6377 5107
902 3800
6377 3850
902 3814
6377 3932
61675 3820
25474 4797
61675 5213
61675 7752
25474 7354
25474 5306
61675 4108
61675 4988
25474 5257
25474 4068
61675 4950
61675 4050
25474 5179
25474 3849
61675 3933
25474 3143
61675 5877
61675 4902
18666 3934
899 3899
18666 4037
18666 4385
899 3832
899 6137
18666 3943
18666 5367
899 3959
899 4230
18666 3905
18666 5237
899 4599
899 6059
18666 3851
899 5232
18666 5151
899 4575
18666 4006
49386 5572
41856 6292
49386 3793
49386 5207
41856 5687
41856 5161
49386 3840
49386 3899
41856 4780
41856 7573
49386 6929
49386 4234
41856 56
49386 3907
49386 4034
41856 4521
49386 4982
30955 4417
50049 5278
30955 4359
30955 4316
50049 3926
50049 5435
30955 1595
50049 4054
50049 5734
30955 3874
30955 4019
50049 3775
50049 4158
30955 3847
30955 3825
50049 4766
30955 3931
20717 6025
25480 5123
20717 4097
20717 6716
25480 5825
25480 5371
20717 4478
20717 4043
25480 4919
25480 5381
20717 3907
20717 4129
20717 4071
25480 282
25480 4934
20717 5499
25480 4095
20717 3989
25480 3927
20717 4230
59628 4520
905 3907
59628 3947
59628 4128
905 3867
905 7450
59628 4824
59628 11972
905 5599
59628 4650
59628 5103
905 3931
905 5070
59628 4074
59628 5355
905 3904
59628 3764
24812 3984
41866 3825
24812 4250
24812 4292
41866 4070
41866 7107
24812 687
41866 3942
41866 4062
24812 3798
24812 3965
24812 3917
41866 3872
41866 3790
41866 4918
24812 1467
55533 3880
50059 5265
55533 5918
50059 4554
41866 3914
24812 3953
50059 8650
55533 4394
50059 3901
50059 6285
55533 3899
55533 4377
50059 3837
50059 3942
55533 3795
55533 4760
12527 8490
41871 6409
12527 3851
50059 3849
55533 4207
12527 4155
41871 3889
41871 7417
12527 5133
12527 7797
41871 6951
41871 4959
12527 6126
12527 4038
12527 4310
41871 4058
41871 4546
41871 4092
12527 5029
12527 6391
35054 8397
50062 6925
35054 996
50062 3903
41871 3813
12527 3866
50062 7568
35054 864
50062 3838
50062 3969
35054 3967
35054 4619
50062 3153
35054 1493
238 3812
25485 4002
238 3937
238 4252
25485 3944
50062 4384
35054 3872
25485 7651
238 749
25485 3616
238 364
25485 58
238 2067
25485 5279
238 3913
47343 4029
908 5016
47343 4803
47343 4151
908 4147
908 7721
47343 6228
47343 3921
908 3996
908 3891
47343 3740
47343 3941
908 3720
908 5929
47343 480
37091 3799
41885 7004
37091 3008
41885 3755
908 4043
47343 3871
41885 7958
37091 368
41885 4434
41885 4186
37091 355
37091 3937
41885 3784
41885 6382
37091 374
10466 3799
50076 3791
10466 3758
10466 4307
50076 3924
41885 3761
37091 3590
50076 7331
10466 2014
50076 3729
50076 5455
10466 4394
10466 3967
50076 3843
50076 4715
10466 360
41186 3679
25503 3840
41186 3652
41186 4061
25503 3628
50076 3695
10466 4170
25503 8450
25503 6405
41186 3998
25503 5500
25503 6514
41186 5559
25503 4323
41186 3775
25503 6540
41186 4432
25503 4087
41186 3657
25503 6469
41186 809
25503 3804
41186 3645
6371 4393
926 3695
6371 4167
6371 4048
926 3674
926 7371
6371 3682
6371 3769
926 5544
6371 5259
6371 3966
926 3777
6371 6685
926 3708
926 3717
6371 4116
926 3713
6371 3687
926 3854
6371 3773
61665 3757
25498 4289
61665 5220
25498 6905
25498 5075
61665 3708
61665 3783
25498 4253
25498 3912
61665 3709
61665 5265
25498 4997
25498 3748
61665 3655
25498 4003
61665 1509
25498 10632
18656 5191
923 3817
18656 3834
18656 4979
923 5158
923 5430
18656 3764
18656 3979
923 3781
923 3936
18656 3761
18656 5096
923 5214
923 5713
18656 6182
923 3662
18656 3692
923 3681
18656 3845
49376 3646
41880 3662
41880 5205
49376 3750
49376 3787
41880 5825
41880 6329
49376 3693
49376 3882
41880 4658
41880 4994
49376 5208
49376 5677
41880 6976
49376 4059
30945 3679
50073 3668
30945 3726
30945 4064
50073 4749
50073 6421
30945 3668
30945 3708
50073 3898
50073 3858
30945 3552
30945 5945
50073 2313
50073 3840
30945 3657
30945 3682
20711 3724
25488 4581
20711 3645
20711 4121
25488 4756
50073 5094
30945 6056
25488 4977
20711 3677
20711 3728
25488 3656
25488 4892
20711 5247
20711 3824
25488 4101
25488 3829
20711 3922
20711 3838
59622 3741
913 8939
59622 4520
913 5042
25488 3704
20711 3613
913 5107
59622 3808
59622 3811
913 3644
913 3772
59622 4675
59622 5307
59622 3757
913 5185
913 4180
59622 3973
59622 3771
24806 3645
41874 4167
24806 4653
24806 5362
41874 4210
913 3830
59622 3615
41874 5483
24806 3660
24806 3729
41874 3659
41874 8042
24806 6313
24806 4240
41874 3752
55527 5671
50067 3968
55527 3627
55527 3984
50067 5735
50067 5672
55527 4701
55527 6021
50067 5456
50067 4910
55527 5020
55527 4714
55527 3799
50067 3752
50067 3685
50067 3727
55527 5236
50067 6324
55527 6444
50067 3664
55527 3791
12517 3630
41879 3697
12517 4673
12517 5291
41879 3648
41879 6898
12517 716
41879 5002
41879 3899
12517 3689
12517 3823
41879 3694
41879 3798
12517 3652
12517 3730
41879 5144
12517 5428
35044 3713
50070 7342
35044 1434
50070 3786
50070 4867
35044 4668
35044 5215
50070 3649
50070 3884
35044 3696
35044 3802
35044 3773
50070 69
50070 5629
35044 4968
50070 5155
35044 3656
50070 3638
35044 3642
228 3642
25493 3635
228 3700
228 3928
25493 3664
25493 7404
228 145
25493 3657
228 3651
228 5697
25493 3666
25493 4952
228 5026
25493 3673
228 3652
25493 3618
228 3689
47333 3643
20712 4133
20712 3987
25476 3673
25476 5402
20712 4187
20712 3724
25476 3657
25476 249
20712 4064
25476 3802
20712 3630
25476 3875
20712 3694
25476 3623
20712 4753
59625 5001
901 3811
59625 3646
59625 4138
901 3637
901 7841
59625 2174
901 325
59625 5470
59625 3820
901 4692
59625 3843
901 3683
901 4291
59625 3846
901 3691
59625 4681
901 4700
59625 4389
24809 4828
41862 3883
24809 3773
24809 4084
41862 3818
41862 5194
24809 770
41862 5260
41862 4058
24809 3831
24809 3777
41862 4136
41862 6454
24809 3904
55528 4756
50055 5333
55528 3802
55528 4116
50055 3700
41862 3655
24809 3616
50055 4943
55528 3670
55528 4741
50055 5605
50055 3940
55528 4605
50055 5290
50055 3720
55528 3645
55528 3622
50055 3823
55528 4623
12522 5127
41859 3647
12522 3684
12522 4154
41859 3727
41859 4864
12522 4347
12522 6827
41859 2822
12522 5123
12522 3889
41859 3648
41859 4255
12522 3652
12522 4615
41859 3762
12522 3614
35051 3693
50050 6008
35051 3674
235 3783
25473 3779
25473 7835
235 441
25473 3681
235 3615
47338 6212
896 4215
47338 3647
47338 3953
896 3636
896 4842
47338 3805
47338 3759
896 4777
896 5920
47338 4192
47338 3914
896 3711
896 3838
896 3766
47338 64
37100 5113
41865 3638
37100 3661
37100 3989
41865 4454
896 3722
47338 5174
41865 5959
37100 4029
37100 5742
41865 3686
41865 4356
37100 3733
37100 3836
41865 3906
41865 3938
37100 4566
37100 3645
10477 4783
50056 5064
10477 4298
50056 5445
41865 3812
37100 3709
50056 5048
10477 3637
10477 4869
50056 3684
50056 5142
10477 3862
10477 3813
10477 3890
50056 3665
50056 3679
50056 7108
10477 5875
41197 3806
25483 5169
41197 3761
41197 4112
25483 3675
50056 4229
10477 3648
25483 5259
41197 3781
41197 4836
25483 5057
25483 3865
41197 4886
25483 3680
25483 3724
41197 3802
25483 3673
41197 4646
25483 3662
41197 5166
6380 3758
906 3660
6380 3736
6380 4096
906 3686
6380 4236
906 299
906 5259
6380 3692
61678 3764
18671 3751
911 3672
18671 3667
18671 4103
911 3824
911 5833
18671 1969
911 4261
911 4311
18671 2293
911 3780
911 3806
18671 1327
49391 3678
41868 3647
49391 3677
49391 4173
41868 3688
911 3644
18671 3579
41868 6113
49391 3742
41868 6889
