flow_ID proc_time
27324 4570
47946 4997
27324 5250
27324 5281
47946 3814
47946 15553
27324 5587
27324 4240
47946 3801
47946 4390
47946 2686
27324 8977
27324 3839
47946 4360
27324 4830
27324 6067
53949 3914
56139 3828
53949 3846
53949 7089
56139 4028
47946 4245
27324 4171
56139 7485
53949 4772
53949 3998
53949 3943
56139 697
56139 8217
53949 5369
56139 6276
53949 5376
56139 3833
53949 5081
56139 3883
53949 4064
56139 4891
53949 6395
15039 3787
47951 3870
15039 7662
15039 7058
47951 4358
47951 7588
15039 3981
15039 4029
15039 4489
47951 3922
47951 4359
47951 3947
15039 3780
47951 4988
15039 5152
47951 3923
15039 4460
47951 4011
15039 4665
47951 3822
15039 3795
33470 4858
56142 5212
33470 4694
33470 6981
56142 4030
56142 7331
33470 3986
33470 4373
56142 5059
33470 5314
56142 3790
56142 6196
33470 3828
56142 6475
33470 3895
56142 6339
33470 3809
56142 4892
33470 5213
56142 3798
33470 3775
2750 3790
31565 4022
2750 3928
2750 7097
31565 4732
31565 7001
2750 377
31565 5111
2750 3970
31565 4815
31565 5390
2750 3810
31565 6851
2750 3792
31565 3860
2750 3945
31565 3798
2750 5767
31565 3900
2750 5064
45759 3880
6988 8212
45759 4100
45759 6812
6988 3825
6988 7530
45759 3918
45759 5271
6988 4542
45759 4070
6988 4094
6988 6262
45759 4013
6988 5017
45759 3819
6988 5273
45759 4289
6988 3940
45759 4868
6988 4978
39591 7091
47981 4029
47981 7724
39591 165
47981 4341
39591 4144
47981 5845
39591 5474
47981 7170
47981 4056
39591 4925
47981 5460
39591 3926
47981 4000
39591 4802
47981 5167
39591 3811
47981 3806
39591 3935
8870 3834
56172 3897
8870 4122
8870 7110
56172 3887
56172 7814
8870 3998
8870 3948
56172 4766
56172 5766
56172 5500
8870 3872
56172 4050
8870 3904
56172 4378
8870 3764
56172 5751
8870 5261
56172 3981
8870 3826
43686 6170
31599 3795
43686 3973
43686 6924
31599 3900
31599 7582
43686 3987
43686 3963
31599 4103
43686 6399
31599 3917
43686 6437
31599 4013
31599 3963
43686 3779
31599 6261
43686 4043
31599 3929
43686 5287
31599 5266
43686 4724
31599 4900
43686 5158
4775 3816
7022 3825
4775 4789
4775 4430
7022 4829
7022 7205
4775 4252
4775 3916
4775 3993
7022 2315
7022 3915
4775 3836
7022 6370
4775 3822
7022 3896
4775 3919
7022 3814
4775 4823
7022 5134
4775 3755
64165 3794
31594 3994
64165 4249
64165 6609
31594 3814
31594 7837
64165 4413
64165 3955
31594 3911
64165 4037
31594 5375
64165 4478
31594 6253
64165 4430
31594 4066
64165 4239
31594 3803
64165 3751
31594 4738
64165 5528
17060 5810
7019 3855
17060 3866
17060 6754
7019 4301
7019 7277
17060 3839
17060 5012
17060 5536
7019 3956
7019 3910
7019 6358
17060 3934
7019 5261
17060 3966
7019 5470
17060 3914
17060 4219
7019 3799
17060 4776
51876 5142
47976 3757
51876 3658
51876 6478
47976 3795
47976 7340
51876 3825
51876 4745
47976 5080
51876 3827
47976 3847
51876 6593
47976 3832
47976 3928
51876 3671
47976 6291
51876 3718
47976 3716
51876 3689
47976 4961
51876 3803
47976 5354
51876 3697
29349 3682
56169 3764
29349 3743
29349 6443
56169 3719
56169 7402
29349 710
29349 4349
56169 4687
56169 4972
56169 3803
29349 4585
56169 6185
29349 3776
56169 3900
29349 3664
29349 3660
23203 3684
31584 4631
23203 5725
23203 6364
31584 4391
56169 3780
29349 3632
31584 6965
23203 3740
23203 3687
23203 6368
31584 76
31584 6137
23203 3674
31584 4254
23203 5369
31584 6557
23203 4437
31584 6459
23203 3656
31584 6406
23203 3619
31584 6502
23203 3790
31584 5018
23203 5016
31584 6443
23203 3755
31584 6653
23203 3690
31584 6403
23203 3786
31584 6475
23203 4787
31584 6450
23203 4528
31584 6744
23203 3965
31584 6433
23203 3785
31584 6409
23203 3679
31584 6384
23203 3653
23203 4238
31584 3798
23203 3618
58018 3839
7009 3638
58018 3834
58018 6584
7009 4364
7009 7126
58018 4398
58018 3770
7009 3704
58018 6166
7009 3674
58018 6302
7009 3691
7009 3834
58018 4723
7009 5224
58018 4230
7009 3748
58018 1452
27298 3678
47970 3863
27298 3635
27298 6918
47970 3804
7009 3656
58018 3617
47970 7229
27298 3668
27298 3676
47970 3980
27298 3802
47970 4785
47970 5217
27298 3662
47970 6172
27298 3740
47970 3761
27298 3685
27298 4326
53923 3835
56163 4803
53923 6272
53923 6428
56163 3794
47970 3709
27298 3631
56163 7289
53923 3626
53923 4809
56163 6632
53923 3920
56163 3791
56163 6125
53923 3689
56163 3760
53923 4680
56163 5122
53923 3756
53923 3657
56163 3757
53923 3650
15009 4795
47975 5174
15009 3934
15009 6333
47975 4356
47975 6791
15009 3681
15009 4694
15009 5121
15009 3738
47975 4640
47975 125
47975 3815
15009 3659
47975 6084
15009 5162
47975 3889
15009 4212
47975 4785
15009 5664
47975 3722
15009 3644
33440 3812
56166 3659
33440 3790
33440 6445
56166 3684
56166 7236
33440 4859
33440 3782
56166 3666
56166 4011
