flow_ID proc_time
0 0
21209 6319
25656 4423
21209 914
21209 0
25656 3989
25656 3695
21209 9385
21209 788
25656 3243
25656 0
21209 910
21209 2067
25656 6563
21209 2823
60120 73
1081 3974
60120 259
60120 0
1081 4059
25656 3919
21209 4110
1081 5204
60120 841
1081 4124
1081 4019
60120 3972
60120 5294
1081 2041
1081 0
60120 4920
25304 4080
42042 3934
25304 3973
25304 4429
42042 4761
1081 4108
60120 3993
42042 5445
25304 2947
25304 0
42042 1156
42042 0
25304 129
42042 511
25304 433
42042 4088
25304 4025
56025 4512
50235 3944
56025 4294
56025 5269
50235 4682
50235 6032
56025 2657
56025 0
50235 4156
50235 3999
56025 3905
56025 4102
50235 4085
50235 4192
56025 146
50235 5742
56025 3832
13019 3913
42047 6237
13019 4035
13019 7225
42047 6422
42047 4706
13019 643
13019 0
42047 272
42047 0
13019 4093
13019 4201
13019 5330
42047 2924
42047 1196
13019 3922
13019 3858
35546 3960
50238 3823
35546 711
35546 0
50238 3932
42047 4326
13019 3992
50238 6334
35546 1392
50238 4618
50238 4078
35546 3905
35546 4186
50238 62
50238 0
35546 843
50238 4047
35546 3907
730 4126
25661 5046
730 729
730 0
25661 4098
25661 5590
730 1449
25661 321
25661 0
730 299
730 893
25661 1470
25661 3990
730 5111
25661 5366
730 3872
25661 3919
730 4008
47835 3886
1084 4394
47835 3875
47835 4934
1084 4486
1084 5042
47835 1416
47835 0
1084 3540
1084 0
47835 387
1084 1015
47835 4087
47835 4409
21226 4051
25724 3887
21226 485
21226 0
25724 3920
1084 4754
47835 4035
25724 6201
21226 2406
25724 146
25724 0
21226 3964
21226 4513
21226 4204
25724 494
25724 607
21226 935
60139 3878
1149 5109
60139 1316
60139 0
1149 7083
25724 5422
21226 3901
1149 4735
60139 887
1149 762
1149 0
60139 724
1149 3928
1149 5274
60139 1686
25323 3948
42110 4225
25323 41
25323 0
42110 3911
1149 4212
60139 3850
42110 5133
25323 876
42110 487
42110 0
25323 998
42110 641
25323 1111
42110 6346
25323 4413
56042 4095
50303 4235
56042 368
56042 0
50303 4554
50303 7620
56042 1987
50303 99
50303 0
56042 150
50303 4035
50303 3952
56042 3930
56042 6106
50303 3807
56042 3771
13032 4007
42107 3828
13032 1156
13032 0
42107 3830
42107 6017
13032 986
42107 1436
42107 0
13032 3991
13032 1136
42107 1546
42107 4139
13032 4476
42107 3980
13032 3825
42107 3782
13032 3810
35561 4824
50298 4053
35561 1002
35561 0
50298 3998
50298 5213
35561 1952
50298 3956
50298 4023
35561 4626
35561 4100
50298 4407
50298 6695
35561 4149
50298 4378
35561 3930
50298 4332
35561 4171
50298 5550
35561 5769
50298 4425
35561 4794
50298 7055
35561 6046
50298 7489
35561 5352
50298 6162
35561 5675
50298 4509
35561 3908
50298 4307
35561 1175
50298 4916
35561 3839
745 5292
25721 3942
745 3903
745 4344
25721 4186
25721 4962
745 661
745 0
25721 71
25721 0
745 131
25721 3894
745 5177
25721 3981
25721 5591
745 817
47848 3983
1144 6629
47848 5306
47848 5039
1144 4911
25721 4033
745 3856
25715 6171
41711 522
41711 0
25715 449
25715 0
41711 1452
41711 377
25715 861
25715 330
41711 4827
25715 3977
41711 4583
25715 3945
41711 3983
6894 5163
1138 3903
6894 5295
6894 4531
1138 3878
1138 4944
6894 1304
6894 0
1138 3925
1138 4021
6894 59
1138 3923
1138 4064
6894 2589
1138 5499
6894 5875
62188 4351
25718 4073
62188 2513
62188 0
25718 3928
25718 5548
62188 1611
25718 497
25718 0
62188 4067
62188 2052
25718 1230
25718 617
62188 1399
19181 3947
1143 3867
19181 3894
19181 4421
1143 3882
25718 3937
62188 3843
1143 7529
19181 5435
19181 4151
1143 2124
1143 0
19181 2350
19181 0
1143 1306
19181 4689
19181 1703
1143 5365
49901 4454
42100 3919
49901 582
49901 0
42100 4706
42100 5194
49901 2733
42100 825
42100 0
49901 1299
49901 1145
42100 1655
42100 1757
49901 2447
31468 3979
50293 4275
31468 642
31468 0
50293 5705
42100 6018
49901 5327
50293 5210
31468 2103
50293 3230
50293 0
31468 1390
50293 1726
31468 3169
31468 820
50293 4192
37601 4085
42085 4154
37601 1456
37601 0
42085 448
42085 0
37601 2531
42085 2002
37601 1429
37601 1149
42085 1918
42085 344
42085 438
37601 346
42085 1020
37601 878
10976 1412
50276 125
10976 3679
10976 0
50276 370
50276 0
10976 2556
50276 1410
10976 1362
50276 1146
10976 1927
50276 3846
10976 3774
41696 4087
25703 4041
41696 3106
41696 0
25703 4611
25703 6277
41696 2820
25703 1719
25703 0
41696 2130
41696 1480
25703 1942
25703 1031
41696 2270
6881 392
1126 3880
6881 1535
6881 0
1126 3917
25703 5150
41696 3884
1126 6481
6881 2816
1126 733
1126 0
6881 1439
1126 2014
6881 1595
1126 3983
6881 3879
62179 394
25698 4370
62179 1622
62179 0
25698 4684
25698 6595
62179 2817
25698 2004
25698 0
62179 919
25698 2268
25698 385
62179 2852
25698 6124
19170 4156
1123 3770
19170 1032
19170 0
1123 3995
1123 1843
19170 4853
1123 1508
1123 0
19170 798
1123 1275
19170 1339
49890 3804
42080 4273
49890 2643
49890 0
42080 3980
1123 6341
19170 5297
42080 357
49890 2705
42080 2701
42080 0
49890 928
42080 746
49890 2271
42080 4044
49890 4070
31459 149
50273 4079
31459 2324
31459 0
50273 4059
50273 6039
31459 2050
50273 2302
50273 0
31459 2030
50273 1034
31459 2046
50273 6586
31459 5756
21221 192
25704 4002
21221 1467
21221 0
25704 3974
25704 5031
21221 2662
25704 2717
25704 0
21221 1515
21221 5324
25704 2286
25704 1910
21221 629
25704 169
21221 5207
60132 575
1129 4393
60132 1767
60132 0
1129 4123
1129 6421
60132 2123
1129 1660
1129 1447
60132 4739
1129 2026
1129 0
60132 1972
25316 115
42090 3976
25316 1989
25316 0
42090 4183
1129 4121
60132 3901
42090 5230
25316 3236
42090 1256
42090 0
25316 2145
25316 1371
42090 2325
42090 1639
25316 4707
42090 3963
25316 4420
42090 4775
25316 4322
56037 4026
50283 3876
56037 2925
56037 0
50283 4670
50283 639
56037 3089
50283 1698
50283 0
56037 2031
50283 1375
50283 766
56037 512
50283 512
56037 59
13031 4085
42095 3901
13031 2071
13031 0
42095 4030
42095 5099
13031 3016
42095 2555
42095 0
13031 2598
13031 57
42095 1980
42095 1640
13031 3120
35558 1009
50286 4238
35558 1619
35558 0
50286 4318
42095 3989
13031 4395
50286 5060
35558 3833
50286 3641
50286 0
35558 4092
35558 5753
50286 3332
35558 2645
742 3913
25709 4065
742 1279
742 0
25709 4148
50286 4135
35558 4155
25709 5292
742 3519
25709 2025
25709 0
742 457
25709 2385
742 1568
742 314
25709 3846
47847 4109
1132 3794
47847 1101
47847 0
1132 3995
1132 4956
47847 2877
1132 1116
1132 0
47847 3936
47847 4963
1132 1552
47847 4119
37631 182
42061 4443
37631 0
37631 3968
42061 3885
1132 6104
47847 5337
42061 4998
37631 2737
42061 1682
42061 0
37631 3913
37631 3933
42061 3590
42061 61
37631 878
37631 3038
11006 3998
50252 3785
11006 1199
11006 0
50252 4482
50252 5428
11006 2429
50252 1307
50252 0
11006 3749
11006 3969
50252 1374
11006 1915
11006 585
50252 3854
41726 1934
25679 5727
41726 2040
41726 0
25679 3982
25679 5011
41726 2278
25679 1010
25679 0
41726 1620
25679 3897
25679 4237
41726 1646
6911 3781
1102 5290
6911 1615
6911 0
1102 5995
25679 5345
41726 3819
1102 5124
6911 1923
1102 589
1102 0
6911 1229
6911 3942
1102 1750
6911 1932
62205 175
25674 5130
62205 1776
62205 0
25674 5976
1102 5235
6911 3941
25674 5283
62205 2752
25674 1037
25674 0
62205 126
25674 1080
25674 375
62205 680
25674 290
62205 69
19196 4152
1099 4321
19196 1181
19196 0
1099 5231
1099 661
19196 4266
1099 4042
1099 0
19196 4238
19196 1247
1099 1931
1099 1366
19196 2455
49916 3876
42056 4338
49916 1030
49916 0
42056 3897
1099 3896
19196 5200
42056 5162
49916 3199
42056 846
42056 0
49916 3913
49916 4214
42056 1542
49916 2286
49916 461
42056 3860
31485 4337
50249 3924
31485 3361
31485 0
50249 5034
50243 7246
56059 8039
50243 4407
56059 4202
50243 4464
56059 4310
50243 6840
56059 4128
50243 4320
56059 4587
50243 4308
56059 3880
50243 4362
56059 4130
50243 4571
56059 3950
50243 5847
56059 5541
50243 4548
56059 1924
56059 173
50243 4537
56059 0
13049 3943
42055 4144
13049 1791
13049 0
42055 4038
42055 5152
13049 3536
42055 4186
42055 0
13049 3330
13049 5350
42055 2022
13049 1931
35576 4172
50246 4022
35576 2499
35576 0
50246 3995
42055 3936
13049 3891
50246 647
35576 2937
50246 1500
50246 0
35576 1089
50246 1724
35576 2570
760 4023
25669 4258
760 2364
760 0
25669 6370
50246 6086
35576 5420
25669 5245
760 2681
25669 1318
25669 0
760 4077
760 160
25669 3912
25669 1720
25669 2476
760 1001
760 36
25669 3921
47865 4039
1092 3908
47865 1549
47865 0
1092 4118
1092 5657
47865 3252
1092 1738
1092 0
47865 1525
1092 2999
1092 78
47865 4156
47865 1953
21236 371
25684 3870
21236 1719
21236 0
25684 3930
25684 5330
21236 3315
25684 2504
25684 0
21236 1085
21236 2038
25684 1943
25684 1383
21236 532
25684 493
21236 2465
60149 90
1109 4001
60149 1372
60149 0
1109 4110
1109 5262
60149 3098
1109 3444
1109 0
60149 5466
60149 4107
1109 1558
60149 2711
1109 6472
60149 5561
25333 178
42070 4182
25333 1676
25333 0
42070 4451
42070 5542
25333 3017
42070 1526
42070 0
25333 447
25333 1133
42070 1533
42070 1569
25333 341
42070 158
25333 929
56052 699
50263 6581
56052 0
50263 4115
50263 4999
56052 2316
50263 808
50263 0
56052 1057
50263 2026
56052 346
50263 1292
56052 1250
13046 1294
42067 5470
13046 1358
13046 0
42067 3899
42067 5139
13046 2793
42067 105
42067 0
13046 1053
42067 47
13046 718
42067 20
13046 378
42067 97
13046 1463
35575 896
50258 4554
35575 991
35575 0
50258 4132
50258 5640
35575 4165
50258 948
50258 0
35575 1381
50258 2009
35575 2261
35575 1379
50258 4722
759 3888
25681 4270
759 2827
759 0
25681 3876
25681 2625
759 6145
25681 1796
25681 0
759 840
759 2098
