flow_ID proc_time
0 0
41663 4212
25779 3877
41663 4716
41663 6371
25779 3917
25779 12224
41663 5097
41663 7061
25779 6115
25779 3905
41663 4771
41663 5347
25779 3818
25779 3890
41663 3812
25779 5363
41663 5079
25779 4431
41663 4507
6846 3911
1202 6272
6846 4998
6846 4243
1202 4231
1202 11084
6846 1142
6846 0
1202 4008
1202 4554
6846 5071
6846 5534
1202 4030
1202 4178
6846 4515
1202 4925
6846 5356
1202 3909
6846 3923
62140 4347
25782 4039
62140 4894
62140 5803
25782 3974
25782 5177
62140 1044
62140 0
25782 4211
25782 4043
62140 3935
62140 5030
25782 5392
25782 7036
62140 4939
62140 5499
25782 3913
62140 4431
19133 6530
1207 4225
19133 3874
19133 6700
1207 4026
1207 5302
19133 3918
19133 5129
1207 5224
1207 4136
19133 4022
19133 4203
1207 5429
1207 5649
19133 3867
19133 4174
1207 4435
19133 4350
49853 6172
42164 4029
49853 3976
49853 4279
42164 3999
42164 7367
49853 3890
49853 3912
42164 4071
42164 6883
49853 4766
49853 4117
49853 6457
42164 3955
42164 8199
42164 5379
49853 4108
49853 4193
31420 3976
50357 5059
31420 5296
31420 4238
50357 3919
42164 3868
49853 4059
50357 7529
31420 4250
31420 3970
50357 4348
50357 4043
31420 4886
31420 5423
50357 3979
50357 4067
31420 58
31420 0
37553 4861
42149 5422
37553 4081
37553 4263
42149 3895
50357 5101
31420 5443
42149 5373
37553 4546
37553 4299
42149 2636
42149 0
37553 3878
37553 4284
37553 3973
42149 3970
42149 6316
42149 4862
37553 1919
37553 0
10928 4055
50340 4278
10928 6379
10928 4194
50340 3972
42149 4126
37553 3885
25767 7269
41648 5796
41648 5313
25767 4203
25767 4064
41648 3909
41648 5221
41648 5499
25767 4101
25767 3900
25767 3947
41648 945
25767 10039
41648 0
25767 3905
41648 4090
6833 3866
1190 4989
6833 5328
6833 4214
1190 4744
1190 5845
6833 5565
6833 3983
1190 3925
1190 4016
6833 3959
6833 6419
1190 3924
1190 6511
6833 3969
1190 4169
6833 4877
1190 5812
6833 4203
62131 3959
25762 4184
62131 4804
62131 5734
25762 5845
25762 5227
62131 4040
62131 3919
25762 6287
25762 4283
62131 4063
62131 4161
25762 5538
25762 5268
62131 4050
25762 4582
62131 4847
25762 4424
62131 3890
19122 6277
1187 3848
19122 4855
19122 4367
1187 4034
1187 7415
19122 4063
19122 6194
1187 4053
1187 4078
19122 5134
19122 5586
1187 4467
1187 4046
19122 3945
19122 4048
1187 4898
19122 5217
49842 3938
42144 3913
49842 4876
49842 5488
42144 5514
42144 4980
49842 3933
49842 4190
42144 4174
42144 6367
49842 4092
49842 4075
42144 3887
49842 4518
42144 6271
42144 3987
49842 4567
49842 4287
31411 3927
50337 5015
31411 6148
31411 6660
50337 3947
42144 4033
49842 4363
50337 7436
31411 173
31411 0
50337 3960
50337 5509
31411 5338
31411 4024
50337 4019
31411 3964
50337 4303
31411 4919
50337 6657
31411 3853
50337 4448
31411 5700
50337 6891
31411 4955
50337 5690
50337 5296
