flow_ID proc_time
3507 4331
28833 4079
3507 5581
3507 13851
28833 6369
28833 12289
3507 5104
3507 6198
28833 4221
28833 4220
3507 3813
3507 3962
28833 4851
28833 5233
3507 3903
3507 3843
46514 3824
4256 3751
46514 6862
46514 4152
4256 4049
28833 4090
3507 4833
4256 6500
46514 3917
46514 3971
4256 4970
4256 5355
46514 4391
46514 3902
4256 3985
4256 5239
46514 5404
4256 4191
46514 4301
4256 6331
46514 5003
40372 6131
45225 3913
40372 5335
40372 5158
45225 5404
45225 4845
40372 4066
40372 3983
45225 3921
45225 6289
40372 3883
40372 3951
45225 4179
45225 3951
40372 4057
45225 8241
40372 3932
45225 3835
40372 3953
9653 3927
53416 4990
9653 5150
9653 4334
53416 3816
53416 5889
9653 979
53416 4232
53416 3987
9653 3821
9653 7316
53416 5319
53416 4017
9653 102
53416 3837
9653 4944
44469 5281
28843 4264
44469 6462
44469 5761
28843 3822
28843 5073
44469 4538
44469 3897
28843 6441
28843 4387
44469 3823
44469 4033
44469 3985
28843 4807
28843 189
44469 4488
44469 3790
5556 4254
4266 6123
5556 3924
5556 4131
4266 3782
28843 4127
44469 6327
4266 7415
5556 603
4266 3972
4266 4919
5556 5224
5556 3957
4266 3950
4266 3930
5556 4799
5556 5093
4266 3769
5556 4186
64950 4525
28846 4821
64950 5273
64950 4344
28846 4243
28846 5063
64950 5584
64950 5412
28846 4108
28846 4049
64950 4059
64950 5137
64950 5645
28846 4521
28846 3919
28846 3909
64950 5567
64950 5252
17847 3901
4271 4789
17847 4394
17847 5169
4271 5389
28846 3910
64950 3873
4271 5360
17847 165
4271 5413
4271 4098
17847 4457
17847 4069
4271 3964
4271 6367
17847 4051
17847 3944
52663 4032
45228 5163
52663 5836
52663 4148
45228 4046
4271 3885
17847 4854
45228 6637
52663 3922
52663 4021
45228 4030
45228 5043
52663 5301
52663 4073
52663 4109
45228 4883
45228 4006
45228 6329
52663 4825
52663 3931
30134 3958
53421 4131
30134 6162
30134 4297
53421 5076
45228 3815
52663 4732
53421 6451
30134 4101
30134 4162
53421 6125
53421 4109
30134 4627
30134 3972
53421 6273
53421 4026
30134 3775
30134 4041
23982 6138
28812 3800
23982 3794
23982 4933
28812 3782
28812 3920
23982 6149
23982 4018
28812 4324
28812 4284
23982 5138
23982 5161
28812 3785
23982 4228
58799 5081
4237 5131
58799 3939
58799 4724
4237 4910
4237 6421
58799 3872
58799 3913
4237 6829
4237 4115
58799 4415
58799 5121
4237 5080
4237 5915
58799 3808
58799 4388
4237 3794
58799 3935
28079 6143
45198 3882
28079 6371
28079 5231
45198 3767
45198 3894
28079 4596
28079 3891
54702 6156
53391 3758
54702 4126
54702 3992
53391 3800
45198 6226
28079 3850
53391 5066
54702 3902
54702 3907
53391 6124
53391 3898
54702 4246
54702 3888
53391 3690
53391 6441
54702 4532
53391 6113
54702 5060
53391 4206
54702 3671
53391 6421
54702 3732
53391 4096
54702 3997
53391 6415
54702 4490
54702 3736
53391 4366
54702 6332
54702 3718
53391 3887
54702 3771
15788 3713
45195 5089
15788 5611
15788 4288
45195 3842
45195 5917
15788 5032
15788 3758
45195 3831
45195 3832
15788 3808
15788 6559
15788 4616
45195 3684
45195 3859
45195 3774
15788 4729
45195 5221
15788 3799
15788 3659
34221 5990
53386 3887
34221 3741
34221 4159
53386 3999
53386 7387
34221 3662
34221 4637
53386 3815
53386 3895
34221 4702
34221 5112
53386 4189
53386 3873
34221 3847
53386 3795
34221 4647
53386 5027
34221 3658
3501 3698
28809 3814
3501 4895
3501 6930
28809 4476
28809 4529
3501 4291
3501 3901
28809 6073
28809 3828
3501 3709
3501 4005
28809 4081
28809 4820
3501 5023
28809 3715
3501 3693
28809 3689
3501 3648
46508 3678
4232 6042
46508 3744
46508 4125
4232 3766
4232 5845
46508 526
4232 3726
4232 3789
46508 3626
46508 6151
4232 3700
4232 3797
46508 3713
4232 3738
46508 4640
4232 3646
46508 6002
40362 3623
45185 3722
40362 3669
40362 3941
45185 4629
45185 6699
40362 4388
40362 3845
45185 3697
45185 5309
40362 264
45185 3770
40362 3911
45185 4163
45185 4742
40362 1387
9643 3748
53376 3793
9643 3665
9643 4116
53376 6159
45185 3638
40362 3627
53376 5899
9643 525
53376 3687
53376 4431
9643 3643
9643 3812
53376 5104
53376 5285
9643 3698
53376 3680
9643 4621
44459 5176
28803 3848
44459 3662
44459 4183
28803 3723
28803 7247
44459 4375
44459 3745
28803 3672
28803 3966
44459 4695
44459 5205
44459 3852
28803 4236
28803 4628
28803 3874
44459 6204
44459 3671
5546 3760
4226 3615
5546 3718
5546 5217
4226 5027
28803 4172
44459 3617
4226 4935
5546 98
4226 5025
4226 3785
5546 3909
5546 3863
4226 5058
4226 6187
5546 3635
5546 3623
4226 3701
5546 4121
64936 4624
28806 5004
64936 3673
64936 4078
28806 3827
28806 4990
64936 6657
64936 3845
28806 4027
28806 3912
64936 3891
64936 4910
64936 5280
28806 3768
28806 3941
28806 4104
64936 4956
28806 5755
64936 3755
28806 3667
64936 3805
17833 3685
4231 4692
17833 4996
17833 3945
4231 3853
4231 5933
17833 1064
4231 3659
4231 3952
17833 3714
17833 3832
4231 4725
4231 5142
17833 3622
17833 3679
4231 3746
17833 3774
52649 4772
45188 5008
52649 3821
52649 3955
45188 4425
45188 6906
52649 3825
52649 3712
45188 3635
45188 3803
52649 266
52649 5354
45188 3700
45188 3819
45188 4601
52649 4874
52649 5754
30120 3810
53381 3765
30120 3746
30120 3991
53381 6142
45188 3672
52649 3616
53381 4974
30120 3703
30120 4736
53381 5051
53381 3786
30120 3717
30120 3921
53381 4636
53381 5143
30120 4353
30120 3678
53381 3643
30120 3677
40357 6024
45205 3663
40357 3821
40357 3959
45205 4279
45205 7126
40357 4411
40357 3743
45205 3669
45205 3901
40357 4852
40357 5173
40357 3871
45205 3786
45205 3771
45205 3744
40357 4686
40357 5040
9636 3657
53396 3784
9636 3748
9636 4843
53396 5030
45205 3639
40357 3801
53396 4888
9636 6012
9636 3866
53396 3664
53396 3816
9636 4214
9636 5376
53396 5107
53396 3804
9636 3678
9636 4544
53396 5327
44452 3645
28823 3715
44452 3840
44452 4045
28823 4731
28823 6165
44452 4319
44452 3824
28823 3785
28823 6135
44452 3650
44452 3808
44452 3979
28823 6031
28823 4117
28823 4800
44452 3699
44452 3792
5541 4671
4246 5005
5541 3694
5541 3968
4246 4342
28823 4752
44452 4921
4246 5216
5541 3627
5541 3707
4246 4811
4246 5155
5541 4344
5541 3989
4246 3677
4246 3772
5541 6001
5541 3688
64935 3707
28818 3708
64935 3854
64935 4973
28818 5085
4246 3652
5541 3599
28818 5907
64935 648
28818 3731
28818 3836
64935 3664
64935 3817
28818 4687
28818 5055
4243 6866
17830 4321
17830 3748
4243 3676
4243 3771
17830 4657
17830 5100
4243 3652
4243 3781
17830 3679
17830 4668
4243 4981
17830 4027
52646 3664
45200 4130
52646 3746
52646 6422
45200 4214
45200 4793
52646 4322
52646 3822
45200 6047
45200 3771
52646 4241
52646 3823
52646 3800
45200 4702
45200 5424
45200 3785
52646 3676
52646 3872
30119 3729
53393 5993
30119 4150
30119 4173
53393 3641
45200 3663
52646 4627
53393 7253
30119 4306
30119 3743
53393 6014
53393 3809
23969 4103
28824 4002
28824 5776
23969 5757
23969 4174
28824 3659
28824 3775
23969 3622
23969 6151
23969 3905
28824 3855
28824 4750
28824 3844
23969 7447
23969 3885
58784 3669
4249 4642
58784 5095
58784 4107
4249 3737
28824 4809
23969 4771
4249 6320
58784 3706
58784 3720
4249 3729
4249 6146
58784 3711
58784 3795
4249 4249
4249 3838
58784 4683
58784 5195
4249 3950
58784 3732
28064 3658
45210 3663
28064 6031
28064 4184
45210 4490
45210 4885
28064 4902
28064 5244
45210 4294
45210 3758
28064 3636
28064 3913
28064 6125
45210 3657
45210 5159
28064 3770
53403 4947
54689 3706
54689 3737
53403 6150
53403 3770
54689 3720
54689 3856
53403 3712
53403 6718
54689 3725
54689 3651
15779 3693
45215 3668
15779 4648
15779 5311
45215 4114
53403 3756
54689 3588
45215 7327
15779 3662
15779 4379
45215 3687
45215 4238
15779 4918
15779 3839
15779 5284
45215 3658
45215 4296
45215 3869
15779 4131
15779 4820
34210 4967
53406 3943
34210 3704
34210 3991
53406 4736
45215 5012
15779 3620
53406 4835
34210 3836
34210 3771
53406 6014
53406 3808
34210 3706
34210 3810
53406 3829
53406 4945
34210 7254
34210 4160
3490 3740
28829 3809
3490 3646
3490 4950
3490 6124
28829 3729
28829 4146
28829 3759
3490 3727
3490 5089
46499 4979
4252 3643
46499 3800
46499 4137
4252 5671
28829 5050
3490 3729
4252 4567
46499 3838
46499 3923
4252 6641
4252 4493
46499 3687
46499 3745
4252 3705
4252 5366
46499 5010
46499 3674
4252 3665
46499 3605
23954 3643
28892 5530
23954 4650
23954 4011
28892 4694
28892 5946
23954 582
28892 3705
28892 3762
23954 3731
23954 3777
28892 6534
23954 3786
28892 3640
28892 3730
23954 3626
23954 5216
58771 4979
4317 3725
58771 3789
58771 3929
4317 4989
28892 6040
23954 3654
4317 4648
58771 3766
58771 3767
45278 4716
28051 5926
28051 3922
45278 3727
45278 5755
28051 623
45278 3660
45278 3804
28051 3660
28051 6317
45278 3668
28051 3976
45278 3767
45278 4773
28051 5616
28051 3648
54674 3811
53471 3659
54674 4674
54674 5263
53471 4392
28051 3613
53471 6928
54674 3773
54674 3770
53471 3795
53471 4421
54674 3741
54674 4795
53471 5038
53471 3818
54674 4354
54674 3853
53471 4301
54674 5941
15760 3718
45275 3669
15760 4295
15760 4000
45275 3660
45275 7121
15760 3743
15760 3742
45275 3729
45275 4943
15760 314
15760 3805
45275 4120
45275 4090
45275 4742
34193 237
53466 3716
53466 3821
34193 3700
34193 3904
53466 586
34193 4525
34193 3734
53466 4662
34193 5156
3473 3680
28889 3677
3473 3768
3473 4973
28889 5623
28889 5310
3473 3708
3473 3711
28889 4267
28889 6240
3473 3709
3473 3839
28889 3666
3473 4446
28889 1459
3473 3638
3473 3832
46480 3840
4312 3765
46480 4675
46480 5279
4312 3838
28889 3699
3473 4037
4312 7256
46480 3797
46480 3940
4312 3874
4312 3911
46480 4671
46480 5230
4312 3935
4312 4060
46480 156
4312 5340
46480 4925
40342 3637
45265 3654
40342 3676
40342 5118
45265 4079
45265 6107
40342 3628
40342 3669
9623 3669
53456 3651
9623 6094
9623 3959
53456 3679
45265 3771
40342 3651
53456 7371
9623 3705
9623 3730
53456 3721
53456 3791
9623 5196
9623 3965
53456 5060
53456 3800
9623 4391
9623 4645
53456 4782
9623 5062
44439 3825
28883 3748
44439 3652
44439 5128
28883 5105
28883 5300
44439 3743
28883 3758
28883 4949
44439 5032
44439 3781
28883 3703
44439 3963
28883 3776
28883 6659
44439 4471
44439 3675
5526 3656
4306 3671
5526 6067
5526 3938
4306 3715
28883 3684
44439 4285
4306 7223
5526 3654
5526 3737
4306 3740
4306 3786
64916 4938
28886 5043
28886 5238
64916 3703
64916 3845
28886 3834
28886 6109
64916 3811
64916 3839
64916 3851
28886 3671
28886 4799
28886 5097
64916 4389
64916 4076
17813 4179
4311 4723
17813 5078
17813 3806
4311 3859
28886 3741
64916 3758
4311 7267
17813 3761
17813 3741
4311 3702
4311 3961
17813 3734
17813 6209
4311 3730
4311 3880
17813 3663
17813 5498
4311 5118
17813 3616
52629 3703
45268 3648
52629 3696
52629 6323
45268 4387
45268 4518
52629 3850
52629 4825
45268 4996
45268 3778
52629 4149
52629 4015
45268 4171
52629 6147
45268 4147
45268 3874
52629 3766
52629 3687
53461 3781
30100 3676
30100 4795
53461 4997
53461 3966
30100 3645
30100 4499
53461 3723
30100 5957
40345 3656
45253 3679
40345 3792
40345 3936
45253 5385
45253 5766
40345 391
45253 3645
45253 3776
40345 711
40345 3766
45253 3634
45253 3622
45253 6085
40345 3751
40345 3777
9624 3675
53444 4626
9624 4733
9624 5299
53444 3750
45253 3852
40345 3633
53444 6124
9624 516
53444 3697
53444 3776
9624 3782
9624 4860
53444 5513
53444 3843
9624 3697
9624 3791
53444 4694
9624 4970
44440 4335
28871 3649
44440 3637
44440 3953
28871 6026
28871 5036
44440 4317
44440 3747
28871 3680
28871 4822
44440 35
28871 3684
44440 3782
28871 4156
28871 4708
44440 5086
44440 3724
5529 3728
4294 3650
5529 3783
5529 6380
4294 3680
28871 3656
44440 3591
4294 7189
5529 3621
5529 3722
4294 3759
4294 3782
5529 738
4294 4540
4294 3830
5529 3708
5529 7095
4294 3678
5529 3599
64923 3676
28866 3667
64923 4669
64923 6074
28866 4355
28866 4636
64923 3813
64923 3891
28866 6281
28866 3803
64923 3742
64923 3879
64923 4920
28866 1167
28866 4017
64923 3795
64923 3788
17818 3655
4291 6008
17818 3840
17818 3958
4291 3678
28866 3867
64923 4617
4291 6347
17818 4378
17818 3750
4291 3661
4291 4930
17818 5014
17818 3813
4291 3818
4291 3749
17818 3672
17818 4764
4291 5126
17818 3596
52634 3631
45248 3656
52634 4700
52634 5419
45248 4361
45248 4640
52634 3778
52634 4722
45248 5655
45248 3868
52634 3734
52634 1185
45248 2285
45248 4282
52634 2310
30107 3655
53441 3867
30107 1788
53441 5316
45248 4151
52634 3650
30107 1694
30107 822
53441 2076
30107 3820
53441 3646
53441 4017
30107 3103
23965 3730
28872 3810
23965 2355
28872 4085
53441 3675
30107 3622
28872 6888
23965 1488
28872 2609
23965 3936
23965 2064
28872 3806
28872 2783
23965 2291
58780 1129
4297 3894
58780 4049
4297 4103
28872 3750
23965 3637
4297 6536
58780 3846
4297 1600
58780 3686
58780 3792
4297 1652
58780 4335
4297 658
58780 943
28060 489
45258 3775
28060 4071
45258 471
28060 4275
28060 1315
45258 3915
28060 2066
45258 1467
45258 1986
28060 2282
45258 4106
28060 3684
54685 3767
53451 3797
54685 2536
53451 4476
53451 6357
54685 2220
53451 1172
54685 3804
