flow_ID proc_time
9623 4278
53456 4141
9623 4100
9623 6171
53456 5653
53456 14795
9623 4872
9623 7362
53456 6335
53456 4410
9623 6563
53456 4381
53456 3930
9623 3836
9623 5348
53456 5162
9623 3945
44439 8337
28883 4816
44439 5853
44439 4324
28883 3990
28883 10899
44439 3795
44439 6200
28883 3823
28883 4035
44439 3816
44439 5439
28883 5116
28883 3999
44439 3913
44439 3851
5526 4504
4306 5901
5526 4035
5526 4338
4306 3795
28883 3834
44439 6169
4306 5092
5526 4078
5526 6228
4306 3951
4306 4051
5526 5124
5526 4095
4306 6362
4306 4618
5526 6791
4306 4026
5526 6298
4306 3794
5526 3898
64916 3835
28886 4789
64916 5380
64916 4194
28886 4883
28886 7146
64916 5104
64916 5412
28886 3965
28886 4012
64916 4047
64916 6313
28886 3874
28886 4200
64916 5215
64916 5242
28886 3910
64916 4335
17813 4042
4311 6314
17813 4188
17813 4111
4311 3825
4311 7491
17813 3846
17813 3990
4311 4836
4311 7672
17813 4448
17813 3952
17813 6276
4311 3807
4311 4849
4311 5219
17813 4850
17813 3978
52629 4007
45268 6450
52629 3950
52629 4338
45268 3954
4311 3949
17813 6708
45268 7968
52629 6172
45268 4008
45268 4018
52629 4562
52629 6405
45268 3878
45268 6389
52629 3900
52629 4591
45268 3891
52629 4222
30100 6336
53461 3818
30100 3812
30100 6733
53461 5217
53461 7316
30100 4217
30100 6208
53461 3853
53461 4162
30100 3995
30100 6779
30100 3949
53461 3825
53461 6257
53461 3860
30100 3786
30100 3940
40345 3966
45253 4772
40345 5351
40345 4465
45253 3951
53461 4908
30100 5083
45253 7590
40345 3935
40345 4083
45253 4838
45253 5731
40345 4076
40345 3949
45253 6768
45253 6293
40345 4060
40345 6839
45253 3779
40345 5182
9624 5109
53444 4011
9624 3911
9624 4463
53444 6294
53444 7557
9624 5421
9624 6580
53444 4792
53444 4168
9624 174
9624 4209
53444 4049
53444 6237
53444 5527
9624 5319
9624 4286
44440 3792
28871 3858
44440 4954
44440 5620
28871 3802
53444 4026
9624 3783
28871 7356
44440 3961
44440 3858
28871 6667
28871 6347
44440 3837
44440 4236
28871 3783
28871 3863
44440 7650
44440 4154
5529 4027
4294 3903
5529 3953
5529 6839
4294 3884
28871 4035
44440 3775
4294 7375
5529 5313
5529 5238
4294 3820
4294 3944
5529 5119
5529 4157
4294 5433
4294 5132
5529 4264
5529 3800
4294 5421
5529 5185
64923 3793
28866 3805
64923 3801
64923 5353
28866 5258
28866 10064
64923 4578
64923 4012
28866 4975
28866 5535
64923 4377
64923 4058
28866 4117
28866 6296
64923 3789
64923 3865
28866 4827
64923 5160
17818 3987
4291 3802
17818 3897
17818 5698
4291 5132
4291 7322
17818 3807
17818 3832
4291 3921
4291 6437
17818 3754
17818 3939
17818 3885
4291 5669
4291 5119
4291 3861
17818 3974
17818 4117
52634 3904
45248 7882
52634 3937
52634 4410
45248 4025
4291 4970
17818 5304
45248 7520
52634 3938
52634 3981
45248 4898
45248 5448
52634 3925
52634 4079
45248 4825
45248 5095
52634 3683
52634 3888
30107 3848
53441 4707
30107 5227
30107 4201
53441 3939
45248 4351
52634 3638
53441 7294
30107 5187
30107 3840
53441 3779
53441 6154
30107 3948
30107 4000
53441 4428
53441 9026
30107 4250
53441 6423
30107 3667
53441 6527
