flow_ID proc_time
8030 7365
22093 6026
8030 8287
8030 4823
22093 11044
22093 13813
8030 8187
22093 10494
8030 3872
8030 2514
8030 3962
22093 442
8030 10058
8030 3837
8030 4530
22093 9981
22093 6777
8030 4413
8030 11876
22093 1151
22093 4155
22093 7325
8030 791
22093 4023
22093 13099
8030 4262
22093 4055
22093 11928
8030 3090
22093 5827
22093 4189
8030 1890
22093 6452
22093 11919
8030 4783
8030 5658
22093 4960
22093 11191
8030 3875
8030 3929
22093 4604
22093 10119
8030 5169
8030 3940
22093 5729
8030 6283
8030 4170
22093 4059
22093 4981
8030 3402
22093 4069
22093 3842
8030 7674
8030 4949
22093 4043
22093 3967
8030 2134
22093 3989
22093 4116
8030 1901
22093 6367
22093 8837
8030 6080
8030 7668
22093 3923
22093 3869
8030 4040
22093 3885
22093 3935
8030 10932
22093 5825
22093 3868
8030 3960
8030 10010
22093 5144
22093 5864
8030 3892
8030 13014
22093 3772
8030 3952
8030 3995
22093 1628
8030 3885
8030 8463
22093 2887
8030 4696
8030 7124
22093 14569
5831 12820
32409 5623
5831 3857
5831 5494
32409 11993
32409 6685
5831 3923
32409 10351
5831 5283
22093 3984
8030 3828
5831 4922
5831 5147
5831 6733
32409 4603
32409 6980
5831 3960
32409 6800
5831 5176
5831 4148
32409 4139
32409 11028
5831 8677
32409 5100
32409 4007
5831 6501
32409 1232
5831 7005
8030 3887
22093 8746
8030 4481
5831 20957
5831 3926
32409 3839
32409 8964
5831 5780
8030 3823
22093 10508
8030 4980
5831 5599
32409 5080
5831 7095
8030 4354
22093 6368
22093 10526
8030 3890
5831 4177
32409 5052
32409 13072
5831 4503
8030 3982
22093 3845
22093 7990
8030 6277
5831 3808
32409 2342
5831 4139
8030 6280
22093 3510
8030 4733
5831 3913
32409 4828
32409 10638
5831 3794
8030 3894
22093 3224
8030 6314
5831 3932
32409 3843
32409 4252
5831 5012
8030 6502
22093 4028
22093 8641
8030 4124
5831 5255
32409 5188
5831 8547
22093 8224
8030 4969
5831 5047
32409 5237
32409 4971
5831 5671
8030 3934
22093 4862
22093 12442
8030 4103
5831 4172
32409 10788
5831 6140
8030 3859
22093 5108
22093 5372
8030 5767
5831 6164
32409 3809
32409 4946
5831 6242
8030 5405
22093 5312
22093 9337
8030 3928
5831 3921
32409 10760
5831 4714
8030 3929
22093 4382
22093 8916
8030 4890
5831 5429
32409 4102
32409 9584
5831 3955
8030 6459
22093 4251
8030 5976
5831 3895
32409 4976
32409 10938
5831 3917
8030 3885
22093 4035
22093 9306
8030 5284
5831 3922
32409 3685
5831 7013
8030 5760
22093 4158
22093 5235
8030 4176
5831 4763
32409 5532
32409 12180
5831 3898
8030 4058
22093 2173
8030 5501
5831 4107
32409 4108
32409 11944
5831 6065
8030 3849
22093 3780
22093 9545
8030 3780
5831 6299
32409 4973
5831 6678
51621 3971
51235 5058
51621 11406
51621 7935
51235 7677
51235 5987
