flow_ID proc_time
49425 4429
41252 3904
49425 3902
49425 4605
41252 3808
41252 14420
49425 5532
41252 3837
41252 6515
49425 3813
49425 5315
41252 4662
41252 4090
49425 5234
30992 6260
49445 3997
30992 5967
30992 5418
49445 4130
41252 3925
49425 3843
49445 6530
30992 951
49445 5328
49445 3926
30992 3886
30992 6262
49445 3791
49445 4110
30992 4007
49445 4936
30992 5347
49445 4001
30992 4071
37149 3844
41269 3823
37149 4185
37149 6985
41269 3963
41269 13036
37149 1495
41269 3951
41269 8685
37149 5858
37149 4060
41269 4897
41269 5580
37149 3906
41269 3902
37149 3912
41269 4312
37149 4988
10524 5260
49460 3996
10524 3935
10524 4405
49460 3971
49460 7872
10524 5164
10524 4222
49460 4285
49460 6467
10524 3962
10524 4067
49460 4453
49460 6510
10524 4604
49460 5021
10524 6367
49460 3950
10524 3949
41244 4088
24887 3922
41244 4098
41244 8385
24887 4736
24887 7298
41244 3827
41244 4013
24887 3821
24887 3945
41244 3856
41244 6361
24887 3959
41244 6809
24887 3911
24887 3998
41244 4264
24887 4492
41244 4906
24887 4503
41244 5256
6429 3879
310 4086
6429 3975
6429 4376
310 3900
310 7491
6429 5299
6429 3996
310 3868
310 6424
6429 4473
6429 4071
310 4074
310 6452
6429 4888
310 3941
6429 3940
310 3933
6429 6073
61727 5415
24882 4528
61727 3909
61727 4550
24882 3906
24882 8129
61727 5006
61727 3976
24882 4448
24882 6410
61727 3905
61727 4611
24882 3918
61727 6367
24882 3954
24882 4064
61727 4085
61727 5392
18718 4875
307 5500
18718 4031
18718 4425
307 4385
24882 3939
61727 5379
307 7984
18718 4391
18718 6854
307 3958
307 6280
18718 3816
18718 4929
307 3824
307 5322
18718 4419
18718 3773
307 3886
18718 4860
49438 5438
41264 3966
49438 3820
49438 4345
41264 3821
41264 7816
49438 5084
49438 3861
41264 4430
41264 6738
49438 3851
49438 4192
49438 6522
41264 861
41264 6647
49438 3889
49438 3857
31007 3852
49457 3909
31007 3809
31007 9013
49457 4428
41264 3826
49438 3778
49457 7439
31007 5668
31007 5426
49457 4291
49457 3994
31007 4010
31007 6470
49457 3819
49457 3861
20761 4782
24888 5249
20761 4187
20761 4102
24888 3896
49457 4813
31007 5155
24888 7430
20761 3986
20761 3970
24888 4351
24888 6826
20761 4637
20761 4955
24888 5744
24888 6207
20761 3911
20761 6287
24888 4043
20761 3770
59672 3815
313 3840
59672 4348
59672 6876
313 3896
313 7534
59672 4340
59672 3876
313 4937
313 3988
59672 4795
59672 6372
313 4210
313 5073
59672 3823
59672 3828
313 3821
59672 4722
24856 5265
41274 3817
24856 3836
24856 4074
41274 3822
41274 7214
24856 4053
24856 5460
41274 4063
41274 3938
24856 4019
24856 7691
24856 3929
41274 977
41274 5288
24856 77
55577 3832
49467 3838
55577 3819
55577 6480
49467 3802
41274 3959
24856 4092
49467 7746
55577 3868
55577 3881
49467 3893
49467 3789
55577 3719
55577 6155
49467 3698
49467 5227
55577 1502
12571 3872
41279 4040
12571 4626
12571 5091
41279 4023
49467 4975
55577 3843
12571 6202
41279 4338
41279 6442
12571 3895
41279 6558
12571 5119
41279 6832
12571 3989
41279 6394
12571 4219
41279 6435
12571 3698
41279 6459
12571 3747
41279 6445
12571 4351
41279 6427
12571 3970
41279 6612
12571 3957
41279 6711
12571 540
41279 4134
12571 3765
35098 4161
49470 5688
35098 3650
35098 5106
49470 5005
49470 7320
35098 3691
35098 3717
49470 4151
49470 6259
35098 4521
35098 4902
49470 5079
35098 6441
49470 3766
49470 3733
35098 4233
49470 3804
35098 3734
49470 4708
35098 5428
282 3856
24893 3829
282 3630
282 4120
24893 4781
24893 7929
282 4679
282 3743
24893 4417
24893 6166
282 3749
282 3844
24893 5249
24893 5084
282 3661
24893 3666
282 3648
24893 4083
282 3638
47387 4654
316 5003
47387 3733
47387 4243
316 3742
316 7425
47387 3974
47387 3829
316 4056
316 4789
47387 5032
47387 3795
316 3756
316 6234
47387 3809
316 3671
47387 3936
316 4598
47387 3755
37123 3732
41245 3767
37123 4792
37123 5440
41245 4515
41245 7281
37123 4969
37123 5082
41245 3712
41245 3818
37123 3681
37123 6151
41245 3774
41245 4782
37123 1150
41245 3707
10498 3773
49436 3662
10498 3767
10498 6426
49436 4438
49436 6985
10498 3868
10498 3890
49436 4821
49436 5249
10498 3688
10498 6143
10498 3794
49436 3671
49436 3646
49436 6061
10498 3689
10498 4411
41218 3823
24863 3689
41218 4797
41218 6476
24863 3655
49436 3660
10498 3664
24863 7507
41218 3909
41218 6061
24863 3650
24863 3848
41218 3688
41218 6134
24863 3782
24863 4904
41218 3798
41218 5057
24863 3638
41218 3637
6403 3819
286 3681
6403 4204
6403 6414
286 4152
286 7262
6403 4168
286 5112
286 5216
6403 4270
6403 6122
6403 3792
286 3769
286 4287
286 33900
6403 29070
61697 47114
24858 43155
24858 9439
61697 6371
61697 4890
24858 4968
24858 3971
61697 3757
61697 6218
24858 3678
24858 4876
61697 1082
24858 3650
61697 3703
18688 3822
283 3815
18688 3661
18688 6261
283 3647
283 7090
18688 5177
18688 3753
283 7255
283 5238
18688 3718
18688 6154
283 3698
18688 3954
49408 6373
41240 3630
283 3690
18688 4486
41240 7367
49408 5464
49408 6372
41240 3718
41240 3932
49408 3701
49408 6275
41240 3655
41240 6493
49408 3683
49408 3657
41240 3952
49408 3663
30977 3713
49433 3811
30977 4735
30977 6543
49433 3779
49433 7285
30977 3875
49433 5441
49433 3773
30977 3822
24848 7277
20743 5364
20743 3884
24848 3718
24848 3940
20743 4718
20743 5151
24848 3715
24848 7149
20743 736
24848 3713
20743 3642
59654 3628
273 3640
59654 3930
59654 6317
273 3676
273 7343
59654 3674
59654 6684
273 3651
273 4016
59654 3813
59654 6526
59654 6656
273 631
273 3863
59654 3762
273 3786
59654 4670
273 5129
59654 3797
24838 3772
41234 3863
24838 5419
24838 3940
41234 4634
41234 7494
24838 5346
24838 4594
41234 3691
41234 6793
24838 3699
24838 4883
41234 5008
