flow_ID proc_time
0 0
46772 1730
5288 5160
46772 2051
46772 0
5288 3140
5288 0
46772 2666
5288 5789
46772 2234
40626 1616
46241 3095
40626 7881
40626 0
46241 0
5288 5412
46772 4101
46241 117
40626 3916
46241 2801
40626 4125
40626 2135
46241 1089
40626 496
46241 971
40626 726
9907 891
54432 3935
9907 1984
9907 0
54432 3936
54432 248
9907 4150
54432 1667
54432 69
9907 3031
54432 7342
54432 0
9907 388
54432 2138
44723 772
29859 4143
44723 2033
44723 0
29859 3787
29859 6082
44723 3129
29859 3805
29859 4120
44723 1615
29859 2833
29859 0
44723 1238
44723 588
29859 3902
5810 787
5282 3935
5810 2106
5810 0
5282 3907
5282 6120
5810 2073
5810 1191
5282 3908
5282 0
5810 577
5282 2361
5282 1346
5810 2236
65200 4229
29862 3853
65200 2357
65200 0
29862 4328
5282 4304
5810 4129
29862 308
65200 3571
29862 1636
29862 0
65200 3168
29862 1918
29862 1169
65200 1097
18097 716
5287 1222
18097 4711
18097 0
5287 0
5287 5187
18097 3242
5287 1277
18097 484
5287 1962
5287 1945
5287 1316
18097 9
5287 1965
52913 1157
46244 4014
52913 3399
52913 0
46244 5516
46244 119
52913 3111
52913 459
46244 3840
46244 0
52913 2181
46244 3566
52913 146
46244 5222
30384 675
54437 4456
30384 1824
30384 0
54437 5265
54437 1602
30384 48
54437 0
30384 2005
30384 1283
54437 2312
30384 2922
40637 169
46261 4476
40637 3374
40637 0
46261 4484
54437 4375
30384 4407
46261 1918
40637 1233
40637 183
46261 0
40637 1087
46261 3953
40637 2779
9916 563
54452 4799
9916 2624
9916 0
54452 4164
46261 4096
40637 3940
54452 881
9916 4218
54452 654
54452 0
9916 3205
9916 1101
54452 2581
9916 2734
9916 484
54452 4224
44732 1338
29879 4732
44732 4942
44732 0
29879 1545
29879 250
44732 3465
44732 856
29879 0
29879 543
44732 3994
44732 278
44732 2769
44732 1256
29879 4358
5821 833
5302 4004
5821 0
5302 4279
5302 198
5821 3569
5302 4183
5302 0
5821 509
5302 1981
5302 515
5821 1358
65215 962
29874 4420
65215 5155
65215 0
29874 595
29874 0
65215 3792
65215 483
29874 2048
65215 1279
29874 2027
65215 2698
18110 101
5299 5237
18110 0
5299 3910
29874 4022
65215 3846
5299 4975
18110 2887
5299 2720
5299 810
18110 4519
5299 2537
5299 0
18110 2662
18110 641
5299 4322
52926 3915
46256 5101
52926 1993
52926 0
46256 4831
46256 1286
52926 4033
46256 1601
46256 0
52926 1617
46256 3809
46256 4398
52926 3765
46256 4247
52926 4323
46256 4391
52926 4007
46256 340
52926 4877
52926 3946
46256 580
52926 154
46256 4212
52926 3882
46256 5465
52926 5273
46256 5666
52926 5426
46256 4217
52926 4274
46256 4235
52926 3794
46256 4283
52926 4333
46256 4426
52926 2764
52926 773
46256 3892
30399 508
54449 4414
30399 1526
30399 0
54449 535
54449 0
30399 2454
54449 1313
30399 2034
30399 2481
54449 494
30399 200
30399 2292
24249 153
29880 4017
24249 0
29880 4439
54449 3989
30399 3923
29880 764
24249 1243
29880 3337
29880 0
24249 2326
24249 901
29880 526
24249 1214
29880 289
24249 3769
59064 123
5305 3782
59064 660
59064 1140
5305 3285
5305 366
59064 4029
59064 0
5305 1552
5305 0
59064 920
5305 3139
5305 2321
59064 446
5305 2
59064 745
28344 1206
46266 611
28344 0
46266 0
5308 626
46779 3353
46779 1661
5308 3120
5308 193
46779 2909
46779 0
5308 111
5308 0
46779 2405
40611 78
46237 4023
40611 6311
40611 0
46237 1771
46237 1394
40611 5038
46237 1810
46237 0
40611 2742
40611 336
46237 167
46237 2371
46237 1026
40611 3924
40611 520
46237 3987
9890 931
54428 4127
9890 2780
9890 0
54428 459
54428 123
9890 2273
54428 2780
54428 0
9890 2612
54428 35
9890 781
54428 5001
44706 779
29855 4285
44706 1989
44706 0
29855 4834
29855 302
44706 3163
44706 1253
29855 4733
29855 0
44706 2746
44706 12
29855 240
29855 2594
29855 726
44706 2777
29855 2697
44706 1545
5795 1125
5278 3985
5795 560
5795 0
5278 224
5278 2029
5795 680
5278 3634
5278 0
5795 2003
5278 2077
5278 189
5795 4029
5795 1447
5278 5418
65185 93
29850 4226
65185 0
29850 4795
29850 106
65185 2739
29850 2938
29850 0
65185 1396
65185 319
29850 553
29850 3255
29850 929
65185 212
29850 363
65185 3741
18080 873
5275 4606
18080 0
5275 280
5275 773
18080 4435
18080 1103
5275 2635
5275 0
18080 2353
5275 668
18080 2947
52896 313
46232 4392
52896 0
46232 4804
5275 4635
18080 4378
46232 5119
52896 3012
46232 2511
46232 0
52896 3648
46232 702
52896 1745
30369 1055
54425 4222
30369 1771
30369 0
54425 3900
54425 312
30369 3994
30369 685
54425 2065
54425 0
30369 2498
54425 1270
54425 73
30369 673
24231 278
29840 5086
24231 1758
24231 0
29840 388
29840 768
24231 4145
24231 828
29840 5549
29840 0
24231 1316
29840 2126
24231 2789
59046 655
5265 163
59046 2663
59046 0
5265 0
29840 4080
24231 4317
5265 229
59046 761
5265 2643
59046 1470
59046 9
5265 1501
59046 2563
59046 393
5265 3969
28326 57
46226 4555
28326 1646
28326 0
46226 4824
46226 53
28326 4956
28326 1091
46226 2641
46226 0
28326 1721
28326 1839
46226 94
28326 3937
54951 1566
54419 3902
54951 1748
54951 0
54419 4151
46226 4334
28326 3871
54419 916
54951 531
54419 3743
54419 470
54951 1882
54419 1987
54419 0
54951 5545
16037 492
46231 5583
16037 0
