flow_ID proc_time
38758 5199
43409 4095
38758 3812
38758 7563
43409 3853
43409 13810
38758 4056
38758 5517
38758 4149
43409 3964
43409 4383
43409 4909
38758 5433
43409 4023
38758 4174
43409 4025
38758 6207
38758 4029
12135 6898
51600 4082
12135 9942
43409 6384
38758 3830
12135 4991
51600 3926
51600 7717
12135 3913
12135 4002
51600 4881
51600 5534
12135 4042
51600 3992
12135 3818
12135 7009
51600 4620
51600 3922
12135 4813
12135 3897
42855 7033
27027 4055
42855 3943
42855 4836
27027 3886
51600 6719
12135 4157
27027 7408
42855 5686
42855 5278
27027 3852
42855 4139
27027 6114
27027 5278
42855 5167
27027 3989
42855 4231
27027 3907
42855 7686
42855 5008
27027 3893
42855 4040
8038 3907
2450 5067
8038 6137
8038 4594
2450 4238
2450 6195
8038 5392
8038 3949
2450 4402
8038 5745
2450 5227
2450 4100
8038 4434
2450 3947
8038 4907
2450 5638
8038 4945
8038 3880
2450 4232
8038 4848
63332 5375
27030 3912
63332 6341
63332 4750
27030 4977
27030 14580
63332 2985
27030 3833
27030 6535
63332 3849
27030 3885
63332 3784
63332 4931
27030 5335
63332 3961
27030 3764
27030 3831
63332 3861
27030 6397
63332 3800
27030 4443
63332 3902
20325 4807
2455 5254
20325 4682
20325 4269
2455 3937
2455 7330
20325 3785
20325 4326
2455 3894
2455 4006
20325 6291
2455 6491
20325 4669
20325 5108
2455 3931
2455 6530
20325 3886
20325 3833
2455 3966
20325 5018
51045 5642
43412 4596
51045 4940
51045 4263
43412 5099
43412 6866
51045 8
51045 4218
51045 4956
43412 5208
43412 3825
43412 4086
43412 4020
51045 4897
43412 5327
51045 3814
43412 4036
51045 4391
43412 5072
51045 5171
43412 4436
51045 4414
32612 6145
51605 6255
32612 3880
32612 4324
51605 3838
51605 8272
32612 6763
32612 5477
32612 3945
51605 8302
51605 4029
51605 6355
32612 4084
51605 4601
32612 3963
51605 4010
32612 6208
32612 3936
51605 4066
32612 3887
38761 4227
43397 4849
38761 5824
38761 4693
43397 3849
43397 6261
43397 5405
43397 1443
38761 4886
43397 3985
38761 7092
43397 3932
38761 4161
43397 4074
38761 3824
43397 5982
38761 5445
12136 4141
51588 11990
12136 10459
12136 5762
51588 5525
51588 5338
12136 3929
12136 4037
12136 6515
51588 4043
51588 3931
51588 4006
12136 4117
51588 6443
12136 4072
51588 4353
12136 4005
51588 5053
12136 5424
51588 4685
12136 3877
42856 8961
27015 5097
42856 5396
42856 4627
27015 4078
27015 6024
42856 5190
42856 4108
42856 4124
27015 3913
27015 3767
42856 3915
27015 3885
42856 4819
8041 5193
2438 3776
8041 3772
8041 4407
2438 4787
2438 7357
8041 3778
8041 4017
8041 3932
2438 6373
2438 3748
2438 6317
8041 3941
2438 5206
8041 5767
2438 4201
8041 4581
8041 4196
2438 3801
8041 6270
63339 3769
27010 3764
63339 4272
63339 5380
27010 5132
27010 5102
63339 3975
63339 3881
63339 6399
63339 10407
27010 3790
27010 4155
27010 4063
27010 5070
63339 5603
27010 3901
63339 3791
27010 3883
63339 6088
63339 5510
20330 3967
2435 4420
20330 3956
20330 7377
2435 5641
27010 3778
2435 4107
2435 6241
20330 4451
2435 3995
20330 4008
2435 6522
20330 3928
2435 4400
20330 3903
2435 7006
20330 4085
2435 7601
20330 4329
2435 7746
20330 3945
2435 5280
20330 5214
2435 4240
20330 4123
2435 6602
20330 3994
2435 4443
20330 6198
2435 7183
20330 4471
20330 3890
2435 6254
20330 3914
51050 4047
43392 3834
51050 4079
43392 4135
43392 3970
43392 4214
43392 5330
51050 5215
43392 4291
51050 4080
43392 4274
51050 6244
51050 3905
32619 3906
51585 3868
32619 3958
32619 7591
51585 4068
43392 4159
51050 3967
51585 9394
32619 579
32619 3993
51585 4209
51585 4870
51585 5339
32619 3888
51585 3999
32619 3871
51585 4966
32619 5365
32619 4380
22381 3909
27016 4267
22381 3847
22381 7359
27016 5787
51585 5187
32619 5970
27016 7618
22381 4046
22381 3820
22381 3903
27016 4832
27016 5111
27016 5475
22381 3997
27016 4523
22381 3911
27016 5127
22381 5507
22381 5947
61292 5049
61292 4534
2441 5054
2441 7346
61292 3836
61292 3935
61292 4030
2441 3801
2441 6608
2441 4044
61292 3838
2441 3941
61292 3747
2441 6251
61292 3791
61292 3811
2441 3807
61292 3951
26476 5269
43402 5537
26476 10701
26476 4687
43402 4038
43402 7849
26476 3903
26476 4046
26476 3990
26476 6827
43402 4973
43402 5184
43402 4798
43402 4723
26476 5033
43402 6391
26476 3878
43402 4053
26476 3968
43402 3893
26476 6225
43402 4084
26476 3845
57197 3864
51595 3875
57197 4936
57197 7071
51595 3958
51595 5062
57197 362
57197 4188
57197 4133
57197 4235
14191 8539
43407 8546
14191 4028
51595 5275
57197 3824
14191 6689
43407 4232
43407 5117
14191 3890
14191 5232
14191 5484
14191 4154
43407 4027
43407 6391
43407 4533
43407 5099
14191 5586
43407 4021
14191 3856
43407 3961
14191 5142
14191 5225
36718 3878
51598 4362
36718 4679
36718 5463
51598 5254
43407 3869
14191 4146
51598 11804
36718 10010
36718 5243
36718 6127
51598 4007
51598 4436
51598 5175
36718 5713
51598 4268
36718 4049
27021 4098
1902 5704
1902 5834
27021 4060
27021 5918
1902 5275
1902 3941
27021 3876
27021 4389
1902 6346
27021 4127
1902 3865
1902 3997
27021 3882
1902 6330
27021 4139
27021 4134
1902 3877
27021 5144
1902 7634
27021 5219
1902 4068
49007 1966
2444 11325
49007 6667
2444 4090
2444 5236
49007 4081
49007 4884
2444 5223
2444 4373
49007 3837
2444 4048
49007 5080
49007 5561
2444 3863
2444 13164
49007 4580
49007 5351
38775 3803
43437 4195
38775 4214
38775 5636
43437 5184
43437 5365
38775 3958
38775 6504
43437 3916
38775 3910
43437 3883
43437 5155
43437 5840
38775 12493
12150 12205
51628 3903
12150 3845
12150 6968
51628 4231
51628 5622
12150 4079
12150 4241
51628 6343
51628 4536
12150 4063
51628 4165
12150 5893
12150 5710
51628 4004
51628 4229
51628 5349
12150 5139
12150 5322
42870 4122
27055 3879
42870 7304
42870 5768
27055 5511
27055 5257
42870 4039
42870 4085
27055 6178
27055 4204
42870 4651
27055 6377
42870 4632
42870 4491
27055 3898
42870 4081
27055 5242
42870 4791
42870 4109
8055 5062
2478 5289
8055 5447
8055 3885
8055 4216
2478 4033
2478 6310
2478 4088
8055 3896
2478 6273
8055 4068
2478 6660
8055 4045
8055 4365
63349 3901
27050 3902
63349 6478
2478 3874
8055 3898
63349 4317
27050 4974
27050 7256
