flow_ID proc_time
0 0
27551 4607
47310 3983
27551 4157
27551 5899
47310 5212
47310 0
27551 465
27551 0
47310 6246
47310 3990
27551 3806
27551 4235
47310 3794
47310 4130
27551 1028
47310 4031
27551 4017
54174 3932
55503 3894
54174 4096
54174 4450
55503 4027
55503 6369
54174 501
54174 0
55503 3813
55503 3891
54174 3975
54174 4082
55503 3935
55503 4384
54174 4076
55503 4135
54174 4793
55503 3912
54174 7926
15260 5208
47307 4400
15260 4138
15260 4437
47307 3937
47307 7896
15260 2273
15260 0
47307 3859
47307 5038
15260 3927
15260 5349
47307 3963
47307 3973
15260 3932
15260 6221
47307 4153
15260 3892
33693 4286
55498 3936
33693 4009
33693 4494
55498 5251
55498 6575
33693 4132
33693 4050
55498 3944
55498 4017
33693 4049
33693 4166
55498 3911
55498 7922
33693 1625
33693 0
55498 3892
33693 3858
2973 3921
30921 3940
2973 4502
2973 4088
30921 4040
30921 6321
2973 176
2973 0
30921 4118
30921 4165
2973 4114
2973 4218
2973 4106
30921 164
30921 0
30921 3967
2973 4291
30921 5590
2973 5109
30921 5497
2973 3764
45980 4126
6344 4115
45980 3970
45980 4262
6344 3974
6344 5228
45980 959
45980 0
6344 6575
6344 4232
45980 4605
45980 4471
6344 3935
6344 5145
45980 1529
6344 4023
45980 3991
39834 3938
47297 3904
39834 4111
39834 4435
47297 4056
47297 6340
39834 1370
39834 0
47297 3965
47297 4018
39834 4041
39834 4234
39834 4167
47297 3929
47297 3910
47297 3927
39834 2008
9115 5321
55488 3873
9115 1710
9115 0
55488 4410
39834 3825
55488 5312
9115 3796
9115 5127
55488 3923
55488 5483
9115 4046
9115 4070
55488 4524
55488 4096
9115 558
55488 3900
9115 5102
43931 3947
30915 5403
43931 3863
43931 4228
30915 4848
30915 0
43931 443
43931 0
5018 4013
6338 4913
5018 5285
5018 4274
6338 4101
30915 3891
43931 3998
6338 5857
5018 934
5018 0
6338 3910
6338 5020
5018 501
6338 3964
6338 4240
5018 3879
5018 4098
64408 3909
30918 3894
64408 3952
64408 5292
30918 5465
6338 4329
5018 3930
30918 5091
64408 17
64408 0
30918 6911
30918 4102
64408 4072
64408 5353
30918 2006
30918 0
64408 4179
64408 3973
30918 4476
64408 4383
17305 4371
6343 4181
17305 3904
17305 4407
6343 3951
6343 7472
17305 1058
17305 0
6343 4702
6343 4810
17305 3979
17305 4657
6343 4275
