flow_ID proc_time
23126 4542
31276 4058
23126 4056
23126 4806
31276 3876
31276 1175
23126 6053
31276 3979
23126 4553
23126 3951
31276 3817
31276 4895
23126 4501
31276 10886
31276 6317
23126 3947
57943 4023
6701 3796
57943 4965
57943 5262
6701 4027
6701 968
57943 9686
6701 4329
57943 3930
57943 5034
6701 3809
6701 5184
57943 3816
57943 3782
27223 3789
47662 3891
27223 3888
27223 4497
47662 4064
6701 4907
57943 3879
47662 7164
27223 5410
27223 3973
47662 4297
47662 4090
27223 4238
27223 4524
47662 4489
47662 4955
27223 110
47662 3853
27223 3764
53846 3807
55855 6364
53846 4244
53846 4265
55855 4806
55855 7050
53846 4187
53846 3962
55855 4362
55855 4229
53846 4533
53846 4417
55855 3807
55855 3883
53846 1103
55855 3792
53846 3785
14932 3763
47659 5398
14932 3812
14932 4474
47659 3793
47659 7396
14932 4081
14932 3968
47659 3905
47659 4149
14932 4389
14932 5181
47659 4166
47659 5570
14932 860
47659 4125
14932 3886
33365 4076
55850 3953
33365 3967
33365 5299
55850 5327
55850 5224
33365 3831
33365 3871
55850 4165
55850 4072
33365 4516
33365 5118
33365 5325
55850 354
55850 3864
33365 3868
33365 4270
2645 3802
31273 3936
2645 3815
2645 5200
31273 5348
55850 3832
33365 3752
31273 5055
2645 3886
2645 3998
31273 4028
31273 8041
2645 3806
2645 5749
31273 3895
31273 3884
2645 3844
2645 4760
31273 4682
2645 4067
45652 4095
6696 3948
45652 6269
45652 4404
6696 3856
6696 5931
45652 835
6696 4342
6696 5058
45652 43
45652 3982
6696 3823
6696 3924
6696 3954
45652 3899
6696 4111
45652 4853
6696 5243
45652 3812
39506 3818
47649 3901
39506 41
47649 3953
47649 4990
39506 487
47649 4185
47649 4146
39506 3823
39506 3950
47649 4443
47649 4114
39506 447
47649 5662
39506 3938
8787 3885
55840 3951
8787 4294
8787 4262
55840 3980
55840 6123
8787 3877
8787 5721
55840 4282
55840 4038
8787 4238
8787 4066
8787 4473
55840 182
55840 5013
8787 3385
43603 3845
31267 3975
43603 4050
43603 4244
31267 3918
55840 3936
8787 3881
31267 7656
43603 5301
43603 3938
31267 4010
31267 4043
43603 3875
43603 4048
31267 3927
31267 4885
43603 3833
43603 5559
4690 3925
6690 3818
4690 4828
4690 4274
6690 4057
31267 3974
43603 5470
6690 7510
4690 304
6690 3841
6690 4223
4690 815
6690 4120
6690 3873
4690 4778
4690 5303
6690 3798
4690 3771
64080 3862
31270 6144
64080 3815
64080 4161
31270 3778
31270 7737
64080 4029
64080 4004
31270 3944
31270 4105
64080 4724
64080 4077
31270 4000
31270 4199
64080 575
31270 5568
64080 3890
16977 4069
6695 4537
16977 4182
16977 4233
6695 4042
6695 6122
16977 2090
6695 4026
6695 4586
16977 3826
16977 3964
16977 3971
6695 4220
6695 4152
6695 4841
16977 3822
6695 5444
16977 3660
6695 5032
16977 3835
51793 3724
47652 3801
51793 3678
51793 4045
47652 4645
47652 6261
51793 4264
51793 4707
47652 3699
47652 3944
51793 3874
47652 3683
47652 6494
51793 3914
47652 4170
51793 4526
47652 8058
51793 5005
47652 4076
51793 3813
47652 4692
51793 5164
47652 5485
51793 3686
47652 6702
51793 4696
47652 4049
51793 3667
47652 5564
51793 4150
47652 5411
51793 155
47669 4592
47669 4570
39517 3936
39517 3722
47669 4679
47669 5336
39517 5235
39517 3806
47669 3670
47669 3846
39517 3734
47669 3749
39517 3680
47669 3812
39517 4769
8796 5187
55860 3809
8796 3893
8796 3982
55860 3879
55860 5825
8796 297
55860 4877
55860 5285
8796 3755
8796 4066
55860 3888
55860 3991
8796 3802
55860 3767
8796 4618
55860 3884
8796 4952
43612 3717
31287 3835
43612 3793
43612 3984
31287 3744
31287 4926
43612 29
31287 3649
31287 3823
43612 4432
43612 3804
31287 3959
31287 3929
43612 3764
31287 3640
43612 4677
31287 5073
43612 4251
4701 3780
6710 3668
4701 3671
4701 3918
6710 4400
6710 6159
4701 3751
4701 5136
6710 3685
6710 3790
4701 3765
4701 3828
4701 3827
6710 4312
6710 3680
6710 4706
4701 3750
4701 5039
64095 3916
31282 3640
64095 4404
64095 3918
31282 3780
4701 3634
31282 6052
64095 1648
31282 3693
31282 3819
64095 3915
64095 4568
31282 3650
31282 3807
64095 3781
64095 4785
31282 4944
64095 3632
16990 3671
6707 3666
16990 3736
16990 3943
6707 3749
6707 5978
16990 437
6707 3742
6707 3996
16990 3725
16990 3830
16990 3949
6707 3750
6707 4248
6707 4745
16990 1287
51806 4146
47664 3659
51806 4402
51806 4081
47664 3884
6707 3799
16990 3683
47664 8235
51806 1939
47664 3646
47664 3936
51806 3673
51806 3851
47664 3838
47664 4895
51806 227
47664 3799
51806 3724
29279 3730
55857 3695
29279 3842
29279 4104
55857 3726
55857 7187
29279 4420
29279 3896
55857 3780
55857 3881
29279 4541
29279 3803
29279 3820
55857 1925
55857 5554
29279 3687
29279 3612
23129 3736
31288 4314
23129 3620
23129 4141
31288 3623
55857 3662
29279 4784
31288 6170
23129 3749
23129 3708
31288 4098
31288 3829
23129 3779
23129 4832
31288 3816
31288 5121
23129 3741
23129 3820
31288 4150
23129 3604
57944 3657
6713 3759
57944 4154
57944 4993
6713 3963
6713 5787
57944 3756
57944 3886
6713 4094
6713 4287
57944 3696
57944 4458
57944 4861
6713 2288
6713 3834
57944 3751
6713 3657
57944 3641
6713 6460
57944 3692
27224 3663
47674 4737
27224 4168
27224 5371
47674 3670
47674 5105
27224 4406
27224 3757
47674 3635
47674 3823
27224 4695
27224 5154
47674 3812
47674 3776
27224 4231
27224 3887
47674 3645
27224 3664
53849 3878
55867 4122
53849 4708
53849 5315
55867 3724
55867 4833
53849 365
55867 3797
55867 4269
53849 4490
53849 5751
53849 4004
55867 3655
55867 3649
55867 3720
53849 7
14939 3771
47679 3752
14939 4646
14939 5392
47679 3693
55867 3647
53849 3649
47679 4900
14939 3668
14939 3740
47679 5126
47679 5351
14939 3849
14939 3864
47679 3652
47679 3814
14939 3759
14939 3838
47679 3695
14939 3624
33370 5140
55870 4999
33370 3652
33370 4161
55870 3821
55870 4898
33370 3700
33370 3858
55870 3742
55870 5261
33370 5074
33370 3825
33370 3845
55870 3672
55870 3663
55870 3902
33370 3942
55870 3681
33370 5294
55870 3674
33370 5100
2650 3868
31293 3798
2650 3688
2650 4230
6716 3754
45659 3643
6716 3685
45659 4705
6716 5055
45659 3646
23146 3653
31356 3845
23146 3722
23146 4151
31356 3767
31356 6751
23146 116
31356 3950
31356 3840
23146 3709
23146 3858
31356 4232
31356 3766
23146 4107
23146 4653
31356 4988
23146 3619
57963 3691
6781 4147
57963 4960
57963 6349
6781 3691
6781 5823
57963 5062
57963 3674
6781 3660
6781 3808
57963 3662
57963 3795
57963 3729
6781 276
6781 4760
57963 852
27243 3681
47742 4218
27243 3886
27243 4091
47742 3648
6781 3678
57963 4590
47742 6311
27243 128
47742 3779
47742 3762
27243 3716
27243 3862
47742 3774
47742 3811
27243 1015
47742 5016
27243 3602
53866 3687
55935 3634
53866 4390
53866 3994
55935 3696
55935 7499
53866 5248
53866 3737
55935 3690
55935 3946
53866 3697
53866 3786
33385 4387
33385 6410
55930 3821
55930 4777
33385 3875
33385 4322
55930 3730
55930 3791
33385 4262
33385 3830
55930 4624
33385 5591
55930 3733
55930 4077
33385 3649
33385 4248
2665 3700
31353 3638
2665 5574
2665 4061
31353 5020
55930 3831
33385 4105
31353 4862
2665 3900
2665 3783
31353 4252
31353 4797
2665 3686
2665 5184
31353 3677
31353 3928
2665 3850
2665 3656
45672 3664
6776 3668
45672 4614
31353 5297
45672 4051
2665 5099
6776 3765
6776 4786
45672 3776
45672 3750
6776 4200
6776 3865
45672 4687
45672 553
6776 3776
6776 3814
6776 3896
45672 4291
6776 3817
45672 3768
6776 3707
45672 3661
39534 4693
47729 5033
39534 4555
39534 4273
47729 3913
47729 4917
39534 3776
39534 3833
47729 4760
47729 5206
39534 3701
39534 3825
47729 4216
47729 3802
39534 3647
47729 3647
39534 3865
47729 3669
39534 4854
8815 3714
55920 5072
8815 3770
8815 4047
55920 3833
55920 4912
8815 3677
8815 3899
55920 4862
55920 5141
8815 3716
8815 4000
55920 4297
8815 3990
55920 3902
55920 3874
55920 3654
4718 3643
6770 3811
4718 4839
6770 3767
4718 5078
64108 4312
31350 3684
64108 3783
64108 4052
31350 3796
31350 4871
64108 3800
64108 4962
31350 5276
31350 4136
64108 3757
64108 3890
31350 3855
31350 3771
64108 3691
31350 3704
64108 4847
31350 5153
64108 3881
17005 3714
6775 3624
17005 3763
17005 4061
6775 3709
6775 4901
17005 503
6775 5014
6775 4062
17005 3676
17005 3867
17005 3832
6775 407
6775 4757
17005 3710
6775 4970
17005 3688
6775 3704
17005 3779
51821 3636
47732 3674
51821 3672
51821 4159
47732 3875
47732 7489
51821 4704
51821 3760
47732 3872
47732 3868
51821 4372
51821 3798
47732 3681
47732 4905
51821 3795
47732 5152
51821 3640
47732 3604
51821 4410
29292 3685
55925 3820
29292 3693
29292 3971
55925 3679
55925 8045
29292 1874
55925 3651
55925 3915
29292 3786
29292 3820
55925 3688
29292 3850
55925 4901
55925 5212
29292 4148
55925 4141
29292 3662
55925 3811
29292 3675
39521 3885
47717 3635
39521 3739
39521 5079
47717 5146
47717 4762
39521 3685
39521 3862
47717 4139
47717 4272
39521 3811
39521 4960
47717 5023
47717 4282
39521 3874
47717 3689
39521 4213
47717 4195
39521 3822
8800 3767
55908 3635
8800 3735
8800 5508
55908 5065
55908 4714
8800 4368
8800 3792
55908 3719
55908 3817
8800 4895
8800 3872
55908 4973
8800 4080
55908 3655
55908 3829
8800 3686
55908 3662
8800 3690
55908 5106
8800 5423
43616 3650
31335 3777
43616 4297
43616 4077
31335 3802
31335 4921
43616 3712
43616 3992
31335 5440
31335 5118
43616 3648
43616 3783
31335 4159
31335 3926
43616 3622
31335 3687
43616 3731
31335 5192
43616 5104
4705 3744
6758 4257
4705 4250
4705 3967
6758 3673
6758 4871
4705 3658
4705 4749
6758 581
4705 3881
4705 3803
6758 3712
6758 3747
4705 4168
6758 3674
4705 5510
6758 4991
4705 3679
64099 3793
31330 3669
64099 4220
64099 3904
31330 3790
31330 4873
64099 704
31330 3750
31330 4313
64099 3684
64099 3977
31330 4257
64099 3966
31330 4247
31330 4841
