flow_ID proc_time
17508 6854
4715 5209
17508 9123
17508 8125
4715 4511
4715 13560
17508 4627
17508 6664
4715 4956
4715 5486
17508 4065
4715 4159
17508 6777
17508 5266
4715 5295
4715 7276
17508 2686
4715 3844
17508 3782
52324 6112
45672 5620
52324 3982
52324 5017
45672 4331
45672 7992
52324 3854
52324 6975
52324 5260
45672 943
45672 6586
52324 6211
45672 4194
52324 7036
45672 494
52324 8431
52324 3976
52324 6129
29797 6815
53865 4037
29797 4138
29797 4917
53865 8926
53865 7317
29797 3678
29797 4901
29797 5302
53865 4252
53865 3866
53865 4216
29797 7938
53865 5090
29797 3940
53865 4183
29797 4609
29797 5878
53865 5101
29797 5249
23651 3944
29280 7691
23651 3805
23651 4394
29280 6455
29280 6965
23651 4735
23651 3960
23651 9203
29280 3676
29280 3796
23651 7421
29280 5927
23651 5353
29280 3938
23651 3985
23651 3958
29280 8878
23651 5878
58466 4440
4705 4003
58466 5551
58466 4444
4705 5059
4705 6477
58466 8837
58466 3893
58466 4011
58466 6271
4705 686
4705 4995
4705 4064
58466 6455
4705 5499
58466 3791
4705 3864
58466 5871
27746 3939
45666 5030
27746 5242
27746 9034
45666 8602
4705 3839
58466 3906
45666 10120
27746 8929
27746 4156
45666 3798
27746 3923
45666 9364
45666 4092
27746 3806
45666 4554
27746 4504
45666 6232
27746 3829
27746 3907
45666 7095
27746 6451
54371 5452
53859 4077
54371 4809
54371 6423
53859 6529
53859 5071
54371 821
53859 7385
54371 4313
53859 3809
54371 3846
53859 5899
53859 6126
54371 3793
53859 3963
54371 5960
53859 5499
54371 3861
54371 6167
15457 3926
45671 4048
15457 5689
15457 5040
45671 4879
53859 4481
45671 7035
15457 3840
15457 5350
45671 5476
15457 4938
45671 5012
45671 4073
15457 5816
45671 5243
15457 4380
45671 4344
15457 3880
15457 6401
33888 4876
53862 6928
33888 3865
33888 4948
53862 5088
45671 4115
15457 6544
53862 5186
33888 6507
33888 4071
33888 4968
33888 6976
53862 2943
53862 260
53862 3911
33888 3988
53862 6813
33888 4152
53862 3769
33888 4402
33888 4975
3168 4974
29285 5374
3168 3979
3168 4792
29285 4968
53862 5362
33888 5878
29285 5248
3168 4102
3168 4924
3168 8323
29285 6469
29285 4112
29285 4277
3168 5005
29285 5580
3168 3710
3168 3715
4708 8370
46177 5717
46177 4008
4708 3743
46177 3967
4708 4976
46177 4077
4708 4023
46177 3931
4708 5517
46177 4842
46177 6204
4708 3911
46177 7194
23660 6793
29300 5239
23660 4936
23660 8533
29300 7963
29300 5646
23660 3989
23660 6192
23660 6658
29300 3904
29300 3985
29300 3964
23660 7343
29300 6263
23660 3881
29300 4107
23660 4825
29300 4987
23660 5125
58477 3982
4725 7606
58477 6146
58477 4754
4725 4006
4725 8438
58477 5918
58477 4030
58477 3812
58477 4462
4725 7234
4725 3924
4725 3831
4725 4752
58477 7376
4725 5108
58477 5199
4725 3996
58477 3915
4725 6257
58477 4131
27757 6319
45686 4119
45686 5139
27757 4138
45686 4107
27757 7409
45686 6564
27757 4228
45686 4285
27757 3945
45686 7754
27757 6137
45686 6345
27757 5598
45686 4357
27757 4355
45686 6119
27757 3642
45686 6602
27757 4764
27757 3634
45686 6083
27757 3705
53879 5363
54380 181
54380 1029
53879 3638
53879 3663
53879 4688
53879 6059
54380 3812
53879 3909
54380 4427
53879 6347
54380 5298
54380 3807
15470 3657
45683 8791
15470 8405
15470 5351
45683 5197
53879 3668
54380 6111
45683 5004
15470 3677
15470 6047
45683 7074
15470 4451
45683 3646
45683 3790
15470 3650
45683 6296
45683 3765
15470 3765
15470 8359
33903 3863
53874 5068
33903 3676
33903 5330
53874 3671
45683 3654
15470 6796
53874 6884
33903 4652
33903 3749
53874 4668
33903 7405
53874 3656
53874 3803
33903 3810
53874 4932
33903 5939
53874 3861
33903 4004
33903 5852
53874 5405
29297 7447
3183 4899
3183 4063
29297 4154
29297 4124
29297 7034
3183 5682
29297 4089
3183 3786
29297 4361
3183 4253
3183 6263
29297 4435
3183 3707
46190 5254
4720 9141
46190 3815
46190 5112
4720 5074
4720 4968
46190 3751
46190 3722
46190 6015
4720 3791
4720 3741
4720 3804
4720 5444
46190 5118
4720 4042
46190 4581
4720 3903
46190 4920
46190 5036
40040 3692
45689 6445
40040 5273
40040 4638
45689 4965
4720 3792
46190 7637
45689 5908
40040 3796
40040 5068
45689 3741
45689 3639
45689 4224
40040 7413
45689 5098
40040 3721
45689 5263
40040 6569
9321 4315
53880 3677
9321 6377
9321 4517
53880 3804
53880 3703
53880 3959
53880 6106
9321 4788
53880 3977
9321 3831
53880 4126
9321 6955
44137 6500
29307 3844
44137 3684
44137 5136
29307 4286
53880 4691
9321 4973
29307 6082
44137 3938
44137 3753
44137 6916
29307 3606
29307 3825
44137 4113
29307 3751
44137 5570
29307 6228
44137 3839
44137 3921
29307 3758
44137 6629
5224 3780
4730 6253
5224 3650
5224 7324
4730 3626
4730 7819
5224 6190
5224 4075
4730 3660
5224 7779
4730 6144
5224 4735
4730 3705
4730 3836
5224 4041
4730 4867
5224 6060
4730 3813
5224 3809
5224 6616
64618 6200
29310 3807
64618 4682
64618 6109
4730 3959
5224 3704
29310 6016
64618 7190
64618 4863
64618 3802
29310 3660
29310 8627
29310 5140
64618 3662
29310 3760
64618 5885
29310 5450
64618 4787
64618 5157
17515 3682
4735 9404
17515 9013
29310 4256
64618 3783
17515 7044
4735 5484
4735 5086
17515 3668
17515 3731
17515 7163
17515 4738
4735 3814
4735 3782
4735 4151
4735 4748
17515 4994
4735 3792
17515 4670
4735 5928
17515 3996
17515 3772
52331 4726
45692 5232
52331 4811
52331 4764
45692 3642
4735 4672
17515 6757
45692 5092
52331 3669
52331 3947
52331 4809
45692 5455
45692 3696
45692 6773
52331 6178
45692 5251
52331 5212
45692 3754
52331 752
29802 5549
53885 852
53885 3579
29802 6332
53885 5229
29802 7705
53885 4335
29802 4104
29802 4627
23666 5024
29276 4655
23666 7108
23666 5500
29276 3628
53885 3788
29802 7337
29276 6115
23666 3631
23666 3749
23666 8080
29276 6645
29276 5136
29276 3792
23666 4944
29276 5830
23666 4777
29276 5281
23666 3743
23666 8453
58483 3677
4701 3685
58483 4883
29276 8342
23666 7970
58483 4302
4701 3857
4701 7320
58483 4848
58483 3678
58483 6185
4701 5452
4701 5320
4701 3769
4701 5754
58483 8720
4701 3780
58483 4714
4701 5392
58483 3714
58483 4533
27763 3664
45662 3759
27763 3687
27763 8753
45662 7530
4701 3819
58483 3719
45662 3856
27763 34
54386 2232
53855 7084
54386 4135
53855 3832
45662 7576
27763 6444
53855 6100
54386 3675
54386 7975
53855 3713
53855 4916
53855 3796
54386 7170
53855 4023
54386 4709
53855 5141
54386 6232
53855 5579
54386 3826
53855 3743
54386 3673
15472 2366
45659 6034
15472 4234
45659 3793
45659 7697
15472 4924
15472 5247
15472 3807
15472 4463
45659 900
45659 4746
45659 5153
15472 5991
45659 3969
15472 3720
45659 3914
15472 6120
15472 5910
33905 3851
53850 4225
33905 3794
33905 8530
53850 4894
45659 3643
15472 3707
53850 5459
33905 4665
33905 7112
53850 5827
33905 8390
3185 5467
29273 4693
29273 5364
3185 7826
3185 4727
3185 5173
3185 6461
29273 5201
29273 3920
29273 3786
29273 4962
3185 8063
29273 8053
3185 3797
29273 3730
3185 5975
3185 3800
46192 3808
4696 8202
46192 5067
46192 5450
4696 3743
29273 5443
3185 3675
4696 7296
46192 936
46192 3810
4696 3651
4696 4651
4696 5837
46192 3828
4696 3984
46192 6260
4696 5288
46192 3778
46192 4391
4696 4775
46192 5775
40054 5349
45649 4904
40054 3847
40054 4146
45649 6073
45649 5165
40054 3798
40054 3830
40054 5147
40054 3783
9335 5201
53840 3757
9335 5002
9335 4522
53840 3683
45649 3771
40054 7623
53840 6024
9335 3763
9335 3696
9335 4186
53840 8211
53840 5840
53840 3893
9335 5840
53840 4450
9335 3828
53840 6119
9335 3737
9335 5854
44151 5253
29267 3857
44151 3778
44151 5089
29267 8894
53840 8556
9335 3652
29267 5473
44151 6321
29267 3796
44151 4280
29267 3693
29267 6928
44151 4896
29267 5079
44151 3648
29267 4532
44151 4364
44151 5684
5238 5004
4690 8061
5238 7716
5238 4596
4690 3701
29267 3627
44151 7749
4690 6266
5238 3845
5238 3960
5238 1835
4690 3969
4690 3777
4690 3829
29270 7023
29270 7124
64628 4349
64628 3658
29270 2975
64628 3660
29270 6252
64628 4516
64628 6816
29270 3918
29270 3944
64628 5980
64628 7055
17525 6633
4695 3817
17525 3803
29270 3799
17525 6474
64628 5185
4695 9211
4695 7491
17525 5969
17525 3729
4695 3679
17525 3929
4695 5296
17525 3832
4695 3932
17525 3700
4695 7345
17525 4916
17525 4943
52341 4212
45652 6817
52341 5628
52341 4161
45652 4160
4695 4579
17525 4958
45652 4989
52341 3742
52341 3823
52341 3793
52341 3995
45652 6604
52341 5039
29812 3791
53845 4658
29812 5199
29812 8075
53845 7645
53845 4808
29812 1512
53845 3820
29812 3943
53845 4697
53845 5795
29812 7205
53845 3993
29812 3766
53845 4441
29812 829
53845 5010
29812 3581
