flow_ID proc_time
40712 4574
46841 4150
40712 3941
40712 4827
46841 3969
46841 14360
40712 6421
46841 970
40712 3861
40712 4022
46841 3849
46841 5020
40712 174
9993 4367
55032 9612
9993 4949
9993 8630
55032 4508
46841 5165
40712 3836
55032 7577
9993 236
55032 5231
55032 4015
9993 3948
9993 6407
55032 3893
55032 4000
9993 3923
9993 3867
44809 3923
30459 3809
44809 5009
44809 5705
30459 4598
55032 3919
9993 3747
30459 7374
44809 3983
44809 4290
30459 3813
30459 4950
44809 5140
44809 3995
30459 4498
30459 7797
44809 4613
44809 6264
30459 3800
44809 3862
5896 3945
5882 4776
5896 4745
5896 5055
5882 3918
5882 7667
5896 4214
5896 3996
5882 3868
5882 5073
5896 3966
5896 5467
5882 3905
5882 6598
5896 417
65290 5364
30462 3874
65290 3925
65290 4829
30462 3925
5882 3973
5896 4018
30462 7557
65290 4057
65290 6147
30462 4264
30462 6180
65290 4421
65290 5609
65290 6499
30462 184
30462 5006
65290 331
18187 3909
5887 4265
18187 3895
18187 5410
5887 5350
30462 7452
65290 3701
5887 7531
18187 3900
18187 5327
5887 3781
5887 5248
18187 3804
18187 6305
5887 3848
5887 3963
18187 941
5887 3875
18187 3836
53003 3893
46844 3931
53003 3916
53003 7220
46844 5468
46844 7439
53003 234
46844 4267
46844 6412
53003 3928
53003 6286
53003 3906
46844 3924
46844 4284
46844 6699
53003 4678
46844 3917
53003 3927
46844 3947
53003 3888
30474 4075
55037 3904
30474 4917
30474 5711
55037 3983
55037 7458
30474 4216
30474 5363
55037 4837
55037 4067
30474 5026
30474 6556
55037 3933
55037 5240
30474 4055
24338 3981
30428 3930
24338 3799
24338 5400
30428 5280
55037 4770
30474 4020
30428 8022
24338 5520
24338 6293
30428 5100
30428 5094
24338 175
24338 4211
30428 4451
30428 231
24338 3924
24338 4065
59155 4164
5853 3945
59155 5021
59155 5750
5853 3885
30428 3953
24338 3992
5853 7910
59155 4068
59155 3960
5853 6600
5853 6420
59155 4855
59155 4914
5853 6116
5853 4513
59155 3947
59155 3914
28435 3896
46814 4943
28435 5164
28435 4362
46814 3860
5853 3820
59155 3808
46814 7720
28435 4408
28435 3997
46814 3817
46814 3956
28435 6451
28435 5599
46814 3897
46814 6398
28435 497
46814 4436
28435 4026
55058 4066
55007 4331
55058 3937
55058 6685
55007 6848
55007 7951
55058 4094
55058 3875
55007 4760
55007 5253
55058 4626
55058 6368
55007 3835
55007 4012
55058 4889
55058 5285
55007 3924
55058 3735
16144 3877
46811 3882
16144 3861
16144 6635
46811 3813
46811 7274
16144 4468
16144 3888
46811 3883
46811 6324
16144 3801
16144 6426
16144 3993
46811 3779
46811 3796
46811 6213
16144 3823
16144 3789
34577 5003
55002 4252
34577 3946
34577 5264
55002 6049
46811 4406
16144 3967
55002 7176
34577 4371
34577 5398
55002 5318
55002 4071
34577 3931
34577 6844
55002 3684
55002 3756
34577 3855
34577 4722
3857 5328
30425 3882
3857 3743
55002 3663
34577 3713
3857 5244
30425 3837
30425 6257
3857 3676
3857 4829
30425 5950
30425 6408
3857 4556
30425 6787
3857 3844
30425 6584
3857 4481
30425 6507
3857 3803
30425 5061
3857 5209
30425 6551
3857 3794
30425 6516
3857 3966
30425 6863
3857 3921
30425 6674
3857 3786
30425 6612
3857 724
30425 4976
3857 3620
46864 3824
5848 3673
46864 3731
46864 4098
5848 3896
5848 7523
46864 3892
46864 3786
5848 4732
5848 6158
46864 3705
46864 3860
5848 4695
46864 6546
5848 4158
5848 3930
46864 3820
5848 3685
46864 4103
5848 3668
46864 5657
40726 5031
46801 3707
40726 3720
