flow_ID proc_time
14203 4235
43455 6179
14203 3867
14203 4634
43455 6747
43455 6352
14203 13156
43455 6220
14203 4298
14203 3986
43455 3683
43455 6228
14203 3772
43455 3958
14203 3925
43455 4686
14203 6369
36730 5745
51646 7260
36730 4572
36730 4172
51646 3928
51646 7536
36730 4571
36730 3912
51646 4206
51646 6325
36730 3924
36730 3972
51646 3901
51646 3955
36730 4959
36730 5397
1914 3943
27069 3927
1914 6352
1914 5597
27069 5151
51646 4145
36730 3990
27069 8133
1914 5564
1914 4042
27069 5233
27069 5401
1914 3861
1914 6395
27069 3934
27069 4084
1914 3964
1914 4021
27069 4057
1914 3845
49019 4936
2492 5236
49019 5129
49019 4343
2492 4479
2492 8344
49019 5106
49019 3931
2492 3851
2492 6496
49019 4015
49019 4156
2492 3918
2492 6722
49019 686
2492 3840
49019 3778
38755 3922
43421 3932
38755 3929
38755 6690
43421 3894
43421 7267
38755 3849
38755 4761
43421 3978
43421 3909
38755 3845
38755 3950
43421 3786
43421 6337
38755 3831
38755 3927
43421 3973
38755 3936
12130 3920
51612 4933
12130 6053
12130 4229
51612 3828
51612 7375
12130 5851
12130 3970
51612 3819
51612 4068
12130 7243
12130 5322
12130 6357
51612 3977
51612 3798
51612 3897
12130 882
42850 5117
27039 4077
42850 3849
42850 4324
27039 4842
51612 5100
12130 3747
27039 7446
42850 4776
42850 4007
27039 3797
27039 6296
42850 4261
42850 8981
27039 5248
27039 3928
42850 664
8035 4802
2462 5155
8035 4391
27039 3791
42850 3819
8035 4149
2462 7095
2462 7494
8035 4830
8035 3887
2462 4398
2462 6537
8035 3814
8035 5071
8035 6628
2462 396
2462 4025
8035 4097
8035 4957
63329 5759
27034 3993
63329 4599
63329 4019
27034 4000
2462 4982
8035 3833
27034 7495
63329 4714
63329 3900
27034 3973
27034 6458
63329 3953
63329 4180
27034 4965
27034 5317
63329 39
27034 7223
63329 3740
20320 5173
2459 3839
20320 3835
20320 4159
2459 3853
2459 7482
20320 4379
20320 3838
2459 4336
2459 6260
20320 4348
20320 3965
20320 6324
2459 3789
2459 3774
2459 6217
20320 905
51040 3923
43416 3763
51040 3767
51040 6519
43416 3818
2459 3892
20320 3800
43416 7392
51040 4239
51040 5380
43416 3827
43416 6757
51040 2522
43416 4263
43416 5635
51040 3880
51040 4261
32609 3854
51609 3917
32609 3813
32609 4111
51609 4798
43416 5312
51040 4131
51609 7452
32609 4379
32609 4173
51609 3867
51609 6266
32609 3806
32609 4860
51609 3706
51609 5227
32609 194
51609 4004
32609 3784
22375 4911
27024 6159
22375 4094
22375 4158
27024 3880
27024 7428
22375 4276
22375 5493
27024 3922
27024 5056
22375 3923
22375 5462
27024 5021
27024 6407
22375 372
27024 4485
22375 4003
61286 3919
2449 3897
61286 5261
61286 6067
2449 3906
2449 7746
61286 5915
61286 5786
2449 3888
2449 4071
61286 3962
61286 6471
61286 4167
2449 3855
2449 4840
2449 5177
61286 3818
61286 4647
26470 3877
43410 3834
26470 5631
26470 6199
43410 3728
2449 3820
61286 3806
43410 8024
26470 4606
26470 3726
43410 4227
43410 3853
26470 5169
26470 5180
43410 3708
43410 4037
26470 4817
43410 5627
26470 3729
43410 3681
26470 4169
57191 3673
51603 3810
57191 3854
57191 6301
51603 4359
51603 6907
57191 3805
57191 4715
51603 3651
51603 5190
57191 3666
57191 6147
51603 3655
51603 7690
57191 4463
51603 6661
57191 3687
51603 6491
57191 3762
51603 7038
57191 4661
51603 7094
57191 4249
51603 6688
57191 6030
51603 4367
57191 3729
51603 6567
57191 3795
51603 6963
57191 3962
51603 6540
57191 1562
51603 3663
57191 3591
14181 3652
43415 3641
14181 3677
14181 6355
43415 3833
43415 7661
14181 380
43415 3756
43415 7152
14181 3662
14181 4799
43415 4981
14181 6338
43415 3810
43415 3731
14181 3729
14181 3984
36708 3733
51606 4643
36708 5872
36708 3951
51606 4226
43415 3762
14181 3640
51606 7287
36708 3965
36708 3735
51606 3680
51606 6598
36708 3840
36708 3821
51606 3676
51606 6059
36708 763
1892 3830
27029 3824
1892 3782
1892 6744
27029 3685
51606 4175
36708 3601
27029 7487
1892 4071
1892 5522
27029 3668
27029 3834
1892 3685
1892 6141
27029 3811
27029 3748
1892 518
27029 4945
1892 4030
48997 3704
2452 3662
48997 3676
48997 4978
2452 5070
2452 7396
48997 3705
48997 3859
2452 3873
2452 6211
