flow_ID proc_time
9838 4415
54668 4231
9838 5027
9838 4115
54668 4013
54668 15100
9838 5324
54668 3825
54668 3955
9838 3857
9838 6402
54668 4001
54668 6560
9838 4899
54668 4350
9838 4631
54668 12177
9838 8114
44654 4833
30095 3942
44654 5430
44654 5549
30095 4394
30095 7411
44654 4132
44654 4033
30095 3822
30095 3954
44654 4846
44654 5408
30095 4180
30095 6225
44654 3849
30095 3806
44654 86
5743 3800
5518 4020
5743 5179
5743 5718
5518 4468
5518 7585
5743 11
5518 3935
5518 4496
5743 5173
5743 5446
5518 6310
5518 4056
5743 173
5518 4983
5743 7048
65133 3995
30090 3909
65133 3944
65133 4421
30090 5069
30090 7842
65133 5239
65133 4123
30090 3956
30090 6853
65133 4314
65133 5287
30090 4077
30090 6352
65133 1209
30090 4304
65133 6092
18028 3817
5515 4774
18028 5167
18028 4277
5515 3848
5515 7611
18028 210
5515 6508
5515 4059
18028 3987
18028 6373
18028 6350
5515 3876
5515 3841
5515 3913
18028 4812
5515 5267
18028 3841
5515 3930
18028 3829
52844 3808
46472 3795
52844 3902
52844 5257
46472 5043
46472 7384
52844 3943
52844 3835
46472 3963
46472 6265
52844 4385
52844 5180
46472 5913
46472 4103
52844 762
46472 4778
52844 5294
30317 3839
54665 4853
30317 4271
30317 4269
54665 3899
54665 7701
30317 3837
30317 3879
54665 3757
54665 6371
30317 3972
30317 5111
30317 5284
54665 3800
54665 3810
54665 5037
30317 7
24171 3839
30080 3757
24171 4963
24171 4552
30080 5478
54665 5177
30317 3813
30080 7788
24171 4692
24171 4146
30080 4002
30080 6302
24171 4066
24171 6409
30080 4706
30080 7014
24171 4236
24171 4826
30080 5709
24171 3873
58986 3909
5505 4231
58986 3995
58986 6883
5505 3958
5505 7486
58986 3915
58986 3966
5505 3933
5505 6417
58986 3772
58986 6457
58986 6456
5505 267
5505 4046
58986 3828
5505 4163
58986 5038
5505 5225
58986 3965
28266 3996
46466 3922
28266 3904
28266 7502
46466 5640
46466 7730
28266 478
46466 4524
46466 6383
28266 4330
28266 5233
46466 5629
46466 4036
28266 3916
28266 4811
54891 4414
54659 4982
54891 4776
54891 5701
54659 4001
46466 3998
28266 4065
54659 7449
54891 3948
54891 4136
54659 3879
54659 5423
54891 5300
54891 4091
54659 3917
54659 6292
54891 594
54659 3967
54891 3867
15977 4319
46471 5080
15977 7833
15977 5587
46471 4090
46471 7514
15977 3856
15977 5046
46471 5503
46471 4030
15977 4437
15977 7707
46471 4799
46471 5367
15977 3922
15977 4365
46471 4160
15977 3841
34408 3935
54662 3904
34408 4343
34408 4370
54662 5947
34408 5710
54662 4020
54662 4708
34408 3833
34408 5359
34408 5411
54662 3834
54662 3881
34408 6659
54662 3936
34408 3828
54662 5258
34408 5192
3688 3905
30085 3912
3688 3943
3688 4247
30085 6391
30085 7356
3688 4520
