flow_ID proc_time
47575 4695
44 9034
47575 4887
44 4695
44 16265
47575 10534
44 6328
44 4381
47575 3930
47575 4078
44 1056
47575 5342
37327 5188
40973 11185
37327 1776
40973 5341
44 4045
47575 3973
40973 5347
37327 3929
37327 4075
40973 3887
40973 4243
37327 3853
37327 5341
40973 392
37327 4046
37327 6811
10702 4825
49164 3931
10702 3916
10702 4458
49164 4012
40973 4066
37327 3926
49164 6581
10702 4310
10702 5299
49164 4253
49164 4186
10702 3962
10702 3931
49164 3771
49164 3917
10702 3792
10702 6110
49164 5128
10702 4041
41422 2478
24591 3
41422 5988
24591 6272
41422 5522
41422 4126
24591 4090
24591 4158
41422 4049
41422 6386
24591 4296
24591 4104
41422 886
24591 3969
41422 3871
6607 4792
14 3845
6607 4022
6607 4296
14 4061
14 6267
6607 851
14 4043
14 4020
6607 3819
6607 4215
14 3853
14 4237
6607 3970
6607 3902
14 5014
6607 5390
61901 4115
24586 3913
61901 3840
61901 4401
24586 3895
24586 6112
61901 826
24586 3888
24586 4040
61901 3853
61901 4153
61901 4240
24586 3854
24586 3991
24586 4955
61901 924
18892 4025
11 3936
18892 3892
18892 4333
11 4115
24586 3879
61901 4332
11 8525
18892 1411
11 3932
11 4054
18892 3984
18892 4197
11 3919
11 5072
18892 3852
18892 3587
11 10329
49612 4012
40968 6801
49612 3914
49612 5519
40968 6050
40968 5063
49612 3905
49612 3921
40968 3927
40968 4943
49612 5416
49612 4093
49612 4081
40968 4026
31181 7286
49161 8281
31181 4502
31181 4049
49161 4080
49161 6520
31181 288
49161 3930
31181 3878
20939 5066
24576 3938
20939 503
24576 4709
24576 6509
20939 3998
20939 4072
24576 3935
24576 5327
20939 5271
20939 4035
20939 4058
24576 184
24576 3974
20939 3901
24576 3879
20939 4475
24576 3911
20939 3930
59850 4869
1 5298
59850 4280
59850 4405
1 5035
1 5913
59850 3698
1 4469
1 5125
59850 5428
59850 4094
1 3948
1 4158
59850 3898
59850 4050
25034 3832
40962 3932
25034 44
40962 5172
1 4347
59850 3793
40962 5359
25034 569
40962 4435
40962 4242
25034 4909
25034 5408
40962 4046
40962 3998
25034 3919
25034 3920
40962 4334
25034 4028
55755 4172
49155 4050
55755 1592
49155 3957
49155 6456
55755 441
49155 11866
55755 1457
49155 1635
55755 973
49155 3963
55755 4019
12745 4083
40967 3855
12745 3904
12745 5490
40967 5248
40967 5206
12745 4055
12745 3980
40967 4960
40967 4526
12745 3872
12745 1546
49158 3905
49158 4072
35272 4159
35272 4047
49158 3871
49158 6739
35272 4318
49158 4425
35272 4128
49158 5492
35272 4023
49158 7636
35272 5144
49158 5208
35272 5148
49158 4302
35272 4024
49158 6807
35272 4001
49158 4297
35272 6442
49158 4515
35272 5405
49158 5857
35272 3887
35272 3903
49158 4045
35272 3901
456 4419
24581 3881
456 6488
456 4628
24581 4435
24581 5174
456 4044
456 3980
24581 4901
24581 5395
456 3930
456 4479
24581 4072
456 4079
24581 3993
24581 4613
456 3926
24581 3878
456 4012
24581 4922
456 3865
47561 5399
4 3992
47561 3996
47561 6708
4 4390
21 6455
21 4231
59845 3949
59845 4302
21 3909
21 4035
59845 4236
59845 6286
21 4891
59845 4142
25029 4034
40982 4402
25029 3996
25029 4609
40982 5493
40982 7044
25029 3909
25029 4233
40982 3929
40982 4063
25029 3971
25029 2675
40982 4007
40982 3833
40982 4232
25029 3880
40982 3886
25029 4080
40982 6207
25029 3850
55748 3864
49175 4210
55748 4191
55748 4171
49175 3867
49175 12079
55748 3218
49175 3919
49175 3998
55748 4587
55748 4136
49175 4026
49175 6357
55748 4024
55748 3850
49175 4360
55748 4029
12742 3950
40979 4031
12742 4938
12742 5585
40979 6307
40979 5109
12742 4402
12742 4060
40979 6701
40979 4518
12742 3891
12742 4027
12742 6508
40979 4012
40979 4037
40979 3958
12742 3974
40979 4147
12742 3924
40979 6238
12742 5155
35271 4119
49170 4009
35271 3902
35271 4378
49170 3948
49170 7657
35271 3929
35271 4184
49170 4056
49170 4081
35271 5854
49170 7522
49170 5531
35271 3898
49170 6501
35271 4047
49170 3942
35271 3837
455 4929
24593 5155
455 3997
455 4605
24593 3793
24593 5004
455 4943
455 5202
24593 3863
24593 3926
455 3872
455 3915
455 4053
24593 3835
24593 6499
24593 6311
455 4152
24593 3992
455 5190
24593 5407
455 3813
47558 4045
16 3839
47558 6775
16 4047
16 7524
47558 3918
47558 6232
16 3868
16 4223
47558 4485
47558 5817
16 5192
16 3985
47558 4051
16 3952
47558 3956
16 4915
47558 6528
37312 5450
40985 4093
37312 3875
37312 4255
40985 3958
40985 6089
37312 5453
37312 3986
40985 3885
37312 4369
37312 4132
40985 4016
37312 5168
40985 5237
40985 4001
37312 3929
40985 4028
37312 3888
40985 3874
37312 6222
10689 5065
49176 5247
10689 3896
10689 4133
49176 3937
49176 7284
10689 3907
10689 3918
49176 4120
49176 4288
10689 3919
10689 5375
49176 5368
49176 4010
10689 8099
49176 2455
10689 4097
41409 4123
24603 4928
41409 6247
41409 4460
24603 4628
24603 5160
41409 4264
41409 4356
24603 6301
24603 4236
41409 3825
41409 4109
24603 7377
41409 4101
24603 3945
24603 4923
41409 5538
24603 3921
41409 3951
24603 4896
41409 3887
6592 4233
26 4018
6592 4042
6592 5577
26 5368
26 5041
6592 4081
6592 4016
26 3934
26 5129
6592 5289
6592 4005
26 3921
26 3948
6592 3970
26 4103
6592 4954
26 5427
6592 4158
61890 4036
24606 4181
61890 4045
61890 4487
24606 6228
24606 7603
61890 4468
61890 3945
24606 3919
24606 3988
61890 4051
61890 5345
24606 4027
61890 11708
24606 6854
24606 4231
61890 3935
24606 4110
61890 3916
24606 5027
61890 6113
18883 3926
31 3913
18883 4085
18883 4199
31 5431
31 7051
18883 4284
18883 4010
31 3953
31 4028
18883 4090
18883 4447
31 4937
31 5262
18883 3863
31 6125
18883 4149
31 3980
18883 4774
49603 4902
40988 5298
49603 3926
49603 4309
49181 4054
49181 7419
31170 3893
31170 4235
49181 3920
49181 6343
31170 500
49181 5240
49181 4123
31170 3917
49181 3951
31170 3854
49181 4084
31170 5291
37031 5336
41837 3930
37031 4094
37031 4408
41837 4384
41837 6134
37031 5268
37031 4202
41837 3906
41837 3974
37031 3928
37031 4016
41837 3868
37031 6495
41837 3946
41837 4111
37031 3884
37031 4075
41837 4920
37031 5775
10406 5091
50028 6017
10406 4249
10406 4449
50028 3929
50028 7604
10406 3889
10406 3934
50028 3943
50028 4249
10406 3921
10406 4007
50028 4852
50028 5645
10406 3932
50028 4146
10406 4227
10406 4043
41126 3903
25455 5308
41126 5317
41126 4389
25455 3952
25455 5099
41126 9296
25455 5365
41126 3908
41126 4513
25455 3962
41126 4040
25455 1447
41126 3926
25455 3934
25450 4485
25450 4052
61605 5228
61605 4325
25450 4863
61605 5827
25450 4125
25450 4196
61605 3930
25450 3912
61605 3864
25450 3938
61605 3879
18596 5177
875 3885
18596 675
875 3940
875 5557
18596 3799
18596 3854
875 3826
875 3971
18596 3791
18596 4972
875 338
18596 3828
18596 3933
49316 3028
41832 4990
49316 9446
41832 7412
875 5252
18596 3890
41832 6816
49316 1789
41832 3911
41832 4017
49316 4066
49316 50
41832 357
41832 445
49316 1107
30885 3984
50025 4380
30885 4386
30885 4213
50025 4881
41832 3884
49316 3786
50025 7474
30885 252
50025 4015
50025 4108
30885 4065
30885 4023
50025 6216
50025 4005
30885 813
20643 4077
25440 5171
20643 4100
20643 4282
25440 4071
50025 3903
30885 3886
25440 5137
20643 3932
20643 5026
25440 3854
25440 5573
20643 3935
20643 4062
25440 849
25440 3982
20643 395
59554 3960
865 3914
59554 497
865 4072
25440 3920
20643 3845
865 5167
59554 6704
59554 3940
865 4235
865 5337
59554 38
865 4058
865 3982
59554 4042
59554 3908
865 3925
59554 3977
24738 3906
41826 3882
24738 172
41826 3901
41826 8963
24738 1420
41826 4615
41826 4063
24738 4481
24738 5229
41826 3950
24738 5613
41826 3933
41826 4021
24738 4106
24738 4041
55459 3894
50019 5122
55459 477
50019 3995
41826 3890
24738 4093
50019 6286
55459 5268
55459 4174
50019 4063
50019 4128
55459 4027
55459 4112
50019 3875
50019 5663
55459 5472
55459 3986
12449 3889
41831 3925
12449 3890
12449 6722
41831 4295
50019 4136
55459 4053
41831 6165
12449 5419
12449 3988
41831 3924
41831 4297
12449 3932
12449 6635
41831 3914
12449 4526
41831 6268
41831 3907
12449 4909
41831 5280
12449 3830
41831 3824
12449 3885
34976 4256
50022 3897
34976 3939
34976 5598
50022 5650
50022 5227
34976 3832
34976 4683
50022 4952
34976 5439
34976 4107
50022 3805
50022 4004
34976 3801
50022 3872
34976 4014
50022 5075
160 3911
25445 4116
160 3852
160 4562
25445 3912
25445 6804
160 1018
25445 5176
25445 4015
160 3938
160 4068
25445 3883
25445 7796
160 2056
47265 5227
868 3999
47265 4042
47265 4921
868 4165
25445 3908
160 3798
868 5214
47265 553
868 483
47265 4419
47265 4182
868 4098
868 4304
47265 309
868 3953
47265 4383
20652 7725
25460 3875
20652 449
25460 3894
25460 5220
20652 4118
20652 5091
25460 3918
25460 5493
20652 4627
20652 4161
25460 3945
20652 4812
25460 4120
25460 4073
20652 4403
25460 4042
20652 4952
25460 4028
20652 5251
59565 4106
59565 7905
885 4265
885 5280
59565 3949
885 4087
59565 3877
885 3896
59565 3937
24749 3983
41846 3931
24749 4160
24749 5654
41846 3916
41846 6609
24749 258
41846 3906
41846 372
24749 4574
41846 5042
24749 1291
55468 3921
50039 3931
55468 4158
55468 4719
50039 4082
41846 3918
24749 4051
50039 6332
55468 3515
50039 4008
50039 4506
55468 4016
55468 4053
55468 4605
50039 3800
50039 3926
50039 4858
55468 5209
55468 4091
50039 3818
55468 3751
12462 3853
41843 3959
12462 3831
12462 4445
41843 4963
41843 6363
12462 4675
12462 4015
41843 3906
41843 3885
12462 3776
