flow_ID proc_time
41663 5935
25779 6738
41663 2650
25779 7073
25779 12572
41663 5857
25779 6429
25779 6899
41663 4618
25779 4216
41663 4559
25779 4808
41663 6635
25779 8026
41663 6185
6846 5388
1202 6134
6846 4142
1202 7521
1202 1322
6846 4827
1202 9285
6846 7651
6846 6839
1202 8009
6846 2012
1202 4287
1202 6526
6846 4374
62140 5961
25782 7660
62140 3733
25782 6678
25782 9167
62140 5959
25782 6038
62140 5481
62140 6222
25782 7316
25782 7608
62140 5594
62140 2882
25782 5065
19133 2145
1207 8074
19133 6439
1207 10331
1207 8318
19133 5794
19133 5769
1207 5192
19133 3775
1207 8940
19133 6121
19133 4604
1207 6575
49853 805
42164 8310
49853 7833
42164 5533
42164 6940
49853 5597
49853 7780
42164 752
49853 3604
49853 7733
42164 4495
42164 4234
49853 7604
49853 6778
31420 4762
50357 7028
31420 8690
50357 6440
42164 6218
49853 7501
50357 7022
31420 4155
50357 4631
50357 6348
31420 4006
50357 5748
31420 4812
31420 5433
37553 7004
42149 5322
37553 5312
42149 5545
50357 6196
31420 7884
42149 6472
37553 7130
37553 8238
42149 6292
37553 1717
42149 264
37553 3228
10928 5777
50340 5946
10928 1108
50340 5334
42149 6994
37553 4172
50340 7336
10928 7419
50340 6673
50340 6486
10928 4139
10928 6040
50340 4547
50340 7557
10928 5576
50340 6000
10928 4855
41648 8029
25767 5562
41648 4849
25767 4376
25767 7211
41648 5129
41648 7345
25767 8055
25767 4974
41648 9321
41648 5624
41648 6791
25767 6446
25767 760
41648 8066
25767 5072
41648 4165
25767 7541
41648 5005
6833 4061
1190 9115
6833 6700
1190 4825
1190 8012
6833 6885
6833 6540
1190 4628
1190 9034
6833 4303
1190 2550
6833 5435
1190 8094
6833 5873
1190 6658
6833 9359
62131 7849
25762 5385
62131 5263
25762 5185
25762 5731
62131 5629
25762 3276
62131 6450
62131 6033
25762 5876
25762 371
62131 8281
62131 1394
25762 6933
19122 3956
1187 5548
19122 5780
1187 7999
1187 5714
19122 2029
1187 7218
19122 3503
1187 6386
1187 7040
19122 6188
1187 3937
19122 3923
49842 3959
42144 4084
49842 6393
42144 7873
42144 7848
49842 7373
42144 1434
49842 5989
49842 5181
42144 6973
49842 7305
42144 4238
49842 3010
31411 7626
50337 5322
31411 6466
50337 7806
42144 8061
49842 7141
50337 8641
31411 6333
31411 4249
50337 7777
50337 6033
31411 1665
50337 5354
50337 5952
31411 6743
50337 5139
31411 8228
50337 7111
31411 7108
50337 7746
31411 6477
50337 6347
31411 4272
50337 7539
31411 5553
50337 8060
50337 5191
31411 6523
50337 6675
31411 4044
50337 7138
31411 5146
21173 5093
25768 7221
21173 7553
25768 6353
25768 1103
21173 8420
21173 8003
21173 5628
25768 7232
21173 6489
25768 6681
25768 5716
21173 6260
60084 5773
1193 5745
60084 4214
60084 5233
1193 6817
1193 7248
60084 7770
1193 5015
60084 6795
1193 6186
42154 8862
25268 6287
25268 5663
42154 1639
25268 5679
25268 4142
42154 5791
42154 5677
25268 7977
25268 4519
42154 4520
25268 8436
55989 4454
50347 8140
55989 2110
50347 1947
55989 4419
50347 4903
55989 3190
50347 8137
50347 7151
55989 1303
50347 5992
55989 4837
12983 6742
42159 7564
12983 4593
42159 5221
42159 5871
12983 5661
42159 4235
12983 6667
12983 2679
42159 5735
12983 2704
42159 4425
42159 5111
12983 6026
35510 4975
50350 3994
35510 5068
50350 5880
50350 6354
35510 6881
50350 3993
35510 7408
35510 7757
50350 3075
35510 4543
50350 6145
50350 6004
35510 6954
694 5563
25773 6020
694 5606
25773 4705
25773 7966
694 4433
25773 3788
694 5362
694 469
25773 3931
25773 4812
694 3607
25773 5196
25773 6754
694 4722
47799 3978
1196 7107
47799 311
1196 4731
42125 4426
37551 3308
42125 6489
42125 9725
37551 5712
42125 4624
37551 4974
37551 4942
42125 4240
37551 3980
42125 1027
37551 6869
37551 7340
10926 5387
50316 5912
10926 1041
50316 4795
50316 7981
10926 4313
50316 4151
50316 6813
10926 4929
10926 5714
50316 6876
50316 6575
10926 2422
41646 563
25743 6336
41646 4827
25743 6636
25743 8540
41646 6913
41646 8800
25743 5928
41646 164
25743 5083
41646 6105
25743 2119
25743 6898
41646 3532
6831 5564
1166 6667
1166 7042
1166 7506
6831 5635
6831 11730
1166 6634
6831 8199
1166 6882
1166 2670
6831 4838
1163 6359
1163 6803
19116 5720
1163 2329
19116 5834
19116 5387
1163 7856
1163 2649
19116 3994
49836 4159
42120 5881
49836 5889
42120 5895
42120 6496
49836 6872
49836 6073
42120 3002
49836 818
42120 3407
49836 6670
42120 3930
49836 4992
49836 6181
31405 4378
50313 5663
31405 2418
50313 4473
50313 6481
31405 4228
50313 6304
50313 7567
31405 2268
50313 4003
31405 4106
50313 2655
31405 3982
31405 9007
21163 7010
25728 5321
21163 4223
25728 5260
25728 5932
21163 5003
25728 5745
25728 6983
21163 2606
25728 3105
21163 4399
25728 6662
21163 4524
25728 7276
21163 6197
60074 4674
1153 5328
60074 7254
1153 5570
1153 7165
60074 1532
1153 4093
1153 5802
60074 6274
60074 758
1153 8841
1153 4086
60074 6130
1153 1313
60074 7900
60074 6678
25258 41
42114 6513
25258 1023
42114 4761
42114 5365
25258 3962
25258 5570
42114 3994
42114 6989
25258 2764
42114 4184
55979 560
50307 110
50307 705
55979 5698
55979 1577
50307 3905
12969 2531
42119 7664
12969 8395
42119 7031
42119 5177
12969 5913
12969 5782
42119 2077
12969 2466
42119 5708
42119 2853
12969 5898
12969 416
42119 7960
35496 101
50310 7288
35496 7021
50310 5219
50310 7642
35496 5904
35496 7501
50310 6369
35496 4175
50310 5868
35496 6244
50310 51
35496 7728
50310 7435
35496 1435
50310 3898
680 5616
25733 6133
680 634
25733 8964
25733 6964
680 5359
25733 3985
680 4319
680 6470
25733 4778
25733 7518
680 8979
680 4107
25733 6844
680 4827
47785 3878
1156 3987
47785 4498
1156 6474
1156 6861
47785 5523
1156 2619
47785 3984
47785 6269
1156 4901
47785 7245
1156 3890
47785 1048
1156 6815
47785 5706
21156 6193
25748 3860
21156 2865
25748 6644
25748 7460
21156 4451
25748 8094
25748 4815
21156 4250
21156 4108
25748 5255
21156 3536
25748 5189
42134 5879
42134 5281
25253 6395
42134 7374
42134 5067
25253 2381
42134 6727
25253 1525
42134 4707
42134 4877
25253 7340
55972 5975
50327 6679
55972 839
50327 421
55972 3229
50327 2860
55972 5929
55972 7799
50327 2212
55972 1239
50327 8056
50327 5273
55972 5966
12966 4062
42131 8594
12966 5801
42131 6628
42131 1635
12966 5682
42131 4936
12966 6443
12966 4404
42131 5756
42131 4189
12966 5390
42131 4041
12966 5877
12966 6327
35495 6434
50322 6004
35495 4958
50322 6132
50322 6866
35495 4896
35495 7073
50322 6005
50322 4608
35495 3108
50322 1792
35495 344
50322 828
35495 5920
679 4006
25745 4957
679 3284
25745 4550
25745 7254
679 4235
25745 5974
25745 7208
679 4809
679 1063
25745 8019
25745 4180
679 5458
25745 4185
679 5515
679 7198
47782 1030
1168 4222
47782 5476
1168 5518
1168 7082
47782 1989
1168 2630
42137 8183
37536 4783
37536 5776
42137 2126
37536 2604
37536 5711
42137 2547
42137 2439
37536 4968
37536 3076
42137 4382
10913 1971
50328 7369
10913 7650
50328 5941
50328 8834
10913 4485
50328 5220
10913 3161
50328 5182
50328 3773
10913 5406
10913 1653
50328 5342
41633 1150
25755 5992
41633 6453
25755 5021
25755 7770
41633 1494
25755 5714
25755 7012
41633 5121
25755 4179
41633 3950
25755 5389
25755 1572
41633 7484
41633 508
25755 7132
6816 1510
1178 6930
6816 4342
1178 7440
1178 8637
6816 6627
6816 7443
1178 2931
6816 2418
1178 5830
1178 8555
6816 6668
1178 5953
6816 8267
1178 4431
6816 5820
1178 7281
6816 4915
1178 4460
6816 4149
1178 4879
6816 6934
1178 5360
1178 4232
6816 3859
1178 6705
25758 9855
62114 5452
25758 357
62114 453
25758 7749
62114 8252
25758 6350
25758 3942
62114 6264
25758 8053
25758 7700
62114 8495
