flow_ID proc_time
23126 1102
31276 5518
23126 2375
31276 4513
31276 1658
23126 11010
23126 313
31276 2270
23126 3831
31276 5620
31276 5556
57943 6350
23126 9605
6701 1528
6701 11
57943 3098
57943 924
6701 4202
57943 2383
6701 2344
57943 2724
27223 4086
47662 2997
27223 421
47662 1619
6701 6847
57943 5883
47662 961
27223 3069
27223 179
47662 4354
47662 1397
27223 3857
47662 2599
27223 2365
27223 744
47662 4069
53846 791
55855 4534
53846 4371
55855 2979
55855 780
53846 1104
55855 211
53846 360
55855 1352
55855 218
53846 237
14932 253
47659 5153
14932 2464
47659 4258
47659 1117
14932 4896
14932 1022
14932 1590
47659 750
14932 6205
33365 867
55850 7242
55850 1375
55850 407
33365 4057
55850 1615
33365 1233
33365 2090
55850 3493
33365 10172
2645 2806
31273 1173
55850 3938
33365 4129
31273 1089
2645 4265
31273 2419
2645 2115
31273 2383
2645 4160
2645 3839
6696 18
31273 9377
45652 6252
6696 1090
45652 619
6696 4071
45652 1547
45652 2411
6696 765
6696 204
45652 3856
45652 13583
6696 13792
39506 574
47649 4991
47649 689
39506 1425
47649 3914
39506 2379
47649 2373
39506 2274
47649 4163
39506 4601
8787 2308
55840 3437
55840 684
8787 2800
55840 2968
8787 48
55840 624
8787 3517
43603 4872
31267 3775
43603 4
55840 8274
8787 7150
31267 126
31267 665
43603 3243
43603 337
31267 2436
43603 2910
4690 826
6690 3897
4690 2137
6690 4755
31267 7545
6690 2715
43603 7670
4690 236
4690 2621
6690 1140
6690 1223
6690 1687
4690 1707
64080 4255
31270 2613
64080 4081
31270 1042
31270 1485
64080 4998
31270 1862
64080 4133
64080 2858
31270 3854
16977 718
6695 4221
16977 1291
6695 2296
6695 1102
16977 4033
6695 1611
16977 729
6695 3203
6695 4543
16977 4203
51793 833
47652 4544
51793 2080
47652 1642
47652 438
51793 3151
47652 2631
51793 1764
47652 4842
47652 1931
51793 1101
47652 4273
51793 4495
47652 4285
51793 5927
47652 4458
51793 4026
47652 5402
51793 4378
47652 7263
51793 5547
47652 4350
51793 4309
47652 4587
51793 4713
47652 4405
51793 2878
47652 6489
51793 8150
55845 4549
29264 5534
55845 1540
55845 111
29264 285
29264 2039
29264 272
55845 29
55845 1991
55845 344
29264 1618
55845 9203
29264 7462
39517 6407
47669 652
47669 1642
39517 3010
47669 1803
39517 1466
39517 2109
47669 2362
47669 496
39517 389
47669 1435
39517 1077
8796 477
55860 4969
55860 890
55860 2478
55860 352
8796 3093
55860 1986
55860 2592
8796 1473
55860 1356
8796 1153
43612 1817
31287 3785
43612 1381
31287 256
31287 4199
43612 1151
31287 81
31287 1726
31287 1518
43612 1335
31287 1210
43612 1225
4701 459
6710 3811
4701 771
6710 4676
6710 374
4701 2381
4701 1836
6710 1942
6710 1591
4701 1925
64095 143
31282 3775
64095 4635
31282 2127
6710 8680
4701 8680
31282 881
64095 5050
64095 585
31282 2664
64095 2156
31282 1744
64095 2824
64095 715
31282 3665
16990 3668
6707 937
16990 3763
6707 1324
16990 8
16990 81
6707 1578
16990 3983
51806 340
47664 3640
51806 1052
16990 10954
47664 2520
6707 11757
51806 1974
51806 1758
51806 468
47664 2919
51806 2683
47664 3651
51806 3613
29279 2097
55857 3752
29279 1373
55857 5127
55857 4222
29279 1941
29279 1249
55857 1071
29279 2633
23129 753
31288 3831
23129 2023
31288 4078
55857 4331
29279 3624
31288 1254
23129 5180
23129 1314
31288 387
23129 1200
57944 859
6713 3934
57944 1588
6713 3970
6713 338
