flow_ID proc_time
6169 4287
710 3918
6169 5487
710 5187
710 6215
6169 4120
6169 5348
710 3860
710 4243
6169 4128
6169 7522
710 4944
710 4018
6169 3882
6169 5603
61467 6372
25282 3922
61467 4082
61467 4337
25282 4003
710 4013
6169 3929
25282 6713
61467 2303
25282 4030
25282 4210
61467 3954
61467 4707
25282 3910
25282 4139
61467 5827
61467 5325
18458 3972
707 4194
18458 3900
18458 4919
707 4101
25282 3904
61467 3812
707 7587
18458 4455
18458 4308
707 4342
707 4049
18458 4019
18458 4157
707 3895
707 4984
18458 5205
707 4187
18458 4677
707 3866
18458 4759
49178 3938
41664 6153
49178 3936
49178 5477
41664 6265
41664 4708
49178 3846
49178 4027
41664 3939
41664 4145
49178 4941
49178 5719
41664 3936
41664 4258
49178 3875
49178 3902
41664 7350
49178 4059
30747 5738
49857 3870
30747 4167
30747 4443
49857 3903
49857 5717
30747 86
49857 5096
49857 5490
30747 4984
30747 4014
30747 4074
49857 3875
49857 3997
49857 6283
30747 1509
20509 4303
25288 3908
20509 4230
20509 4345
25288 3864
49857 4895
30747 4358
25288 6393
20509 4069
20509 5944
25288 4540
25288 4014
20509 4411
20509 4343
25288 3940
25288 4036
20509 3870
20509 5591
59420 5219
713 3925
59420 4215
59420 4276
713 4042
25288 3890
20509 3888
713 6150
59420 1115
713 4501
713 6792
59420 4142
59420 4187
59420 4235
713 333
713 5084
59420 5499
59420 3950
24604 3916
41674 4071
24604 4520
24604 4307
41674 3915
713 4994
59420 5341
41674 9846
24604 1217
41674 3994
41674 4180
24604 4073
24604 5058
41674 5747
41674 4181
24604 973
41674 3960
24604 3851
55325 4589
49867 3829
55325 4510
55325 7688
49867 5229
49867 5057
55325 3915
55325 3984
49867 3887
49867 4009
55325 3940
55325 6375
55325 4203
49867 266
49867 4146
55325 3899
55325 3934
12319 3886
41679 4079
12319 5030
12319 5915
41679 4444
49867 3872
55325 3868
41679 5035
12319 4187
12319 3972
41679 4776
41679 5044
12319 5246
12319 4525
41679 3948
41679 4044
12319 3900
41679 6273
12319 3894
41679 3912
12319 5251
34846 3924
49870 5306
34846 3888
34846 4888
49870 4203
49870 4967
34846 4534
34846 4283
49870 5009
49870 5880
34846 4438
34846 4173
49870 3880
49870 4136
34846 4091
49870 3865
34846 4068
49870 5802
34846 13937
30 2141
25293 5851
30 4449
25293 3887
25293 5280
30 3964
30 5126
25293 6072
25293 6717
30 165
25293 4178
25293 4142
30 4222
30 3855
25293 3899
30 3914
47135 3919
716 4988
716 3802
716 4438
716 3970
47135 3816
47135 3754
36871 3801
41709 4788
36871 5620
36871 4543
41709 3820
716 6030
47135 4203
41709 1635
36871 6892
41709 5355
36871 4376
36871 4411
41709 4164
41709 5234
36871 5735
41709 4283
36871 3939
41709 4258
36871 3963
41709 6699
36871 4438
41709 4262
36871 4637
41709 5697
36871 3883
41709 5995
36871 4382
41709 6734
36871 4030
41709 4523
36871 4500
41709 5472
36871 5404
41709 4909
36871 4108
41709 6849
36871 4375
41709 5303
36871 6940
49900 8612
10246 4870
25327 5105
40966 4236
40966 3925
25327 4928
25327 5321
40966 4807
40966 4058
25327 99
40966 4012
40966 3873
6151 3913
750 3890
6151 30
750 4208
25327 3979
40966 3921
750 4949
6151 4089
6151 3943
750 3918
750 5005
6151 5289
6151 4086
750 4572
750 3980
6151 4539
6151 4080
750 3936
6151 6198
61445 3849
25322 4915
61445 5236
61445 8808
25322 271
61445 3939
25322 3865
25322 4002
61445 5040
61445 5494
25322 4183
25322 4059
61445 3908
61445 5091
25322 3918
61445 3916
18436 4005
747 3849
18436 544
747 4119
747 5509
18436 4011
18436 4018
747 3932
747 6035
18436 5195
18436 4508
18436 4045
747 2067
747 4050
18436 4932
49156 5004
41704 5496
49156 3947
49156 4266
41704 4546
747 3874
18436 3993
41704 4997
49156 3861
49156 5100
41704 3951
41704 5448
49156 128
41704 4143
41704 3997
49156 1014
30725 4006
49897 4043
30725 3892
30725 4325
49897 4059
41704 5210
49156 5207
49897 5499
30725 4059
30725 6310
49897 3856
49897 13676
30725 3867
49897 648
49897 3888
30725 4055
49897 3923
30725 4533
49897 4888
30725 5209
20483 4748
25312 3922
20483 4072
20483 4146
25312 4499
25312 5094
20483 4907
20483 5224
25312 3787
25312 3939
20483 4978
20483 4152
25312 4532
25312 4224
20483 3832
20483 3770
25312 4809
20483 5211
59394 6445
737 3819
59394 3832
59394 4815
737 4029
737 5155
59394 5385
59394 5516
737 4535
737 3979
59394 4381
59394 4351
59394 4010
737 3860
737 3868
737 5089
59394 588
24578 3863
41698 4150
24578 39
41698 3961
737 3887
59394 3822
41698 8465
24578 1051
41698 3934
41698 4159
24578 3947
24578 4023
41698 81
24578 3858
24578 6236
41698 4039
24578 3716
55299 3779
49891 3984
55299 4048
55299 4448
49891 2890
55299 4819
55299 3864
49891 4046
49891 4010
55299 5199
55299 4018
55299 3981
49891 4253
49891 1531
55299 3882
49891 4339
55299 4043
49891 4424
55299 4436
12289 4321
41703 4313
12289 4075
12289 5345
41703 5265
41703 7820
12289 1554
41703 4257
41703 4204
12289 3911
12289 4225
41703 4883
41703 5315
12289 650
41703 4133
12289 3980
34816 3966
49894 3920
34816 3928
34816 4461
49894 5010
49894 6498
34816 379
49894 4025
49894 4017
34816 3969
34816 4038
34816 5065
49894 3939
49894 861
34816 4281
34816 3805
0 4424
25317 6237
0 3748
0 4358
25317 4026
49894 4876
34816 5066
25317 5196
0 4032
0 4293
25317 3913
25317 4042
0 4069
0 4305
25317 5119
25317 5444
0 3901
0 4789
47105 4000
740 5690
47105 2990
740 10679
25317 6659
0 4812
740 6647
47105 561
740 3900
740 4015
47105 3923
47105 4047
47105 5013
740 3677
740 4077
47105 4137
47105 4852
20492 4120
25332 3902
20492 4208
20492 4799
25332 5021
740 5346
47105 4405
25332 5601
20492 3953
20492 3969
25332 3971
25332 4081
20492 5089
20492 5640
25332 4036
25332 4141
