flow_ID proc_time
57878 4570
6865 3975
57878 4757
57878 4858
6865 4143
6865 15979
57878 339
6865 4026
6865 3904
6865 4280
57878 4940
6865 5371
57878 3851
6865 4039
57878 306
27158 3937
47826 3931
27158 7576
27158 4991
47826 5022
6865 5626
57878 3992
47826 5432
27158 3885
27158 4043
27158 6020
47826 165
47826 5436
27158 3887
47826 3995
27158 3872
47826 3926
27158 3878
47826 3908
27158 4908
47826 5257
27158 4393
53783 4011
56019 3903
53783 3979
53783 4729
56019 4010
56019 8065
53783 82
56019 5439
53783 4067
56019 4194
56019 7999
53783 5220
56019 4218
53783 5029
56019 4056
53783 4053
56019 5050
53783 3983
56019 5377
53783 3876
14869 3932
47831 3839
14869 3923
14869 5265
47831 3965
47831 8020
14869 826
14869 4161
47831 4509
47831 3910
47831 4076
14869 4089
47831 3987
14869 4938
47831 5763
14869 3951
14869 3892
47831 3919
14869 4423
33300 3921
56022 4127
33300 6494
33300 5841
56022 5344
56022 5199
33300 1368
33300 4025
33300 4740
56022 3941
56022 328
56022 5437
33300 5022
56022 4237
33300 4878
56022 4487
33300 3992
56022 3904
33300 4986
56022 4831
33300 8636
2580 860
31445 13539
2580 1419
31445 3863
31445 6870
2580 4155
2580 5237
2580 4722
31445 3918
31445 4023
31445 6356
2580 4569
31445 3995
2580 4059
31445 5197
2580 468
31445 4061
2580 3958
45589 4252
6868 4081
45589 4083
45589 4703
6868 4562
6868 7582
45589 2521
45589 713
6868 386
6868 278
6868 4173
45589 4940
6868 5370
45589 3864
6868 3966
45589 4388
45589 3905
23064 4069
31428 3950
23064 5214
23064 10066
31428 6481
6868 3894
45589 4078
31428 8023
23064 3913
23064 4425
23064 4225
31428 3932
31428 3902
31428 4218
23064 5343
31428 4040
23064 5784
31428 4096
23064 234
31428 3884
23064 4007
57881 3902
6853 3876
57881 5018
57881 6036
6853 4050
6853 5126
57881 3927
57881 3953
57881 4038
57881 4116
6853 5051
6853 828
6853 6815
57881 3857
6853 3946
57881 3894
6853 3864
57881 4893
6853 5249
57881 4413
6853 5288
57881 3771
27161 3921
47814 4057
27161 3985
27161 4305
47814 3877
47814 6162
27161 1554
27161 4052
47814 4214
47814 4005
47814 3921
27161 4020
47814 3985
27161 5129
47814 4987
27161 2687
53784 4542
56007 3924
53784 3845
53784 4374
56007 6391
47814 3799
27161 3724
56007 7391
53784 4553
53784 3970
53784 3938
56007 4678
56007 4103
56007 1791
53784 7784
53784 555
56007 4028
53784 4056
14874 3849
47811 3859
14874 5045
14874 6226
47811 4025
47811 5073
14874 3865
14874 4110
14874 4266
47811 341
47811 6022
