flow_ID proc_time
3507 4332
28833 4844
3507 5561
3507 4626
28833 3816
28833 219
3507 4807
28833 5208
3507 5560
3507 4051
28833 4054
28833 6819
3507 453
46514 3829
4256 3818
46514 32
4256 4259
28833 4320
3507 8647
4256 7529
46514 3988
46514 3872
4256 4053
4256 4189
46514 3929
46514 6336
4256 3939
4256 5293
46514 6339
4256 4396
46514 4891
4256 4563
46514 3934
40372 3921
45225 3976
40372 4585
40372 6401
45225 7313
45225 7449
40372 4526
40372 4183
45225 4941
45225 5371
40372 3901
40372 6396
45225 3936
45225 4213
40372 3907
45225 3821
40372 4405
45225 7303
40372 5828
9653 4323
53416 3984
9653 4464
9653 5064
53416 5295
53416 7341
9653 5039
9653 4022
53416 4495
53416 6937
9653 3793
9653 4014
53416 4808
53416 6762
9653 1449
53416 3963
9653 4083
44469 3804
28843 3760
44469 549
28843 3834
28843 7296
44469 4102
44469 3959
28843 4806
28843 5322
44469 3783
44469 6277
44469 7883
28843 590
28843 4064
44469 3808
44469 3868
5556 5102
4266 5140
5556 3823
5556 4412
4266 4828
28843 5186
44469 3790
4266 7437
5556 4366
5556 4459
4266 3785
4266 6236
5556 4632
5556 3951
4266 4115
4266 6445
5556 4936
5556 3828
4266 3930
5556 3907
64950 5049
28846 5407
64950 4117
64950 4424
28846 4119
28846 7807
64950 5088
64950 8488
28846 4130
28846 5416
64950 3914
64950 5475
64950 4954
28846 1462
28846 3970
64950 3805
64950 3681
17847 7643
4271 3879
17847 5326
17847 4245
4271 3834
28846 3819
64950 3769
4271 7682
17847 4157
17847 3755
4271 3809
4271 6373
17847 4712
17847 3990
4271 4371
4271 6350
17847 673
52663 3783
45228 3845
52663 8579
52663 5469
45228 3833
4271 3805
17847 4106
45228 7701
52663 4198
52663 3916
45228 4112
45228 4061
52663 5247
52663 6124
52663 6359
45228 2
45228 6243
52663 3816
52663 3798
30134 4032
53421 4025
30134 4031
30134 6728
53421 3783
45228 4200
52663 3695
53421 7287
30134 4231
30134 4872
53421 5307
53421 3936
30134 3843
30134 6410
53421 6438
53421 3979
30134 4046
30134 3920
23982 6069
28812 4058
23982 3940
23982 4427
28812 4565
53421 4084
30134 4037
28812 7306
23982 4426
23982 3971
28812 3991
28812 6578
23982 3925
23982 4026
28812 6358
28812 6322
23982 3823
23982 4032
28812 3983
23982 3757
58799 3989
4237 4068
58799 3904
58799 6785
