flow_ID proc_time
5704 4371
5626 5073
5704 7228
5626 15299
5626 5023
5704 4267
5704 3853
5626 6513
5626 10031
5704 6878
5704 4063
5626 4838
5626 3946
5704 4527
5626 4021
5704 3768
5626 4808
5704 3863
65098 4968
30206 3995
65098 4286
65098 4361
30206 3890
30206 4916
65098 3940
65098 5013
30206 5872
30206 4081
65098 4393
65098 4193
30206 3940
30206 4013
65098 4421
30206 3974
65098 6143
30206 3903
65098 5213
17995 3821
5631 3939
17995 3974
17995 4856
5631 3927
5631 6170
17995 27
5631 3910
5631 4172
17995 4026
17995 4182
5631 3867
5631 3836
17995 605
5631 3827
17995 3918
52811 3928
46588 4893
52811 4054
52811 5797
46588 4047
46588 5393
52811 4025
52811 4112
46588 4064
46588 5075
52811 6339
52811 5523
46588 4935
46588 4360
52811 3850
52811 4438
46588 3971
52811 3763
30282 5512
54781 3878
30282 5126
30282 4236
54781 4297
54781 5031
30282 333
54781 4124
54781 4922
30282 5516
30282 5981
30282 4227
54781 4310
54781 3968
54781 4474
30282 4021
30282 4610
24146 4872
30172 4417
24146 6232
24146 4380
30172 4004
54781 3940
30282 4266
30172 6143
24146 4388
24146 5466
30172 5247
30172 4077
24146 4379
24146 4173
30172 4488
30172 4049
24146 3823
24146 4800
58963 5306
5597 3912
58963 3812
58963 4243
5597 3813
30172 4233
24146 4183
5597 6121
58963 189
5597 3826
5597 4123
58963 3902
58963 4008
58963 4039
5597 3937
5597 3797
5597 4875
58963 953
28243 3982
46558 5093
28243 4977
28243 4446
46558 5027
5597 4040
58963 4339
46558 8125
28243 4464
28243 3973
46558 3953
46558 4069
28243 3951
28243 3913
46558 4476
46558 5843
28243 3940
28243 5150
46558 3859
28243 3808
54866 3902
54751 4237
54866 3901
54866 4284
54751 3823
54751 7709
54866 1940
54751 3855
54751 4209
54866 4919
54866 4072
54866 4133
54751 804
54751 5001
54866 584
15952 4363
46555 4073
15952 3888
15952 4295
46555 4081
54751 4005
54866 4032
46555 7919
15952 4170
15952 4052
46555 4423
46555 3978
15952 4122
15952 3965
46555 3875
46555 6257
15952 190
34385 3792
54746 4279
34385 3872
34385 3990
54746 3928
46555 4212
15952 5183
54746 6828
34385 55
54746 3908
54746 3950
