flow_ID proc_time
0 0
9838 6620
54668 4663
9838 6828
9838 0
54668 5457
54668 5028
9838 3980
9838 3966
54668 4813
54668 5379
9838 3963
9838 4134
54668 4054
54668 4102
9838 4198
54668 3763
9838 4016
54668 6660
9838 3844
44654 4027
30095 4200
44654 2109
44654 0
30095 5111
30095 4721
44654 1707
30095 5336
30095 4546
44654 3936
44654 4331
30095 3875
30095 4131
44654 4964
30095 3928
44654 138
5743 4064
5518 3902
5743 3962
5743 4729
5518 4995
5518 4714
5743 91
5743 0
5518 5374
5518 4071
5743 3910
5743 4167
5518 3937
5518 3985
5743 4143
5743 4358
5518 7480
5743 3855
65133 7067
30090 4703
65133 4676
65133 4378
30090 3998
30090 6498
65133 4074
65133 5743
30090 3934
30090 3987
65133 3936
65133 4248
30090 4029
30090 4348
65133 3966
65133 5227
30090 5232
65133 6199
18028 4007
5515 3904
18028 4995
18028 5432
5515 4565
5515 7033
18028 1228
18028 0
5515 3937
5515 4059
18028 4112
18028 4179
18028 7695
5515 3876
5515 5566
5515 3969
18028 4082
5515 4099
18028 3959
5515 4134
18028 4191
52844 4045
46472 4870
52844 5348
52844 4078
46472 4186
46472 5376
52844 1296
52844 0
46472 3859
46472 4106
52844 5075
52844 5534
46472 3943
46472 4588
52844 361
46472 4077
52844 3945
30317 4182
54665 5222
30317 4609
30317 8275
54665 5189
54665 7789
30317 6459
30317 4011
54665 4777
54665 5460
30317 4055
30317 5371
30317 4216
54665 4040
54665 4578
54665 3957
30317 1626
30317 0
24171 4004
30080 4875
24171 5314
24171 4901
30080 4350
54665 3954
30317 3872
30080 5158
24171 3973
24171 4001
30080 4860
30080 5409
24171 3891
24171 4090
30080 3979
30080 4269
24171 400
24171 0
30080 3930
24171 7398
58986 3899
5505 5278
58986 4066
58986 4550
5505 3953
5505 5699
58986 3986
58986 3940
5505 4047
5505 5262
58986 6342
58986 4309
58986 4131
5505 4058
5505 4087
5505 3962
58986 3971
5505 3934
58986 5059
5505 5325
58986 3996
28266 3956
46466 3929
28266 4998
28266 4443
46466 4444
46466 5036
28266 4938
28266 5316
46466 4232
46466 4234
28266 152
28266 0
46466 3957
46466 3993
28266 3923
28266 5645
54891 5556
54659 3904
54891 4914
54891 4372
54659 3948
46466 4095
28266 3868
54659 5526
54891 589
54891 0
54659 5660
54659 4058
54891 4517
54891 4742
54659 3898
54659 3984
54891 259
54659 3936
54891 5344
15977 4073
46471 4342
15977 3910
15977 4265
46471 3927
46471 5020
15977 3301
15977 0
46471 4000
46471 5464
15977 4131
34408 3936
34408 3987
54662 3990
54662 4082
34408 4544
34408 4200
34408 4990
54662 2113
54662 0
54662 4178
34408 3930
54662 3916
34408 4220
54662 4453
34408 7519
3688 4354
30085 4082
3688 149
3688 0
30085 4118
30085 5323
3688 40
30085 4237
30085 4047
3688 5779
3688 5387
30085 4742
30085 4321
3688 3911
30085 5835
3688 5202
30085 4531
3688 3898
30085 4310
3688 4487
30085 6647
3688 4030
30085 5535
3688 3967
30085 7141
3688 3952
30085 4347
3688 5065
30085 5841
3688 3969
30085 7196
3688 259
30085 6152
30100 3940
24164 3806
24164 3954
30100 4429
30100 3864
24164 397
24164 0
58981 3947
5525 4088
58981 5899
58981 4151
5525 4007
30100 4334
24164 3741
5525 6024
58981 865
58981 0
5525 3980
5525 3974
58981 3882
58981 3934
5525 4049
5525 4850
58981 5158
5525 3813
58981 3817
5525 4147
58981 4396
28261 3790
46486 4109
28261 6292
28261 4470
46486 5153
46486 6355
28261 3817
28261 4189
46486 3797
46486 4197
28261 3824
28261 4019
46486 3956
46486 5101
28261 5822
46486 3991
28261 4213
46486 4105
28261 4055
54884 3917
54679 3911
54884 3948
54884 4386
54679 3940
54679 7665
54884 1146
54884 0
54679 3878
54679 4234
54884 4100
54884 4052
54884 4038
54679 5599
54679 1960
54679 0
54884 4649
54884 4076
15974 4145
46483 4082
15974 3969
15974 4567
46483 4486
54679 5379
54884 5246
46483 6713
15974 5149
15974 4266
46483 3905
46483 4028
15974 1564
15974 0
46483 6062
46483 4094
15974 3923
15974 4080
46483 3921
15974 3816
34407 3902
54674 4895
34407 5442
54674 5438
54674 5390
34407 4032
34407 4107
54674 3962
54674 7063
34407 3921
34407 4048
34407 5222
54674 626
54674 0
54674 4106
34407 3961
34407 4125
3687 3887
30097 3941
3687 3883
3687 4217
30097 4872
54674 5245
34407 3867
30097 5368
3687 1330
3687 0
30097 4230
30097 4229
3687 3950
3687 6489
30097 4511
30097 4054
3687 4660
30097 3905
3687 4850
46694 5784
5520 3956
46694 4085
46694 7571
5520 4613
5520 4659
46694 5073
46694 5448
5520 3951
5520 5189
46694 3905
46694 4110
46694 5030
5520 5342
5520 4739
5520 3967
46694 4219
46694 3915
40544 3953
46489 4970
40544 4239
40544 5647
46489 4777
5520 4114
46694 3891
46489 4915
40544 5089
40544 5295
46489 4405
46489 4073
40544 4077
40544 4053
46489 3915
46489 7055
40544 4133
40544 6660
46489 4111
