flow_ID proc_time
38758 5772
43409 5194
38758 3782
38758 5053
43409 3757
43409 2334
38758 6725
43409 8995
43409 5394
38758 5095
43409 4449
38758 3788
43409 3901
38758 3790
38758 4789
12135 4825
51600 5179
12135 4264
43409 4263
38758 4166
12135 7164
51600 3812
51600 7247
12135 102
51600 3778
51600 3979
12135 5069
51600 5379
12135 3780
12135 6345
51600 4032
51600 4339
12135 4048
12135 3899
42855 4189
27027 5202
42855 3925
42855 7193
27027 8314
51600 4363
12135 3858
27027 7549
42855 4412
42855 3898
27027 4758
42855 4187
27027 4026
27027 4050
42855 3912
27027 4490
42855 5398
27027 5713
42855 3933
42855 3984
27027 3830
42855 3875
8038 3968
2450 5054
8038 5629
8038 6690
2450 5351
2450 7602
8038 3935
8038 5678
2450 3966
8038 4024
2450 4017
2450 5073
8038 5263
2450 4011
8038 6390
2450 6480
8038 29
2450 5207
8038 5171
63332 3903
27030 4999
63332 3922
63332 6757
27030 3975
27030 7952
63332 292
27030 5174
27030 4648
63332 4152
27030 6357
63332 5380
63332 5024
27030 5162
63332 5038
27030 3820
27030 5289
63332 3896
27030 4307
63332 4921
27030 3827
63332 5512
20325 3829
2455 5131
20325 4223
20325 9470
2455 5809
2455 7515
20325 1468
2455 3963
2455 6347
20325 5141
2455 6314
20325 3898
20325 4206
2455 3828
2455 6264
20325 220
2455 3778
20325 3747
51045 4955
43412 5204
51045 5268
51045 7099
43412 3865
43412 7364
51045 3894
51045 3930
51045 6500
51045 3988
43412 5041
43412 4143
43412 5209
43412 4260
51045 3969
43412 8824
51045 4848
43412 3956
51045 4439
43412 4779
51045 5099
43412 4797
51045 3809
32612 4052
51605 3861
32612 3998
32612 7237
51605 4091
51605 7378
32612 3919
32612 4117
32612 4048
51605 3686
51605 4987
51605 5152
32612 3914
51605 5490
32612 3901
51605 4008
32612 190
51605 3865
32612 3763
38761 4788
43397 5223
38761 3822
38761 7209
43397 3847
43397 9824
38761 613
38761 6312
38761 4574
43397 3786
43397 1429
43397 4005
38761 3824
43397 6261
38761 3980
43397 3889
38761 3945
43397 4379
38761 3846
43397 6203
38761 5125
12136 3865
51588 3821
12136 4604
12136 7081
51588 4011
51588 7347
12136 1519
12136 4032
51588 4574
51588 3956
51588 6280
12136 5261
51588 8878
12136 6539
51588 3847
12136 3976
51588 3837
12136 3893
51588 3918
12136 4855
42856 5740
