flow_ID proc_time
1642 7748
27261 8046
1642 3958
27261 7699
27261 19632
1642 22756
27261 890
1642 1091
27261 2236
1642 7969
48747 10537
2684 11192
48747 4636
48747 5351
2684 12511
27261 6513
1642 6322
2684 9502
48747 5145
2684 8742
48747 553
2684 7520
48747 6691
2684 6700
48747 828
38515 3334
43613 1
38515 5666
43613 2989
38515 8803
43613 1503
38515 4894
38515 8861
43613 3283
38515 11111
43613 1734
38515 4467
11890 11689
51804 12342
11890 5626
11890 7969
51804 6801
51804 7724
11890 5845
51804 6562
11890 4617
51804 5219
11890 5405
11890 3622
51804 8789
42610 12641
27231 6316
42610 1701
27231 2644
27231 1773
42610 10458
27231 9619
42610 4726
27231 1108
27231 5175
42610 1053
27231 14595
42610 7918
2654 10638
7795 10653
7795 7074
7795 4787
2654 7683
2654 13011
7795 1801
2654 10890
7795 7518
2654 586
7795 5296
2654 6731
7795 8606
2654 9341
63089 2159
63089 2482
27226 9697
27226 6299
27226 9313
63089 6916
27226 557
63089 2359
27226 6519
27226 988
63089 12313
63089 7412
27226 9219
63089 8109
20080 2391
2651 9621
2651 2632
20080 8007
2651 8698
20080 5231
2651 3581
2651 683
20080 752
20080 1653
50800 1816
50800 8344
43608 9237
43608 10999
50800 7562
43608 2158
50800 6611
43608 430
50800 7006
50800 2108
43608 8737
50800 2032
32369 9140
51801 10503
32369 12795
51801 6462
51801 9701
32369 3826
51801 5574
32369 1908
51801 10196
32369 10796
22135 6212
27216 7412
22135 7722
27216 10035
32369 13885
51801 14150
27216 6390
22135 4520
27216 474
22135 6839
22135 7019
27216 7648
22135 2336
22135 4978
27216 9709
61046 5903
2641 8474
61046 4107
2641 5500
2641 8874
61046 8197
2641 8732
61046 10064
2641 3190
61046 6600
61046 7162
2641 6538
61046 9109
26230 7813
43602 7148
26230 8573
26230 7933
43602 546
26230 1493
43602 3602
26230 3910
26230 3175
43602 4124
26230 4126
43602 3517
43602 348
26230 7008
56951 8580
26230 8969
51795 858
56951 6879
51795 21
56951 10606
51795 7639
56951 2590
51795 11010
51795 12016
56951 5711
51795 11521
56951 6301
51795 9275
56951 8717
51795 8352
56951 6741
51795 8509
56951 10551
51795 11705
56951 5799
51795 7467
56951 6877
51795 12421
56951 8528
51795 12144
56951 7017
51795 9650
56951 3516
56951 2955
51795 9349
13941 2277
43607 9782
13941 1443
43607 330
13941 1522
43607 3472
43607 3969
13941 10125
13941 11877
43607 6240
43607 10453
13941 13157
36468 1813
51798 9617
36468 3823
51798 14567
43607 10456
13941 10497
51798 5735
36468 3755
51798 7159
36468 372
36468 4765
51798 5418
36468 3314
1652 14085
27221 7941
1652 6649
1652 6454
27221 7809
51798 9564
36468 10145
27221 8732
1652 388
27221 3595
1652 5875
1652 8211
27221 1330
1652 1710
1652 2065
27221 12047
48757 10390
2644 11116
48757 5379
48757 5582
2644 8665
2644 7500
48757 2333
2644 5677
48757 896
2644 1568
2644 3464
2644 1945
48757 7164
48757 6642
22136 866
22136 2891
27204 8905
27204 3615
22136 5496
27204 5983
27204 8131
22136 5306
22136 3436
27204 5586
27204 6834
22136 1899
27204 1961
22136 4293
61049 1638
2629 4403
61049 4666
2629 11735
61049 6101
61049 9517
2629 6896
61049 9799
61049 8452
2629 990
61049 531
2629 10044
61049 2987
26233 2451
43590 10241
43590 8013
43590 6120
26233 7165
43590 5136
43590 6269
26233 5644
26233 9234
26233 9327
43590 2157
43590 8881
26233 10256
56952 8640
51783 725
56952 12213
43590 12906
26233 6735
51783 12145
56952 5736
51783 177
56952 1076
51783 4134
56952 5883
51783 10151
13946 6389
56952 6447
43587 5516
13946 5915
13946 10386
43587 5349
43587 10954
13946 6605
43587 1091
13946 459
43587 2588
13946 10338
43587 3542
43587 8733
13946 2258
43587 13123
36475 8649
13946 8666
51778 10267
36475 4571
36475 7040
51778 4072
51778 790
36475 11126
51778 5169
36475 9101
51778 4858
36475 6125
51778 9271
36475 8812
1659 10745
27201 10662
1659 2355
27201 136
1659 2709
27201 6374
1659 5509
1659 5508
27201 1027
1659 3549
48762 1025
2624 7238
48762 1629
2624 9041
27201 6898
1659 14204
2624 9982
48762 5936
2624 5037
48762 6172
48762 12910
2624 12239
48762 8792
48762 7969
2624 5240
48762 8655
38524 3768
43593 9687
38524 1680
43593 8050
38524 4873
43593 5786
38524 5778
38524 7144
43593 24
38524 9136
43593 3874
38524 5971
11901 5984
51784 9875
11901 2507
51784 11788
51784 82
11901 2426
51784 1521
11901 1508
51784 3846
51784 2038
11901 5860
11901 7321
42621 581
27211 6745
42621 6653
27211 6916
27211 2766
42621 2894
27211 4406
42621 1843
42621 6914
27211 1102
27211 10023
42621 8918
7804 8856
2634 2088
7804 7986
27211 7346
42621 12728
2634 9954
7804 8365
2634 2391
7804 56
2634 7975
7804 632
63102 6597
27214 6447
63102 11399
27214 5526
2634 6229
7804 7409
27214 10799
63102 8992
27214 3797
63102 6710
27214 2403
63102 203
63102 1916
27214 7733
20095 10623
2639 5126
20095 1795
2639 9679
2639 1070
20095 11236
2639 5854
20095 5655
20095 6542
20095 5492
2639 5493
2639 2026
2639 2972
20095 2567
2639 2511
20095 832
50815 4779
43596 4780
50815 830
43596 1188
50815 9211
43596 9307
43596 6414
50815 4485
43596 5423
43596 4753
50815 277
43596 5463
50815 137
43596 6517
32382 7332
51789 11551
32382 11429
51789 5033
51789 8696
32382 4452
32382 3242
51789 3320
32382 2608
51789 4304
51789 5288
32382 4364
32382 4350
51789 4863
22130 393
27228 7005
22130 4774
27228 1318
22130 3011
27228 6973
22130 553
27228 6672
22130 11188
27228 4873
27228 5149
22130 5533
22130 6016
27228 9471
22130 9145
61043 5069
2653 1737
61043 7764
2653 2061
61043 693
2653 8895
61043 6210
2653 6437
61043 6299
2653 4514
2653 3225
61043 11085
2653 4267
61043 7914
26227 8776
43614 10616
26227 7108
43614 7011
43614 11848
26227 1047
26227 3030
43614 3744
26227 2124
26227 4068
43614 2787
26227 2851
43614 5886
26227 4202
56946 8767
51807 9543
56946 7046
51807 1332
56946 5137
51807 350
56946 7944
51807 2228
56946 589
51807 6754
13936 594
43611 2537
13936 3339
43611 8953
13936 10604
43611 6287
43611 6550
13936 11129
43611 11701
13936 10973
43611 10382
13936 9430
43611 7535
13936 885
43611 7186
36465 100
51802 6636
36465 6084
51802 1628
51802 4012
36465 11504
51802 263
36465 1627
36465 1601
51802 2787
36465 767
51802 1040
51802 1556
36465 1370
1649 4421
27225 10
27225 2525
1649 18
1649 3607
27225 8762
1649 1110
27225 1161
1649 5480
48752 5666
2648 103
48752 5877
27225 5820
1649 5757
2648 8404
48752 5328
2648 10905
48752 6534
2648 6511
48752 407
2648 7383
38518 279
43601 265
43601 438
38518 8497
43601 579
43601 2025
38518 8470
43601 3602
11895 964
51792 10694
11895 4835
51792 3056
11895 11458
11895 1053
42615 5208
27219 4870
42615 4904
51792 7628
11895 8962
27219 10965
42615 11317
27219 9482
42615 5871
42615 1
27219 791
27219 266
42615 303
42615 5499
7798 5449
2642 6573
7798 6888
2642 6367
2642 8074
7798 13509
2642 2799
7798 6273
7798 6445
7798 7494
2642 1546
7798 9458
27222 529
63092 4460
2642 10122
7798 4364
27222 7916
63092 8880
27222 5072
27222 1296
63092 1867
50805 9357
43604 2087
50805 6186
43604 7454
50805 12068
43604 1281
50805 6070
43604 6096
32372 7296
51797 7723
32372 7894
51797 1633
32372 4180
51797 4968
51797 7287
32372 1131
32372 3812
32372 8504
51797 1898
32372 8505
43589 9585
38521 3359
38521 3187
43589 12065
51797 5829
32372 5428
43589 5642
38521 8654
43589 9373
38521 5225
43589 5555
43589 7676
38521 5807
43589 7237
38521 8766
43589 9610
38521 6646
43589 1396
38521 8477
38521 11101
43589 8387
38521 8749
43589 8173
38521 6131
43589 6011
38521 5749
43589 9893
38521 12657
43589 8546
38521 7803
43589 5452
38521 7954
11896 7873
51780 9636
11896 9628
51780 6357
11896 8485
51780 2972
11896 2390
51780 9278
51780 10108
27207 8775
7801 5014
2630 4979
7801 1893
2630 3471
2630 2759
7801 4937
7801 1422
2630 7438
7801 4028
7801 1703
2630 2161
7801 7062
63099 74
27202 268
63099 667
2630 9805
7801 13016
27202 5812
63099 6721
27202 31
63099 8689
63099 6274
27202 7342
63099 386
27202 7246
20090 348
2627 6811
20090 9511
2627 7744
20090 2697
