flow_ID proc_time
0 0
59672 3472
313 7949
59672 0
59672 5690
313 3878
313 15755
59672 657
313 4542
313 4352
313 4117
59672 3947
313 4110
59672 5004
313 5536
59672 3996
59672 4798
24856 3917
41274 4032
24856 4140
313 8123
59672 5263
24856 4773
41274 5244
41274 6435
24856 609
24856 0
24856 4035
41274 79
41274 0
41274 4147
24856 5335
41274 5037
24856 6193
41274 4023
24856 3847
41274 3959
24856 3978
24856 3928
55577 3973
49467 3902
55577 4960
55577 5974
49467 3936
49467 7376
55577 4547
55577 3949
55577 3894
49467 28
49467 0
49467 4048
55577 4944
49467 7877
55577 5320
49467 3988
55577 3897
55577 3980
49467 3938
55577 4100
12571 4458
41279 4053
12571 3979
12571 5756
41279 5338
41279 5142
12571 3886
12571 4424
12571 3996
41279 3885
41279 4726
41279 4470
12571 6686
41279 4171
12571 4308
41279 4170
12571 1005
12571 0
41279 4421
12571 3953
35098 4058
49470 3899
35098 4076
35098 5392
49470 5348
49470 7899
35098 2271
35098 0
35098 4294
35098 4265
49470 4493
49470 2141
49470 0
49470 4040
35098 3888
49470 4179
35098 4916
49470 3967
35098 3918
49470 3923
35098 5070
49470 5244
35098 4027
282 4558
24893 3875
282 3955
282 4755
24893 3917
24893 5177
282 887
282 0
282 5322
24893 650
24893 0
24893 4171
282 4157
24893 4588
282 6304
24893 4123
282 951
24893 3949
282 5663
47387 4071
316 4591
47387 4996
47387 4552
316 4082
316 4974
47387 570
47387 0
47387 923
316 290
316 0
316 3879
316 4074
47387 3897
316 4065
47387 4137
316 5085
47387 1315
37123 4328
41245 3870
37123 3903
37123 4678
41245 5182
316 4452
47387 6381
41245 7249
37123 4947
37123 3970
37123 4549
41245 3921
41245 4224
41245 4001
37123 3935
41245 4028
37123 5029
41245 4065
37123 1166
37123 0
41245 4430
37123 3852
10498 3920
49436 3986
10498 4119
10498 4747
49436 5895
49436 5765
10498 2075
10498 0
10498 4478
10498 4127
49436 3928
49436 4707
49436 4091
49436 5141
10498 4309
49436 7944
10498 5484
49436 7064
10498 4588
49436 3908
10498 3904
49436 5247
10498 3905
41218 4272
24863 4643
41218 4909
41218 6073
24863 4673
24863 5042
41218 840
41218 0
41218 4126
24863 3914
24863 4159
24863 5044
41218 4106
24863 5407
41218 4161
24863 3960
41218 844
6403 3933
286 4035
6403 3926
6403 5870
286 4060
24863 5250
41218 3869
286 7707
6403 1961
6403 0
6403 4052
286 1475
286 0
286 5427
6403 3902
286 4147
6403 3906
286 4450
6403 3918
286 3848
6403 4448
286 4185
6403 5003
61697 4928
24858 3965
61697 5210
61697 4714
24858 4041
24858 5307
61697 4130
61697 3958
24858 3980
61697 5219
24858 4432
24858 5990
61697 3921
24858 4094
61697 4325
61697 2034
61697 0
24858 3952
61697 3842
18688 4924
283 5406
41240 4402
49408 4334
41240 6678
49408 3925
41240 4326
49408 3864
41240 6614
49408 4773
41240 4292
49408 4373
41240 7607
49408 5066
41240 4519
49408 4763
41240 5309
49408 243
49408 0
41240 4499
49408 3859
30977 6401
49433 3914
30977 3937
30977 4509
49433 4122
49433 6282
30977 1774
30977 0
49433 4051
30977 4062
49433 3988
30977 4589
49433 3925
49433 4228
30977 3994
49433 5224
30977 5336
49433 3985
30977 3909
49433 3903
30977 4000
49433 4041
30977 3959
20743 4126
24848 4220
20743 4222
20743 7029
24848 3892
24848 5198
20743 4042
20743 4121
24848 4281
20743 7014
24848 4827
24848 4100
20743 3870
24848 6539
20743 4391
24848 3982
20743 4077
24848 4427
20743 3940
24848 3861
20743 4133
59654 3917
273 5322
59654 5405
59654 4400
273 4349
273 5333
59654 4029
59654 4574
273 4218
59654 4224
273 4988
273 5413
59654 3864
273 4101
59654 3941
273 4175
59654 4116
273 4001
59654 4090
273 4567
59654 7574
24838 4947
41234 5231
24838 3891
24838 4356
41234 4011
41234 5759
24838 3875
24838 4030
41234 3897
41234 5049
24838 3923
41234 5587
24838 3919
24838 4194
41234 3942
41234 4010
24838 674
24838 0
41234 4397
24838 4353
55559 3944
49427 4902
55559 5411
55559 4925
49427 4030
49427 5317
55559 4099
55559 4181
55559 4053
55559 5278
49427 127
49427 4304
49427 1205
49427 0
55559 3934
49427 4385
55559 3972
49427 3932
55559 155
55559 0
12549 3965
41239 4742
12549 5129
12549 4510
41239 3781
49427 4017
55559 4461
41239 5207
12549 3777
12549 4086
41239 4967
41239 5380
12549 3834
41239 4054
12549 4402
12549 4047
41239 4049
12549 3918
12549 4531
41239 3941
12549 4902
35076 4058
49430 7804
35076 5863
35076 4907
49430 3860
49430 5083
35076 19
35076 0
35076 4074
49430 3944
35076 3964
260 4160
24853 3941
260 3882
260 4993
24853 3914
24853 6579
260 3889
260 5315
260 4302
24853 3870
24853 769
24853 0
260 4123
24853 4021
260 4871
24853 3981
260 2397
260 0
24853 5196
260 3955
47365 4144
276 4682
47365 3908
47365 13008
276 9758
276 6575
47365 484
47365 0
276 3900
276 4015
47365 3883
276 4102
47365 4278
47365 4051
276 3934
47365 5064
276 3923
276 5309
47365 3861
276 4119
47365 4214
276 3948
47365 6285
20744 4098
24836 4090
20744 3895
20744 5510
24836 3925
24836 6522
20744 447
20744 0
20744 4200
24836 371
24836 0
24836 4027
20744 6461
24836 4348
20744 3879
24836 4064
20744 3986
20744 3996
59657 6239
261 3935
59657 3895
59657 5750
261 4110
24836 5259
20744 4005
261 5357
59657 3990
59657 4098
59657 4221
59657 4284
261 211
261 3851
261 0
261 6123
59657 4228
261 4038
59657 4048
261 4246
59657 1113
59657 0
24841 4163
41222 3904
24841 5111
41219 6483
12554 4176
41219 4014
12554 4421
41219 4189
12554 3996
12554 5058
35083 5409
49410 3925
35083 3920
35083 4387
49410 3929
41219 3995
12554 3863
49410 6367
35083 3905
35083 5403
35083 4081
35083 4047
49410 3885
49410 3919
49410 3886
49410 4052
35083 3991
49410 3996
35083 4874
49410 5302
35083 3904
35083 4799
267 3904
24833 3934
267 3941
267 6790
24833 4786
49410 3838
35083 3692
24833 7012
267 8
267 0
24833 3861
267 3917
24833 3851
24833 3921
267 4286
24833 4078
267 4000
24833 5018
267 301
47370 3848
256 3800
47370 4289
47370 4282
256 4005
24833 3985
267 4256
256 7157
47370 4222
47370 4352
256 3807
47370 3971
256 3942
256 4417
47370 4710
256 6462
47370 4373
256 5039
47370 1243
47370 0
256 3983
47370 3999
37132 3882
41225 4443
37132 3990
37132 4703
41225 4027
41225 7516
37132 1234
37132 0
37132 4238
37132 4109
41225 3869
41225 391
41225 0
41225 4180
37132 3876
41225 5029
37132 5232
41225 3988
37132 4120
41225 3887
37132 4833
41225 4190
