flow_ID proc_time
48128 4454
3352 12034
48128 889
3352 4049
3352 822
48128 6334
3352 6369
48128 5316
48128 6570
3352 5151
3352 4142
48128 328
37894 4919
44305 6194
37894 3915
37894 4411
44305 4061
3352 7282
48128 4599
44305 7597
37894 3928
37894 4012
44305 4878
44305 5316
37894 3833
37894 5127
44305 4085
44305 5147
37894 4717
44305 3844
37894 4407
44305 3848
37894 3821
11271 6329
52496 3840
11271 5132
11271 4328
52496 5250
52496 7184
11271 4353
11271 4157
52496 3841
52496 4974
11271 5299
11271 3904
52496 3857
52496 6379
11271 4161
52496 3807
11271 4586
52496 4321
11271 3776
41991 3874
27923 5314
41991 5278
41991 4124
27923 3948
27923 8386
41991 5479
41991 5288
27923 3980
27923 3951
41991 3876
41991 6403
27923 3907
27923 4941
41991 3971
41991 5222
27923 3879
41991 4186
7174 3941
3346 4522
7174 3893
7174 6988
3346 3880
3346 7458
7174 3958
7174 3904
3346 5432
3346 5426
7174 3962
7174 7174
3346 3841
3346 6460
7174 3786
7174 4295
3346 3799
7174 3744
62468 3828
27926 5057
62468 6528
62468 4427
27926 4304
27926 7378
62468 5025
62468 5803
27926 4051
27926 3951
62468 4113
62468 6919
62468 6329
27926 3937
27926 4478
27926 4008
62468 5535
27926 4897
62468 9392
27926 5417
62468 3809
19461 3939
3351 3868
19461 3953
19461 6790
3351 6547
3351 7210
19461 4549
19461 4014
3351 5318
3351 5449
19461 3899
19461 6429
3351 4035
3351 5355
19461 1262
3351 3948
19461 3715
50181 3933
44308 3939
50181 4333
44308 7124
50181 6535
50181 3980
44308 3955
44308 6528
50181 3860
50181 6392
50181 4622
44308 7
44308 6666
50181 367
31748 6405
52501 3987
31748 3920
31748 6594
52501 3906
44308 3979
50181 3901
52501 7573
31748 5278
31748 5144
52501 5309
52501 4140
31748 4076
31748 6428
52501 3880
52501 6398
31748 3952
31748 3962
52501 4029
31748 3868
37897 4891
44293 3888
37897 4340
37897 6474
44293 3931
44293 7835
37897 5312
37897 4912
44293 4654
44293 5653
37897 3846
37897 6408
37897 8015
44293 1928
44293 4123
37897 2073
11272 5256
52484 3940
11272 5000
11272 4282
52484 4010
44293 5042
37897 5839
52484 7513
11272 4620
11272 4150
52484 4787
52484 6460
11272 3905
11272 6437
52484 3977
52484 4440
11272 3911
11272 4043
41992 3945
27911 3942
41992 5116
41992 5717
27911 3918
52484 3909
11272 3980
27911 7498
41992 4511
41992 6571
27911 3899
27911 4972
41992 5292
41992 3951
27911 3821
27911 6287
41992 186
27911 4242
41992 3843
7177 3822
3334 5239
7177 3930
7177 5393
3334 3994
3334 7580
7177 141
3334 3884
3334 4513
