flow_ID proc_time
5413 1976
44324 16425
23841 12950
6461 9019
5413 0
5413 5171
31036 3894
44324 5413
31027 5281
23841 3911
23841 4815
44324 4478
6461 3948
31027 3896
6461 12614
5413 11291
6461 6881
5413 4374
6461 4039
5413 3934
31027 3852
31036 3954
31027 5182
23841 5033
5413 4031
31027 5807
23841 4288
31036 5386
44324 3955
31036 4771
44324 4207
31036 5145
44324 8221
6461 4203
6461 3904
5413 4197
6461 4402
5413 3876
23841 3999
44324 4158
5413 4167
5413 3975
5413 961
31027 4307
23841 3893
31027 6489
23841 4261
23841 5943
5413 107
23841 6862
23841 0
6461 4653
6461 4081
5413 4421
31036 4052
44324 5548
31036 4100
44324 4032
44324 5113
5413 646
44324 4116
44324 6303
6461 3907
31027 3949
23841 3865
31027 3917
6461 3910
31036 4117
44324 5013
31036 5663
44324 3836
6461 4052
6461 303
6461 0
5413 4101
6461 4051
6461 4129
5413 6090
6461 5165
6461 4109
6461 4012
5413 3873
5413 4104
5413 4227
5413 4926
5413 5427
6461 3978
6461 4006
6461 4104
5413 3914
6461 3882
6461 7340
5413 3878
6461 5432
6461 3961
5413 4452
5413 3913
5413 4003
5413 3899
5413 5465
6461 4028
6461 5454
6461 4177
6461 4542
6461 4046
6461 4055
5413 3888
6461 4047
5413 3957
5413 4933
5413 821
5413 0
5413 3939
5413 3936
5413 3955
5413 3962
5413 3977
5413 4128
5413 3970
5413 6629
6461 3968
6461 4036
6461 7401
5413 5030
6461 4048
5413 3997
6461 3921
5413 4915
6461 5348
5413 4093
6461 4113
5413 3895
6461 4083
5413 3887
6461 4221
5413 3922
6461 4121
5413 4885
6461 5877
5413 4079
6461 4261
5413 3880
6461 4257
5413 3879
6461 3987
5413 4552
6461 5336
5413 3927
6461 5440
5413 4007
6461 3919
5413 3928
5413 3929
6461 6555
5413 3904
6461 4002
5413 4909
6461 3981
5413 5207
6461 3917
6461 4255
5413 196
5413 3990
5413 3986
5413 3953
5413 717
6461 4132
6461 4071
6461 3948
6461 3909
6461 22
6461 4031
5413 4072
6461 5171
5413 4512
6461 5260
5413 4405
6461 6363
5413 4881
6461 4706
5413 3967
6461 5031
5413 7438
6461 4166
5413 4077
5877 4324
6461 4077
5413 3875
6461 3963
54185 4021
5877 5133
5877 6330
54185 4525
54185 5381
5877 3954
54185 4331
5877 3948
54185 5677
5877 1952
5877 0
54185 4048
54185 4074
5877 3921
5877 3987
5877 163
54185 4397
5877 5647
54185 5520
5877 4037
54185 4315
5877 3908
54185 4027
5877 4209
54185 4935
5877 879
54185 3915
54185 3943
54185 47
54185 0
54185 3921
5877 3882
54185 7071
5877 3922
54185 4513
5877 3927
5413 3922
5413 4193
5413 3932
5413 3989
5413 4176
5413 5087
6461 64
6461 482
6461 23
6461 1756
6461 0
6461 4407
6461 4289
5413 4506
6461 4727
5413 3902
6461 6257
5413 3890
6461 4200
5413 4056
6461 4718
5413 3997
6461 4056
5413 4914
6461 5384
5413 3889
6461 4098
5413 4004
6461 4342
5413 3849
7623 3883
29272 6241
7623 4243
7623 5145
29272 3890
29272 5750
7623 4133
29272 5387
7623 1300
7623 0
5413 4388
5413 3974
5413 215
5413 0
5413 4142
5413 4413
29272 5462
7623 5398
6461 4061
29272 4310
7623 4379
29272 4059
7623 4104
5413 4104
5413 4063
5413 4435
5413 3987
5413 4348
5413 4983
6461 5231
6461 4217
5413 4392
6461 4129
5413 3993
6461 4005
5413 3930
6461 4324
5413 5235
6461 5449
5413 4000
6461 3890
6461 4095
5413 6696
6461 4075
5413 3951
6461 4353
5413 6449
6461 3943
6461 3975
33113 4064
49123 3974
49123 4188
33113 4424
49123 3887
6461 5261
5413 6453
6461 5452
5413 3992
6461 4286
5413 3917
6461 4038
5413 3892
6461 4074
5413 3876
6461 4880
5413 5260
6461 4078
5413 4446
6461 4156
5413 3915
6461 4184
5413 3897
53585 3980
37643 4141
2072 5026
37643 5304
2072 3897
37643 4284
2072 3841
31966 4394
53585 4002
53585 4417
