flow_ID proc_time
0 0
17508 6382
4715 9947
17508 5066
17508 6174
4715 5326
4715 3519
17508 8365
17508 0
4715 0
4715 4991
17508 5255
4715 4014
17508 3884
17508 4188
4715 3856
4715 4025
17508 3894
17508 3896
4715 4032
17508 3803
52324 5020
45672 5393
52324 4025
52324 5019
45672 3977
45672 5251
52324 91
52324 0
52324 5281
45672 302
45672 4064
45672 0
52324 3866
45672 4188
52324 4074
45672 4094
52324 3944
45672 4330
52324 35
29797 5162
53865 4256
29797 5225
29797 4736
53865 3964
53865 7428
29797 151
29797 0
29797 4260
53865 691
53865 0
53865 4061
29797 4038
53865 5715
29797 5467
53865 3999
29797 459
53865 4186
29797 3881
23651 4033
29280 6392
23651 6144
23651 7549
29280 3898
29280 5193
23651 4277
23651 4245
23651 3930
29280 3782
29280 3947
29280 6285
23651 4836
29280 3937
23651 4015
29280 3950
23651 3806
23651 4593
29280 3800
23651 3901
58466 3806
4705 4937
58466 4063
58466 5925
4705 3919
4705 4959
58466 316
58466 0
58466 3939
58466 3978
4705 1158
4705 0
4705 5107
4705 4037
58466 6428
4705 4454
58466 3881
4705 3856
58466 4868
58466 4900
27746 3802
45666 5114
27746 3817
27746 4536
45666 3773
4705 3968
58466 3880
45666 5129
27746 42
27746 0
45666 4597
27746 5269
45666 3796
45666 3900
27746 4161
45666 4326
27746 3975
45666 4294
27746 8
45666 5013
27746 4438
54371 5618
53859 3890
54371 3884
54371 4334
53859 6409
53859 5315
54371 3805
54371 3843
53859 4116
54371 4914
53859 3857
54371 5261
53859 3804
53859 3921
54371 3792
53859 3902
54371 4084
53859 3872
54371 3807
54371 4982
15457 5123
45671 3795
15457 3819
15457 4316
45671 4955
53859 3832
54371 3744
45671 6931
15457 4226
15457 5399
45671 3796
15457 3900
45671 4042
45671 4131
15457 3983
45671 4059
15457 6181
45671 3929
15457 523
15457 0
33888 5873
53862 4030
33888 4260
33888 4525
53862 4061
45671 3940
15457 3924
53862 6255
33888 4163
33888 5298
33888 4207
33888 4625
53862 773
53862 0
53862 3955
53862 3988
33888 4379
53862 4038
33888 4840
53862 4689
33888 1336
33888 0
3168 3930
29285 4008
3168 4846
3168 4509
29285 4037
53862 3944
33888 6810
29285 8218
3168 539
3168 0
3168 4049
29285 147
29285 0
29285 4203
3168 4429
29285 4010
3168 4654
29285 4443
3168 1249
46177 3916
4708 3893
46177 4019
46177 4478
4708 4450
29285 3953
3168 4005
4708 8010
46177 5233
46177 3951
4708 4092
46177 4057
4708 4090
4708 4067
46177 3945
4708 4010
46177 4096
4708 5457
46177 6678
46177 6287
4708 4225
46177 4004
23660 4482
29300 3924
23660 4306
23660 4217
29300 5088
29300 6445
23660 392
23660 0
23660 4262
29300 2
29300 0
29300 4032
23660 3917
29300 5421
23660 4828
29300 5464
23660 180
29300 3991
23660 3975
58477 3970
4725 4120
58477 4090
58477 4664
4725 4314
4725 7743
58477 1244
58477 0
58477 1565
4725 4032
4725 267
4725 0
4725 4237
58477 5805
4725 5413
58477 4111
4725 3965
58477 4496
4725 3973
58477 3942
4725 4561
58477 3940
27757 3866
45686 4007
27757 4890
27757 5800
45686 4102
45686 5431
27757 4437
27757 4455
27757 4120
45686 4107
45686 4597
45686 5046
27757 4125
45686 5995
27757 3895
45686 4397
27757 3899
45686 7991
27757 5697
45686 5766
27757 4051
45686 7058
27757 4152
45686 6857
27757 3888
45686 4308
27757 3945
45686 5471
27757 5393
45686 4412
27757 3919
45686 5515
27757 4649
45686 6019
27757 850
27757 0
45686 3879
27757 4111
54380 4134
53879 4445
54380 4889
54380 5805
53879 4028
45683 4062
15470 3820
53874 5882
33903 41
33903 0
53874 4879
33903 5410
53874 3893
53874 4005
33903 5169
53874 4191
33903 4916
53874 3916
33903 3585
33903 3904
3183 3907
29297 4725
3183 4110
3183 4494
29297 4140
29297 5974
3183 4005
3183 5392
3183 4010
29297 384
29297 0
29297 4384
3183 4414
29297 6474
3183 4536
29297 4070
3183 2285
3183 0
29297 5211
3183 4038
46190 4441
4720 4001
46190 4062
46190 5090
4720 4077
4720 5260
46190 3936
46190 4931
46190 601
46190 0
4720 4046
4720 211
4720 0
4720 4087
46190 4024
4720 4032
46190 5948
4720 5507
46190 1080
40040 4174
45689 3933
40040 4078
40040 4845
45689 4095
4720 6488
46190 4219
45689 7500
40040 4259
40040 3941
40040 4186
45689 3890
45689 4596
45689 4537
40040 3888
45689 4085
40040 5395
45689 5386
40040 3927
40040 4116
9321 4086
53880 3925
9321 3923
45689 3940
9321 4371
40040 4017
53880 4886
53880 6676
9321 4242
9321 4193
9321 911
9321 0
53880 606
53880 56
53880 0
53880 5041
9321 6778
53880 6386
9321 4865
53880 4048
9321 35
44137 4080
29307 3896
44137 3895
44137 4436
29307 4938
53880 5304
9321 3951
29307 5202
44137 4002
44137 3948
44137 4574
29307 3960
29307 4131
29307 5053
44137 5258
29307 4271
44137 3915
29307 4526
44137 42
44137 0
29307 3924
44137 3834
5224 4095
4730 4513
5224 5135
5224 5726
4730 3934
4730 7751
5224 1981
5224 0
4730 5017
5224 4241
4730 4223
5224 4062
4730 5038
4730 5366
5224 3888
4730 4112
5224 4623
4730 4130
5224 702
64618 4074
29310 3918
64618 4920
64618 5787
29310 4196
4730 4152
29310 5095
64618 4666
64618 3916
64618 5062
29310 1051
29310 0
29310 4041
64618 3814
29310 4052
64618 3921
29310 6441
64618 87
64618 0
17515 5782
4735 4039
17515 4007
29310 3885
64618 3899
17515 4417
4735 3930
4735 5412
17515 462
17515 0
17515 739
4735 1697
4735 509
4735 0
4735 3995
17515 3898
4735 4403
17515 4830
4735 5175
17515 753
52331 4064
45692 4181
52331 4039
52331 4653
45692 4506
4735 4135
17515 5336
45692 9020
52331 3554
52331 0
52331 4029
45692 413
45692 0
45692 5483
52331 4567
45692 4210
52331 3897
45692 4036
52331 366
45692 3947
52331 4228
29802 4164
53885 4893
29802 4896
29802 5976
53885 3945
53885 5097
29802 455
29802 0
29802 4041
29802 4113
53885 1169
53885 0
53885 5387
53885 4059
29802 3899
53885 4038
29802 3949
53885 6776
29802 823
23666 4574
29276 8453
23666 0
23666 5557
29276 3951
53885 3806
29802 3767
29276 5376
23666 3820
23666 4084
23666 3943
29276 1713
29276 0
29276 5206
23666 3803
29276 3933
23666 3826
29276 4180
23666 3786
23666 3808
58483 4136
4701 3942
58483 4810
29276 5144
23666 4899
58483 4728
4701 3954
4701 4915
58483 3917
58483 6470
58483 5160
58483 3963
4701 911
4701 0
4701 3968
4701 4528
58483 4108
4701 4064
58483 3900
4701 3976
58483 3847
58483 5374
27763 3951
45662 5253
27763 5078
27763 5009
45662 3958
4701 4094
58483 3834
45662 5505
27763 3894
27763 5471
45662 3922
27763 5532
45662 3935
45662 4069
27763 4131
45662 4253
27763 3952
54386 5171
53855 4155
45662 4047
27763 4030
53855 5221
54386 3834
54386 5130
54386 5484
53855 4247
53855 3976
53855 4027
54386 3945
53855 4146
54386 4038
53855 4070
54386 3921
53855 4490
54386 4902
53855 5251
54386 4754
15472 4063
45659 3904
15472 3913
15472 4480
45659 3944
45659 5166
15472 1370
15472 93
15472 1760
15472 0
45659 33
45659 156
45659 0
45659 4036
15472 3886
45659 4012
15472 3918
45659 4960
15472 963
33905 4285
53850 3910
33905 4377
33905 4866
53850 3905
45659 4903
15472 3959
53850 6149
33905 1208
33905 0
33905 4073
53850 182
53850 0
53850 4005
33905 4172
53850 4021
33905 4182
53850 4329
33905 1485
3185 764
29273 6195
3185 0
53850 3960
33905 4122
3185 4435
29273 4406
29273 6147
3185 1289
3185 4325
3185 4186
29273 443
29273 0
29273 3999
29273 4265
3185 3897
29273 5000
3185 5313
29273 5459
3185 743
46192 4051
4696 3934
46192 3949
46192 4910
4696 5055
29273 3923
3185 5556
4696 6696
46192 480
46192 0
46192 6475
4696 788
4696 0
4696 4048
46192 4375
4696 4043
46192 4903
4696 5360
46192 1277
9335 513
9335 0
44151 4540
29267 4024
44151 4309
44151 4419
29267 4531
53840 4921
9335 4047
29267 6553
44151 231
44151 0
29267 4026
44151 4084
29267 1442
29267 0
44151 4565
29267 5047
44151 5615
29267 4011
44151 439
5238 4009
4690 4111
5238 4161
5238 4427
4690 4276
29267 3886
44151 4841
4690 7117
5238 2004
5238 0
5238 4216
5238 4556
4690 4116
4690 133
4690 0
4690 5033
5238 5250
4690 4073
5238 3908
4690 4154
5238 4033
5238 3983
4690 3976
5238 3878
64628 6461
29270 4226
64628 5921
64628 4857
29270 5330
29270 4941
64628 4038
64628 4508
29270 4038
29270 4179
64628 3906
29270 4645
64628 5170
64628 5428
29270 3904
29270 3996
64628 159
64628 0
17525 4482
4695 4353
17525 4405
29270 4057
17525 5326
64628 5321
4695 3893
4695 7591
17525 127
17525 0
4695 4240
17525 5153
4695 5420
4695 4073
17525 6387
4695 4014
17525 4767
4695 4006
17525 1395
52341 4033
45652 3892
52341 4917
52341 6492
45652 4496
4695 3937
17525 4156
45652 5083
52341 4099
52341 3937
45652 3929
52341 5300
45652 4169
45652 5365
52341 4510
45652 4031
52341 3920
45652 4151
52341 308
52341 0
45652 4079
52341 4017
29812 4942
53845 5256
29812 4488
29812 4267
53845 6450
53845 4935
29812 3916
29812 3937
53845 4073
29812 4006
53845 4893
53845 6734
29812 4428
53845 4359
29812 3939
53845 4245
29812 193
29812 0
53845 3976
29812 3957
40057 4912
45637 5464
40057 4251
40057 4321
45637 4018
45637 5024
40057 353
40057 0
45637 4059
40057 5224
45637 5430
40057 4137
45637 4289
40057 3937
45637 3919
45637 4541
40057 7066
45637 5496
40057 1288
9336 4107
53828 3954
9336 4254
9336 4230
53828 3906
45637 3893
40057 3738
53828 6962
9336 4249
9336 5403
53828 3751
9336 4084
53828 3813
9336 3848
53828 3908
9336 4212
53828 3894
9336 610
9336 0
53828 3736
9336 3780
44152 4009
29255 4000
44152 4553
44152 4278
29255 4206
29255 6072
44152 2551
44152 0
29255 3789
44152 4998
29255 4913
44152 4148
29255 4188
29255 4109
44152 3860
29255 4130
44152 3911
29255 5025
44152 5844
29255 3911
44152 3958
29255 3923
44152 3883
5241 3986
4678 4572
5241 4483
5241 4554
4678 4840
4678 7114
5241 3874
5241 3926
4678 3978
5241 4270
4678 4240
4678 4090
5241 4059
4678 4246
5241 3907
4678 7569
5241 5847
4678 3934
5241 3900
4678 3976
5241 4194
64635 4560
29250 4123
64635 4062
64635 4466
29250 4431
29250 7568
64635 258
64635 0
29250 3913
64635 4000
29250 3979
64635 4471
29250 3929
29250 4077
29250 5007
64635 4792
29250 5240
64635 4376
29250 4193
64635 4215
29250 3923
64635 3900
17530 4435
4675 3894
17530 184
17530 0
4675 4994
4675 5493
17530 3870
17530 3987
4675 4050
17530 3991
4675 4108
4675 5054
17530 4392
4675 5377
17530 4432
4675 4151
17530 4104
4675 3884
17530 3977
4675 3920
17530 3893
52346 4072
45632 3887
52346 5065
52346 6083
45632 3999
45632 5860
52346 3837
52346 4116
45632 3994
52346 4315
45632 4053
52346 4115
45632 473
45632 0
52346 6299
45632 4217
52346 4368
45632 4169
52346 4045
45632 4077
52346 4017
45632 3911
52346 5119
29819 5661
53825 4007
29819 4934
29819 4391
53825 9137
29819 5871
53825 4695
29819 3791
53825 4270
29819 4271
53825 6573
29819 3948
53825 4201
29819 3750
53825 5356
29819 5126
53825 4212
29819 3852
53825 4248
29819 3955
53825 4233
29819 4355
53825 7822
29819 2798
29819 0
53825 3875
29819 3985
23677 3901
29256 4104
23677 3904
23677 4589
29256 4208
29256 5592
23677 347
23677 0
29256 4041
23677 8089
29256 6606
23677 4083
29256 86
29256 0
29256 4509
23677 4084
29256 4014
23677 3859
29256 3937
23677 4627
29256 4838
23677 3963
58492 5706
4681 4337
58492 3937
58492 4414
4681 3924
4681 5690
58492 2308
58492 980
58492 0
4681 1908
4681 388
4681 0
58492 4705
4681 5473
58492 4032
4681 4719
