flow_ID proc_time
8030 6917
22093 3924
8030 5060
22093 4620
22093 158
8030 3284
8030 1594
8030 3958
22093 6518
8030 5883
22093 5190
8030 4065
8030 5313
22093 5650
8030 2537
22093 3868
22093 2809
22093 6709
8030 4014
8030 5106
22093 3971
22093 7341
8030 495
22093 3907
22093 4430
8030 5412
22093 5124
22093 4681
8030 4160
8030 7285
22093 2088
8030 4150
8030 4072
22093 877
8030 173
22093 3836
22093 4103
8030 4133
22093 4813
22093 4201
8030 4019
8030 5024
22093 6078
8030 423
22093 3825
22093 5840
8030 687
22093 3871
22093 6614
8030 5124
8030 5972
22093 113
8030 3918
8030 5434
22093 4438
22093 4091
8030 3996
8030 4418
22093 3784
22093 6731
8030 2224
22093 3976
22093 3922
8030 4293
8030 5841
22093 551
8030 3765
8030 3860
22093 4968
22093 5985
8030 4653
8030 768
22093 4238
8030 3856
22093 4058
22093 5998
8030 5675
22093 4234
22093 3989
8030 3861
8030 6120
22093 4529
5831 4435
32409 3891
5831 4983
5831 6788
32409 5864
32409 5509
5831 4069
32409 7490
5831 7374
22093 5538
8030 3929
5831 4882
5831 4985
32409 947
5831 3917
32409 4127
5831 2822
32409 3904
32409 4963
5831 5304
32409 4510
5831 6353
32409 4351
32409 4033
5831 3883
8030 5620
22093 4279
22093 4125
8030 4952
5831 5335
32409 3892
32409 8580
5831 8153
8030 4423
22093 508
8030 5760
5831 4125
32409 838
5831 4473
8030 7517
22093 1428
8030 3807
5831 4195
32409 4239
5831 4802
8030 5371
22093 4396
22093 4001
8030 4026
5831 8097
32409 5182
32409 4365
5831 4014
8030 7844
22093 6799
8030 4164
5831 5282
32409 3938
32409 6561
5831 5306
8030 5009
22093 3987
8030 5988
5831 4884
32409 5308
32409 4287
5831 6734
8030 6377
22093 4018
22093 4644
8030 5711
5831 6438
32409 3855
32409 4147
5831 9227
8030 5833
22093 4338
22093 4048
8030 5003
5831 5433
32409 4148
32409 3944
5831 6181
8030 6495
22093 3901
22093 4178
8030 7069
5831 5277
32409 5444
32409 4196
5831 5980
8030 4112
22093 3855
22093 4218
8030 6230
5831 8824
32409 302
5831 4286
8030 8030
22093 3350
8030 4122
5831 4022
32409 3765
32409 7034
5831 8233
8030 7569
22093 3908
8030 3830
5831 5555
32409 6717
5831 3807
8030 3816
22093 4931
22093 7222
8030 6081
32409 4119
32409 3949
5831 7616
22093 561
8030 3763
5831 4824
32409 6261
5831 5400
8030 4619
22093 191
8030 6935
5831 5556
32409 340
5831 4001
8030 5108
22093 5446
22093 7173
8030 7057
5831 3956
32409 4016
5831 8741
8030 7405
22093 924
8030 4853
5831 5519
32409 4362
5831 4003
8030 4074
22093 4395
22093 6468
8030 5206
5831 8001
32409 4174
32409 5068
5831 5316
8030 5905
22093 8514
8030 5774
5831 3958
32409 4020
5831 6782
8030 6575
22093 85
22093 3704
22093 3792
8030 8101
5831 6773
32409 3759
32409 3910
5831 3783
8030 898
22093 5114
5831 3970
32409 3803
32409 5240
5831 4184
8030 4558
22093 66
5831 6658
32409 4212
5831 3817
8030 3675
22093 3791
22093 5288
8030 4012
5831 4338
32409 3751
32409 3866
5831 4051
8030 8360
22093 6355
22093 3899
8030 3693
5831 5158
32409 2405
5831 4560
8030 3844
22093 3789
22093 4772
8030 3843
5831 6746
32409 3976
5831 3677
8030 4180
22093 3678
22093 4986
8030 6088
5831 4825
32409 4809
32409 3755
5831 5077
8030 879
22093 6250
5831 3857
32409 3915
32409 4374
5831 5523
8030 5377
22093 199
8030 3784
5831 7771
32409 1418
5831 3681
8030 3877
22093 3879
22093 6241
8030 4766
5831 5319
32409 7416
5831 5894
8030 4261
22093 3656
22093 3832
8030 5754
5831 4868
32409 339
5831 3628
8030 3829
22093 3646
22093 7149
8030 3831
5831 3875
32409 3790
32409 6752
5831 8631
8030 5275
22093 4341
22093 3700
8030 4446
5831 8776
32409 6518
32409 5096
5831 5291
8030 3959
22093 3667
22093 5127
8030 6854
5831 5865
32409 3779
32409 4023
5831 3805
8030 5267
22093 881
8030 3627
5831 3893
32409 4663
32409 7961
5831 7058
8030 3821
22093 3805
22093 3959
8030 5568
5831 4236
32409 4701
5831 3655
63315 4690
13917 6371
63315 1576
13917 3697
13917 5400
63315 7136
13917 5193
63315 3658
63315 1454
13917 3846
13917 4445
13917 7009
63315 4053
13917 3858
63315 4711
13917 3650
13917 6137
63315 5981
5831 5607
32409 3783
32409 3807
5831 3645
63315 5429
13917 4132
13917 5348
63315 4665
5831 3778
32409 5112
32409 5299
5831 5193
63315 4592
13917 39
63315 3877
5831 3720
32409 3840
32409 4012
5831 7624
63315 6183
13917 4021
13917 3707
63315 3674
5831 8404
32409 3504
5831 3756
63315 3815
13917 3688
13917 7271
63315 6005
5831 4878
32409 741
5831 3768
63315 4785
13917 2922
63315 3655
