flow_ID proc_time
8776 4205
55812 6824
8776 1333
55812 5272
55812 11375
8776 8636
55812 1974
8776 3740
8776 4039
55812 480
8776 1206
55812 3901
8776 3756
43592 69
31239 3830
43592 1328
31239 4395
31239 2023
43592 1049
31239 3914
31239 4639
43592 5020
31239 3866
43592 324
4681 4745
6662 3854
4681 2162
6662 5251
6662 5107
4681 3269
6662 1779
4681 116
6662 3933
6662 4052
4681 4243
4681 112
6662 4085
64075 3924
31234 6821
64075 2398
31234 3938
31234 4971
64075 1314
31234 4317
31234 5344
64075 4488
64075 4487
31234 382
64075 1439
31234 3883
64075 3881
16970 3984
6659 3804
16970 988
6659 5111
6659 6339
16970 2361
6659 4324
6659 4517
16970 821
16970 4091
6659 2287
6659 2535
16970 5362
6659 3765
16970 3828
6659 3828
16970 3899
51786 232
47616 3918
51786 4466
47616 3900
47616 5302
51786 4082
51786 5777
47616 4835
47616 5502
51786 3811
51786 5275
47616 2377
51786 2566
47616 3799
51786 3784
29259 3955
55809 4248
29259 1277
55809 3809
55809 6018
29259 1648
55809 430
29259 2067
29259 4039
55809 1649
55809 2575
29259 2446
23117 3921
31240 3805
23117 1103
31240 3912
55809 5247
29259 3758
31240 4946
23117 3775
23117 4040
31240 1302
23117 4029
23117 4228
31240 389
23117 2462
31240 5021
23117 3871
57932 5273
6665 3961
57932 1144
6665 6375
6665 1906
57932 4683
6665 1255
57932 866
57932 34
6665 1947
6665 4985
57932 4102
6665 5193
57932 4221
6665 4427
57932 4091
27212 4144
47626 3917
27212 1519
47626 3932
47626 5192
27212 1967
47626 3953
47626 5171
27212 3905
27212 5631
47626 3251
27212 2691
53837 3934
55819 4047
53837 652
55819 3990
47626 3970
27212 3874
55819 5133
53837 4904
53837 5953
55819 2011
53837 3903
53837 4106
55819 158
53837 1723
53837 203
55819 3864
14927 4072
47631 4012
14927 702
47631 4817
47631 1468
14927 4818
47631 1484
14927 866
47631 3347
14927 644
47631 3904
14927 3681
33358 3758
55822 3931
33358 3836
33358 5078
55822 3950
55822 6330
33358 2326
55822 961
33358 1527
33358 4108
55822 2063
55822 4065
33358 4488
55822 3987
33358 4998
55822 5576
33358 4204
2638 4001
31245 3796
2638 1114
31245 3951
31245 4900
2638 2298
31245 1414
2638 691
31245 3841
31245 7019
2638 4056
31245 4349
2638 3726
31245 4066
2638 3783
31245 4217
2638 3714
31245 4242
2638 4123
31245 6453
2638 5087
31245 5072
2638 3722
31245 5425
2638 4141
31245 4178
2638 3675
31245 4115
2638 1339
31245 4129
2638 8367
45647 1187
6668 5493
45647 251
6668 3769
6668 4909
45647 1952
6668 3734
6668 3827
45647 1537
6668 3840
45647 4131
6668 890
45647 13
6668 727
45647 3674
39491 3768
47645 3741
39491 3905
39491 3881
47645 4107
47645 4758
39491 4118
39491 3759
47645 4062
47645 3926
39491 1352
47645 1512
39491 3671
47645 3647
39491 3675
47645 4222
39491 4338
8770 3686
55836 3639
8770 1391
55836 3705
55836 4963
8770 2101
55836 523
8770 636
55836 1783
8770 3643
55836 3670
8770 3788
55836 3697
8770 3784
43586 3870
31263 4089
43586 4484
43586 4483
31263 4413
31263 5890
43586 1962
31263 662
43586 1140
31263 3721
31263 3911
43586 1623
31263 4485
43586 3623
4675 3622
6686 4668
6686 3675
6686 4966
4675 1178
6686 3684
6686 3742
4675 1374
4675 1760
6686 221
6686 4258
4675 1361
64065 2026
31258 6143
64065 71
31258 3833
6686 3693
4675 3752
31258 4850
64065 1064
31258 572
64065 275
31258 653
64065 303
31258 3671
64065 3613
16960 3718
6683 3756
16960 3682
16960 3968
6683 3709
6683 4921
16960 1972
6683 13
16960 3252
16960 4467
6683 1562
6683 1481
16960 3748
6683 4200
16960 3656
6683 3760
16960 4543
51776 3757
47640 3634
51776 3887
51776 4914
47640 5015
47640 5238
51776 1467
47640 1224
51776 3695
51776 4021
47640 1282
47640 836
51776 3775
51776 3694
29249 3731
55833 4628
29249 983
55833 3795
55833 4777
29249 1804
55833 3742
55833 3759
29249 3712
29249 262
55833 1503
55833 1037
29249 3670
55833 737
23111 6163
31248 987
23111 1060
31248 1187
31248 3750
23111 266
57926 4325
6673 4657
57926 841
6673 4639
6673 4870
57926 1209
6673 3846
6673 3821
57926 1241
6673 3675
57926 3754
6673 217
57926 4939
6673 5176
57926 3779
6673 4255
57926 3807
27206 3789
47634 3785
27206 3781
27206 3929
47634 3796
47634 4971
27206 4253
27206 3873
47634 3652
27206 577
47634 2542
47634 691
27206 3713
27206 3706
53831 3782
55827 3616
53831 960
55827 3806
55827 5063
53831 1476
55827 1009
53831 372
55827 4540
53831 4040
55827 1326
53831 3768
55827 3710
53831 3684
55827 3854
53831 4248
14917 3686
47639 4137
14917 534
47639 3913
47639 2691
14917 6687
47639 454
14917 540
47639 3646
47639 3934
14917 902
47639 4112
14917 4512
33348 4188
55830 5111
33348 3693
33348 4039
55830 3847
55830 4919
33348 4155
33348 3730
55830 579
33348 4413
33348 566
33348 910
55830 5373
2628 569
31253 3978
2628 1274
31253 3650
55830 3685
33348 3602
31253 4965
2628 1636
31253 152
2628 3649
2628 4805
31253 1984
2628 1665
45637 3709
6676 3750
45637 443
6676 3625
2628 3748
6676 4759
45637 603
6676 535
45637 1633
6676 99
45637 3685
6676 3706
45637 3670
6676 3662
45637 3674
23112 3685
31236 3708
23112 3719
23112 126
31236 1725
6661 5008
57929 1589
6661 1117
57929 1156
6661 3718
57929 4763
6661 1114
6661 3729
57929 1746
27209 3635
47622 3680
27209 3825
27209 3932
47622 3804
47622 4781
27209 2511
47622 3694
47622 4808
27209 2051
47622 3649
47622 552
27209 181
53832 3657
55815 3814
53832 3656
53832 4104
55815 3654
55815 914
53832 3005
55815 5240
53832 3695
53832 3966
55815 3798
53832 4344
55815 1389
55815 3667
53832 443
14922 3627
47619 3704
14922 1201
47619 3918
47619 26
14922 4056
47619 3810
14922 3672
14922 4123
47619 3795
47619 4217
14922 1931
47619 3859
14922 3669
33355 4248
55810 4634
33355 79
55810 3682
55810 4962
33355 1621
55810 1806
33355 3747
33355 3870
55810 3911
33355 4100
55810 3643
33355 5150
55810 74
33355 1360
2635 3630
31233 3817
2635 1228
31233 3730
55810 3710
33355 3607
31233 4752
2635 3698
2635 3796
31233 137
2635 2844
31233 3689
31233 3772
2635 2264
31233 3792
2635 3684
45642 4122
6656 3690
45642 3648
45642 4131
6656 3660
6656 5875
45642 255
6656 2019
45642 1147
6656 3831
45642 3855
6656 788
45642 3863
6656 3762
45642 3815
6656 4216
45642 3790
39500 1024
47625 3646
39500 2426
47625 3685
47625 5389
39500 1552
47625 3666
47625 3859
39500 4358
39500 3788
47625 788
39500 1581
47625 4645
39500 3720
8781 3860
55816 4971
8781 750
55816 3760
55816 4825
8781 1979
31246 3655
64078 3670
64078 4069
31246 3619
31246 1258
64078 3871
31246 1629
64078 3852
64078 3804
31246 1674
64078 3701
31246 3909
64078 242
31246 3663
16975 4220
6671 4649
16975 1165
6671 3675
6671 4873
16975 4219
16975 3726
6671 9
16975 902
6671 2025
16975 3609
6671 3678
16975 4730
6671 3715
16975 4956
51791 3840
47628 3767
51791 1218
47628 3665
47628 5294
51791 2324
47628 3778
47628 3805
51791 1585
47628 4281
51791 5646
47628 1704
51791 904
29262 3680
55821 3748
29262 504
55821 3772
51791 3631
55821 4910
29262 3890
29262 4840
55821 300
29262 3653
29262 3812
55821 779
29262 3640
29262 3677
55821 3677
29262 3738
23126 3720
31276 3661
23126 1298
31276 4382
31276 5816
23126 2135
31276 1289
23126 929
23126 3826
31276 1943
31276 720
23126 689
57943 4727
6701 3798
57943 744
6701 3713
31276 3807
23126 4051
6701 4948
57943 1965
6701 385
57943 3679
57943 3862
6701 4659
6701 5231
57943 3813
57943 4490
6701 3652
57943 3619
27223 3794
47662 4308
27223 3723
27223 3838
47662 3656
47662 4894
27223 1706
47662 397
27223 767
47662 3675
27223 4179
47662 3780
27223 4154
47662 3794
47662 3742
27223 324
53846 3753
55855 3720
53846 47
55855 5629
47662 5049
27223 3664
55855 4995
53846 1562
55855 263
53846 3719
53846 4280
55855 1538
53846 142
14932 395
47659 3720
14932 2558
47659 4130
55855 3791
53846 3623
47659 4927
14932 1951
47659 462
14932 285
47659 545
14932 1778
33365 897
55850 4250
33365 1558
55850 3650
47659 3647
14932 3615
55850 4840
33365 1180
55850 238
33365 178
33365 819
55850 4288
55850 3695
55850 3878
33365 1244
55850 3808
33365 3608
2645 3749
31273 3747
2645 1690
31273 3660
31273 5793
2645 2410
31273 564
2645 3660
2645 4386
31273 110
2645 3644
31273 3673
2645 3645
31273 4145
2645 3691
45652 4913
6696 3721
45652 19
6696 4556
6696 4962
45652 3682
45652 3881
6696 3681
6696 3804
45652 992
6696 1760
45652 3680
6696 3676
45652 221
39506 4822
47649 4983
39506 3700
39506 4073
47649 3664
47649 4947
39506 1168
47649 810
39506 3692
39506 3847
47649 1216
39506 5197
47649 3816
39506 1100
47649 5008
8787 3728
55840 3653
8787 1009
55840 3672
55840 5289
8787 1398
55840 304
8787 3665
8787 3788
55840 1982
8787 4384
55840 5037
8787 897
43603 3870
31267 3743
43603 1264
31267 3708
31267 4996
43603 2321
31267 1390
43603 1146
31267 5080
43603 3851
31267 1419
43603 3735
31267 3711
43603 4193
31267 4036
43603 4072
4690 4410
6690 3734
4690 1607
6690 5265
6690 348
4690 2940
