flow_ID proc_time
9623 6021
53456 5160
9623 15
53456 4162
53456 18144
9623 13409
53456 996
9623 1351
53456 94
9623 5051
9623 10444
53456 11603
44439 2915
28883 5769
44439 7862
28883 6864
28883 5245
44439 4141
44439 4429
28883 1557
28883 4182
44439 1953
5526 4073
4306 4095
5526 619
4306 2495
44439 11564
28883 11582
5526 5250
5526 2623
4306 3100
4306 1545
5526 4759
4306 13187
5526 2900
4306 14697
64916 2324
28886 9678
28886 3813
28886 5098
64916 587
28886 10103
64916 3112
28886 3929
28886 5128
64916 1962
28886 13136
64916 11658
17813 3046
4311 7086
17813 4385
4311 4075
4311 6199
17813 4527
17813 1721
4311 11483
17813 2841
4311 1514
4311 1113
17813 3992
17813 3811
52629 2548
45268 11309
45268 4231
4311 4021
17813 4011
45268 4293
52629 7938
45268 5728
52629 5335
52629 3982
45268 9554
52629 3856
45268 3997
52629 3888
30100 3946
53461 4354
30100 1112
53461 5237
53461 2178
30100 8986
30100 344
30100 1646
53461 1389
53461 4364
30100 12521
40345 3974
45253 1378
53461 4031
30100 3875
45253 5338
40345 4692
40345 3593
45253 639
45253 876
40345 3884
40345 3791
45253 3973
40345 3795
9624 4183
53444 7101
9624 9036
53444 438
9624 6882
9624 5871
53444 812
9624 400
9624 1806
53444 4388
9624 1556
44440 4936
28871 3797
44440 675
28871 3887
53444 4069
9624 3826
28871 201
44440 7115
44440 1100
28871 878
44440 519
5529 8469
4294 6017
28871 6358
44440 4461
4294 6380
5529 951
4294 4559
4294 429
5529 7289
5529 1175
4294 3970
5529 3778
64923 4069
28866 3953
64923 4160
64923 2812
28866 5204
4291 5157
17818 4284
17818 3407
4291 9128
17818 67
4291 945
4291 5212
17818 4081
17818 12650
52634 5582
45248 9411
52634 4304
45248 3827
4291 4342
17818 4782
45248 2714
52634 776
52634 3887
45248 752
52634 2691
30107 2713
53441 262
45248 3800
52634 3854
53441 5033
30107 4295
30107 5589
53441 2182
53441 7596
30107 5753
53441 5546
30107 3938
53441 6362
30107 4933
53441 4269
30107 7023
53441 5186
30107 5458
53441 4589
30107 3962
53441 7597
30107 7397
53441 5339
30107 4087
53441 11166
30107 9473
23965 1958
28872 4693
23965 4845
28872 3922
28872 6638
23965 4684
23965 3980
28872 1552
23965 4215
28872 1606
23965 4086
28872 3982
23965 4370
28872 13492
23965 11986
58780 2143
4297 9944
4297 6037
4297 5405
58780 1306
45263 1273
15775 3873
45263 5266
15775 4252
45263 3880
15775 7648
34206 747
53454 5695
53454 6248
34206 3418
53454 447
34206 4038
34206 387
53454 3735
34206 616
3486 4151
28877 3823
3486 496
28877 3074
53454 9714
34206 9715
28877 1557
3486 4150
28877 1506
3486 3942
3486 4280
28877 3795
28877 10332
3486 7809
46495 5255
4300 4026
46495 1454
4300 5081
4300 4947
46495 3348
4300 1150
46495 3283
46495 4274
4300 1723
4300 1578
46495 5435
46495 8582
40327 2697
45293 6804
45293 7397
45293 5377
40327 2343
45293 1477
40327 5031
45293 7647
45293 3994
40327 4847
45293 10635
40327 7574
9606 5433
53484 4179
9606 606
53484 4277
53484 6640
9606 5743
9606 7633
53484 3161
9606 5947
9606 12
53484 1006
9606 1029
53484 5146
53484 12240
9606 11590
44422 4170
28911 1420
28911 5272
44422 1990
28911 3905
28911 215
44422 1308
28911 7047
28911 3870
44422 4040
5511 3853
4334 4038
5511 1191
4334 686
5511 2851
4334 1193
5511 4570
5511 4079
4334 4049
4334 2613
5511 9997
64901 1337
28906 4643
64901 4440
28906 4057
4334 4907
5511 3831
28906 6694
64901 2352
28906 5916
64901 6003
28906 1164
64901 990
28906 3966
64901 3842
17796 6326
4331 9177
17796 12542
4331 864
4331 1160
17796 4582
4331 959
17796 204
4331 6497
17796 1611
52612 4066
45288 3951
52612 585
45288 3937
4331 3925
17796 12410
45288 9938
52612 3858
45288 2006
52612 2708
45288 6954
45288 4056
52612 5000
45288 6173
52612 6571
30085 5945
53481 2356
53481 5356
30085 371
53481 5624
30085 3667
53481 3944
53481 4192
30085 715
53481 4104
30085 13856
23939 4376
28896 521
28896 5442
23939 4225
23939 9099
28896 10920
23939 2170
28896 2786
23939 2105
28896 4769
23939 12498
58754 2529
4321 10613
4321 3842
4321 8031
4321 3702
4321 3340
58754 1273
4321 7253
58754 3935
28034 4986
45282 4072
28034 900
45282 4022
45282 183
28034 5414
45282 4254
28034 301
45282 1937
28034 4248
54659 4104
53475 3878
54659 3903
54659 4558
53475 4256
53475 817
54659 4766
53475 4589
54659 3994
54659 4081
53475 5183
54659 7203
53475 2613
53475 5223
54659 3795
54659 5459
15745 4205
45287 6648
15745 4742
15745 6782
45287 5451
45287 6132
15745 4688
15745 4061
45287 905
15745 4089
15745 3366
45287 6556
15745 608
34176 4055
53478 3850
34176 4066
34176 5293
53478 6806
53478 8049
34176 2379
53478 162
34176 3937
34176 2077
53478 2347
53478 1583
34176 1935
3456 4161
28901 3720
3456 4949
28901 2531
3456 4607
3456 5526
28901 4625
28901 4646
3456 6177
28901 1588
28901 576
3456 265
46465 5591
4324 3890
46465 12134
4324 10682
4324 5352
46465 586
4324 4676
4324 4223
46465 5036
4324 1753
4324 48
46465 3934
4341 665
58765 4106
4341 4071
58765 4096
58765 4404
4341 4545
58765 4165
4341 9892
58765 2148
28045 4092
45302 4049
28045 4050
28045 4337
45302 3949
45302 6262
28045 3251
45302 592
28045 5251
28045 4107
45302 4050
45302 5224
28045 2492
45302 6402
28045 4344
54668 4016
53495 3912
54668 5064
54668 11185
53495 1927
54668 989
53495 3934
53495 4363
54668 4123
54668 8076
53495 175
53495 3896
54668 416
15758 4478
45299 4175
15758 12024
45299 9138
45299 7331
15758 2558
45299 4368
45299 4401
15758 11082
45299 2580
45299 2992
15758 1737
34191 3927
53490 5168
34191 4502
53490 158
34191 1220
53490 4222
53490 5868
34191 1440
53490 7329
53490 3893
53490 1226
34191 3868
34191 3885
3471 4403
28913 215
28913 5294
3471 409
28913 444
3471 3986
28913 1824
3471 1552
28913 3831
3471 16174
4336 4598
46478 8061
4336 6097
46478 126
4336 4060
4336 12429
46478 9501
45305 7353
40328 5296
40328 4058
45305 4233
45305 4019
40328 7591
45305 4096
40328 1972
45305 4045
40328 4504
9609 4038
53496 5340
9609 1164
53496 7483
53496 5869
9609 285
53496 3880
53496 6789
9609 2306
9609 5900
53496 3992
53496 980
9609 3973
53496 3862
9609 3796
53496 5979
44425 5125
28923 8652
44425 5678
28923 5150
28923 3073
44425 11144
44425 4133
44425 4308
28923 3570
44425 11646
5512 1313
4346 5967
5512 4339
4346 3924
4346 3427
5512 6182
4346 409
5512 4123
5512 4310
4346 4666
5512 12138
4346 2270
5512 5763
64906 4107
28926 6263
64906 5845
64906 12905
28926 1295
64906 408
28926 3987
28926 4684
64906 5077
64906 10514
28926 2312
28926 4083
64906 584
17803 4298
4351 4422
17803 10595
4351 485
17803 4746
17803 3943
4351 3954
4351 4079
17803 5155
4351 3372
17803 12017
4351 5317
17803 422
52619 4624
45308 4432
52619 8234
45308 6012
45308 5735
52619 1367
45308 3868
45308 6425
52619 3541
45308 3117
45308 423
52619 1059
30090 4097
53501 4110
30090 10841
53501 9478
53501 7452
30090 2087
53501 1329
30090 2032
53501 7015
53501 1703
53501 361
30090 344
40447 2137
45133 2921
40447 7552
45133 6229
40447 1451
45133 3731
45133 2108
40447 5984
45133 1004
40447 4672
40447 4189
9726 1223
53324 3075
9726 8083
53324 5540
9726 352
53324 4110
53324 7656
9726 1008
53324 6011
9726 4071
53324 309
53324 4098
9726 4064
9726 12721
44542 4750
28751 7982
44542 5571
28751 3908
28751 6570
44542 4078
44542 1154
28751 5289
44542 4230
28751 4090
28751 5195
44542 4044
44542 10276
28751 11576
5631 8342
4174 4537
5631 1140
4174 3987
4174 2932
5631 9603
5631 3907
5631 4412
5631 3940
4174 801
4174 12649
5631 11062
65021 6709
28746 4175
65021 1247
28746 4420
4174 3936
5631 4218
28746 8902
65021 2491
28746 428
65021 4935
65021 5511
28746 3969
28746 3863
65021 249
17916 3958
4171 3955
17916 4033
17916 5382
4171 8527
17916 4595
17916 4194
4171 3994
4171 3977
17916 4099
17916 11202
4171 3601
17916 1341
52732 3885
45128 4076
52732 3916
52732 12821
45128 11222
4171 9980
17916 5653
45128 6374
52732 1620
45128 4770
45128 6359
52732 10714
45128 3897
52732 4222
52732 4015
45128 3986
52732 4881
30205 4155
53321 2988
30205 6342
53321 5764
30205 653
53321 3927
53321 735
30205 5082
30205 4268
53321 238
30205 3974
53321 9166
30205 6656
24059 5169
28736 6784
24059 1211
28736 4176
28736 5235
24059 10203
28736 1734
24059 3793
24059 4961
28736 166
24059 2562
28736 6470
58874 3982
4161 3893
4161 3969
4161 9896
58874 3041
