flow_ID proc_time
63447 15586
32727 7680
42964 10400
62335 4653
32727 5399
32727 7797
21372 9488
63447 5717
21369 6820
42964 9190
42964 4953
62335 11123
62335 1750
32727 10689
21369 8534
32727 6149
21369 7400
21372 10038
21369 6874
42964 6877
21369 5981
42964 8719
21369 5554
42964 10425
21372 8981
63447 7652
21372 8752
63447 3951
62335 9678
62335 6862
32727 10387
62335 11610
32727 11441
42964 9388
63447 4610
32727 2066
32727 534
62335 5167
32727 11582
21369 9429
42964 4063
21369 11031
42964 4079
42964 9595
32727 6125
32727 4068
42964 10024
21372 5337
63447 3978
21372 4430
63447 10289
63447 4594
32727 10899
32727 7193
63447 5283
63447 4139
62335 7925
62335 10424
32727 16913
62335 1679
21369 6203
42964 10638
62335 5497
62335 6366
62335 12973
32727 10552
21369 5535
42964 9297
21372 8240
21372 14215
63447 11700
62335 9623
62335 6220
62335 4620
32727 6604
32727 5281
32727 1698
32727 8739
32727 2186
32727 6051
62335 10327
62335 9762
32727 3863
62335 10943
62335 7263
32727 15655
62335 11265
32727 8788
62335 4261
32727 4812
62335 6801
32727 3906
62335 12373
32727 5872
62335 8995
32727 3873
32727 2450
32727 6505
32727 10148
62335 4052
62335 2118
62335 7277
62335 9482
32727 4383
62335 10965
32727 6633
62335 11943
32727 6910
62335 11970
32727 6649
62335 12597
32727 11069
62335 8574
32727 11496
62335 4127
32727 10406
62335 5171
32727 4565
62335 4080
32727 11176
62335 4637
62335 5196
32727 5079
32727 4077
32727 1393
32727 10633
32727 4341
62335 5518
62335 6247
62335 8030
62335 1713
32727 3963
62335 10892
32727 11505
62335 6548
32727 5041
62335 11242
32727 6001
62335 11280
32727 4815
62335 11398
32727 3908
1534 12604
62335 6272
32727 10534
62335 4056
32727 11085
62335 3757
32727 9710
48639 3890
6733 11852
1534 4005
1534 10299
31308 3938
48639 13161
48639 12612
6733 859
6733 7443
1534 12398
6733 228
1534 11226
1534 6142
31308 3161
31308 14129
48639 12256
31308 9282
48639 8463
31308 7992
48639 1020
6733 7820
1534 5800
6733 4146
1534 10717
31308 6176
48639 4856
31308 11853
48639 10081
6733 8137
6733 7703
1534 11800
6733 6586
48639 1363
31308 9947
31308 10944
48639 5355
6733 5188
1534 12300
6733 4538
1534 9914
6733 4426
1534 10747
31308 9273
48639 4126
31308 11656
48639 3783
6733 7307
1534 13861
32727 4320
32727 10077
32727 7928
32727 8569
32727 9694
62335 3910
62335 668
32727 10971
32727 9905
62335 4388
32727 10854
62335 243
32727 5328
32727 4663
62335 10407
32727 5295
57926 14329
26575 12660
57926 10671
