flow_ID proc_time
3507 5852
28833 3947
3507 955
28833 3984
28833 13974
3507 3316
28833 3957
28833 4009
3507 4138
3507 4092
28833 855
3507 115
46514 3819
4256 4243
46514 8383
46514 4525
4256 3925
28833 3956
3507 3878
4256 5198
46514 68
4256 609
46514 5383
4256 4114
4256 3935
46514 4041
4256 6267
46514 3896
4256 3927
46514 4529
40372 3893
45225 3893
40372 3940
40372 8187
45225 5695
45225 5709
40372 70
45225 3888
45225 4168
40372 3844
40372 5241
45225 1447
40372 3787
45225 5396
40372 6394
40372 4577
9653 5537
53416 5301
9653 4025
9653 4732
53416 3921
53416 5369
9653 423
53416 7171
9653 4982
9653 4550
53416 5085
53416 4097
9653 584
53416 6426
9653 3886
44469 4591
28843 4058
44469 6424
44469 7152
28843 6843
28843 5382
44469 330
28843 1826
44469 4965
44469 5789
44469 3973
28843 1328
28843 6086
44469 87
5556 4817
4266 5236
5556 3805
5556 4471
4266 3958
28843 3833
44469 3750
4266 6282
5556 1271
4266 4690
4266 4131
5556 4775
5556 3961
4266 3783
4266 4953
5556 1943
4266 4020
5556 3930
64950 4252
28846 3764
64950 7100
28846 7018
28846 6719
64950 3758
64950 3905
28846 3801
28846 4209
64950 675
64950 3913
28846 4553
28846 1073
64950 859
17847 4938
4271 5260
17847 4013
17847 4445
4271 4424
28846 4018
64950 3832
4271 7876
17847 4338
4271 3885
4271 4066
17847 3881
17847 4501
4271 656
17847 1565
52663 5375
45228 5293
52663 3895
52663 7756
45228 5450
4271 3896
17847 3918
45228 6592
52663 1946
45228 125
52663 3957
52663 4167
52663 4163
45228 2661
45228 2784
52663 3885
52663 3972
30134 3910
53421 4012
30134 3817
30134 6654
53421 4013
45228 3781
52663 3943
53421 5189
30134 6878
53421 4847
53421 4915
30134 2027
53421 3792
53421 3982
30134 900
23982 3829
28812 4929
23982 5475
23982 5460
28812 7517
53421 3851
30134 4060
28812 5225
23982 5765
23982 5337
28812 3947
28812 4189
23982 4045
23982 4110
28812 1328
23982 56
28812 3824
23982 3742
58799 4376
4237 3808
58799 3990
58799 4474
4237 5362
4237 7556
58799 3842
58799 170
4237 1175
58799 2092
4237 3959
58799 3891
28079 3895
45198 3921
28079 6393
28079 4648
45198 3843
45198 5679
28079 4907
45198 3980
45198 4079
28079 4028
28079 4059
28079 3965
45198 1217
45198 5353
28079 4927
28079 3869
54702 4971
53391 7843
54702 7479
54702 4381
53391 5266
45198 5820
28079 3810
53391 5154
54702 4198
54702 3964
53391 4040
53391 4070
54702 5462
54702 5717
53391 5389
53391 5612
54702 4114
53391 5234
54702 5386
53391 4768
54702 3902
53391 7291
54702 5100
53391 6635
54702 3852
53391 6379
54702 4240
53391 6427
54702 3671
53391 4289
54702 4455
53391 5079
54702 1557
53391 3692
54702 3719
15788 3641
45195 3749
15788 3673
15788 8444
45195 7311
45195 4931
15788 3666
15788 3781
45195 4274
45195 3832
15788 4642
15788 5156
15788 4010
45195 3266
15788 3693
45195 4120
15788 4699
45195 5175
15788 4346
34221 4269
53386 4132
34221 3616
34221 4102
53386 3801
53386 6594
34221 3140
53386 3776
53386 3981
34221 3654
34221 3836
53386 3908
53386 4937
34221 5012
53386 3643
34221 3764
53386 3783
34221 6811
3501 8464
28809 8392
3501 3879
3501 6661
28809 3674
28809 4780
3501 11
28809 3664
28809 5071
3501 6058
28809 6099
28809 3940
3501 3780
28809 3687
3501 3713
28809 3727
3501 5493
46508 5016
4232 3699
46508 3634
46508 4279
4232 3791
46508 3657
4232 3677
46508 4644
4232 5049
46508 5874
40362 5615
45185 3796
40362 5396
40362 4087
45185 3675
45185 7480
40362 3703
40362 3745
45185 3643
45185 4045
40362 3686
40362 6906
45185 5675
40362 7080
45185 5096
45185 3765
40362 133
9643 3674
53376 3654
9643 3662
9643 5105
53376 5187
45185 4241
40362 3594
53376 4963
9643 3700
9643 3777
53376 4087
53376 4813
9643 767
53376 3657
53376 3991
9643 102
53376 3643
9643 6473
44459 7438
28803 7409
44459 3827
44459 3935
28803 3792
28803 4999
44459 3091
28803 2414
44459 160
44459 4998
28803 4792
28803 3843
28803 3709
44459 4810
44459 5085
5546 3679
4226 3756
5546 3674
5546 4314
4226 3964
28803 3696
44459 5027
4226 8002
5546 244
4226 35
5546 6151
5546 3772
4226 3768
4226 5019
5546 7235
28806 101
64936 5573
28806 3728
64936 3764
28806 3784
64936 3662
17833 5534
4231 7030
17833 266
4231 5007
4231 5058
17833 3676
17833 3889
4231 4131
4231 3827
17833 4696
17833 5516
4231 4691
4231 5919
17833 4609
4231 3824
17833 3614
52649 4282
45188 4348
52649 4214
52649 5601
45188 3644
45188 4991
52649 3643
52649 3751
45188 393
52649 3680
52649 3797
52649 3773
45188 334
45188 3894
52649 4250
52649 4640
30120 3685
53381 5013
30120 3796
30120 5811
53381 5471
45188 5091
52649 3598
53381 6065
30120 1972
53381 3823
53381 3841
30120 3702
30120 3911
53381 3665
53381 3888
30120 3546
53381 3809
30120 3632
40357 3681
45205 3757
40357 3651
40357 4274
45205 4820
45205 6413
40357 3766
40357 3925
45205 2107
40357 3796
40357 3855
40357 6218
45205 349
45205 3813
40357 3641
40357 3770
9636 3667
53396 3821
44452 3955
28823 3656
44452 3712
28823 3693
28823 5030
44452 5159
44452 5483
28823 6205
44452 4356
44452 4408
44452 3811
28823 3687
28823 1549
44452 1771
5541 3801
4246 3843
5541 3833
5541 5443
4246 5375
28823 5280
44452 4933
4246 4956
5541 3818
5541 4036
4246 3765
4246 3944
5541 3791
5541 4954
4246 5012
4246 5572
5541 2208
64935 3893
28818 6131
64935 3656
64935 4071
28818 4671
4246 3906
5541 4888
28818 4853
64935 424
28818 4146
28818 7118
64935 4840
28818 5175
28818 3815
64935 3696
64935 3654
28818 3702
64935 3609
17830 3729
4243 3646
17830 4661
17830 5430
4243 3665
4243 5025
17830 190
4243 3664
4243 4776
17830 66
4243 3770
4243 4245
17830 84
4243 3666
17830 8449
45200 7178
52646 533
52646 4098
45200 4570
45200 5111
52646 850
45200 408
53393 7501
30119 5257
30119 5175
53393 4706
30119 3786
30119 3776
53393 3650
53393 3831
30119 153
53393 5751
30119 3592
23969 3690
28824 3686
23969 3742
23969 4064
28824 7052
28824 7511
23969 6157
23969 3735
28824 3655
28824 3805
23969 3672
23969 3808
23969 3853
28824 2928
28824 5542
23969 5211
58784 3828
4249 3697
58784 3807
58784 5113
4249 4991
28824 3687
23969 4065
4249 5070
58784 3660
58784 4186
4249 5507
4249 4947
58784 5680
58784 4668
4249 3695
4249 3759
58784 135
4249 3675
58784 4683
28064 5020
45210 3631
28064 3773
45210 4568
45210 4936
28064 3682
28064 6188
45210 3673
45210 4108
28064 3849
28064 3811
28064 5263
45210 4771
45210 3753
28064 3760
28064 3851
54689 3779
53403 3677
54689 3652
54689 4224
53403 4699
45210 5070
28064 4161
53403 7261
54689 3006
53403 196
53403 3787
54689 1966
15779 3803
45215 3862
15779 3709
15779 4987
45215 7899
53403 5923
54689 5922
45215 5070
15779 2314
45215 1527
15779 1186
15779 814
45215 1542
45215 1604
15779 1730
34210 4173
53406 4994
34210 4112
34210 4084
53406 3681
45215 3697
15779 3654
53406 2070
34210 2985
53406 5503
34210 3794
53406 3029
34210 2943
3490 3668
28829 3644
3490 1504
28829 3694
53406 4216
34210 3613
28829 5023
3490 1531
28829 3800
28829 4798
3490 771
28829 5234
3490 342
3490 1491
46499 3777
4252 3804
46499 3711
46499 4586
4252 3696
28829 3900
3490 3697
4252 6028
46499 5307
46499 3743
4252 3660
4252 3837
46499 1215
4252 946
46499 3660
46499 5814
4252 6777
23954 6772
28892 3864
23954 3843
23954 4852
28892 3919
28892 6175
23954 1967
28892 3686
28892 3961
23954 1278
28892 3700
23954 4015
28892 3813
28892 4027
23954 1455
58771 3811
4317 5059
58771 4507
58771 7558
4317 6993
28892 4654
23954 3666
4317 4892
58771 210
4317 1741
58771 1101
4317 4817
4317 5405
58771 2316
4317 6458
58771 5972
28051 7176
28051 5149
45278 2914
28051 4408
28051 3837
54674 5972
53471 3654
54674 3660
54674 4105
53471 5633
45278 7662
28051 4684
53471 4904
54674 3693
54674 4683
53471 5008
53471 3918
54674 3874
54674 4801
53471 4272
53471 6321
54674 3713
54674 3785
53471 3707
54674 3580
15760 4704
45275 5178
15760 4724
15760 4105
45275 3768
45275 7157
15760 3816
15760 3874
45275 6107
45275 4998
15760 5113
15760 3773
15760 4235
45275 7386
45275 4815
45275 4320
15760 3700
15760 6007
34193 3651
53466 3647
34193 4401
34193 6810
53466 5090
53466 3691
34193 7263
3473 5177
28889 3664
