flow_ID proc_time
59672 9266
313 5717
59672 10251
59672 8542
313 7621
313 1637
59672 11977
313 8459
59672 6396
313 593
59672 11203
24856 7912
41274 4042
24856 9150
313 7657
59672 7009
24856 10449
41274 6445
41274 8102
24856 5270
24856 12953
41274 5650
41274 1111
24856 7272
24856 2839
41274 7076
24856 12699
55577 10843
49467 6334
55577 10279
49467 8140
49467 9029
55577 5437
55577 4165
55577 4763
49467 3512
55577 10180
49467 4439
55577 8656
55577 7111
12571 3180
41279 9363
12571 9972
41279 8304
41279 12685
12571 3934
41279 2600
41279 6501
12571 8362
41279 1789
12571 269
41279 5823
35098 6178
49470 8755
35098 6037
49470 12284
49470 8245
35098 6384
35098 12179
49470 8368
49470 7678
35098 4410
49470 2039
35098 5518
35098 5758
49470 3544
35098 7688
35098 5564
282 4257
24893 11593
282 7312
282 10285
24893 9417
24893 7128
282 6444
24893 2776
24893 6759
282 4015
24893 1267
282 6192
282 4057
282 3228
24893 9583
47387 198
316 12739
47387 4021
316 4780
316 11620
47387 4735
47387 13693
316 4655
316 11099
47387 4542
316 7617
316 4083
47387 3248
37123 9980
41245 9332
37123 456
41245 5907
316 6012
47387 11551
41245 10262
37123 1718
37123 5998
41245 2262
37123 6453
41245 10859
37123 5418
41245 5011
37123 9335
37123 13841
10498 5732
49436 9061
10498 12255
49436 9547
49436 13912
10498 4568
10498 12121
49436 4921
49436 3425
10498 8542
10498 9523
49436 4516
10498 8908
49436 10159
41218 5333
24863 3994
41218 9669
24863 5970
24863 8110
41218 942
41218 11109
24863 4091
24863 8265
41218 4457
24863 6300
41218 549
6403 4074
286 11470
6403 6145
6403 9822
286 5709
286 3196
286 1893
6403 8868
6403 710
286 5719
286 5784
6403 4286
286 6612
61697 6456
24858 4108
61697 5432
24858 3998
24858 8655
61697 5855
61697 4729
24858 3940
61697 9052
24858 12284
61697 10354
24858 2830
61697 5988
24858 11821
61697 9634
18688 7157
283 4896
18688 4063
18688 5826
283 10653
283 8175
18688 3007
18688 2155
18688 2632
283 4510
283 8199
18688 5166
283 11437
18688 3929
49408 532
41240 11760
49408 7605
41240 14412
283 13172
18688 9106
41240 3907
49408 7171
49408 6546
41240 5694
49408 91
41240 4900
41240 8222
49408 5974
41240 8765
49408 6433
41240 10901
49408 9597
41240 7551
49408 4705
41240 8695
30977 5961
49433 10044
30977 6158
49433 4740
49433 6668
30977 4625
49433 4302
30977 4532
49433 11607
49433 10962
30977 7092
49433 2821
30977 424
49433 3542
30977 6242
